,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,67.589996,69.059998,67.550003,69.059998,58.187748,4040500,58.187748,4040500,2.1748810282515683,1.6451285681697096,,57.977104000000004
1,1,2013-01-03,68.760002,69.360001,68.589996,68.809998,57.977104000000004,3340700,57.977104000000004,3340700,0.07271087630275672,1.3601982446936143,,58.297276000000004
2,2,2013-01-04,68.91999799999999,69.610001,68.32,69.190002,58.297276000000004,3145600,58.297276000000004,3145600,0.3917643758492483,1.2807613968653975,,58.044502
3,3,2013-01-07,68.58000200000001,68.940002,68.349998,68.889999,58.044502,2262800,58.044502,2262800,0.45202244234404604,0.921320857333107,58.15404266666667,58.381527
4,4,2013-01-08,68.760002,69.459999,68.660004,69.290001,58.381527,2502800,58.381527,2502800,0.7707954982316663,1.0190391734723794,58.106294,58.794392
5,5,2013-01-09,69.300003,69.800003,69.25,69.779999,58.794392,2599000,58.794392,2599000,0.692634890650726,1.0582079318582045,58.24110166666667,58.28043
6,6,2013-01-10,69.849998,69.849998,68.720001,69.16999799999999,58.28043,2773900,58.28043,2773900,-0.9735147021765223,1.1294201547446994,58.40680699999999,58.878646999999994
7,7,2013-01-11,69.690002,70.269997,69.529999,69.879997,58.878646999999994,2542800,58.878646999999994,2542800,0.27262877679354364,1.0353255594955915,58.48544966666666,58.861793999999996
8,8,2013-01-14,69.790001,70.25,69.360001,69.860001,58.861793999999996,2340600,58.861793999999996,2340600,0.10030090127093304,0.9529978781482544,58.651156333333326,59.190399
9,9,2013-01-15,69.730003,70.349998,69.690002,70.25,59.190399,2621600,59.190399,2621600,0.7457292092759606,1.0674097399613194,58.673623666666664,58.887066000000004
10,10,2013-01-16,69.709999,70.290001,69.709999,69.889999,58.887066000000004,2382000,58.887066000000004,2382000,0.25821259874068686,0.969854287682279,58.97694666666667,58.887066000000004
11,11,2013-01-17,70.199997,70.230003,69.779999,69.889999,58.887066000000004,1743900,58.887066000000004,1743900,-0.441592611464062,0.7100457146469884,58.97975300000001,59.072426
12,12,2013-01-18,69.66999799999999,70.120003,69.410004,70.110001,59.072426,2271600,59.072426,2271600,0.6315530538697653,0.9249038622582136,58.98817700000001,59.367340000000006
13,13,2013-01-22,69.790001,70.459999,69.790001,70.459999,59.367340000000006,3331900,59.367340000000006,3331900,0.9600200464246913,1.3566152397685076,58.948852666666674,60.03297
14,14,2013-01-23,70.550003,71.459999,70.440002,71.25,60.03297,3591100,60.03297,3591100,0.9921998160652044,1.462151021198922,59.10894400000001,60.10879499999999
15,15,2013-01-24,71.290001,71.980003,70.68,71.339996,60.10879499999999,2608500,60.10879499999999,2608500,0.07012904937397262,1.0620759485387175,59.49091200000001,60.841816
16,16,2013-01-25,71.5,72.239998,71.010002,72.209999,60.841816,2908200,60.841816,2908200,0.9930055944055892,1.1841016958176338,59.83636833333333,60.749145999999996
17,17,2013-01-28,72.870003,72.870003,71.760002,72.099998,60.749145999999996,3420600,60.749145999999996,3420600,-1.0566830908460338,1.3927303007749805,60.32786033333333,60.412121
18,18,2013-01-29,72.089996,72.099998,71.480003,71.699997,60.412121,2564500,60.412121,2564500,-0.5409890714933638,1.0441609239131842,60.56658566666666,60.951363
19,19,2013-01-30,71.739998,72.68,71.650002,72.339996,60.951363,2321800,60.951363,2321800,0.8363507342166352,0.9453432767173449,60.66769433333334,60.572205000000004
20,20,2013-01-31,72.059998,72.800003,71.889999,71.889999,60.572205000000004,2454700,60.572205000000004,2454700,-0.23591313449660384,0.9994547942794669,60.70421000000001,62.181518999999994
21,21,2013-02-01,72.489998,73.910004,72.489998,73.800003,62.181518999999994,3158800,62.181518999999994,3158800,1.8071527605780922,1.2861359042530573,60.64522966666667,61.355789
22,22,2013-02-04,72.559998,73.639999,72.440002,72.82,61.355789,3185700,61.355789,3185700,0.3583269117510175,1.2970884988536675,61.235029,61.810782999999994
23,23,2013-02-05,73.360001,73.690002,72.900002,73.360001,61.810782999999994,2531200,61.810782999999994,2531200,0.0,1.03060250754886,61.36983766666666,61.018772
24,24,2013-02-06,72.910004,72.980003,72.0,72.41999799999999,61.018772,2706100,61.018772,2706100,-0.6720696380705289,1.1018147304353547,61.78269699999999,61.465332
25,25,2013-02-07,72.209999,73.0,71.58000200000001,72.949997,61.465332,2973700,61.465332,2973700,1.0247860549063295,1.2107706529306437,61.395114666666665,61.76865
26,26,2013-02-08,73.010002,73.709999,72.82,73.309998,61.76865,2000100,61.76865,2000100,0.41089712612251816,0.8143600171256618,61.43162899999999,61.566441000000005
