,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,50.974540999999995,51.404739,50.70237,51.264267,42.399967,3217561,42.399967,3217561,0.5683739261134332,1.5356406373241243,,42.566998
1,1,2013-01-03,51.45742,51.65057,50.70237,51.466198,42.566998,2564459,42.566998,2564459,0.017058764314261208,1.2239356000248593,,42.944584000000006
2,2,2013-01-04,51.641791999999995,52.054435999999995,51.413521,51.922737,42.944584000000006,2113301,42.944584000000006,2113301,0.5440264350237937,1.0086120805472558,,42.777569
3,3,2013-01-07,51.641791999999995,51.878840999999994,51.299385,51.720806,42.777569,1712828,42.777569,1712828,0.15300398560919018,0.817478916964311,42.637183,43.024456
4,4,2013-01-08,51.615452000000005,52.080771999999996,51.448639,52.019314,43.024456,1924341,43.024456,1924341,0.7824439859598566,0.9184274174348032,42.76305033333333,42.915546
5,5,2013-01-09,52.151009,52.168568,51.685688,51.887623,42.915546,2210457,42.915546,2210457,-0.5050448784222067,1.0549815827136058,42.91553633333333,43.075294
6,6,2013-01-10,52.221249,52.230026,51.773487,52.080771999999996,43.075294,2071385,43.075294,2071385,-0.26900352383376386,0.9886068924703001,42.90585699999999,43.147915000000005
7,7,2013-01-11,52.616329,52.677788,51.966637,52.168568,43.147915000000005,1521704,43.147915000000005,1521704,-0.850992474218412,0.7262614447336567,43.00509866666665,43.140648
8,8,2013-01-14,52.168568,52.282703000000005,51.949078,52.15979,43.140648,2016600,43.140648,2016600,-0.016826223790538986,0.9624597355661102,43.04625166666665,42.944584000000006
9,9,2013-01-15,52.063213,52.071995,51.720806,51.922737,42.944584000000006,2103619,42.944584000000006,2103619,-0.2698181535588278,1.0039911665535284,43.121285666666644,42.719475
10,10,2013-01-16,52.045654,52.115891,51.615452000000005,51.65057,42.719475,1891765,42.719475,1891765,-0.75911045329548,0.9028799175112677,43.077715666666656,42.966373
11,11,2013-01-17,51.9403,52.107113,51.720806,51.949078,42.966373,1383999,42.966373,1383999,0.01690017192815503,0.6605391805830413,42.93490233333332,43.365757
12,12,2013-01-18,51.957859,52.440739,51.870059999999995,52.431957,43.365757,2865382,43.365757,2865382,0.912466389348333,1.3675566805593038,42.87681066666665,43.540028
13,13,2013-01-22,52.370499,52.651447,52.036873,52.642669999999995,43.540028,2477895,43.540028,2477895,0.5197028960903982,1.1826213262226453,43.017201666666644,43.249577
14,14,2013-01-23,52.651447,52.651447,52.15979,52.291484999999994,43.249577,2019105,43.249577,2019105,-0.683669719466595,0.96365529325608,43.29071933333332,43.358494
15,15,2013-01-24,52.493416,52.651447,52.186127,52.42318,43.358494,2066488,43.358494,2066488,-0.13379963689160806,0.9862697084352573,43.385120666666644,43.489201
16,16,2013-01-25,52.660229,52.677788,52.273926,52.581210999999996,43.489201,1653828,43.489201,1653828,-0.15005251876136907,0.789320073168615,43.382699666666646,43.307659
17,17,2013-01-28,52.677788,52.677788,52.344162,52.361721,43.307659,1578312,43.307659,1578312,-0.600000516346656,0.7532786621842797,43.36575733333331,43.765141
18,18,2013-01-29,52.256367,52.97629499999999,52.089554,52.914837,43.765141,2663210,43.765141,2663210,1.2600761166577104,1.2710663455107707,43.38511799999998,43.184208
19,19,2013-01-30,52.818259999999995,52.897278,52.098331,52.212467,43.184208,2177768,43.184208,2177768,-1.1469385776812764,1.0393801514451735,43.520666999999975,43.053515999999995
20,20,2013-01-31,52.089554,52.475857,52.028095,52.054435999999995,43.053515999999995,2961742,43.053515999999995,2961742,-0.06741850774918173,1.413546276968681,43.419002666666636,44.041077
