,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,78.389999,79.050003,78.239998,79.050003,67.857178,3119400,67.857178,3119400,0.8419492389584042,1.4238068851344787,,66.20047
1,1,2013-01-03,78.370003,78.470001,76.800003,77.120003,66.20047,4443700,66.20047,4443700,-1.5949980249458457,2.028265261098956,,66.14035799999999
2,2,2013-01-04,77.279999,77.410004,76.610001,77.050003,66.14035799999999,2231800,66.14035799999999,2231800,-0.2976138754867218,1.0186741701106397,,66.06309499999999
3,3,2013-01-07,76.709999,77.190002,76.709999,76.959999,66.06309499999999,1764500,66.06309499999999,1764500,0.3259027548677194,0.805381563383916,66.73266866666667,66.329193
4,4,2013-01-08,76.980003,77.449997,76.839996,77.269997,66.329193,2200000,66.329193,2200000,0.3767134173793254,1.004159500960394,66.134641,66.724083
5,5,2013-01-09,77.529999,77.949997,77.370003,77.730003,66.724083,1529000,66.724083,1529000,0.257969821462261,0.6978908531674738,66.17754866666667,67.530975
6,6,2013-01-10,78.160004,78.870003,77.910004,78.66999799999999,67.530975,2949800,67.530975,2949800,0.6524999666069514,1.3463953163331683,66.37212366666667,67.625404
7,7,2013-01-11,78.800003,79.050003,78.540001,78.779999,67.625404,1798800,67.625404,1798800,-0.025385785835566693,0.8210373228761622,66.86141700000002,67.556732
8,8,2013-01-14,78.900002,79.040001,78.389999,78.699997,67.556732,1094300,67.556732,1094300,-0.25349175529806,0.49947806450043597,67.29348733333335,68.088959
9,9,2013-01-15,78.650002,79.33000200000001,78.25,79.32,68.088959,2038700,68.088959,2038700,0.8518728327559261,0.9305363520945251,67.571037,67.556732
10,10,2013-01-16,79.25,79.309998,78.540001,78.699997,67.556732,1767500,67.556732,1767500,-0.6940100946372287,0.8067508717943165,67.75703166666666,67.702682
11,11,2013-01-17,78.75,79.120003,78.589996,78.870003,67.702682,1927100,67.702682,1927100,0.15238476190475805,0.8795980792276251,67.73414100000001,68.1147
12,12,2013-01-18,78.93,79.379997,78.739998,79.349998,68.1147,1835000,68.1147,1835000,0.5321145318636672,0.8375603110283286,67.78279099999999,68.0289
13,13,2013-01-22,79.470001,79.489998,78.970001,79.25,68.0289,1729500,68.0289,1729500,-0.2768352802713521,0.7894062985959097,67.79137133333334,67.788498
14,14,2013-01-23,78.989998,79.389999,78.809998,78.970001,67.788498,1698900,67.788498,1698900,-0.02531586340843254,0.7754393528098242,67.94876066666666,68.355034
15,15,2013-01-24,79.0,79.980003,79.0,79.629997,68.355034,2309100,68.355034,2309100,0.7974645569620291,1.0539566834852936,67.977366,68.58683
16,16,2013-01-25,79.699997,79.91999799999999,79.199997,79.900002,68.58683,1709600,68.58683,1709600,0.25094731182989183,0.7803232194735862,68.05747733333332,67.71125
17,17,2013-01-28,79.730003,79.730003,78.75,78.879997,67.71125,1961100,67.71125,1961100,-1.0661055663073202,0.8951169078788312,68.243454,67.488091
18,18,2013-01-29,78.900002,79.07,78.5,78.620003,67.488091,1857200,67.488091,1857200,-0.35487831800055425,0.8476931932652926,68.21770466666665,66.05452
19,19,2013-01-30,79.139999,79.139999,76.879997,76.949997,66.05452,3551300,66.05452,3551300,-2.7672504772207627,1.620941652618476,67.92872366666666,65.367813
20,20,2013-01-31,77.07,77.150002,75.370003,76.150002,65.367813,4192300,65.367813,4192300,-1.1937173997664365,1.9135172163073908,67.08462033333332,65.797005
21,21,2013-02-01,76.610001,77.110001,76.400002,76.650002,65.797005,3043000,65.797005,3043000,0.05221380952599613,1.388935164282945,66.30347466666666,65.63391899999999
22,22,2013-02-04,76.260002,76.779999,76.150002,76.459999,65.63391899999999,2717400,65.63391899999999,2717400,0.262256746334725,1.2403195581408066,65.73977933333333,65.865685
23,23,2013-02-05,76.790001,76.980003,76.540001,76.730003,65.865685,2993200,65.865685,2993200,-0.07813256832749269,1.366204644670296,65.59957899999999,65.196114
24,24,2013-02-06,76.400002,76.57,75.68,75.949997,65.196114,2096100,65.196114,2096100,-0.5890117646855617,0.9567357863468554,65.76553633333333,65.14460799999999
25,25,2013-02-07,76.120003,76.470001,75.660004,75.889999,65.14460799999999,3342700,65.14460799999999,3342700,-0.30215973585812117,1.5257290744819587,65.56523933333331,66.14895600000001
26,26,2013-02-08,75.760002,77.08000200000001,75.550003,77.059998,66.14895600000001,1941100,66.14895600000001,1941100,1.715939764626713,0.8859881851428276,65.40213566666665,65.565239
27,27,2013-02-11,76.809998,76.879997,76.25,76.379997,65.565239,1257100,65.565239,1257100,-0.5598242562120496,0.5737858675715052,65.49655933333332,64.887077
28,28,2013-02-12,76.370003,76.57,75.449997,75.589996,64.887077,2150700,64.887077,2150700,-1.0213525852552312,0.9816571994161452,65.619601,63.522202
29,29,2013-02-13,75.639999,75.699997,73.589996,74.0,63.522202,4744000,63.522202,4744000,-2.1681636986801163,2.1653330329800498,65.53375733333333,63.07584
30,30,2013-02-14,73.66999799999999,73.91999799999999,72.559998,73.480003,63.07584,4252600,63.07584,4252600,-0.25790010201981567,1.9410403153564415,64.65817266666666,64.535156
31,31,2013-02-15,73.66999799999999,75.260002,73.559998,75.18,64.535156,3591300,64.535156,3591300,2.0496837803633636,1.6391990980904831,63.82837299999998,64.054428
32,32,2013-02-19,75.370003,75.5,73.980003,74.620003,64.054428,2622400,64.054428,2622400,-0.9950908453592606,1.1969581251447896,63.71106599999999,63.479286
33,33,2013-02-20,74.529999,74.739998,73.91999799999999,73.949997,63.479286,2179700,63.479286,2179700,-0.7782128106562934,0.9948938473833504,63.88847466666666,63.333378
34,34,2013-02-21,73.739998,74.120003,73.559998,73.779999,63.333378,2294700,63.333378,2294700,0.054246000928836115,1.047384003115371,64.02295666666666,63.968586
35,35,2013-02-22,74.199997,74.989998,74.150002,74.519997,63.968586,2464000,63.968586,2464000,0.43126686379786167,1.1246586410756412,63.622364,63.23035
36,36,2013-02-25,74.809998,75.690002,73.660004,73.660004,63.23035,3727600,63.23035,3727600,-1.5372196641416733,1.7014113435363476,63.59374999999999,64.818413
37,37,2013-02-26,73.900002,75.779999,73.83000200000001,75.510002,64.818413,4046200,64.818413,4046200,2.178619697466313,1.8468318967208845,63.51077133333333,66.440788
38,38,2013-02-27,75.510002,78.089996,75.269997,77.400002,66.440788,4956300,66.440788,4956300,2.5029796714877595,2.2622344248227275,64.005783,66.612495
39,39,2013-02-28,77.239998,78.309998,77.120003,77.599998,66.612495,3004400,66.612495,3004400,0.46607976349248403,1.371316729402458,64.82985033333331,67.067451
40,40,2013-03-01,77.540001,78.190002,77.269997,78.129997,67.067451,2246600,67.067451,2246600,0.7608924327973626,1.0254294249352824,65.95723199999999,67.694099
41,41,2013-03-04,77.989998,78.900002,77.800003,78.860001,67.694099,1470900,67.694099,1470900,1.1155315070017018,0.6713719136193834,66.70691133333332,67.513832
42,42,2013-03-05,79.32,79.349998,78.32,78.650002,67.513832,1715100,67.513832,1715100,-0.844677256681786,0.7828336182259872,67.12468166666666,66.526634
43,43,2013-03-06,78.790001,78.989998,77.360001,77.5,66.526634,2074000,66.526634,2074000,-1.6372648605500129,0.9466485477235714,67.42512733333332,66.57814
44,44,2013-03-07,77.33000200000001,77.879997,77.16999799999999,77.559998,66.57814,1817300,66.57814,1817300,0.2974214328870516,0.8294813914069654,67.24485499999999,66.217613
45,45,2013-03-08,77.900002,78.07,76.82,77.139999,66.217613,2022600,66.217613,2022600,-0.9756135821408548,0.9231877302920423,66.87286866666666,66.011589
46,46,2013-03-11,77.129997,77.470001,76.589996,76.900002,66.011589,1712600,66.011589,1712600,-0.2981913768258054,0.7816925278839867,66.44079566666669,65.264763
47,47,2013-03-12,76.839996,77.110001,75.790001,76.029999,65.264763,2455600,65.264763,2455600,-1.0541346202048159,1.1208245775265198,66.26911400000002,65.342056
48,48,2013-03-13,75.980003,76.339996,75.760002,76.120003,65.342056,2722400,65.342056,2722400,0.18425900825510705,1.2426017388248076,65.83132166666668,65.59099599999999
49,49,2013-03-14,76.25,76.839996,76.209999,76.410004,65.59099599999999,1640700,65.59099599999999,1640700,0.20984131147541077,0.7488747696480538,65.53946933333336,64.861328
50,50,2013-03-15,76.050003,76.129997,75.260002,75.559998,64.861328,2912500,64.861328,2912500,-0.64431950121029,1.3293702484305217,65.39927166666668,64.423553
51,51,2013-03-18,75.07,75.5,74.889999,75.050003,64.423553,2249500,64.423553,2249500,-0.026637804715584634,1.0267530897320027,65.26479333333334,63.977157999999996
52,52,2013-03-19,75.230003,75.32,73.910004,74.529999,63.977157999999996,2729200,63.977157999999996,2729200,-0.9304851416794345,1.2457055045550487,64.95862566666666,64.655342
53,53,2013-03-20,74.639999,75.370003,74.550003,75.32,64.655342,1771600,64.655342,1771600,0.9110410089903539,0.8086222599551973,64.42067966666666,65.487984
54,54,2013-03-21,75.209999,77.019997,75.199997,76.290001,65.487984,3336500,65.487984,3336500,1.4359819363912072,1.5228991704337975,64.35201766666665,65.865685
55,55,2013-03-22,76.510002,77.07,76.290001,76.730003,65.865685,1799600,65.865685,1799600,0.28754541138294093,0.8214024717856023,64.70682799999999,65.462227
56,56,2013-03-25,76.889999,77.08000200000001,76.08000200000001,76.260002,65.462227,1847800,65.462227,1847800,-0.8193484304766385,0.8434026935793709,65.33633699999999,65.14460799999999
57,57,2013-03-26,76.620003,76.959999,75.809998,75.889999,65.14460799999999,2459500,65.14460799999999,2459500,-0.9527590334341202,1.1226046784600405,65.60529866666666,65.977257
58,58,2013-03-27,75.470001,77.139999,75.470001,76.860001,65.977257,1741400,65.977257,1741400,1.8417914159031223,0.7948378886238319,65.49083999999999,66.02877
59,59,2013-03-28,76.910004,77.209999,76.279999,76.91999799999999,66.02877,2008900,66.02877,2008900,0.012994408373703688,0.9169345552178798,65.52803066666667,66.741264
60,60,2013-04-01,76.970001,77.75,76.599998,77.75,66.741264,1722500,66.741264,1722500,1.0133805247059873,0.7862112456383085,65.71687833333334,67.582481
61,61,2013-04-02,77.879997,78.870003,77.68,78.730003,67.582481,2103900,67.582481,2103900,1.0914304477952064,0.9602959882138968,66.249097,66.973022
62,62,2013-04-03,78.68,78.760002,77.489998,78.019997,66.973022,2315500,66.973022,2315500,-0.8388446873411327,1.0568778747608147,66.78417166666668,67.45371999999999
63,63,2013-04-04,78.160004,78.870003,78.160004,78.58000200000001,67.45371999999999,1989200,67.45371999999999,1989200,0.5373566766961869,0.9079427633229162,67.09892233333335,66.801338
64,64,2013-04-05,77.769997,78.129997,77.25,77.82,66.801338,2206300,66.801338,2206300,0.06429600350889762,1.007035048622235,67.33640766666667,68.041588
65,65,2013-04-08,77.769997,79.0,77.68,79.0,68.041588,1628800,68.041588,1628800,1.5815906486404987,0.7434431796201317,67.07602666666666,68.291382
