,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,70.410004,70.660004,69.769997,70.629997,54.33028,505300,54.33028,505300,0.3124456575801392,0.8900819893624669,,54.599486999999996
1,1,2013-01-03,70.550003,71.129997,70.400002,70.980003,54.599486999999996,356400,54.599486999999996,356400,0.6094967848548392,0.627795806468995,,55.107189
2,2,2013-01-04,70.989998,71.760002,70.620003,71.639999,55.107189,492100,55.107189,492100,0.9156233530250321,0.8668302928265782,,55.353325
3,3,2013-01-07,71.309998,72.0,71.309998,71.959999,55.353325,351300,55.353325,351300,0.9115145396582444,0.6188121964437653,54.67898533333334,55.153339
4,4,2013-01-08,71.83000200000001,72.040001,71.550003,71.699997,55.153339,408500,55.153339,408500,-0.18098983207603314,0.7195695480992831,55.020000333333336,55.453331000000006
5,5,2013-01-09,72.050003,72.260002,71.760002,72.089996,55.453331000000006,1476900,55.453331000000006,1476900,0.05550728429531849,2.6015477737768204,55.20461766666667,55.322563
6,6,2013-01-10,72.400002,72.400002,71.900002,71.91999799999999,55.322563,619900,55.322563,619900,-0.6629889319616429,1.0919489911058642,55.31999833333333,55.599495
7,7,2013-01-11,71.739998,72.309998,71.739998,72.279999,55.599495,341700,55.599495,341700,0.7527195637780806,0.6019018716903917,55.309744333333335,55.684109
8,8,2013-01-14,72.160004,72.389999,72.010002,72.389999,55.684109,349800,55.684109,349800,0.31872919519239823,0.6161699582010507,55.458462999999995,55.922562
9,9,2013-01-15,71.760002,72.75,71.629997,72.699997,55.922562,364800,55.922562,364800,1.309914957917638,0.6425923406281969,55.53538899999999,55.661037
10,10,2013-01-16,72.339996,72.589996,72.099998,72.360001,55.661037,606000,55.661037,606000,0.027654134788724083,1.0674642500567089,55.73538866666666,55.691784
11,11,2013-01-17,72.470001,72.790001,72.260002,72.400002,55.691784,287300,55.691784,287300,-0.09659031190022435,0.5060766980879413,55.75590266666666,55.884087
12,12,2013-01-18,72.699997,72.699997,72.199997,72.650002,55.884087,638700,55.884087,638700,-0.0687689161802793,1.1250650437478875,55.75846099999998,56.214859
13,13,2013-01-22,72.480003,73.150002,72.480003,73.08000200000001,56.214859,271500,56.214859,271500,0.8278131555817003,0.4782451219313472,55.74563599999998,55.968723
14,14,2013-01-23,72.980003,73.07,72.709999,72.760002,55.968723,197600,55.968723,197600,-0.30145381057328313,0.3480708511736067,55.930243333333316,56.137939
15,15,2013-01-24,72.93,73.18,72.519997,72.980003,56.137939,222500,56.137939,222500,0.06856300562181486,0.3919320060026695,56.02255633333332,56.414882999999996
16,16,2013-01-25,72.83000200000001,73.440002,72.769997,73.339996,56.414882999999996,352200,56.414882999999996,352200,0.7002526239117661,0.6203975393893941,56.10717366666666,56.299484
17,17,2013-01-28,73.43,73.470001,72.82,73.190002,56.299484,379100,56.299484,379100,-0.3268391665531798,0.6677816785420764,56.17384833333333,56.514866000000005
18,18,2013-01-29,73.099998,73.510002,72.970001,73.470001,56.514866000000005,236700,56.514866000000005,236700,0.5061600685679868,0.41694519470036795,56.284102,56.314861
19,19,2013-01-30,73.32,73.489998,72.949997,73.209999,56.314861,414800,56.314861,414800,-0.15002864157119056,0.7306669487186844,56.40974433333334,55.768715
20,20,2013-01-31,73.139999,73.139999,72.449997,72.5,55.768715,539600,55.768715,539600,-0.8750328257455993,0.9505011705125413,56.376403666666675,56.076401000000004
21,21,2013-02-01,73.150002,73.209999,72.709999,72.900002,56.076401000000004,440200,56.076401000000004,440200,-0.34176349031405356,0.7754088496286521,56.19948066666668,55.468712
22,22,2013-02-04,72.709999,73.0,71.959999,72.110001,55.468712,717100,55.468712,717100,-0.8251932447420325,1.263166029233772,56.05332566666667,55.476418
23,23,2013-02-05,72.589996,72.589996,71.910004,72.120003,55.476418,540500,55.476418,540500,-0.647462496071776,0.9520865134581701,55.771276,55.9841
24,24,2013-02-06,71.879997,72.809998,71.879997,72.779999,55.9841,313800,55.9841,313800,1.2520896460248887,0.5527562403758997,55.67384366666666,55.74564399999999
25,25,2013-02-07,72.599998,72.599998,71.699997,72.470001,55.74564399999999,288500,55.74564399999999,288500,-0.17905923358290315,0.508190488682113,55.643076666666666,55.861022999999996
26,26,2013-02-08,72.720001,72.720001,72.199997,72.620003,55.861022999999996,447100,55.861022999999996,447100,-0.1375109992091438,0.7875631455451394,55.735387333333335,55.94565600000001
