,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,210.61999500000002,212.86999500000002,208.770004,212.770004,171.643646,951600,171.643646,951600,1.0208000432247577,1.501751889461149,,172.11158799999998
1,1,2013-01-03,213.309998,215.99000499999997,212.169998,213.350006,172.11158799999998,596200,172.11158799999998,596200,0.018755801591634848,0.9408832245657178,,175.886948
2,2,2013-01-04,213.02999900000003,218.86000099999998,213.020004,218.02999900000003,175.886948,805200,175.886948,805200,2.3470872757221386,1.270713137236357,,175.564301
3,3,2013-01-07,217.67999300000002,218.289993,215.25,217.63000499999998,175.564301,722300,175.564301,722300,-0.022963984567953226,1.1398858656555149,173.21406066666665,172.845673
4,4,2013-01-08,217.020004,217.440002,214.05000299999998,214.25999500000003,172.845673,630400,172.845673,630400,-1.2717763105376998,0.9948553920936406,174.52094566666665,173.297379
5,5,2013-01-09,215.190002,217.11999500000002,214.229996,214.82000699999998,173.297379,685100,173.297379,685100,-0.17193875020272417,1.081179297467248,174.76564066666666,176.467804
6,6,2013-01-10,216.020004,220.0,215.82000699999998,218.75,176.467804,829400,176.467804,829400,1.2637699978933432,1.3089039692297992,173.902451,178.290955
7,7,2013-01-11,218.42999300000002,221.25999500000003,217.330002,221.00999500000003,178.290955,823800,178.290955,823800,1.1811573880332482,1.3000664213304902,174.20361866666667,179.242844
8,8,2013-01-14,221.229996,224.47000099999997,220.059998,222.190002,179.242844,869400,179.242844,869400,0.4339402510317782,1.3720293113677207,176.01871266666663,180.097946
9,9,2013-01-15,223.36999500000002,223.41000400000001,220.58999599999999,223.25,180.097946,637900,180.097946,637900,-0.05372028593187602,1.0066913937445008,178.00053433333332,179.283188
10,10,2013-01-16,222.42999300000002,224.0,221.38999900000002,222.24000499999997,179.283188,758200,179.283188,758200,-0.08541473990877499,1.1965408602242993,179.21058166666663,187.156677
