,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2015-05-20,10.0,10.0,10.0,10.0,10.0,0,10.0,0,0.0,0.0,,10.44
1,1,2015-05-21,10.25,10.89,9.23,10.44,10.44,9553400,10.44,9553400,1.8536585365853608,6.641285821691591,,11.08
2,2,2015-05-22,10.8,11.22,10.5,11.08,11.08,2806600,11.08,2806600,2.592592592592587,1.9510784419326752,,12.78
3,3,2015-05-26,11.4,13.7,11.2,12.78,12.78,4898900,12.78,4898900,12.105263157894727,3.405593308338909,10.506666666666666,12.24
4,4,2015-05-27,13.58,14.77,12.05,12.24,12.24,4104300,12.24,4104300,-9.867452135493371,2.8532071721029997,11.433333333333332,11.88
5,5,2015-05-28,11.84,12.39,11.4,11.88,11.88,1768000,11.88,1768000,0.33783783783784566,1.2290695807514322,12.033333333333333,12.22
6,6,2015-05-29,12.06,12.45,11.88,12.22,12.22,831000,12.22,831000,1.3266998341625218,0.5776905099572626,12.300000000000002,11.49
7,7,2015-06-01,12.39,13.09,11.37,11.49,11.49,1686600,11.49,1686600,-7.263922518159808,1.1724823274295053,12.113333333333335,11.34
8,8,2015-06-02,11.82,11.89,11.12,11.34,11.34,818500,11.34,818500,-4.0609137055837605,0.5690008211793254,11.863333333333335,10.91
9,9,2015-06-03,11.17,11.39,10.88,10.91,10.91,1128200,10.91,1128200,-2.3276633840644565,0.7842965503414965,11.683333333333335,10.76
10,10,2015-06-04,10.65,11.34,10.61,10.76,10.76,1058400,10.76,1058400,1.0328638497652527,0.7357733282054953,11.24666666666667,10.96
11,11,2015-06-05,10.78,11.2,10.709,10.96,10.96,791100,10.96,791100,1.6697588126159693,0.5499530233780872,11.003333333333336,11.85
12,12,2015-06-08,11.24,12.09,11.05,11.85,11.85,1392900,11.85,1392900,5.427046263345191,0.9683093999030938,10.87666666666667,11.37
13,13,2015-06-09,11.85,11.87,11.25,11.37,11.37,477400,11.37,477400,-4.050632911392409,0.3318765938069761,11.190000000000003,11.59
14,14,2015-06-10,11.31,11.74,11.31,11.59,11.59,385900,11.59,385900,2.475685234305918,0.26826807195247604,11.393333333333336,11.85
15,15,2015-06-11,11.65,11.99,11.6,11.85,11.85,623400,11.85,623400,1.7167381974248865,0.43337215873328216,11.603333333333337,12.48
16,16,2015-06-12,11.7,12.7,11.51,12.48,12.48,1344600,12.48,1344600,6.666666666666677,0.9347324424651446,11.603333333333337,11.84
17,17,2015-06-15,12.2,12.47,11.7,11.84,11.84,1092100,11.84,1092100,-2.9508196721311433,0.7592007291508139,11.973333333333336,11.93
18,18,2015-06-16,11.66,12.0,11.4,11.93,11.93,562300,11.93,562300,2.3156089193825005,0.3908969599867253,12.056666666666667,11.89
19,19,2015-06-17,11.97,12.35,11.78,11.89,11.89,790600,11.89,790600,-0.6683375104427741,0.5496054358269696,12.083333333333334,12.09
20,20,2015-06-18,12.4,12.5,11.86,12.09,12.09,1439000,12.09,1439000,-2.500000000000004,1.000356972116126,11.886666666666665,11.77
21,21,2015-06-19,11.99,12.05,11.65,11.77,11.77,601500,11.77,601500,-1.8348623853211061,0.41814782399433625,11.969999999999999,11.62
22,22,2015-06-22,11.82,11.84,11.5,11.62,11.62,568900,11.62,568900,-1.692047377326574,0.3954851156614761,11.916666666666664,11.75
23,23,2015-06-23,11.56,11.82,11.4,11.75,11.75,567400,11.75,567400,1.6435986159169507,0.39444235300812364,11.826666666666663,11.71
24,24,2015-06-24,11.75,12.05,11.53,11.71,11.71,1070700,11.71,1070700,-0.3404255319148864,0.7443239819629855,11.71333333333333,11.44
25,25,2015-06-25,11.69,11.69,11.31,11.44,11.44,473900,11.44,473900,-2.1385799828913603,0.3294434809491537,11.693333333333328,11.06
26,26,2015-06-26,11.2,11.39,10.32,11.06,11.06,906700,11.06,906700,-1.2499999999999893,0.63031526519645,11.633333333333328,10.12
27,27,2015-06-29,10.52,10.8,9.95,10.12,10.12,1113000,10.12,1113000,-3.802281368821296,0.7737298887875249,11.403333333333329,10.77
28,28,2015-06-30,10.48,10.8,10.4,10.77,10.77,464000,10.77,464000,2.7671755725190756,0.32256124743702747,10.873333333333328,10.31
29,29,2015-07-01,10.6,10.6,10.299,10.31,10.31,393400,10.31,393400,-2.7358490566037656,0.2734818852192384,10.649999999999997,10.23
30,30,2015-07-02,10.27,10.5,10.05,10.23,10.23,374400,10.23,374400,-0.389483933787723,0.2602735582767739,10.399999999999997,9.55
31,31,2015-07-06,9.99,10.0,9.54,9.55,9.55,553700,9.55,553700,-4.404404404404399,0.3849184541075045,10.436666666666666,7.425
32,32,2015-07-07,9.37,9.55,7.05,7.425,7.425,3467800,7.425,3467800,-20.75773745997865,2.4107282195304394,10.03,7.16
33,33,2015-07-08,6.66,7.565,6.65,7.16,7.16,1172000,7.16,1172000,7.5075075075075075,0.8147452198193883,9.068333333333333,8.13
34,34,2015-07-09,8.1,8.45,8.01,8.13,8.13,1115500,8.13,1115500,0.37037037037038445,0.7754678265431123,8.044999999999998,8.33
35,35,2015-07-10,8.84,8.94,8.15,8.33,8.33,693000,8.33,693000,-5.7692307692307665,0.48175634584883625,7.5716666666666645,8.15
36,36,2015-07-13,8.35,8.59,8.15,8.15,8.15,453900,8.15,453900,-2.3952095808383147,0.31553997890445423,7.873333333333331,8.09
37,37,2015-07-14,8.1,8.16,7.8,8.09,8.09,397200,8.09,397200,-0.12345679012345416,0.27612355060773125,8.203333333333331,7.67
38,38,2015-07-15,7.99,8.04,7.67,7.67,7.67,409800,7.67,409800,-4.005006257822282,0.28488275689589193,8.189999999999998,7.47
39,39,2015-07-16,7.7,7.85,7.46,7.47,7.47,397600,7.47,397600,-2.9870129870129927,0.2764016206486252,7.969999999999999,7.67
40,40,2015-07-17,7.55,7.74,7.53,7.67,7.67,318200,7.67,318200,1.5894039735099352,0.2212047175311684,7.743333333333332,7.36
41,41,2015-07-20,7.67,7.719,7.3,7.36,7.36,480500,7.36,480500,-4.041720990873529,0.3340316366239045,7.603333333333333,7.75
42,42,2015-07-21,7.51,7.79,7.4,7.75,7.75,224900,7.75,224900,3.19573901464714,0.15634488049264542,7.5,8.97
