,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,73.279999,75.099998,72.900002,75.099998,58.065353,3797900,58.065353,3797900,2.4836231234118813,1.6155226822829114,,56.905581999999995
1,1,2013-01-03,74.949997,74.949997,73.269997,73.599998,56.905581999999995,2517000,56.905581999999995,2517000,-1.8011995384069155,1.0706628903620654,,56.85919200000001
2,2,2013-01-04,73.58000200000001,73.839996,73.019997,73.540001,56.85919200000001,1704300,56.85919200000001,1704300,-0.054363956119495245,0.7249625602082114,,56.2561
3,3,2013-01-07,73.209999,73.599998,72.57,72.760002,56.2561,1585200,56.2561,1585200,-0.6146660376269043,0.6743006808907215,57.276709000000004,56.186535
4,4,2013-01-08,72.889999,73.07,72.25,72.66999799999999,56.186535,1376600,56.186535,1376600,-0.3018260433780642,0.5855679518762095,56.67362466666666,56.124676
5,5,2013-01-09,72.959999,73.559998,72.379997,72.589996,56.124676,2423400,56.124676,2423400,-0.5071313117753702,1.0308480129135595,56.433942333333334,56.580853000000005
6,6,2013-01-10,73.129997,73.389999,72.410004,73.18,56.580853000000005,1960500,56.580853000000005,1960500,0.06837549849756427,0.8339430260448268,56.18910366666666,56.271576
7,7,2013-01-11,73.25,73.279999,72.690002,72.779999,56.271576,1412200,56.271576,1412200,-0.641639590443681,0.6007112172305558,56.29735466666667,56.395298
8,8,2013-01-14,72.540001,73.110001,72.5,72.940002,56.395298,1121700,56.395298,1121700,0.5514212772067693,0.47714047044860103,56.325701666666674,56.604053
9,9,2013-01-15,72.879997,73.260002,72.370003,73.209999,56.604053,1884500,56.604053,1884500,0.45280188472015614,0.8016147067490315,56.415909000000006,57.222595
10,10,2013-01-16,73.120003,74.470001,72.790001,74.010002,57.222595,2075000,57.222595,2075000,1.2171758253346943,0.8826481912996765,56.42364233333334,57.21484399999999
11,11,2013-01-17,74.050003,74.43,73.68,74.0,57.21484399999999,1386200,57.21484399999999,1386200,-0.06752599321299663,0.5896515290504152,56.74064866666668,57.439071999999996
12,12,2013-01-18,73.879997,74.449997,73.760002,74.290001,57.439071999999996,1660100,57.439071999999996,1660100,0.5549594161461603,0.7061610903019725,57.01383066666668,57.80245600000001
13,13,2013-01-22,74.339996,75.0,74.089996,74.760002,57.80245600000001,1023300,57.80245600000001,1023300,0.5649798528372275,0.43528380441299225,57.29217033333334,58.088524
14,14,2013-01-23,74.66999799999999,75.440002,74.559998,75.129997,58.088524,1199300,58.088524,1199300,0.6160426038849104,0.5101493859400974,57.48545733333335,57.46228000000001
15,15,2013-01-24,74.910004,75.5,73.300003,74.32,57.46228000000001,3028900,57.46228000000001,3028900,-0.7876170985119791,1.28841113572414,57.77668400000002,56.789604000000004
16,16,2013-01-25,74.58000200000001,74.58000200000001,73.209999,73.449997,56.789604000000004,2162300,56.789604000000004,2162300,-1.5151581787300183,0.9197832212276099,57.78442000000001,56.735473999999996
17,17,2013-01-28,73.709999,73.889999,73.300003,73.379997,56.735473999999996,1689400,56.735473999999996,1689400,-0.4477031671103309,0.7186245081357463,57.44680266666668,56.101479000000005
18,18,2013-01-29,73.699997,73.730003,72.470001,72.559998,56.101479000000005,2060300,56.101479000000005,2060300,-1.5468101036693436,0.876395213751674,56.99578600000001,54.848946
19,19,2013-01-30,72.550003,72.550003,70.870003,70.940002,54.848946,4862700,54.848946,4862700,-2.2191604871470467,2.0684594505218974,56.54218566666668,54.524216
20,20,2013-01-31,70.879997,71.32,69.989998,70.519997,54.524216,2983500,54.524216,2983500,-0.5079006986978278,1.2690992186711252,55.89529966666669,55.274184999999996
21,21,2013-02-01,70.739998,71.709999,70.720001,71.489998,55.274184999999996,1647300,55.274184999999996,1647300,1.0602205558445166,0.7007163207363648,55.15821366666669,54.269062
22,22,2013-02-04,71.099998,71.599998,70.110001,70.190002,54.269062,2679700,54.269062,2679700,-1.2798818925423774,1.1398710160124064,54.882449000000015,54.941711
23,23,2013-02-05,70.5,71.260002,70.400002,71.059998,54.941711,1925100,54.941711,1925100,0.7943234042553093,0.8188848352149433,54.68915433333334,54.50101899999999
24,24,2013-02-06,70.760002,70.839996,70.32,70.489998,54.50101899999999,1979600,54.50101899999999,1979600,-0.3815771514534442,0.842067643131007,54.82831933333335,54.369583
25,25,2013-02-07,70.589996,70.809998,69.910004,70.32,54.369583,1511200,54.369583,1511200,-0.3824847928876581,0.6428231068395523,54.570597333333346,54.732964
26,26,2013-02-08,70.32,71.040001,70.129997,70.790001,54.732964,2500200,54.732964,2500200,0.6683745733788546,1.0635166303072054,54.604104333333346,54.14536700000001
27,27,2013-02-11,70.739998,70.739998,69.989998,70.029999,54.14536700000001,1616200,54.14536700000001,1616200,-1.003674045905396,0.6874872321824276,54.53452200000002,52.815498
28,28,2013-02-12,70.029999,70.089996,68.199997,68.309998,52.815498,3238900,52.815498,3238900,-2.4560917100684385,1.3777393864098901,54.41597133333337,52.606739000000005
29,29,2013-02-13,68.309998,68.379997,67.5,68.040001,52.606739000000005,4127200,52.606739000000005,4127200,-0.3952525368248282,1.7555978868106143,53.897943000000026,51.539761
30,30,2013-02-14,67.68,67.83000200000001,66.129997,66.660004,51.539761,7042200,51.539761,7042200,-1.5070862884160845,2.9955590808532926,53.18920133333336,52.498505
31,31,2013-02-15,66.68,68.08000200000001,66.5,67.900002,52.498505,4525600,52.498505,4525600,1.8296370725854734,1.9250663395401522,52.32066600000002,51.833560999999996
32,32,2013-02-19,68.0,68.150002,66.699997,67.040001,51.833560999999996,2546700,51.833560999999996,2546700,-1.4117632352941123,1.0832964572447643,52.21500166666669,51.903149
33,33,2013-02-20,67.040001,67.540001,66.949997,67.129997,51.903149,2474500,51.903149,2474500,0.13424224143433305,1.0525845539137588,51.95727566666668,52.57580600000001
34,34,2013-02-21,66.769997,68.08000200000001,66.519997,68.0,52.57580600000001,3077900,52.57580600000001,3077900,1.8421492515567979,1.3092543942174817,52.07840500000001,54.098953
35,35,2013-02-22,68.050003,70.660004,68.050003,69.970001,54.098953,3814900,54.098953,3814900,2.8214517492379723,1.622754016862234,52.10417200000001,53.789696
36,36,2013-02-25,70.25,71.720001,69.559998,69.57,53.789696,2192500,53.789696,2192500,-0.9679715302491201,0.9326294744214654,52.85930266666668,53.928852
37,37,2013-02-26,69.620003,70.110001,69.58000200000001,69.75,53.928852,1817700,53.928852,1817700,0.1867236345853117,0.7731998155785166,53.48815166666668,54.415957999999996
38,38,2013-02-27,69.519997,70.489998,69.480003,70.379997,54.415957999999996,2215600,54.415957999999996,2215600,1.2370541385380085,0.9424555819968979,53.93916700000002,53.967525
39,39,2013-02-28,70.389999,70.559998,69.769997,69.800003,53.967525,2512000,53.967525,2512000,-0.8381815717883436,1.0685360272505,54.044835333333346,54.230412
40,40,2013-03-01,69.709999,70.370003,69.41999799999999,70.139999,54.230412,2271000,54.230412,2271000,0.6168412081027383,0.9660212252730436,54.10411166666668,54.872147
41,41,2013-03-04,69.989998,71.120003,69.839996,70.970001,54.872147,1579600,54.872147,1579600,1.4002043549136785,0.6719185942057682,54.20463166666668,55.359230000000004
42,42,2013-03-05,71.190002,71.980003,71.099998,71.599998,55.359230000000004,1572900,55.359230000000004,1572900,0.575917949826708,0.6690685976362705,54.35669466666669,55.769016
