,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,73.889999,74.089996,73.5,74.089996,59.365753000000005,1110900,59.365753000000005,1110900,0.2706685650381403,1.1085628952400974,,59.205509
1,1,2013-01-03,74.010002,74.230003,73.66999799999999,73.889999,59.205509,778200,59.205509,778200,-0.16214430044198214,0.7765628275054854,,59.862556000000005
2,2,2013-01-04,74.08000200000001,74.709999,73.91999799999999,74.709999,59.862556000000005,899300,59.862556000000005,899300,0.8504278928070071,0.8974080580515075,,59.62216899999999
3,3,2013-01-07,74.639999,74.790001,74.16999799999999,74.410004,59.62216899999999,718300,59.62216899999999,718300,-0.3081390716524559,0.7167888447663714,59.47793933333333,59.798443000000006
4,4,2013-01-08,74.410004,74.650002,74.199997,74.629997,59.798443000000006,575300,59.798443000000006,575300,0.29564976236260154,0.574089687309054,59.56341133333333,59.950703000000004
5,5,2013-01-09,74.809998,75.089996,74.629997,74.82,59.950703000000004,532400,59.950703000000004,532400,0.01336987069562556,0.5312799400718587,59.761055999999996,60.479527000000004
6,6,2013-01-10,74.940002,75.480003,74.709999,75.480003,60.479527000000004,2555600,60.479527000000004,2555600,0.7205777763389831,2.5502235440414016,59.79043833333333,60.639786
7,7,2013-01-11,75.470001,75.68,75.059998,75.68,60.639786,2247900,60.639786,2247900,0.2782549320491072,2.2431708814566704,60.076224333333336,61.376926
8,8,2013-01-14,75.809998,76.769997,75.589996,76.599998,61.376926,2657600,61.376926,2657600,1.0420789089059286,2.6520089570529146,60.356672,61.384953
9,9,2013-01-15,76.989998,76.989998,76.440002,76.610001,61.384953,675500,61.384953,675500,-0.4935667097952166,0.6740788871497757,60.832079666666665,61.056435
10,10,2013-01-16,76.489998,76.699997,76.190002,76.199997,61.056435,764900,61.056435,764900,-0.37913584466298944,0.763290807965749,61.133888333333324,61.617302
11,11,2013-01-17,76.489998,76.989998,76.220001,76.900002,61.617302,655700,61.617302,655700,0.536023023559238,0.6543205422710702,61.27277133333333,62.085944999999995
12,12,2013-01-18,76.57,76.889999,75.949997,76.839996,62.085944999999995,836700,62.085944999999995,836700,0.35261329502416894,0.8349397555562063,61.35289666666666,62.296009
13,13,2013-01-22,76.760002,77.099998,76.720001,77.099998,62.296009,539600,62.296009,539600,0.44293380815701294,0.5384647927550243,61.586560666666664,62.30410799999999
14,14,2013-01-23,77.019997,77.220001,76.809998,77.110001,62.30410799999999,508100,62.30410799999999,508100,0.11685796352341239,0.5070310622661747,61.999752,62.352596
15,15,2013-01-24,77.290001,77.779999,77.110001,77.16999799999999,62.352596,741000,62.352596,741000,-0.15526329207837786,0.739441088642463,62.22868733333333,62.651557999999994
16,16,2013-01-25,77.610001,77.800003,77.040001,77.540001,62.651557999999994,830500,62.651557999999994,830500,-0.09019456139421153,0.8287527990790359,62.31757100000001,62.89393199999999
17,17,2013-01-28,77.41999799999999,77.949997,77.300003,77.839996,62.89393199999999,838400,62.89393199999999,838400,0.5424929099068264,0.8366361791063981,62.43608733333334,63.685772
18,18,2013-01-29,77.83000200000001,79.0,77.720001,78.82,63.685772,885200,63.685772,885200,1.2720004812539842,0.8833377215469748,62.632695333333345,63.572674
19,19,2013-01-30,78.82,79.010002,78.339996,78.68,63.572674,775800,63.572674,775800,-0.17761989342804665,0.7741678766110969,63.07708733333334,63.354496
20,20,2013-01-31,78.41999799999999,78.769997,78.019997,78.410004,63.354496,1052400,63.354496,1052400,-0.012744198233710544,1.0501859671893767,63.38412600000001,63.960460999999995
21,21,2013-02-01,79.029999,79.480003,78.849998,79.160004,63.960460999999995,1033800,63.960460999999995,1033800,0.16450082455397352,1.0316250977578654,63.53764733333335,64.412979
22,22,2013-02-04,80.860001,80.860001,79.639999,79.720001,64.412979,1429800,64.412979,1429800,-1.4098441576818685,1.4267919953319752,63.629210333333354,64.631111
23,23,2013-02-05,80.0,80.230003,79.629997,79.989998,64.631111,956800,64.631111,956800,-0.012502500000000083,0.954787089896233,63.90931200000002,65.374481
24,24,2013-02-06,79.760002,80.93,79.68,80.910004,65.374481,1449600,65.374481,1449600,1.4418279477976952,1.4465503402106807,64.33485033333335,65.317909
25,25,2013-02-07,80.610001,80.949997,80.459999,80.839996,65.317909,560400,65.317909,560400,0.28531819519516244,0.5592210338397251,64.80619033333335,65.22905
