,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,12.07,12.28,11.97,12.23,10.863258,10628500,10.863258,10628500,1.3256006628003325,1.0815474572970802,,11.174144
1,1,2013-01-03,12.14,12.61,12.12,12.58,11.174144,16272400,11.174144,16272400,3.6243822075782495,1.6558661000254982,,11.529442
2,2,2013-01-04,12.56,13.08,12.55,12.98,11.529442,17125600,11.529442,17125600,3.3439490445859867,1.7426870334183446,,11.538326
3,3,2013-01-07,13.14,13.38,12.89,12.99,11.538326,23137100,11.538326,23137100,-1.1415525114155278,2.3544123511528694,11.188948000000002,11.529442
4,4,2013-01-08,13.05,13.26,12.87,12.98,11.529442,16685700,11.529442,16685700,-0.5363984674329523,1.6979231696120705,11.413970666666666,11.644916
5,5,2013-01-09,13.0,13.16,12.89,13.11,11.644916,10251700,11.644916,10251700,0.8461538461538418,1.0432045978240088,11.532403333333335,11.813682
6,6,2013-01-10,13.45,13.65,13.17,13.3,11.813682,27721200,11.813682,27721200,-1.115241635687722,2.820886613654215,11.57089466666667,11.858096000000002
7,7,2013-01-11,13.33,13.41,13.09,13.35,11.858096000000002,14934900,11.858096000000002,14934900,0.15003750937734114,1.5197631951814614,11.662680000000003,11.938039999999999
8,8,2013-01-14,13.3,13.49,13.17,13.44,11.938039999999999,7996300,11.938039999999999,7996300,1.0526315789473593,0.8136969405640159,11.772231333333337,12.106805
9,9,2013-01-15,13.25,13.74,13.21,13.63,12.106805,17041000,12.106805,17041000,2.867924528301893,1.7340782066895182,11.869939333333337,12.364398
10,10,2013-01-16,13.55,14.11,13.52,13.92,12.364398,20083000,12.364398,20083000,2.730627306273057,2.0436296358749835,11.967647000000005,12.284455
11,11,2013-01-17,13.95,14.0,13.72,13.83,12.284455,9910600,12.284455,9910600,-0.8602150537634353,1.0084945411194848,12.136414333333336,12.089035
12,12,2013-01-18,13.85,13.91,13.6,13.61,12.089035,11337100,12.089035,11337100,-1.7328519855595685,1.153654013089592,12.251886000000004,12.444338
13,13,2013-01-22,13.64,14.15,13.46,14.01,12.444338,16829300,12.444338,16829300,2.712609970674481,1.7125357880312133,12.24596266666667,12.240041999999999
14,14,2013-01-23,14.05,14.15,13.74,13.78,12.240041999999999,20839900,12.240041999999999,20839900,-1.9217081850533904,2.1206511601190594,12.272609333333337,12.373277999999999
15,15,2013-01-24,13.83,14.17,13.71,13.93,12.373277999999999,14578900,12.373277999999999,14578900,0.7230657989877053,1.4835369266771796,12.257805000000003,12.586455
16,16,2013-01-25,13.94,14.18,13.82,14.17,12.586455,10746000,12.586455,10746000,1.6499282639885253,1.093504161087117,12.352552666666668,12.382162
17,17,2013-01-28,14.16,14.2,13.9,13.94,12.382162,9593800,12.382162,9593800,-1.5536723163841852,0.9762572325179214,12.399925000000001,12.151216999999999
18,18,2013-01-29,13.89,13.93,13.61,13.68,12.151216999999999,16123200,12.151216999999999,16123200,-1.5118790496760321,1.6406836301916812,12.447298333333336,12.293334
