,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,31.996078000000004,32.368626,31.996078000000004,32.321568,32.321568,1208400,32.321568,1208400,1.0172809304940278,0.8521311314537843,,32.333332
1,1,2013-01-03,32.215687,32.443138,32.094116,32.333332,32.333332,890900,32.333332,890900,0.36517923705925004,0.6282386833930622,,32.30196
2,2,2013-01-04,32.443138,32.443138,32.274509,32.30196,32.30196,1289000,32.30196,1289000,-0.4351551936806991,0.9089680804732935,,32.580391
3,3,2013-01-07,32.254902,32.619606,32.22353,32.580391,32.580391,758300,32.580391,758300,1.0091148315998526,0.5347327350061276,32.31895333333333,32.407845
4,4,2013-01-08,32.443138,32.760784,32.380394,32.407845,32.407845,1127100,32.407845,1127100,-0.10878417494631931,0.7948005612889443,32.40522766666667,32.580391
5,5,2013-01-09,32.588234,32.752941,32.200001,32.580391,32.580391,1021200,32.580391,1021200,-0.024066968464756804,0.7201227337310531,32.43006533333333,32.690197
6,6,2013-01-10,32.764706,32.811764000000004,32.533333,32.690197,32.690197,828400,32.690197,828400,-0.22740628284593506,0.584165366845676,32.522875666666664,32.576469
7,7,2013-01-11,32.77647,32.890198,32.498039,32.576469,32.576469,897300,32.576469,897300,-0.6101968881944893,0.6327517910075146,32.55947766666667,32.960784999999994
8,8,2013-01-14,32.615685,32.960784999999994,32.568626,32.960784999999994,32.960784999999994,918000,32.960784999999994,918000,1.0580798778256386,0.6473488734480088,32.61568566666667,32.949020000000004
9,9,2013-01-15,32.8549,32.976471000000004,32.60392,32.949020000000004,32.949020000000004,1003600,32.949020000000004,1003600,0.2864717287223634,0.7077116877913091,32.742483666666665,32.925491
10,10,2013-01-16,32.819607,33.0,32.690197,32.925491,32.925491,588500,32.925491,588500,0.32262421667633984,0.4149943486101887,32.828758,33.180393
11,11,2013-01-17,33.062744,33.356861,32.882355,33.180393,33.180393,723900,33.180393,723900,0.35583555920222504,0.5104747815784462,32.94509866666667,33.321568
12,12,2013-01-18,33.070586999999996,33.349018,33.070586999999996,33.321568,33.321568,829700,33.321568,829700,0.7589251439655518,0.5850820918298616,33.01830133333334,33.482353
13,13,2013-01-22,33.188235999999996,33.486275,33.188235999999996,33.482353,33.482353,762400,33.482353,762400,0.8862085951178819,0.5376239445716361,33.14248400000001,33.635296000000004
