,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,194.08999599999999,196.350006,193.800003,196.350006,142.082047,4234100,142.082047,4234100,1.1644134404536866,0.9663657504900651,,141.300552
1,1,2013-01-03,195.669998,196.28999299999998,194.440002,195.270004,141.300552,3644700,141.300552,3644700,-0.20442275468311316,0.8318446070737915,,140.37428300000002
2,2,2013-01-04,194.190002,194.46000700000002,192.779999,193.990005,140.37428300000002,3380200,140.37428300000002,3380200,-0.10299036919521543,0.7714767033859659,,139.759247
3,3,2013-01-07,193.399994,193.779999,192.33999599999999,193.139999,139.759247,2862300,139.759247,2862300,-0.13443382009619068,0.6532742938588397,141.252294,139.563904
4,4,2013-01-08,192.919998,193.300003,191.600006,192.869995,139.563904,3026900,139.563904,3026900,-0.02591903406509666,0.6908416169099403,140.47802733333333,139.165878
5,5,2013-01-09,193.479996,193.490005,191.649994,192.320007,139.165878,3212000,139.165878,3212000,-0.599539499680368,0.7330877377893978,139.89914466666664,139.571152
6,6,2013-01-10,192.649994,192.96000700000002,191.279999,192.880005,139.571152,3608100,139.571152,3608100,0.11939320382227411,0.8234912411948712,139.496343,140.707169
7,7,2013-01-11,194.149994,195.0,192.899994,194.449997,140.707169,3880400,140.707169,3880400,0.15452125123424099,0.8856393703978765,139.43364466666665,139.38295
8,8,2013-01-14,192.820007,193.279999,191.75,192.619995,139.38295,4172200,139.38295,4172200,-0.10372989977124893,0.9522380633888311,139.81473300000002,139.296127
9,9,2013-01-15,191.309998,192.729996,190.389999,192.5,139.296127,4172100,139.296127,4172100,0.6220281283992238,0.9522152399847904,139.8870903333333,139.361252
10,10,2013-01-16,192.0,193.179993,191.350006,192.58999599999999,139.361252,2962900,139.361252,2962900,0.30728958333332557,0.6762346383238502,139.79541533333335,140.128326
11,11,2013-01-17,193.850006,194.46000700000002,193.240005,193.649994,140.128326,3881600,140.128326,3881600,-0.10317874325988681,0.8859132512463657,139.34677633333334,140.72166399999998
12,12,2013-01-18,194.029999,195.0,193.800003,194.470001,140.72166399999998,4559600,140.72166399999998,4559600,0.2267700882686665,1.0406559306427579,139.59523500000003,141.886688
13,13,2013-01-22,194.360001,196.080002,194.009995,196.080002,141.886688,7172300,141.886688,7172300,0.8849562621683648,1.6369630080158462,140.070414,148.13871799999998
14,14,2013-01-23,203.5,208.580002,203.360001,204.720001,148.13871799999998,12530500,148.13871799999998,12530500,0.5995090909090891,2.85988664332816,140.912226,147.921661
