,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,47.294998,47.404999,46.695,47.025002,47.025002,447000,47.025002,447000,-0.5708764381383398,0.6841069731114953,,47.0
1,1,2013-01-03,46.834998999999996,47.375,46.689999,47.0,47.0,492000,47.0,492000,0.3523027725483751,0.752976802619364,,47.439999
2,2,2013-01-04,47.16,47.965,46.945,47.439999,47.439999,519400,47.439999,519400,0.5937213740458094,0.7949108765863774,,47.720001
3,3,2013-01-07,47.325001,47.939999,47.255001,47.720001,47.720001,394200,47.720001,394200,0.8346539707416025,0.6032997064889294,47.155000333333334,48.005001
4,4,2013-01-08,47.799999,48.290001000000004,47.560001,48.005001,48.005001,525000,48.005001,525000,0.42887448595971805,0.8034813442584676,47.38666666666666,48.57
5,5,2013-01-09,48.25,48.945,48.07,48.57,48.57,511800,48.57,511800,0.6632124352331612,0.7832795276028262,47.721667,48.630001
6,6,2013-01-10,48.845001,49.009997999999996,48.450001,48.630001,48.630001,302000,48.630001,302000,-0.440167868969853,0.4621930780305852,48.098333999999994,48.549999
7,7,2013-01-11,48.709998999999996,48.955002,48.360001000000004,48.549999,48.549999,256000,48.549999,256000,-0.3284746526067402,0.3917928078669861,48.40166733333333,47.98
8,8,2013-01-14,48.584998999999996,48.700001,47.970001,47.98,47.98,349600,47.98,349600,-1.2452382678859362,0.535042053243353,48.583333333333336,47.474998
9,9,2013-01-15,47.875,48.330002,47.459998999999996,47.474998,47.474998,554200,47.474998,554200,-0.8355133159268943,0.8481702114057957,48.38666666666666,47.195
10,10,2013-01-16,47.375,47.939999,46.715,47.195,47.195,721800,47.195,721800,-0.3799472295514506,1.1046720653062132,48.00166566666667,47.165001000000004
11,11,2013-01-17,47.365002000000004,47.650002,47.125,47.165001000000004,47.165001000000004,427400,47.165001000000004,427400,-0.4222548116856415,0.6541103362591791,47.549999333333325,46.625
12,12,2013-01-18,47.125,47.334998999999996,46.599998,46.625,46.625,735400,46.625,735400,-1.0610079575596816,1.1254860582241468,47.278333,47.744999
13,13,2013-01-22,46.715,47.779999,46.715,47.744999,47.744999,1147000,47.744999,1147000,2.2048571122765632,1.7554154321227855,46.99500033333334,47.619999
