,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,9.96,9.99,9.82,9.86,9.639650999999999,6433800,9.639650999999999,6433800,-1.0040160642570424,0.5440821145819515,,9.209486
1,1,2013-01-03,9.83,9.88,9.37,9.42,9.209486,7609600,9.209486,7609600,-4.170905391658191,0.6435150702730609,,9.189932
2,2,2013-01-04,9.27,9.42,9.2,9.4,9.189932,7566000,9.189932,7566000,1.4023732470334498,0.6398279832955712,,9.121497
3,3,2013-01-07,9.34,9.44,9.3,9.33,9.121497,3611700,9.121497,3611700,-0.10706638115631464,0.305427799004575,9.346356333333333,9.277921000000001
4,4,2013-01-08,9.36,9.52,9.25,9.49,9.277921000000001,5698400,9.277921000000001,5698400,1.3888888888888973,0.4818921200120913,9.173638333333331,9.121497
5,5,2013-01-09,9.43,9.5,9.29,9.33,9.121497,5090500,9.121497,5090500,-1.0604453870625625,0.4304843178649359,9.196449999999999,9.268144
6,6,2013-01-10,9.45,9.53,9.4,9.48,9.268144,8081300,9.268144,8081300,0.31746031746032954,0.683404953926315,9.173638333333331,9.229037
7,7,2013-01-11,9.47,9.51,9.36,9.44,9.229037,5911600,9.229037,5911600,-0.3167898627244048,0.4999216370671555,9.222520666666666,9.229037
8,8,2013-01-14,9.47,9.55,9.42,9.44,9.229037,4588600,9.229037,4588600,-0.3167898627244048,0.3880405345162646,9.206226,9.473450999999999
9,9,2013-01-15,9.49,9.77,9.44,9.69,9.473450999999999,13365400,9.473450999999999,13365400,2.1074815595363465,1.1302612910307464,9.242072666666665,9.405014999999999
10,10,2013-01-16,9.62,9.68,9.53,9.62,9.405014999999999,5966000,9.405014999999999,5966000,0.0,0.5045220391675096,9.310508333333331,9.277921000000001
11,11,2013-01-17,9.58,9.69,9.45,9.49,9.277921000000001,10087600,9.277921000000001,10087600,-0.9394572025052178,0.8530701512413962,9.369167666666664,9.317026
12,12,2013-01-18,9.47,9.57,9.44,9.53,9.317026,5558900,9.317026,5558900,0.6335797254487721,0.4700951330084259,9.385462333333331,9.649428
13,13,2013-01-22,9.55,9.9,9.48,9.87,9.649428,11214700,9.649428,11214700,3.3507853403141206,0.9483847322581076,9.333320666666665,9.277921000000001
14,14,2013-01-23,9.81,9.91,9.47,9.49,9.277921000000001,8523900,9.277921000000001,8523900,-3.2619775739041823,0.72083396072074,9.414791666666666,8.779318
15,15,2013-01-24,9.41,9.44,8.97,8.98,8.779318,10708100,8.779318,10708100,-4.569606801275236,0.9055434876985601,9.414791666666666,8.339375
16,16,2013-01-25,8.89,8.95,8.47,8.53,8.339375,16770200,8.339375,16770200,-4.0494938132733544,1.4181923401352614,9.235555666666665,8.114514999999999
17,17,2013-01-28,8.52,8.56,8.2,8.3,8.114514999999999,10850500,8.114514999999999,10850500,-2.582159624413132,0.9175857167259576,8.798871333333333,8.270939
18,18,2013-01-29,8.42,8.57,8.38,8.46,8.270939,14648500,8.270939,14648500,0.4750593824228138,1.2387682015999437,8.411069333333332,8.173174000000001
19,19,2013-01-30,8.59,8.65,8.32,8.36,8.173174000000001,11165900,8.173174000000001,11165900,-2.677532013969737,0.9442579009622017,8.241609666666665,8.046078999999999
20,20,2013-01-31,8.35,8.36,8.08,8.23,8.046078999999999,12707400,8.046078999999999,12707400,-1.4371257485029847,1.074616721508081,8.186209333333332,8.124292
21,21,2013-02-01,8.33,8.39,8.13,8.31,8.124292,10237200,8.124292,10237200,-0.240096038415361,0.86572125701737,8.16339733333333,8.055855000000001
