,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,41.450001,41.880001,41.16,41.880001,35.213856,6521500,35.213856,6521500,1.0373944261183483,1.1906754254130463,,35.709946
1,1,2013-01-03,41.990002000000004,42.52,41.939999,42.470001,35.709946,5338600,35.709946,5338600,1.1431268805369414,0.9747051791934507,,35.869694
2,2,2013-01-04,42.59,42.709998999999996,42.369999,42.66,35.869694,4219900,35.869694,4219900,0.16435783047662167,0.7704563716477059,,36.290115
3,3,2013-01-07,42.52,43.48,42.389998999999996,43.16,36.290115,6807700,36.290115,6807700,1.5051740357478678,1.2429289417441378,35.597832000000004,36.248081
4,4,2013-01-08,43.16,43.310001,42.900002,43.110001000000004,36.248081,4137600,36.248081,4137600,-0.115845690454107,0.7554302906063053,35.95658500000001,36.475105
5,5,2013-01-09,43.32,43.849998,43.240002000000004,43.380001,36.475105,3442200,36.475105,3442200,0.13850646352723858,0.628466295998894,36.135963333333336,36.870284999999996
6,6,2013-01-10,43.459998999999996,43.970001,43.459998999999996,43.849998,36.870284999999996,4241100,36.870284999999996,4241100,0.8973746179791747,0.774327002487046,36.33776699999999,37.055264
7,7,2013-01-11,43.759997999999996,44.119999,43.759997999999996,44.07,37.055264,3212000,37.055264,3212000,0.7084141091597042,0.5864370875453047,36.53115699999999,37.181393
8,8,2013-01-14,43.990002000000004,44.240002000000004,43.77,44.220001,37.181393,3126300,37.181393,3126300,0.5228438043717284,0.5707902449541986,36.800217999999994,37.105728000000006
9,9,2013-01-15,44.009997999999996,44.169998,43.82,44.130001,37.105728000000006,3812700,37.105728000000006,3812700,0.2726721323641144,0.6961110472241542,37.03564733333333,36.945957
10,10,2013-01-16,44.060001,44.18,43.799999,43.939999,36.945957,3221500,36.945957,3221500,-0.2723604114307657,0.5881715683459524,37.11412833333333,37.980183000000004
11,11,2013-01-17,44.439999,45.48,44.34,45.169998,37.980183000000004,7958700,37.980183000000004,7958700,1.6426620531652114,1.4530749840120847,37.07769266666667,38.400597
12,12,2013-01-18,45.450001,45.669998,44.950001,45.669998,38.400597,6347800,38.400597,6347800,0.48404179353043214,1.158961813300151,37.343956000000006,38.846233000000005
13,13,2013-01-22,45.540001000000004,46.209998999999996,45.080002,46.200001,38.846233000000005,7128000,38.846233000000005,7128000,1.449275330494605,1.3014083312649227,37.775579,38.593983
14,14,2013-01-23,46.049999,46.200001,45.560001,45.900002,38.593983,4116000,38.593983,4116000,-0.3257263914381389,0.7514866289964116,38.40900433333334,39.056438
15,15,2013-01-24,45.950001,46.490002000000004,45.869999,46.450001,39.056438,4024400,39.056438,4024400,1.0881392581471325,0.7347625825396401,38.61360433333334,39.031216
16,16,2013-01-25,46.16,46.490002000000004,46.130001,46.419998,39.031216,4243300,39.031216,4243300,0.563253899480076,0.7747286717250906,38.83221800000001,39.090069
17,17,2013-01-28,46.459998999999996,46.57,46.27,46.490002000000004,39.090069,3090300,39.090069,3090300,0.06457813311620557,0.5642174756043757,38.893879000000005,39.216198
18,18,2013-01-29,46.389998999999996,46.919998,46.32,46.639998999999996,39.216198,4616000,39.216198,4616000,0.5389092592996176,0.8427750921883955,39.05924100000001,39.233006
19,19,2013-01-30,46.700001,46.950001,46.43,46.66,39.233006,3564600,39.233006,3564600,-0.08565524441852523,0.6508137117882917,39.11249433333334,39.182556
20,20,2013-01-31,46.459998999999996,46.68,46.189999,46.599998,39.182556,6369900,39.182556,6369900,0.3013323353709136,1.1629967633732368,39.17975766666667,39.45163
21,21,2013-02-01,46.849998,47.130001,46.68,46.919998,39.45163,4374500,39.45163,4374500,0.14941302665583953,0.7986827644666673,39.21058666666667,38.888271
22,22,2013-02-04,46.560001,46.75,46.23,46.25,38.888271,3630600,38.888271,3630600,-0.6658096936037431,0.6628637889296336,39.289064,39.3255
23,23,2013-02-05,46.619999,47.029999,46.52,46.77,39.3255,3740000,39.3255,3740000,0.321752473654071,0.6828377046760397,39.17415233333334,39.476871
24,24,2013-02-06,46.57,46.950001,46.25,46.950001,39.476871,4327900,39.476871,4327900,0.815978097487653,0.7901746796971744,39.221800333333334,39.317093
25,25,2013-02-07,46.849998,47.0,46.32,46.759997999999996,39.317093,3492200,39.317093,3492200,-0.19210246284322874,0.6375951423180924,39.230214,39.602962
26,26,2013-02-08,46.84,47.18,46.73,47.099998,39.602962,3099500,39.602962,3099500,0.5550768573868402,0.5658971833271083,39.373154666666665,39.70388
27,27,2013-02-11,47.09,47.220001,46.959998999999996,47.220001,39.70388,3083100,39.70388,3083100,0.27606922913569765,0.5629029217344113,39.465641999999995,39.611389
28,28,2013-02-12,47.330002,47.400002,47.040001000000004,47.110001000000004,39.611389,3304900,39.611389,3304900,-0.46482355948346743,0.6033984840063753,39.54131166666666,39.510487
29,29,2013-02-13,47.220001,47.349998,46.880001,46.990002000000004,39.510487,3048400,39.510487,3048400,-0.48707961696146385,0.5565675023888875,39.63941033333333,39.661834999999996
30,30,2013-02-14,46.700001,47.27,46.52,47.169998,39.661834999999996,4441400,39.661834999999996,4441400,1.0064175373358115,0.8108971608417547,39.60858533333334,39.619797
31,31,2013-02-15,47.0,47.119999,46.599998,47.119999,39.619797,7276500,39.619797,7276500,0.25531702127659567,1.3285210048329419,39.59457033333334,38.509903
32,32,2013-02-19,45.990002000000004,46.25,44.990002000000004,45.799999,38.509903,9472800,38.509903,9472800,-0.41313979503633064,1.7295147082500504,39.597373000000005,37.635441
33,33,2013-02-20,45.84,45.84,44.439999,44.759997999999996,37.635441,9916300,37.635441,9916300,-2.3560253054101383,1.8104875751013403,39.26384500000001,37.610214
34,34,2013-02-21,44.77,44.849998,44.470001,44.73,37.610214,6103700,37.610214,6103700,-0.0893455438910124,1.1143947855698244,38.58838033333334,37.601814000000005
35,35,2013-02-22,45.0,45.080002,44.549999,44.720001,37.601814000000005,4313100,37.601814000000005,4313100,-0.6222199999999923,0.7874725411866916,37.918519333333336,36.895523
36,36,2013-02-25,45.0,45.459998999999996,43.880001,43.880001,36.895523,6608600,36.895523,6608600,-2.4888866666666667,1.2065778757010899,37.615823,37.097313
37,37,2013-02-26,44.169998,44.459998999999996,43.509997999999996,44.119999,37.097313,7409000,37.097313,7409000,-0.11319674499419194,1.3527124475788177,37.369183666666665,37.450447
38,38,2013-02-27,44.119999,44.599998,44.040001000000004,44.540001000000004,37.450447,4087300,37.450447,4087300,0.9519537840424787,0.7462466712091917,37.19821666666666,37.803608000000004
39,39,2013-02-28,44.73,45.200001,44.419998,44.959998999999996,37.803608000000004,5498400,37.803608000000004,5498400,0.5141940532081365,1.0038809720296087,37.147760999999996,38.030632000000004
40,40,2013-03-01,44.799999,45.310001,44.509997999999996,45.23,38.030632000000004,4365000,38.030632000000004,4365000,0.9598236821389152,0.7969482836660196,37.450456,38.055847
41,41,2013-03-04,45.0,45.259997999999996,44.720001,45.259997999999996,38.055847,3485900,38.055847,3485900,0.5777733333333244,0.6364449076818735,37.76156233333334,38.493088
42,42,2013-03-05,45.5,46.0,45.400002,45.779999,38.493088,4082500,38.493088,4082500,0.6153824175824101,0.7453703019625486,37.96336233333333,38.703281
43,43,2013-03-06,45.959998999999996,46.110001000000004,45.790001000000004,46.029999,38.703281,3028700,38.703281,3028700,0.1523063566646298,0.5529707369391234,38.193189,38.451046000000005
44,44,2013-03-07,46.02,46.240002000000004,45.599998,45.73,38.451046000000005,2647900,38.451046000000005,2647900,-0.6301607996523386,0.48344544337210843,38.417405333333335,38.341732
45,45,2013-03-08,45.939999,46.0,45.509997999999996,45.599998,38.341732,3988800,38.341732,3988800,-0.740097969962953,0.7282628439603709,38.54913833333333,38.854633
46,46,2013-03-11,45.599998,46.209998999999996,45.5,46.209998999999996,38.854633,3877900,38.854633,3877900,1.3377215499000612,0.7080150628243889,38.49868633333333,38.678062
47,47,2013-03-12,46.209998999999996,46.240002000000004,45.900002,46.0,38.678062,3763800,38.678062,3763800,-0.4544449351751691,0.6871830355239781,38.549137,38.568752
48,48,2013-03-13,45.939999,45.990002000000004,45.48,45.869999,38.568752,2923400,38.568752,2923400,-0.15237266330806906,0.5337453865908915,38.62480899999999,38.636028
49,49,2013-03-14,46.0,46.009997999999996,45.700001,45.950001,38.636028,2971600,38.636028,2971600,-0.10869347826086886,0.5425455944425988,38.700482333333326,38.190391999999996
50,50,2013-03-15,45.799999,45.959998999999996,45.419998,45.419998,38.190391999999996,6510200,38.190391999999996,6510200,-0.8296965246658631,1.1886123061449074,38.627613999999994,37.929728999999995
51,51,2013-03-18,45.009997999999996,45.360001000000004,44.799999,45.110001000000004,37.929728999999995,3444000,37.929728999999995,3444000,0.22217952553565556,0.6287949344663852,38.46505733333333,37.938140999999995
52,52,2013-03-19,45.279999,45.619999,44.82,45.119999,37.938140999999995,3853300,37.938140999999995,3853300,-0.3533568982631749,0.7035236704353433,38.25204966666666,38.291286
53,53,2013-03-20,45.5,45.73,45.369999,45.540001000000004,38.291286,3578300,38.291286,3578300,0.08791428571429391,0.653315015679752,38.019420666666655,38.526726000000004
54,54,2013-03-21,45.330002,45.98,45.279999,45.82,38.526726000000004,5703000,38.526726000000004,5703000,1.0809573756471487,1.0412362111677684,38.05305199999999,38.669655
55,55,2013-03-22,45.889998999999996,46.040001000000004,45.810001,45.990002000000004,38.669655,3323200,38.669655,3323200,0.21791894133623332,0.6067396417592019,38.25205099999999,38.451046000000005
56,56,2013-03-25,46.16,46.169998,45.610001000000004,45.73,38.451046000000005,3401300,38.451046000000005,3401300,-0.9315424610051988,0.6209988997097897,38.495888999999984,39.224606
57,57,2013-03-26,46.060001,46.650002,45.889998999999996,46.650002,39.224606,4236900,39.224606,4236900,1.2809400503486765,0.7735601793962333,38.549142333333315,39.115299
58,58,2013-03-27,46.369999,46.580002,46.029999,46.52,39.115299,2613500,39.115299,2613500,0.3234871754040865,0.47716479710449994,38.78176899999999,39.485256
59,59,2013-03-28,46.450001,47.009997999999996,46.279999,46.959998999999996,39.485256,4411500,39.485256,4411500,1.0979504607545563,0.8054381107428741,38.93031699999998,39.350722999999995
60,60,2013-04-01,46.900002,46.959998999999996,46.529999,46.799999,39.350722999999995,2809800,39.350722999999995,2809800,-0.21322600370038566,0.5130046477536728,39.27505366666664,39.796378999999995
61,61,2013-04-02,47.049999,47.48,46.84,47.330002,39.796378999999995,4953500,39.796378999999995,4953500,0.5951179722660582,0.9043948048429846,39.317092666666646,39.754093
