,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,7.59,7.6,7.43,7.54,7.54,1312000,7.54,1312000,-0.6587615283267434,0.7457696756600792,,7.75
1,1,2013-01-03,7.53,7.82,7.49,7.75,7.75,893600,7.75,893600,2.921646746347938,0.5079419071416515,,7.82
2,2,2013-01-04,7.8,7.9,7.65,7.82,7.82,499100,7.82,499100,0.2564102564102623,0.28369942463562925,,7.76
3,3,2013-01-07,7.76,7.91,7.72,7.76,7.76,605500,7.76,605500,0.0,0.3441795263812332,7.703333333333333,7.71
4,4,2013-01-08,7.77,7.79,7.62,7.71,7.71,426900,7.71,426900,-0.7722007722007672,0.2426593555939694,7.776666666666666,8.33
5,5,2013-01-09,7.71,8.4,7.53,8.33,8.33,1525600,8.33,1525600,8.041504539559016,0.8671846167583971,7.763333333333333,8.31
6,6,2013-01-10,8.34,8.66,8.19,8.31,8.31,1749800,8.31,1749800,-0.35971223021581966,0.9946248311509198,7.933333333333333,8.27
7,7,2013-01-11,8.32,8.41,8.23,8.27,8.27,1101000,8.27,1101000,-0.600961538461547,0.6258326317848684,8.116666666666667,8.74
8,8,2013-01-14,8.26,8.79,8.11,8.74,8.74,1078200,8.74,1078200,5.811138014527851,0.6128726099822389,8.303333333333335,9.43
9,9,2013-01-15,8.96,9.52,8.8,9.43,9.43,2224200,9.43,2224200,5.245535714285701,1.2642842321670338,8.440000000000003,9.09
10,10,2013-01-16,9.44,9.58,9.08,9.09,9.09,1179600,9.09,1179600,-3.7076271186440644,0.6705106016834067,8.813333333333334,8.87
11,11,2013-01-17,9.12,9.17,8.83,8.87,8.87,1000700,8.87,1000700,-2.741228070175439,0.5688199042934766,9.086666666666668,8.93
12,12,2013-01-18,8.85,8.93,8.62,8.93,8.93,1302700,8.93,1302700,0.9039548022598879,0.7404833509774278,9.13,8.79
13,13,2013-01-22,8.93,8.98,8.68,8.79,8.79,1098600,8.79,1098600,-1.5677491601343847,0.624468418963539,8.963333333333333,8.72
14,14,2013-01-23,8.78,8.87,8.66,8.72,8.72,751500,8.72,751500,-0.6833712984054525,0.42716913967877257,8.863333333333333,8.57
15,15,2013-01-24,8.76,8.85,8.5,8.57,8.57,840200,8.57,840200,-2.168949771689492,0.47758817186707214,8.813333333333334,9.1
16,16,2013-01-25,8.64,9.11,8.6,9.1,9.1,1159100,9.1,1159100,5.324074074074063,0.6588579505012179,8.693333333333335,9.06
17,17,2013-01-28,9.08,9.19,8.96,9.06,9.06,1162300,9.06,1162300,-0.22026431718061204,0.6606769009296571,8.796666666666669,8.9
18,18,2013-01-29,9.03,9.18,8.87,8.9,8.9,732700,8.9,732700,-1.4396456256921264,0.4164828059116921,8.910000000000004,8.5
19,19,2013-01-30,8.91,8.98,8.47,8.5,8.5,901300,8.5,901300,-4.601571268237937,0.5123187566100834,9.020000000000003,8.57
20,20,2013-01-31,8.51,8.66,8.46,8.57,8.57,685000,8.57,685000,0.7050528789659283,0.38936907608777005,8.820000000000002,8.81
21,21,2013-02-01,8.59,8.85,8.52,8.81,8.81,666300,8.81,666300,2.5611175785797515,0.37873958452157835,8.656666666666668,8.88
22,22,2013-02-04,8.79,8.91,8.64,8.88,8.88,829400,8.88,829400,1.023890784982954,0.47144921417108976,8.62666666666667,9.02
23,23,2013-02-05,8.93,9.17,8.91,9.02,9.02,535500,9.02,535500,1.0078387458006703,0.30438998575912535,8.753333333333337,8.8
24,24,2013-02-06,8.93,9.0,8.72,8.8,8.8,484900,8.8,484900,-1.455767077267626,0.2756278321094302,8.903333333333338,8.79
25,25,2013-02-07,8.79,8.86,8.7,8.79,8.79,534500,8.79,534500,0.0,0.3038215637502381,8.900000000000006,8.87
26,26,2013-02-08,8.8,9.02,8.7,8.87,8.87,697900,8.87,697900,0.7954545454545283,0.39670172000241566,8.870000000000005,8.87
27,27,2013-02-11,8.88,9.07,8.82,8.87,8.87,756600,8.87,756600,-0.1126126126126302,0.43006809192409756,8.820000000000004,8.76
28,28,2013-02-12,8.91,8.94,8.74,8.76,8.76,509900,8.76,509900,-1.6835016835016876,0.28983838233161163,8.843333333333337,8.81
29,29,2013-02-13,8.75,9.01,8.73,8.81,8.81,638100,8.81,638100,0.6857142857142914,0.36271008387095777,8.833333333333337,8.99
30,30,2013-02-14,8.76,9.02,8.71,8.99,8.99,623300,8.99,623300,2.625570776255713,0.3542974381394264,8.81333333333334,9.14
31,31,2013-02-15,9.0,9.38,8.95,9.14,9.14,624100,9.14,624100,1.555555555555562,0.35475217574653617,8.85333333333334,9.27
32,32,2013-02-19,9.19,9.41,9.18,9.27,9.27,478100,9.27,478100,0.8705114254624601,0.2717625624489969,8.98000000000001,9.02
33,33,2013-02-20,9.29,9.38,9.01,9.02,9.02,629700,9.02,629700,-2.906350914962321,0.3579353389963048,9.13333333333334,9.03
34,34,2013-02-21,9.0,9.28,8.88,9.03,9.03,730300,9.03,730300,0.33333333333332626,0.41511859309036275,9.143333333333338,9.36
35,35,2013-02-22,9.06,9.46,8.91,9.36,9.36,973600,9.36,973600,3.311258278145683,0.553415667852632,9.106666666666671,9.11
36,36,2013-02-25,9.05,9.5,8.95,9.11,9.11,996400,9.11,996400,0.6629834254143504,0.5663756896552614,9.136666666666672,9.47
37,37,2013-02-26,9.17,9.51,9.11,9.47,9.47,928100,9.47,928100,3.2715376226826685,0.5275524664482619,9.16666666666667,9.37
38,38,2013-02-27,9.44,9.5,9.25,9.37,9.37,638600,9.37,638600,-0.7415254237288166,0.3629942948754014,9.313333333333338,9.27
39,39,2013-02-28,9.35,9.43,9.22,9.27,9.27,658300,9.27,658300,-0.8556149732620328,0.37419220845048035,9.31666666666667,9.13
40,40,2013-03-01,9.06,9.33,8.8,9.13,9.13,1167400,9.13,1167400,0.772626931567332,0.6635758531749821,9.370000000000005,9.42
41,41,2013-03-04,9.08,9.43,8.98,9.42,9.42,668500,9.42,668500,3.744493392070483,0.37999011294113033,9.256666666666673,10.0
42,42,2013-03-05,9.48,10.2,9.44,10.0,10.0,1477500,10.0,1477500,5.485232067510544,0.8398435181309201,9.27333333333334,9.97
43,43,2013-03-06,10.02,10.25,9.93,9.97,9.97,922700,9.97,922700,-0.49900199600797346,0.5244829876002707,9.516666666666675,10.0
44,44,2013-03-07,9.95,10.23,9.85,10.0,10.0,481000,10.0,481000,0.5025125628140775,0.2734109862747699,9.796666666666674,10.05
45,45,2013-03-08,10.12,10.18,9.9,10.05,10.05,1532900,10.05,1532900,-0.6916996047430684,0.8713340974232741,9.990000000000007,9.99
46,46,2013-03-11,9.99,10.12,9.94,9.99,9.99,488900,9.99,488900,0.0,0.27790152014497926,10.006666666666675,9.99
47,47,2013-03-12,9.97,10.04,9.86,9.99,9.99,882400,9.99,882400,0.20060180541624445,0.5015755806421143,10.013333333333343,10.15
48,48,2013-03-13,9.97,10.28,9.88,10.15,10.15,809700,10.15,809700,1.8054162487462357,0.4602513005960108,10.01000000000001,10.2
49,49,2013-03-14,10.16,10.35,10.06,10.2,10.2,406300,10.2,406300,0.3937007874015664,0.23094986221089192,10.043333333333342,10.09
50,50,2013-03-15,10.22,10.27,10.02,10.09,10.09,2190700,10.09,2190700,-1.272015655577307,1.2452420948693108,10.113333333333342,10.51
51,51,2013-03-18,10.0,10.62,9.75,10.51,10.51,1052000,10.51,1052000,5.099999999999998,0.5979799533493928,10.146666666666674,10.42
52,52,2013-03-19,10.54,10.64,10.28,10.42,10.42,458800,10.42,458800,-1.1385199240986643,0.26079201767747284,10.266666666666673,10.65
53,53,2013-03-20,10.51,10.69,10.46,10.65,10.65,617100,10.65,617100,1.3320647002854478,0.3507732216843254,10.340000000000007,10.85
54,54,2013-03-21,10.53,10.87,10.51,10.85,10.85,612900,10.85,612900,3.0389363722697085,0.34838584924699895,10.526666666666674,10.86
55,55,2013-03-22,10.93,10.98,10.78,10.86,10.86,561300,10.86,561300,-0.640439158279966,0.31905527358841657,10.640000000000008,10.98
56,56,2013-03-25,10.87,11.0,10.79,10.98,10.98,674300,10.98,674300,1.0119595216191464,0.3832869605926764,10.786666666666674,11.06
57,57,2013-03-26,11.06,11.21,10.96,11.06,11.06,606100,11.06,606100,0.0,0.34452057958656557,10.896666666666674,11.0
58,58,2013-03-27,10.93,11.16,10.85,11.0,11.0,958200,11.0,958200,0.640439158279966,0.5446619689157682,10.966666666666674,11.0
59,59,2013-03-28,11.02,11.1,10.83,11.0,11.0,915800,11.0,915800,-0.1814882032667838,0.5205608757389486,11.01333333333334,10.79
60,60,2013-04-01,11.0,11.06,10.74,10.79,10.79,680100,10.79,680100,-1.909090909090917,0.3865838082442225,11.020000000000005,10.93
61,61,2013-04-02,10.9,11.04,10.88,10.93,10.93,833300,10.93,833300,0.27522935779815927,0.47366606000575007,10.930000000000005,10.7
62,62,2013-04-03,10.97,10.99,10.68,10.7,10.7,586000,10.7,586000,-2.4612579762990094,0.33309529720793174,10.906666666666672,10.7
