,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,12.22,12.44,12.22,12.44,8.594688,3251500,8.594688,3251500,1.8003273322422166,0.9600026207132529,,8.622324
1,1,2013-01-03,12.45,12.53,12.35,12.48,8.622324,2626800,8.622324,2626800,0.24096385542169588,0.7755604748853061,,8.705232
2,2,2013-01-04,12.53,12.68,12.5,12.6,8.705232,1792500,8.705232,1792500,0.5586592178770973,0.5292341066057222,,8.677596000000001
3,3,2013-01-07,12.53,12.61,12.45,12.56,8.677596000000001,1593600,8.677596000000001,1593600,0.23942537909019262,0.4705090500903091,8.640748,8.677596000000001
4,4,2013-01-08,12.57,12.6,12.46,12.56,8.677596000000001,2121400,8.677596000000001,2121400,-0.07955449482895614,0.6263415530004904,8.668384000000001,8.684505999999999
5,5,2013-01-09,12.58,12.65,12.53,12.57,8.684505999999999,1660100,8.684505999999999,1660100,-0.0794912559618425,0.4901431187593637,8.686808000000001,8.712138000000001
6,6,2013-01-10,12.6,12.66,12.51,12.61,8.712138000000001,2219800,8.712138000000001,2219800,0.07936507936507767,0.655394069647633,8.679899333333333,8.698324000000001
7,7,2013-01-11,12.67,12.67,12.48,12.59,8.698324000000001,1651900,8.698324000000001,1651900,-0.6314127861089193,0.4877220757054352,8.691413333333335,8.746686
8,8,2013-01-14,12.61,12.7,12.55,12.66,8.746686,1970300,8.746686,1970300,0.39651070578906195,0.5817294059945632,8.698322666666668,8.746686
9,9,2013-01-15,12.65,12.71,12.6,12.66,8.746686,1495600,8.746686,1495600,0.0790513833992078,0.4415746331043337,8.719049333333336,8.732867
10,10,2013-01-16,12.58,12.7,12.51,12.64,8.732867,1775900,8.732867,1775900,0.47694753577106913,0.5243329706672816,8.730565333333333,8.781229
11,11,2013-01-17,12.64,12.75,12.61,12.71,8.781229,1839700,8.781229,1839700,0.5537974683544327,0.5431698666234573,8.742079666666667,8.560143
12,12,2013-01-18,12.72,12.72,12.22,12.39,8.560143,7390300,8.560143,7390300,-2.59433962264151,2.18197981481075,8.753594000000001,8.663775
13,13,2013-01-22,12.36,12.54,12.3,12.54,8.663775,4244400,8.663775,4244400,1.4563106796116483,1.25315550464565,8.691413,8.629235000000001
14,14,2013-01-23,12.56,12.66,12.47,12.49,8.629235000000001,7177600,8.629235000000001,7177600,-0.5573248407643334,2.1191803199850665,8.668382333333334,8.643051
15,15,2013-01-24,12.53,12.55,12.4,12.51,8.643051,3334900,8.643051,3334900,-0.15961691939345232,0.9846264000666238,8.617717666666667,8.615414999999999
16,16,2013-01-25,12.56,12.6,12.38,12.47,8.615414999999999,9001000,8.615414999999999,9001000,-0.716560509554139,2.6575376254159586,8.645353666666669,8.643051
17,17,2013-01-28,12.53,12.59,12.48,12.51,8.643051,7124700,8.643051,7124700,-0.15961691939345232,2.103561639795698,8.62923366666667,8.677596000000001
18,18,2013-01-29,12.55,12.62,12.5,12.56,8.677596000000001,7606000,8.677596000000001,7606000,0.07968127490039671,2.2456650570951875,8.633839000000002,8.642603
19,19,2013-01-30,12.42,12.46,12.32,12.35,8.642603,3953600,8.642603,3953600,-0.5636070853462181,1.167297050977062,8.645354000000003,8.621611999999999
20,20,2013-01-31,12.32,12.4,12.28,12.32,8.621611999999999,5043800,8.621611999999999,5043800,0.0,1.4891776774883916,8.65441666666667,8.754574
21,21,2013-02-01,12.38,12.52,12.35,12.51,8.754574,2566600,8.754574,2566600,1.050080775444257,0.7577864758796355,8.647270333333337,8.677595
22,22,2013-02-04,12.49,12.53,12.39,12.4,8.677595,3214100,8.677595,3214100,-0.7205764611689339,0.9489603023941154,8.672929666666668,8.768569
23,23,2013-02-05,12.46,12.59,12.42,12.53,8.768569,3213300,8.768569,3213300,0.5617977528089768,0.9487241030717809,8.68459366666667,8.789565
24,24,2013-02-06,12.46,12.58,12.44,12.56,8.789565,4900900,8.789565,4900900,0.8025682182985525,1.446986573536393,8.733579333333337,8.761571
25,25,2013-02-07,12.59,12.63,12.48,12.52,8.761571,2695800,8.761571,2695800,-0.5559968228753001,0.7959326664366561,8.745243000000004,8.782567
26,26,2013-02-08,12.51,12.58,12.51,12.55,8.782567,1624000,8.782567,1624000,0.3197442046362984,0.4794846243390198,8.773235000000003,8.81056
27,27,2013-02-11,12.54,12.63,12.54,12.59,8.81056,2543200,8.81056,2543200,0.3987240829346149,0.7508776457013516,8.777901000000005,8.943522
