,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,40.610001000000004,40.900002,40.459998999999996,40.849998,34.433464,2625800,34.433464,2625800,0.5909800396212631,0.4786875063797795,,34.357582
1,1,2013-01-03,40.849998,40.900002,40.580002,40.759997999999996,34.357582,3578400,34.357582,3578400,-0.22031824824080387,0.6523479978785144,,34.703194
2,2,2013-01-04,40.889998999999996,41.439999,40.830002,41.169998,34.703194,2721400,34.703194,2721400,0.6847615721389567,0.496115538069134,,34.113155
3,3,2013-01-07,40.98,41.09,40.299999,40.470001,34.113155,2692700,34.113155,2692700,-1.2445070766227269,0.4908834825305935,34.498079999999995,34.281738
4,4,2013-01-08,40.400002,40.669998,40.290001000000004,40.669998,34.281738,2986700,34.281738,2986700,0.668306897608567,0.5444801490229597,34.39131033333333,34.366023999999996
5,5,2013-01-09,41.330002,41.330002,40.490002000000004,40.77,34.366023999999996,2407800,34.366023999999996,2407800,-1.3549527532081833,0.4389457604772767,34.366029,34.450321
6,6,2013-01-10,40.900002,41.029999,40.779999,40.869999,34.450321,2455500,34.450321,2455500,-0.07335696462802292,0.44764154616328306,34.253639,34.51775
7,7,2013-01-11,40.93,41.02,40.669998,40.950001,34.51775,2077400,34.51775,2077400,0.04886635719521281,0.3787133162287128,34.36602766666667,34.467175
8,8,2013-01-14,41.009997999999996,41.310001,40.84,40.889998999999996,34.467175,3293800,34.467175,3293800,-0.2926091339970316,0.6004649663012103,34.44469833333334,34.559902
9,9,2013-01-15,40.860001000000004,41.0,40.689999,41.0,34.559902,2369700,34.559902,2369700,0.34263092651416227,0.43200007002367413,34.47841533333334,34.290157
10,10,2013-01-16,40.860001000000004,41.0,40.57,40.68,34.290157,1594500,34.290157,1594500,-0.44053107096107086,0.29067988000706774,34.514942333333344,34.408176
11,11,2013-01-17,40.720001,41.040001000000004,40.580002,40.82,34.408176,2127700,34.408176,2127700,0.24557710595340315,0.3878830860401618,34.439078,34.568329
12,12,2013-01-18,40.919998,41.009997999999996,40.630001,41.009997999999996,34.568329,1751500,34.568329,1751500,0.21994135972342008,0.31930122912033815,34.41941166666667,34.770626
13,13,2013-01-22,40.98,41.360001000000004,40.970001,41.25,34.770626,2931800,34.770626,2931800,0.6588579795022038,0.5344717919126505,34.422220666666675,34.87178
14,14,2013-01-23,41.139998999999996,41.369999,40.919998,41.369999,34.87178,2618600,34.87178,2618600,0.5590666154367286,0.47737493495547667,34.58237700000001,34.989788
15,15,2013-01-24,41.470001,41.700001,41.360001000000004,41.509997999999996,34.989788,2442600,34.989788,2442600,0.09644803239814849,0.44528985569474044,34.73691166666668,35.310093
16,16,2013-01-25,41.689999,41.889998999999996,41.439999,41.889998999999996,35.310093,3137600,35.310093,3137600,0.47973136195085003,0.5719894584573069,34.87739800000001,35.200531
17,17,2013-01-28,41.900002,41.970001,41.709998999999996,41.759997999999996,35.200531,2221600,35.200531,2221600,-0.33413840887168617,0.40500120503211146,35.05722033333334,35.503971
18,18,2013-01-29,41.689999,42.119999,41.650002,42.119999,35.503971,2328700,35.503971,2328700,1.0314224281943487,0.42452570496861625,35.16680400000001,35.731564
19,19,2013-01-30,42.150002,42.630001,42.09,42.389998999999996,35.731564,2581800,35.731564,2581800,0.5693878733386426,0.4706662365645955,35.338198333333345,35.942299
20,20,2013-01-31,42.52,42.709998999999996,42.360001000000004,42.639998999999996,35.942299,3048000,35.942299,3048000,0.28221777986828045,0.5556552362882048,35.47868866666668,35.908581
21,21,2013-02-01,42.709998999999996,42.790001000000004,42.509997999999996,42.599998,35.908581,1920600,35.908581,1920600,-0.2575532722442745,0.3501284274327841,35.72594466666668,35.495548
22,22,2013-02-04,42.540001000000004,42.57,42.09,42.110001000000004,35.495548,1976100,35.495548,1976100,-1.0108133283776832,0.36024616549511856,35.86081466666668,35.697849
23,23,2013-02-05,42.27,42.580002,42.200001,42.349998,35.697849,1730800,35.697849,1730800,0.18925479063164474,0.31552758627546745,35.78214266666669,35.849575
24,24,2013-02-06,42.200001,42.529999,42.099998,42.529999,35.849575,1421400,35.849575,1421400,0.7819857634600441,0.2591234753477868,35.700659333333356,36.043449
25,25,2013-02-07,42.639998999999996,42.970001,42.490002000000004,42.759997999999996,36.043449,1957600,36.043449,1957600,0.28142355256621837,0.3568735861410071,35.68099066666668,36.051876
26,26,2013-02-08,42.740002000000004,42.82,42.540001000000004,42.77,36.051876,1321900,36.051876,1321900,0.07018717500293771,0.24098446747026833,35.863624333333355,35.98444
27,27,2013-02-11,42.73,42.939999,42.630001,42.689999,35.98444,965400,35.98444,965400,-0.0936133863795849,0.17599395180860658,35.981633333333356,36.009739
28,28,2013-02-12,42.669998,42.740002000000004,42.490002000000004,42.720001,36.009739,1186100,36.009739,1186100,0.11718538163513342,0.21622791199522298,36.02658833333336,35.917004
29,29,2013-02-13,42.689999,42.810001,42.48,42.610001000000004,35.917004,1341100,35.917004,1341100,-0.18739283643458562,0.2444846579350759,36.015351666666696,35.765278
30,30,2013-02-14,42.470001,42.630001,42.400002,42.43,35.765278,3119600,35.765278,3119600,-0.09418648235963951,0.5687080298965497,35.97039433333336,36.009739
31,31,2013-02-15,42.509997999999996,42.799999,42.470001,42.720001,36.009739,3843000,36.009739,3843000,0.49400849183763196,0.700584997721644,35.897340333333354,36.43119
32,32,2013-02-19,42.790001000000004,43.23,42.709998999999996,43.220001,36.43119,4026600,36.43119,4026600,1.0049076652276772,0.7340555690413666,35.897340333333354,36.346897
33,33,2013-02-20,43.16,43.290001000000004,42.939999,43.119999,36.346897,2680000,36.346897,2680000,-0.09268072289155845,0.4885682523793926,36.0687356666667,34.905495
34,34,2013-02-21,42.25,42.700001,41.0,41.41,34.905495,8337500,34.905495,8337500,-1.988165680473381,1.5199394791840246,36.262608666666694,35.385963000000004
