,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,87.449997,88.58000200000001,86.510002,87.660004,75.149147,1962800,75.149147,1962800,0.24014523408160265,1.7398661686143853,,75.73207099999999
1,1,2013-01-03,87.599998,88.730003,87.449997,88.339996,75.73207099999999,1336100,75.73207099999999,1336100,0.8447465946289177,1.184346437683758,,76.1436
2,2,2013-01-04,88.650002,88.91999799999999,88.300003,88.82,76.1436,775700,76.1436,775700,0.191763109040869,0.6875963862819333,,75.65493000000001
3,3,2013-01-07,88.08000200000001,88.349998,87.260002,88.25,75.65493000000001,1447300,75.65493000000001,1447300,0.19300408281097964,1.2829163979190952,75.67493933333333,75.714928
4,4,2013-01-08,88.66999799999999,88.980003,87.510002,88.32,75.714928,1242600,75.714928,1242600,-0.39471975628103584,1.1014661203995493,75.84353366666667,77.300919
5,5,2013-01-09,88.620003,90.25,88.589996,90.16999799999999,77.300919,1482500,77.300919,1482500,1.749035147290613,1.314118399720209,75.83781933333334,76.812248
6,6,2013-01-10,90.639999,90.730003,88.639999,89.599998,76.812248,1636500,76.812248,1636500,-1.147397408951873,1.4506271576000824,76.22359233333334,76.33219100000001
7,7,2013-01-11,89.519997,89.519997,88.349998,89.040001,76.33219100000001,903000,76.33219100000001,903000,-0.5361885791841569,0.8004377166592572,76.60936500000001,76.57220500000001
8,8,2013-01-14,88.989998,89.489998,88.480003,89.32,76.57220500000001,957800,76.57220500000001,957800,0.3708304387196337,0.849013560372355,76.81511933333336,76.846558
9,9,2013-01-15,88.57,90.0,88.540001,89.639999,76.846558,833500,76.846558,833500,1.2080828723044033,0.7388314915121715,76.57221466666668,77.018028
10,10,2013-01-16,89.120003,89.949997,88.730003,89.839996,77.018028,933400,77.018028,933400,0.8078915796266326,0.8273849000329464,76.58365133333335,78.321075
11,11,2013-01-17,90.0,91.93,89.699997,91.360001,78.321075,2330600,78.321075,2330600,1.5111122222222189,2.065891630615797,76.81226366666668,80.32711
12,12,2013-01-18,92.5,93.699997,90.0,93.699997,80.32711,4266000,80.32711,4266000,1.29729405405405,3.7814698773736337,77.39522033333334,79.967049
13,13,2013-01-22,93.260002,93.57,91.910004,93.279999,79.967049,1933900,79.967049,1933900,0.02144220412948693,1.7142486159992663,78.55540433333334,79.76989
14,14,2013-01-23,93.239998,93.650002,92.66999799999999,93.050003,79.76989,1378400,79.76989,1378400,-0.2037698456407047,1.2218420250754376,79.53841133333334,80.558586
15,15,2013-01-24,92.989998,94.690002,92.83000200000001,93.970001,80.558586,1225700,80.558586,1225700,1.0538800097619063,1.0864856138529917,80.02134966666667,80.901505
16,16,2013-01-25,94.379997,94.57,93.690002,94.370003,80.901505,723900,80.901505,723900,-0.010589108198431129,0.6416798040859759,80.09850833333333,80.43
17,17,2013-01-28,94.75,94.809998,93.58000200000001,93.82,80.43,1262500,80.43,1262500,-0.9815303430079229,1.1191058884632472,80.40999366666667,80.712891
18,18,2013-01-29,93.58000200000001,94.300003,93.279999,94.150002,80.712891,952600,80.712891,952600,0.6091044964927369,0.844404173742645,80.63003033333334,79.967049
19,19,2013-01-30,94.099998,94.769997,93.089996,93.279999,79.967049,1052800,79.967049,1052800,-0.8714123458323514,0.9332235084151339,80.68146533333334,79.701279
