,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,7.32,7.37,7.17,7.31,5.8889879999999994,17693800,5.8889879999999994,17693800,-0.13661202185793273,1.169200621711521,,5.905098000000001
1,1,2013-01-03,7.3,7.37,7.2,7.33,5.905098000000001,22191900,5.905098000000001,22191900,0.41095890410959246,1.4664336251658718,,6.114557
2,2,2013-01-04,7.37,7.59,7.37,7.59,6.114557,22613400,6.114557,22613400,2.9850746268656683,1.4942862098029428,,6.009828
3,3,2013-01-07,7.59,7.59,7.41,7.46,6.009828,13545500,6.009828,13545500,-1.7127799736495375,0.8950822899203906,5.969547666666666,5.9614910000000005
4,4,2013-01-08,7.44,7.48,7.28,7.4,5.9614910000000005,14243500,5.9614910000000005,14243500,-0.5376344086021511,0.9412059057606648,6.009827666666666,5.88093
5,5,2013-01-09,7.42,7.46,7.27,7.3,5.88093,15827800,5.88093,15827800,-1.617250673854449,1.0458959409694701,6.028625333333333,5.9212110000000004
6,6,2013-01-10,7.33,7.39,7.24,7.35,5.9212110000000004,17753800,5.9212110000000004,17753800,0.2728512960436504,1.1731654024427767,5.950749666666667,5.832594
7,7,2013-01-11,7.36,7.36,7.15,7.24,5.832594,18322100,5.832594,18322100,-1.630434782608697,1.210718483935653,5.921210666666667,5.792314
8,8,2013-01-14,7.24,7.28,7.16,7.19,5.792314,13721500,5.792314,13721500,-0.6906077348066274,0.9067123133987406,5.878245,5.872875
9,9,2013-01-15,7.15,7.32,7.13,7.29,5.872875,19088600,5.872875,19088600,1.9580419580419535,1.261368557777444,5.848706333333333,5.945379
10,10,2013-01-16,7.33,7.45,7.3,7.38,5.945379,21398100,5.945379,21398100,0.6821282401091381,1.4139795760913596,5.832594333333334,6.001771
11,11,2013-01-17,7.41,7.55,7.35,7.45,6.001771,20294300,6.001771,20294300,0.5398110661268561,1.3410408265720264,5.870189333333333,5.985661
12,12,2013-01-18,7.47,7.57,7.35,7.43,5.985661,18960500,5.985661,18960500,-0.5354752342704155,1.2529037509162133,5.940008333333332,6.251511
13,13,2013-01-22,7.47,7.81,7.45,7.76,6.251511,37498500,6.251511,37498500,3.882195448460509,2.477888837516501,5.977603666666666,6.170949
14,14,2013-01-23,7.75,7.85,7.64,7.66,6.170949,22621500,6.170949,22621500,-1.1612903225806432,1.4948214552016623,6.079647666666666,6.179005999999999
15,15,2013-01-24,7.66,7.73,7.63,7.67,6.179005999999999,12471000,6.179005999999999,12471000,0.13054830287205987,0.8240796749914874,6.136040333333334,6.195118
16,16,2013-01-25,7.73,7.77,7.63,7.69,6.195118,12567700,6.195118,12567700,-0.5174644243208283,0.8304695799366943,6.200488666666668,6.211229
17,17,2013-01-28,7.67,7.75,7.59,7.71,6.211229,11641200,6.211229,11641200,0.521512385919166,0.7692467574782217,6.181691000000001,6.211229
18,18,2013-01-29,7.68,7.75,7.67,7.71,6.211229,19986400,6.211229,19986400,0.3906250000000033,1.3206948934527996,6.195117666666667,6.29179
19,19,2013-01-30,7.71,7.88,7.65,7.81,6.29179,23375700,6.29179,23375700,1.2970168612191912,1.544658748993546,6.205858666666667,6.267622
20,20,2013-01-31,7.61,7.81,7.56,7.78,6.267622,26415700,6.267622,26415700,2.2339027595269374,1.745540972710499,6.238082666666666,6.348184
21,21,2013-02-01,7.84,7.96,7.8,7.88,6.348184,17800100,6.348184,17800100,0.5102040816326535,1.176224891573729,6.256880333333332,6.29179
22,22,2013-02-04,7.82,7.87,7.75,7.81,6.29179,10836800,6.29179,10836800,-0.12787723785167102,0.7160922638078542,6.302531999999999,6.388463
23,23,2013-02-05,7.87,7.97,7.81,7.93,6.388463,15305000,6.388463,15305000,0.7623888182973266,1.0113494848644626,6.302531999999999,6.39652
24,24,2013-02-06,7.9,7.99,7.86,7.94,6.39652,16963200,6.39652,16963200,0.5063291139240511,1.120922808340598,6.342812333333334,6.41263
25,25,2013-02-07,7.96,8.0,7.87,7.96,6.41263,13759800,6.41263,13759800,0.0,0.9092431650988587,6.358924333333333,6.388463
26,26,2013-02-08,7.96,7.96,7.9,7.93,6.388463,8908400,6.388463,8908400,-0.3768844221105559,0.5886642111052975,6.3992043333333335,6.39652
27,27,2013-02-11,7.95,7.97,7.87,7.94,6.39652,17158600,6.39652,17158600,-0.12578616352200991,1.1338347775887205,6.399204333333333,6.388463
28,28,2013-02-12,7.96,7.97,7.87,7.93,6.388463,11306400,6.388463,11306400,-0.3768844221105559,0.7471232809978151,6.399204333333333,6.324013
29,29,2013-02-13,7.96,7.97,7.84,7.85,6.324013,18352200,6.324013,18352200,-1.3819095477386976,1.2127074822691664,6.391148666666666,6.37235
30,30,2013-02-14,7.82,7.91,7.81,7.91,6.37235,12751900,6.37235,12751900,1.1508951406649597,0.8426414567816493,6.369665333333333,6.324013
31,31,2013-02-15,7.92,7.95,7.82,7.85,6.324013,10253700,6.324013,10253700,-0.8838383838383874,0.6775612030679347,6.361608666666666,6.41263
32,32,2013-02-19,7.86,7.97,7.85,7.96,6.41263,12233800,6.41263,12233800,1.2722646310432524,0.8084055751672566,6.340125333333333,6.211229
33,33,2013-02-20,7.92,7.94,7.7,7.71,6.211229,14877000,6.211229,14877000,-2.6515151515151514,0.983067382314839,6.369664333333333,6.114557
34,34,2013-02-21,7.68,7.75,7.54,7.59,6.114557,23973600,6.114557,23973600,-1.1718749999999982,1.5841677889805084,6.3159573333333325,6.259566
35,35,2013-02-22,7.66,7.78,7.63,7.77,6.259566,15388000,6.259566,15388000,1.4360313315926818,1.0168340982093662,6.246138666666664,6.02594
36,36,2013-02-25,7.83,7.86,7.48,7.48,6.02594,18348500,6.02594,18348500,-4.469987228607914,1.2124629874574055,6.195117333333331,6.042051
37,37,2013-02-26,7.53,7.57,7.42,7.5,6.042051,15518100,6.042051,15518100,-0.39840637450199534,1.0254310644283056,6.1333543333333305,6.138725
38,38,2013-02-27,7.5,7.66,7.47,7.62,6.138725,11430600,6.138725,11430600,1.6000000000000014,0.7553303771115143,6.109185666666664,6.162893
39,39,2013-02-28,7.64,7.72,7.56,7.65,6.162893,11554400,6.162893,11554400,0.13089005235602977,0.7635110413536718,6.068905333333331,6.211229
