,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,8.94,9.33,8.94,9.24,9.24,437700,9.24,437700,3.3557046979865857,0.39856678162091536,,9.49
1,1,2013-01-03,9.23,9.63,9.23,9.49,9.49,290800,9.49,290800,2.816901408450702,0.26480059423203606,,9.59
2,2,2013-01-04,9.55,9.64,9.45,9.59,9.59,250700,9.59,250700,0.418848167539258,0.22828579427087842,,9.59
3,3,2013-01-07,9.49,9.64,9.43,9.59,9.59,209300,9.59,209300,1.0537407797681733,0.19058722273990766,9.44,9.53
4,4,2013-01-08,9.57,9.64,9.39,9.53,9.53,209700,9.53,209700,-0.4179728317659449,0.190951460146004,9.556666666666665,9.57
5,5,2013-01-09,9.58,9.64,9.52,9.57,9.57,127400,9.57,127400,-0.1043841336116888,0.11600961384168293,9.569999999999999,9.52
6,6,2013-01-10,9.6,9.62,9.47,9.52,9.52,146600,9.52,146600,-0.8333333333333341,0.13349300933430705,9.56333333333333,9.58
7,7,2013-01-11,9.53,9.63,9.45,9.58,9.58,130700,9.58,130700,0.524658971668423,0.1190145724419777,9.539999999999997,9.33
8,8,2013-01-14,9.52,9.66,9.3,9.33,9.33,234200,9.33,234200,-1.995798319327726,0.21326100126940456,9.556666666666665,9.35
9,9,2013-01-15,9.26,9.42,9.24,9.35,9.35,393900,9.35,393900,0.9719222462203008,0.3586827856533666,9.476666666666665,9.23
10,10,2013-01-16,9.35,9.39,9.19,9.23,9.23,320900,9.23,320900,-1.28342245989304,0.2922094590407853,9.419999999999998,9.32
11,11,2013-01-17,9.31,9.35,9.2,9.32,9.32,627100,9.32,627100,0.10741138560687202,0.5710331934075303,9.303333333333333,9.14
12,12,2013-01-18,9.31,9.37,9.12,9.14,9.14,555700,9.14,555700,-1.8259935553168627,0.5060168164193344,9.299999999999999,9.17
13,13,2013-01-22,9.16,9.21,9.1,9.17,9.17,659300,9.17,659300,0.10917030567685357,0.6003543045982853,9.229999999999999,9.17
14,14,2013-01-23,9.19,9.32,9.15,9.17,9.17,321300,9.17,321300,-0.21762785636561016,0.2925736964468817,9.209999999999999,9.24
15,15,2013-01-24,9.16,9.26,9.15,9.24,9.24,387400,9.24,387400,0.873362445414848,0.35276392780430116,9.159999999999998,9.18
16,16,2013-01-25,9.3,9.3,9.14,9.18,9.18,236500,9.18,236500,-1.290322580645172,0.2153553663544585,9.193333333333333,9.19
17,17,2013-01-28,9.19,9.23,9.01,9.19,9.19,285500,9.19,285500,0.0,0.2599744486012596,9.196666666666665,9.11
18,18,2013-01-29,9.18,9.22,9.04,9.11,9.11,210100,9.11,210100,-0.7625272331154715,0.19131569755210034,9.203333333333331,8.93
19,19,2013-01-30,9.12,9.12,8.76,8.93,8.93,176000,8.93,176000,-2.083333333333328,0.16026445868238773,9.159999999999997,8.89
20,20,2013-01-31,10.01,10.88,8.64,8.89,8.89,4342000,8.89,4342000,-11.188811188811181,3.9537970431757246,9.076666666666663,9.42
21,21,2013-02-01,8.97,9.73,8.69,9.42,9.42,2467300,9.42,2467300,5.016722408026748,2.246707380153723,8.976666666666665,9.49
22,22,2013-02-04,9.23,9.64,9.16,9.49,9.49,762900,9.49,762900,2.816901408450702,0.6946917927772364,9.079999999999998,8.51
23,23,2013-02-05,9.19,9.19,8.43,8.51,8.51,1313800,8.51,1313800,-7.3993471164309,1.1963377603234147,9.266666666666666,9.01
24,24,2013-02-06,8.45,9.21,8.2,9.01,9.01,1548600,9.01,1548600,6.627218934911248,1.4101451177019637,9.139999999999999,9.2
25,25,2013-02-07,9.05,9.26,8.9,9.2,9.2,819200,9.2,819200,1.6574585635358958,0.7459582076852955,9.00333333333333,9.33
26,26,2013-02-08,9.25,9.38,9.22,9.33,9.33,658200,9.33,658200,0.8648648648648656,0.5993526517315204,8.906666666666665,9.22
27,27,2013-02-11,9.31,9.38,9.22,9.22,9.22,315200,9.22,315200,-0.9667024704618674,0.2870190760039126,9.179999999999998,9.26
28,28,2013-02-12,9.25,9.42,9.22,9.26,9.26,274600,9.26,274600,0.10810810810810581,0.2500489792851345,9.249999999999998,9.29
29,29,2013-02-13,9.26,9.35,9.13,9.29,9.29,467500,9.29,467500,0.3239740820734272,0.4257024683750924,9.269999999999998,9.22
