,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,94.389999,95.220001,93.260002,94.07,94.07,444200,94.07,444200,-0.3390179080307119,0.568171137112631,,95.029999
1,1,2013-01-03,93.75,95.41999799999999,93.75,95.029999,95.029999,336900,95.029999,336900,1.3653322666666705,0.43092493492401035,,95.239998
2,2,2013-01-04,95.410004,95.660004,94.769997,95.239998,95.239998,269600,95.239998,269600,-0.1781846691883597,0.34484227502378506,,95.82
3,3,2013-01-07,94.620003,96.199997,94.410004,95.82,95.82,361800,95.82,361800,1.2682276072216951,0.4627742399985365,94.77999899999999,95.440002
4,4,2013-01-08,95.339996,96.16999799999999,95.010002,95.440002,95.440002,314500,95.440002,314500,0.10489406775306302,0.4022733512425089,95.36333233333333,95.400002
5,5,2013-01-09,95.800003,96.08000200000001,94.940002,95.400002,95.400002,581300,95.400002,581300,-0.41753756521281443,0.7435341783061064,95.5,95.239998
6,6,2013-01-10,95.720001,95.849998,94.83000200000001,95.239998,95.239998,335300,95.239998,335300,-0.5014657281501663,0.42887839323247456,95.55333466666666,94.849998
7,7,2013-01-11,95.199997,95.57,94.459999,94.849998,94.849998,192900,94.849998,192900,-0.3676460199888419,0.24673618268578687,95.36000066666666,94.459999
8,8,2013-01-14,95.040001,95.120003,94.410004,94.459999,94.459999,226700,94.459999,226700,-0.6102714582252661,0.289969375919481,95.16333266666665,94.199997
9,9,2013-01-15,94.5,94.57,93.349998,94.199997,94.199997,347200,94.199997,347200,-0.31746349206349606,0.4440995470632722,94.84999833333332,93.910004
10,10,2013-01-16,94.230003,94.449997,93.610001,93.910004,93.910004,323200,93.910004,323200,-0.3395935368907881,0.4134014216902349,94.50333133333332,94.150002
11,11,2013-01-17,94.07,94.940002,93.779999,94.150002,94.150002,301500,94.150002,301500,0.0850451791219384,0.38564519999878044,94.18999999999998,95.0
12,12,2013-01-18,94.489998,95.230003,94.160004,95.0,95.0,438900,95.0,438900,0.5397417830403596,0.5613919677594187,94.08666766666664,94.690002
13,13,2013-01-22,94.75,95.260002,93.190002,94.690002,94.690002,441000,94.690002,441000,-0.06332242744062598,0.5640780537295594,94.3533353333333,94.910004
14,14,2013-01-23,95.029999,95.660004,94.879997,94.910004,94.910004,513900,94.910004,513900,-0.1262706527019988,0.65732360955016,94.61333466666663,94.550003
15,15,2013-01-24,95.389999,95.650002,94.540001,94.550003,94.550003,428900,94.550003,428900,-0.8805912661766557,0.5486010821873198,94.86666866666663,94.5
16,16,2013-01-25,94.980003,95.18,93.870003,94.5,94.5,322000,94.5,322000,-0.5053726940817178,0.4118665154215831,94.71666966666663,94.300003
17,17,2013-01-28,94.639999,96.07,94.209999,94.300003,94.300003,393200,94.300003,393200,-0.35925190574019267,0.5029376206949269,94.65333566666664,94.879997
18,18,2013-01-29,94.209999,95.349998,94.099998,94.879997,94.879997,235100,94.879997,235100,0.7111750420462342,0.300713719800044,94.45000199999997,94.760002
19,19,2013-01-30,94.610001,95.260002,94.519997,94.760002,94.760002,218600,94.760002,218600,0.1585466635815839,0.2796087586060809,94.55999999999996,94.349998
20,20,2013-01-31,94.510002,94.959999,93.739998,94.349998,94.349998,356200,94.349998,356200,-0.1692984833499429,0.4556113440781611,94.6466673333333,95.190002
21,21,2013-02-01,94.739998,95.470001,94.309998,95.190002,95.190002,392400,95.190002,392400,0.47498839930311904,0.501914349849159,94.66333233333329,94.209999
22,22,2013-02-04,95.089996,95.160004,94.029999,94.209999,94.209999,399000,94.209999,399000,-0.925435941757746,0.5103563343267442,94.76666733333327,95.25
23,23,2013-02-05,94.839996,95.599998,94.18,95.25,95.25,344000,95.25,344000,0.4323112793045676,0.4400064636802005,94.58333299999994,95.120003
24,24,2013-02-06,94.860001,95.93,94.050003,95.120003,95.120003,374100,95.120003,374100,0.2740902353564176,0.4785070292522181,94.88333366666662,98.190002
25,25,2013-02-07,95.660004,99.059998,95.660004,98.190002,98.190002,2005100,98.190002,2005100,2.644781407284915,2.564700466061541,94.86000066666662,96.800003
26,26,2013-02-08,98.510002,98.75,96.739998,96.800003,96.800003,831700,96.800003,831700,-1.7358633288830878,1.0638179530314615,96.18666833333329,96.25
27,27,2013-02-11,96.760002,96.870003,96.16999799999999,96.25,96.25,694900,96.25,694900,-0.5270793607466028,0.8888386384051493,96.70333599999996,96.339996
28,28,2013-02-12,96.190002,96.550003,96.150002,96.339996,96.339996,446200,96.339996,446200,0.15593512514948527,0.5707293142270509,97.08000166666663,96.129997
29,29,2013-02-13,96.690002,97.0,96.120003,96.129997,96.129997,339100,96.129997,339100,-0.579175704226383,0.4337389297498721,96.46333299999996,96.440002
30,30,2013-02-14,95.849998,96.849998,95.849998,96.440002,96.440002,586300,96.440002,586300,0.6155493086186684,0.7499296210921558,96.23999766666662,97.120003
31,31,2013-02-15,96.58000200000001,97.620003,96.230003,97.120003,97.120003,1444900,97.120003,1444900,0.5591229952552594,1.8481550563125633,96.30333166666662,96.699997
32,32,2013-02-19,96.870003,97.360001,96.650002,96.699997,96.699997,504500,96.699997,504500,-0.17549911710026556,0.6453001771123872,96.56333399999995,95.870003
33,33,2013-02-20,96.699997,97.16999799999999,95.860001,95.870003,95.870003,538400,95.870003,538400,-0.8583185374866137,0.6886612792018022,96.75333399999995,95.650002
34,34,2013-02-21,95.93,96.379997,95.41999799999999,95.650002,95.650002,602500,95.650002,602500,-0.29187741061191097,0.7706508557189559,96.56333433333329,96.089996
35,35,2013-02-22,95.809998,96.550003,95.68,96.089996,96.089996,480200,96.089996,480200,0.2922429870001732,0.6142183251721869,96.07333399999997,94.989998
36,36,2013-02-25,96.739998,97.110001,94.980003,94.989998,94.989998,391100,94.989998,391100,-1.8089725410165916,0.5002515347247861,95.8700003333333,95.029999
37,37,2013-02-26,94.989998,95.629997,94.910004,95.029999,95.029999,560800,95.029999,560800,0.04211074938648144,0.7173128628833036,95.57666533333331,96.0
38,38,2013-02-27,95.480003,96.41999799999999,95.360001,96.0,96.0,726300,96.0,726300,0.5446135145178029,0.9290020191015397,95.36999766666663,95.91999799999999
39,39,2013-02-28,94.5,96.529999,94.5,95.91999799999999,95.91999799999999,844200,95.91999799999999,844200,1.5026433862433783,1.0798065599965851,95.33999899999998,95.540001
40,40,2013-03-01,95.730003,96.139999,95.32,95.540001,95.540001,641200,95.540001,641200,-0.1984769602482857,0.8201515828829784,95.64999899999998,97.66999799999999
41,41,2013-03-04,95.510002,97.68,95.370003,97.66999799999999,97.66999799999999,1129100,97.66999799999999,1129100,2.261539058495667,1.4442188899456816,95.81999966666665,98.16999799999999
42,42,2013-03-05,97.83000200000001,98.839996,97.800003,98.16999799999999,98.16999799999999,547200,98.16999799999999,547200,0.34753755805911674,0.6999172585052492,96.37666566666663,97.699997
43,43,2013-03-06,98.16999799999999,98.480003,97.349998,97.699997,97.699997,304200,97.699997,304200,-0.4787623607774713,0.3890987391032471,97.12666566666663,97.360001
44,44,2013-03-07,97.690002,97.849998,96.800003,97.360001,97.360001,271500,97.360001,271500,-0.3378042719254013,0.34727254328248386,97.8466643333333,98.489998
45,45,2013-03-08,97.760002,98.68,97.5,98.489998,98.489998,247400,98.489998,247400,0.7467225706480651,0.3164465090537256,97.74333199999997,99.129997
46,46,2013-03-11,98.610001,99.150002,97.949997,99.129997,99.129997,390300,99.129997,390300,0.5273258236758421,0.49922826387901825,97.84999866666665,98.650002
47,47,2013-03-12,98.83000200000001,99.199997,98.18,98.650002,98.650002,336900,98.650002,336900,-0.18213092821753338,0.43092493492401035,98.32666533333332,100.629997
48,48,2013-03-13,100.099998,100.940002,99.389999,100.629997,100.629997,507400,100.629997,507400,0.5294695410483462,0.6490095339282959,98.75666566666666,101.199997
49,49,2013-03-14,101.0,101.739998,100.790001,101.199997,101.199997,543600,101.199997,543600,0.19801683168316456,0.6953125396992936,99.46999866666665,102.040001
50,50,2013-03-15,101.379997,102.209999,100.68,102.040001,102.040001,911200,102.040001,911200,0.651019944299269,1.1655054933296476,100.15999866666665,101.099998
51,51,2013-03-18,101.41999799999999,101.720001,100.860001,101.099998,101.099998,441000,101.099998,441000,-0.31551962759848723,0.5640780537295594,101.28999833333334,101.540001
52,52,2013-03-19,101.0,102.059998,100.959999,101.540001,101.540001,377600,101.540001,377600,0.5346544554455482,0.4829838392024527,101.44666533333334,102.400002
53,53,2013-03-20,102.08000200000001,102.800003,101.739998,102.400002,102.400002,307700,102.400002,307700,0.31347961768260263,0.3935755490534817,101.56000000000002,102.25
54,54,2013-03-21,101.849998,102.459999,101.540001,102.25,102.25,376100,102.25,376100,0.39273638473709216,0.48106520636663785,101.68000033333334,104.239998
55,55,2013-03-22,102.66999799999999,104.75,102.389999,104.239998,104.239998,511900,104.239998,511900,1.52917116059553,0.6547654324357403,102.06333433333334,103.739998
56,56,2013-03-25,104.849998,104.849998,102.510002,103.739998,103.739998,540700,103.739998,540700,-1.05865524193906,0.691603182883385,102.96333333333335,104.629997
57,57,2013-03-26,104.16999799999999,104.82,103.68,104.629997,104.629997,256800,104.629997,256800,0.44158491776107217,0.32846994149149855,103.40999866666668,104.75
58,58,2013-03-27,104.300003,104.980003,103.300003,104.75,104.75,406100,104.75,406100,0.43144485815594485,0.5194378630829344,104.203331,106.18
59,59,2013-03-28,104.550003,106.279999,104.25,106.18,106.18,572400,106.18,572400,1.5590597352732767,0.7321502901469383,104.37333166666667,104.760002
60,60,2013-04-01,106.699997,106.699997,104.239998,104.760002,104.760002,321800,104.760002,321800,-1.8181771832664588,0.4116106977101411,105.18666566666667,105.33000200000001
61,61,2013-04-02,105.08000200000001,106.18,104.910004,105.33000200000001,105.33000200000001,236600,105.33000200000001,236600,0.23791396578009197,0.30263235263585886,105.23000066666667,104.949997
62,62,2013-04-03,105.629997,105.639999,104.290001,104.949997,104.949997,387700,104.949997,387700,-0.6437565268509917,0.49590263363027254,105.42333466666666,105.160004
63,63,2013-04-04,105.120003,105.459999,104.589996,105.160004,105.160004,261200,105.160004,261200,0.038052700588301666,0.33409793114322206,105.01333366666665,104.129997
64,64,2013-04-05,103.800003,104.529999,103.730003,104.129997,104.129997,334700,104.129997,334700,0.3179132856094419,0.4281109400981486,105.14666766666666,105.120003
65,65,2013-04-08,104.57,105.190002,103.510002,105.120003,105.120003,300100,105.120003,300100,0.525966338337959,0.38385447601868655,104.746666,105.480003
66,66,2013-04-09,105.610001,105.949997,104.480003,105.480003,105.480003,328700,105.480003,328700,-0.12309250901342242,0.4204364087548893,104.80333466666667,107.400002
67,67,2013-04-10,105.32,108.029999,105.120003,107.400002,107.400002,463000,107.400002,463000,1.9749354348651798,0.5922180019881769,104.91000100000001,108.540001
68,68,2013-04-11,107.360001,108.660004,106.629997,108.540001,108.540001,446900,108.540001,446900,1.099105801983,0.5716246762170978,106.00000266666666,109.199997
69,69,2013-04-12,108.870003,109.510002,107.699997,109.199997,109.199997,383600,109.199997,383600,0.30310828594355715,0.490658370545712,107.140002,106.839996
70,70,2013-04-15,108.959999,109.470001,106.089996,106.839996,106.839996,660700,106.839996,660700,-1.9456709062561546,0.8450938097485712,108.38,109.209999
71,71,2013-04-16,107.260002,109.629997,106.900002,109.209999,109.209999,516400,109.209999,516400,1.818009475703717,0.6605213309431848,108.19333133333332,106.870003
72,72,2013-04-17,108.209999,108.959999,106.08000200000001,106.870003,106.870003,508400,106.870003,508400,-1.2383291861965542,0.6502886224855057,108.41666399999997,106.879997
73,73,2013-04-18,106.699997,107.970001,105.970001,106.879997,106.879997,308700,106.879997,308700,0.1686972868424793,0.3948546376106916,107.63999933333331,107.66999799999999
