,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,27.18,27.190001000000002,25.870001000000002,26.24,26.24,822400,26.24,822400,-3.4584253127299536,0.40930529050130005,,28.139999
1,1,2013-01-03,26.25,29.120001000000002,26.219998999999998,28.139999,28.139999,2272600,28.139999,2272600,7.199996190476189,1.1310642062174787,,29.0
2,2,2013-01-04,28.41,29.629998999999998,27.5,29.0,29.0,1467500,29.0,1467500,2.0767335445265744,0.7303690586219088,,28.950001
3,3,2013-01-07,29.049999,29.360001,28.5,28.950001,28.950001,626000,28.950001,626000,-0.3442272063417261,0.3115577721957853,27.793333,28.280001000000002
4,4,2013-01-08,29.24,29.49,27.549999,28.280001000000002,28.280001000000002,1046800,28.280001000000002,1046800,-3.28317031463747,0.520988300214933,28.69666666666667,27.059998999999998
5,5,2013-01-09,28.57,28.790001,26.940001000000002,27.059998999999998,27.059998999999998,1445800,27.059998999999998,1445800,-5.285267763388178,0.7195690527806172,28.743334,26.190001000000002
6,6,2013-01-10,27.709999,27.9,25.860001,26.190001000000002,26.190001000000002,1212100,26.190001000000002,1212100,-5.485377318129811,0.6032574691350021,28.096666999999997,26.18
7,7,2013-01-11,26.41,26.5,24.799999,26.18,26.18,1400000,26.18,1400000,-0.8708822415751626,0.6967745704059096,27.176666999999995,25.219998999999998
8,8,2013-01-14,25.940001000000002,26.5,25.1,25.219998999999998,25.219998999999998,802300,25.219998999999998,802300,-2.775643686366876,0.39930159845475804,26.47666666666666,25.469998999999998
9,9,2013-01-15,25.0,26.129998999999998,24.700001,25.469998999999998,25.469998999999998,658400,25.469998999999998,658400,1.8799959999999913,0.3276831265394649,25.863333333333326,24.700001
10,10,2013-01-16,25.25,25.59,24.549999,24.700001,24.700001,1076700,24.700001,1076700,-2.1782138613861375,0.5358694142543163,25.62333266666666,24.02
11,11,2013-01-17,24.85,25.6,23.879998999999998,24.02,24.02,1612300,24.02,1612300,-3.3400402414486994,0.8024354570467486,25.129999666666663,23.969998999999998
12,12,2013-01-18,23.99,24.58,23.85,23.969998999999998,23.969998999999998,802700,23.969998999999998,802700,-0.0833722384326828,0.39950067690344543,24.729999999999993,24.35
13,13,2013-01-22,24.18,24.440001000000002,23.459999,24.35,24.35,802400,24.35,802400,0.7030603804797424,0.3993513680669299,24.229999999999993,24.68
14,14,2013-01-23,24.48,24.85,24.26,24.68,24.68,692400,24.68,692400,0.8169934640522847,0.3446047946778941,24.113332999999997,24.389999
