,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,48.0,48.439999,47.709998999999996,48.32,40.197872,4812300,40.197872,4812300,0.6666666666666672,1.9154479035702492,,39.981571
1,1,2013-01-03,48.130001,48.209998999999996,47.77,48.060001,39.981571,4213200,39.981571,4213200,-0.14543943184210673,1.6769871178692464,,41.088001
2,2,2013-01-04,48.099998,49.470001,48.049999,49.389998999999996,41.088001,3500100,41.088001,3500100,2.681914872428886,1.3931507194659996,,41.129601
3,3,2013-01-07,49.18,49.48,48.82,49.439999,41.129601,4899100,41.129601,4899100,0.5286681577877197,1.9499970542944138,40.42248133333333,40.855076000000004
4,4,2013-01-08,49.360001000000004,49.360001000000004,48.720001,49.110001000000004,40.855076000000004,3433800,40.855076000000004,3433800,-0.5064829719107987,1.3667612183944313,40.73305766666667,41.187836
5,5,2013-01-09,49.290001000000004,49.740002000000004,49.25,49.509997999999996,41.187836,4023800,41.187836,4023800,0.44633190411173296,1.601599915713062,41.024226,41.803447999999996
6,6,2013-01-10,49.900002,50.380001,49.77,50.25,41.803447999999996,5841800,41.803447999999996,5841800,0.7013987694830139,2.3252215288067415,41.057504333333334,42.077988
7,7,2013-01-11,50.200001,50.669998,50.099998,50.580002,42.077988,4191100,42.077988,4191100,0.7569740885064924,1.6681906175120569,41.28212,42.435696
8,8,2013-01-14,50.560001,51.07,50.360001000000004,51.009997999999996,42.435696,3876900,42.435696,3876900,0.8900256944219526,1.5431290603976267,41.68975733333334,42.260994000000004
9,9,2013-01-15,50.790001000000004,51.330002,50.580002,50.799999,42.260994000000004,5313900,42.260994000000004,5313900,0.01968497697016378,2.1151005994601224,42.105710666666674,41.47068
10,10,2013-01-16,50.400002,50.400002,49.419998,49.849998,41.47068,6710700,41.47068,6710700,-1.0912777344731082,2.6710712645697217,42.25822600000001,41.911602
11,11,2013-01-17,50.110001000000004,50.75,50.060001,50.380001,41.911602,5741500,41.911602,5741500,0.5388145971100579,2.285298950262574,42.05579,44.390682
12,12,2013-01-18,51.52,54.169998,51.52,53.360001000000004,44.390682,10615700,44.390682,10615700,3.5714305124223618,4.225385015466761,41.881092,45.962990000000005
13,13,2013-01-22,53.419998,55.880001,53.240002000000004,55.25,45.962990000000005,10575000,45.962990000000005,10575000,3.4256871368658612,4.20918512566868,42.590988,46.02956
14,14,2013-01-23,54.970001,55.48,54.610001000000004,55.330002,46.02956,5413800,46.02956,5413800,0.6549044814461562,2.1548639653281416,44.08842466666666,46.187607
15,15,2013-01-24,55.330002,55.880001,55.189999,55.52,46.187607,4184100,46.187607,4184100,0.34339055328427925,1.665404395679463,45.46107733333332,46.961281
16,16,2013-01-25,55.509997999999996,56.610001000000004,55.220001,56.450001,46.961281,5530100,46.961281,5530100,1.6933940440783377,2.2011550509182376,46.060052333333324,46.911373
17,17,2013-01-28,55.959998999999996,56.560001,55.790001000000004,56.389998999999996,46.911373,5895800,46.911373,5895800,0.7684060180201213,2.346715240086752,46.392816,46.620197
18,18,2013-01-29,56.290001000000004,56.41,55.73,56.040001000000004,46.620197,5826400,46.620197,5826400,-0.444128611758241,2.3190918407750347,46.68675366666667,46.520382
19,19,2013-01-30,56.049999,56.330002,55.869999,55.919998,46.520382,4680000,46.520382,4680000,-0.23193755989183878,1.862788310934224,46.83095033333333,46.295757
20,20,2013-01-31,55.779999,56.0,55.610001000000004,55.650002,46.295757,5534200,46.295757,5534200,-0.23305306979298426,2.202786980848757,46.68398399999999,46.886414
21,21,2013-02-01,56.099998,56.59,55.91,56.360001000000004,46.886414,3954100,46.886414,3954100,0.46346347463328724,1.573857106894234,46.47877866666666,46.536999
22,22,2013-02-04,55.91,56.189999,55.779999,55.939999,46.536999,3836600,46.536999,3836600,0.053655875514225834,1.5270883832756932,46.56751766666667,46.728348
23,23,2013-02-05,55.939999,56.5,55.59,56.169998,46.728348,3172500,46.728348,3172500,0.4111530284439215,1.262755537700604,46.57305666666667,46.903046
24,24,2013-02-06,55.830002,56.5,55.779999,56.380001,46.903046,3091600,46.903046,3091600,0.9851316143603214,1.2305547739496254,46.717253666666664,46.778275
25,25,2013-02-07,56.5,56.84,55.939999,56.23,46.778275,4188900,46.778275,4188900,-0.47787610619469584,1.6673149477932416,46.72279766666666,47.044478999999995
26,26,2013-02-08,56.43,56.689999,56.25,56.549999,47.044478999999995,4450600,47.044478999999995,4450600,0.21265107212475629,1.7714798411632173,46.803222999999996,47.086075
27,27,2013-02-11,56.599998,57.639998999999996,56.240002000000004,56.599998,47.086075,7277300,47.086075,7277300,0.0,2.896596020333681,46.9086,47.360603000000005
28,28,2013-02-12,56.779999,57.099998,56.610001000000004,56.93,47.360603000000005,3501400,47.360603000000005,3501400,0.2641792931345476,1.3936681606634813,46.969609666666656,47.477066
29,29,2013-02-13,57.0,57.130001,56.790001000000004,57.07,47.477066,2373900,47.477066,2373900,0.12280701754386016,0.9448874297706741,47.163718999999986,47.585205
30,30,2013-02-14,56.849998,57.369999,56.630001,57.200001,47.585205,2288900,47.585205,2288900,0.6156605317734593,0.9110547360891764,47.307914666666655,47.618488
31,31,2013-02-15,57.349998,57.720001,57.0,57.240002000000004,47.618488,3335100,47.618488,3335100,-0.19179773990575436,1.327475490554857,47.474291333333326,47.868076
32,32,2013-02-19,56.689999,57.599998,56.27,57.540001000000004,47.868076,3678200,47.868076,3678200,1.4993861615697037,1.4640401635209963,47.560252999999996,47.194214
33,33,2013-02-20,57.259997999999996,57.580002,56.689999,56.73,47.194214,3697200,47.194214,3697200,-0.9255990543345795,1.471602765638037,47.69058966666666,46.661804
34,34,2013-02-21,56.509997999999996,56.700001,55.830002,56.09,46.661804,3406600,46.661804,3406600,-0.7432277736056415,1.355934756416352,47.560259333333335,47.5769
35,35,2013-02-22,56.810001,57.25,56.66,57.189999,47.5769,4580300,47.5769,4580300,0.6688927887890734,1.8231045514042792,47.24136466666666,46.753307
36,36,2013-02-25,57.189999,58.150002,56.200001,56.200001,46.753307,6055600,46.753307,6055600,-1.7310683988646336,2.4103207042079675,47.14430599999999,47.335640000000005
37,37,2013-02-26,56.57,57.009997999999996,56.169998,56.900002,47.335640000000005,4067500,47.335640000000005,4067500,0.5833515997878741,1.6189939005822556,46.997336999999995,47.393883
38,38,2013-02-27,56.93,57.200001,56.529999,56.970001,47.393883,4318700,47.393883,4318700,0.0702634814684766,1.7189794612033404,47.221949,47.077763
39,39,2013-02-28,56.869999,57.349998,56.52,56.59,47.077763,5290800,47.077763,5290800,-0.4923492261710723,2.1059060674125627,47.160943333333336,46.844818
40,40,2013-03-01,56.240002000000004,56.759997999999996,55.759997999999996,56.310001,46.844818,3773800,46.844818,3773800,0.12446478931490026,1.502091993120422,47.26909533333333,47.502026
41,41,2013-03-04,56.290001000000004,57.189999,56.259997999999996,57.099998,47.502026,2398900,47.502026,2398900,1.4389713725533522,0.9548382220299381,47.105488,47.834801
42,42,2013-03-05,57.32,58.02,57.32,57.5,47.834801,3838900,47.834801,3838900,0.3140265177948355,1.5280038561635454,47.14153566666666,48.799797
43,43,2013-03-06,57.889998999999996,59.23,57.759997999999996,58.66,48.799797,5271500,48.799797,5271500,1.330110577476432,2.098224055788411,47.39388166666666,48.799797
44,44,2013-03-07,58.689999,58.919998,58.259997999999996,58.66,48.799797,3355200,48.799797,3355200,-0.05111433039895547,1.3354759275313053,48.04554133333332,49.249043
45,45,2013-03-08,59.07,59.720001,58.950001,59.200001,49.249043,3499000,49.249043,3499000,0.22007956661587955,1.392712884606592,48.47813166666665,49.398777
46,46,2013-03-11,58.959998999999996,59.450001,58.599998,59.380001,49.398777,2189800,49.398777,2189800,0.7123507583505959,0.8716097955734539,48.949545666666644,49.1908
47,47,2013-03-12,59.330002,59.560001,58.849998,59.130001,49.1908,1842300,49.1908,1842300,-0.3370992638766476,0.733293783169684,49.14920566666664,49.7565
48,48,2013-03-13,59.169998,59.849998,59.099998,59.810001,49.7565,2061000,49.7565,2061000,1.0816343106856283,0.8203433138537256,49.279539999999976,49.872971
49,49,2013-03-14,59.91,60.110001000000004,59.779999,59.950001,49.872971,2564600,49.872971,2564600,0.0667684860624332,1.02079207312434,49.44869233333332,49.939514
50,50,2013-03-15,59.93,60.290001000000004,59.700001,60.029999,49.939514,6325800,49.939514,6325800,0.16685966961454504,2.5178688669460927,49.60675699999999,49.340548999999996
51,51,2013-03-18,59.310001,59.639998999999996,59.009997999999996,59.310001,49.340548999999996,2410800,49.340548999999996,2410800,0.0,0.9595747991453477,49.85632833333332,49.298962
52,52,2013-03-19,59.560001,59.810001,58.740002000000004,59.259997999999996,49.298962,2780600,49.298962,2780600,-0.5036987826779986,1.1067669182443811,49.71767799999998,50.355465
53,53,2013-03-20,59.639998999999996,60.650002,59.529999,60.529999,50.355465,4200800,50.355465,4200800,1.4922870806889192,1.6720515249086514,49.526341666666646,49.082653
54,54,2013-03-21,60.23,60.240002000000004,58.82,59.0,49.082653,2894300,49.082653,2894300,-2.0421716752448895,1.1520231214395138,49.664991999999984,49.723228000000006
55,55,2013-03-22,59.299999,59.779999,59.0,59.77,49.723228000000006,2652500,49.723228000000006,2652500,0.792581800886714,1.0557790587079123,49.57902666666664,49.348862
56,56,2013-03-25,60.16,60.200001,59.040001000000004,59.32,49.348862,2534100,49.348862,2534100,-1.3962765957446748,1.0086521065680378,49.72044866666664,49.714897
57,57,2013-03-26,59.700001,60.080002,59.400002,59.759997999999996,49.714897,2599000,49.714897,2599000,0.10049748575380366,1.0344843632730873,49.384914333333306,49.639709
58,58,2013-03-27,59.060001,59.439999,58.709998999999996,59.41,49.639709,3159800,49.639709,3159800,0.592615973711204,1.2577005352328976,49.59566233333331,49.372337
59,59,2013-03-28,59.459998999999996,59.66,59.040001000000004,59.09,49.372337,3358600,49.372337,3358600,-0.6222653989617337,1.3368292352785651,49.56782266666664,48.65377
60,60,2013-04-01,59.139998999999996,59.290001000000004,58.150002,58.23,48.65377,2355100,48.65377,2355100,-1.538720012491037,0.9374044339917075,49.57564766666665,49.054825
61,61,2013-04-02,58.540001000000004,58.900002,58.25,58.709998999999996,49.054825,2386200,49.054825,2386200,0.29039630525457716,0.9497832195622319,49.22193866666665,47.55085
62,62,2013-04-03,58.720001,58.810001,56.759997999999996,56.91,47.55085,4053800,47.55085,4053800,-3.0824267186235343,1.613540866424179,49.02697733333331,47.768089
63,63,2013-04-04,57.0,57.509997999999996,56.73,57.169998,47.768089,3342600,47.768089,3342600,0.2982421052631573,1.3304607282326362,48.41981499999997,48.102303000000006
64,64,2013-04-05,56.169998,57.619999,55.880001,57.57,48.102303000000006,4296800,48.102303000000006,4296800,2.492437332826682,1.710262567184225,48.12458799999997,48.428154
65,65,2013-04-08,57.619999,57.959998999999996,57.099998,57.959998999999996,48.428154,2499800,48.428154,2499800,0.5900729015979266,0.9949996195883276,47.80708066666664,48.862644
66,66,2013-04-09,58.18,58.880001,57.950001,58.48,48.862644,2971000,48.862644,2971000,0.5156411137848008,1.182552152090936,48.09951533333331,50.08255
67,67,2013-04-10,58.759997999999996,60.099998,58.619999,59.939999,50.08255,3645000,50.08255,3645000,2.0081705925177267,1.4508255114006938,48.464366999999974,50.533745
68,68,2013-04-11,60.060001,60.779999,59.950001,60.48,50.533745,3448400,50.533745,3448400,0.6992990226556891,1.3725724810738416,49.1244493333333,49.923798
69,69,2013-04-12,60.080002,60.310001,59.389998999999996,59.75,49.923798,2444500,49.923798,2444500,-0.5492709537526319,0.9729884671108356,49.82631299999997,48.177513
