,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,35.950001,37.57,35.799999,37.560001,34.792621999999994,2481500,34.792621999999994,2481500,4.478442156371566,1.500356456229385,,33.986725
1,1,2013-01-03,37.439999,37.48,36.540001000000004,36.689999,33.986725,2584200,33.986725,2584200,-2.00320518170954,1.5624505960862287,,34.042305
2,2,2013-01-04,36.68,36.900002,36.599998,36.75,34.042305,1182900,34.042305,1182900,0.1908396946564893,0.7152011493345716,,33.72736
3,3,2013-01-07,36.52,36.77,36.369999,36.41,33.72736,1889400,33.72736,1889400,-0.30120481927712633,1.1423628806769293,34.273884,33.403141
4,4,2013-01-08,36.389998999999996,36.470001,34.849998,36.060001,33.403141,4419500,33.403141,4419500,-0.9068370680636629,2.672103710782094,33.91879666666667,33.180824
5,5,2013-01-09,37.25,37.509997999999996,35.139998999999996,35.82,33.180824,4685300,33.180824,4685300,-3.8389261744966436,2.8328108419792613,33.72426866666667,33.051128000000006
6,6,2013-01-10,36.330002,36.349998,35.509997999999996,35.68,33.051128000000006,3261500,33.051128000000006,3261500,-1.7891603749430034,1.9719575184332616,33.437108333333335,33.004822
7,7,2013-01-11,35.740002000000004,35.990002000000004,35.41,35.630001,33.004822,2838100,33.004822,2838100,-0.3077811803144387,1.7159627880010548,33.21169766666667,32.726929
8,8,2013-01-14,35.310001,35.880001,34.459998999999996,35.330002,32.726929,5360700,32.726929,5360700,0.05664400859122208,3.2411689925081055,33.078924666666666,33.72736
9,9,2013-01-15,34.950001,36.580002,34.540001000000004,36.41,33.72736,3536500,33.72736,3536500,4.177393299645389,2.1382271236974493,32.927626333333336,35.802315
10,10,2013-01-16,37.200001,38.900002,37.0,38.650002,35.802315,6862700,35.802315,6862700,3.897852045756666,4.149303345623776,33.153037000000005,35.709686
11,11,2013-01-17,38.389998999999996,38.990002000000004,38.209998999999996,38.549999,35.709686,3023100,35.709686,3023100,0.4167752127318464,1.8278168860878716,34.08553466666667,35.885674
12,12,2013-01-18,38.580002,38.790001000000004,37.990002000000004,38.740002000000004,35.885674,1849000,35.885674,1849000,0.41472263272563775,1.1179363641217541,35.079787,35.292843
13,13,2013-01-22,38.59,38.669998,37.709998999999996,38.099998,35.292843,3081500,35.292843,3081500,-1.2697641876133818,1.863126504078521,35.79922500000001,35.098309
14,14,2013-01-23,37.950001,38.400002,37.779999,37.889998999999996,35.098309,2005800,35.098309,2005800,-0.15810803272443744,1.2127402699596617,35.62940100000001,34.987156
15,15,2013-01-24,37.959998999999996,38.209998999999996,37.630001,37.77,34.987156,1734700,34.987156,1734700,-0.500524249223487,1.0488286700064937,35.425608666666676,35.663368
16,16,2013-01-25,37.98,38.75,37.720001,38.5,35.663368,2419000,35.663368,2419000,1.3691416535018512,1.4625679095784332,35.126102666666675,35.811577
17,17,2013-01-28,38.490002000000004,38.849998,38.259997999999996,38.66,35.811577,1443600,35.811577,1443600,0.4416679427556084,0.8728247351250212,35.24961100000001,36.515583
18,18,2013-01-29,38.75,39.650002,38.619999,39.419998,36.515583,2835300,36.515583,2835300,1.7290270967741925,1.714269861111092,35.487367000000006,36.284008
19,19,2013-01-30,39.299999,39.580002,39.07,39.169998,36.284008,2702700,36.284008,2702700,-0.3307913570175919,1.6340976805364331,35.99684266666667,29.975754
20,20,2013-01-31,39.16,39.25,28.370001000000002,32.360001000000004,29.975754,38179200,29.975754,38179200,-17.36465526046985,23.083783684736222,36.20372266666667,30.272178999999998
21,21,2013-02-01,32.98,33.709998999999996,31.82,32.68,30.272178999999998,12075900,30.272178999999998,12075900,-0.9096422073984147,7.301291368035636,34.25844833333334,29.225433000000002
22,22,2013-02-04,32.169998,32.32,31.450001,31.549999,29.225433000000002,6566500,29.225433000000002,6566500,-1.927258435017621,3.970215865335586,32.17731366666667,28.632586
23,23,2013-02-05,31.17,31.43,30.41,30.91,28.632586,10272600,28.632586,10272600,-0.8341353865896746,6.210985989225057,29.824455333333344,29.058695
24,24,2013-02-06,30.809998999999998,31.549999,30.68,31.370001000000002,29.058695,5717100,29.058695,5717100,1.817598241402099,3.4566544009304923,29.37673266666668,29.262484000000004
25,25,2013-02-07,31.43,31.83,31.08,31.59,29.262484000000004,5234600,29.262484000000004,5234600,0.5090677696468346,3.1649268207851455,28.972238000000015,29.503332
26,26,2013-02-08,31.620001000000002,32.419998,31.610001,31.85,29.503332,4908500,29.503332,4908500,0.727384543725977,2.96776129977914,28.984588333333345,29.012377
27,27,2013-02-11,31.639999,31.700001,31.049999,31.32,29.012377,2966100,29.012377,2966100,-1.0113748739372568,1.7933537315422037,29.27483700000001,29.169855
28,28,2013-02-12,31.299999,31.709999,31.139999,31.49,29.169855,3068000,29.169855,3068000,0.6070319682757778,1.8549641780019153,29.259397666666676,29.53112
29,29,2013-02-13,31.65,32.16,31.389999,31.879998999999998,29.53112,2996100,29.53112,2996100,0.7266951026856221,1.8114922339346606,29.228521333333344,40.526554
30,30,2013-02-14,40.799999,44.18,40.049999,43.75,40.526554,50293100,40.526554,50293100,7.230394785058697,30.408050489135636,29.23778400000001,40.193073
31,31,2013-02-15,43.200001,44.200001,43.009997999999996,43.389998999999996,40.193073,10441900,40.193073,10441900,0.43981017500438413,6.313347604393155,33.075843000000006,40.091171
32,32,2013-02-19,43.299999,43.709998999999996,42.860001000000004,43.279999,40.091171,5268700,40.091171,5268700,-0.046189377510154506,3.1855442518379045,36.75024900000001,38.720226000000004
33,33,2013-02-20,43.18,43.189999,41.130001,41.799999,38.720226000000004,7536300,38.720226000000004,7536300,-3.1959263547938863,4.556573186009072,40.27026600000001,39.794754
34,34,2013-02-21,43.169998,43.43,42.040001000000004,42.959998999999996,39.794754,10012600,39.794754,10012600,-0.4864466289759925,6.053785635157098,39.668156666666675,40.721084999999995
35,35,2013-02-22,43.07,43.970001,42.91,43.959998999999996,40.721084999999995,3032200,40.721084999999995,3032200,2.066401207336884,1.8333188984802502,39.53538366666668,40.730346999999995
36,36,2013-02-25,44.130001,44.990002000000004,43.259997999999996,43.970001,40.730346999999995,5603100,40.730346999999995,5603100,-0.3625651402092572,3.3877280918391564,39.74535500000001,41.415821
37,37,2013-02-26,44.060001,44.849998,43.889998999999996,44.709998999999996,41.415821,2286600,41.415821,2286600,1.475256434969206,1.3825166523530572,40.41539533333334,41.360252
38,38,2013-02-27,44.549999,44.919998,44.400002,44.650002,41.360252,2723700,41.360252,2723700,0.22447363017898372,1.6467946322111529,40.95575100000001,40.98045
39,39,2013-02-28,44.490002000000004,44.740002000000004,43.889998999999996,44.240002000000004,40.98045,2554000,40.98045,2554000,-0.5619240026107438,1.5441911703444888,41.168806666666676,40.609924
40,40,2013-03-01,44.139998999999996,44.330002,43.610001000000004,43.84,40.609924,2625100,40.609924,2625100,-0.6796533910206762,1.5871794210146115,41.252174333333336,41.17498
41,41,2013-03-04,43.619999,44.540001000000004,43.599998,44.450001,41.17498,1725400,41.17498,1725400,1.9028015108391,1.043205734264832,40.98354200000001,40.887817
42,42,2013-03-05,45.009997999999996,45.009997999999996,44.009997999999996,44.139998999999996,40.887817,2569900,40.887817,2569900,-1.932901663314893,1.553804576612491,40.921784666666674,40.063393
43,43,2013-03-06,44.240002000000004,44.240002000000004,43.07,43.25,40.063393,2900800,40.063393,2900800,-2.237798271347284,1.7538722580012895,40.89090700000002,40.804446999999996
44,44,2013-03-07,43.25,44.099998,43.240002000000004,44.049999,40.804446999999996,2574300,40.804446999999996,2574300,1.8497086705202306,1.556464890296718,40.70873000000001,40.748871
45,45,2013-03-08,44.18,44.900002,42.419998,43.990002000000004,40.748871,4453600,40.748871,4453600,-0.4300543232231681,2.6927211418348533,40.585219000000016,40.267178
46,46,2013-03-11,43.630001,43.919998,43.380001,43.470001,40.267178,2269900,40.267178,2269900,-0.36672013828282196,1.372419552687923,40.538903666666684,40.091171
47,47,2013-03-12,43.41,43.630001,42.93,43.279999,40.091171,2402700,40.091171,2402700,-0.2994724717806958,1.452712656611865,40.606832000000026,40.656239
48,48,2013-03-13,43.32,44.009997999999996,43.32,43.889998999999996,40.656239,1542600,40.656239,1542600,1.315787165281615,0.9326817930201287,40.36907333333336,41.415821
49,49,2013-03-14,43.950001,44.84,43.830002,44.709998999999996,41.415821,2231700,41.415821,2231700,1.7292331802222165,1.3493231929748613,40.33819600000002,42.379189000000004
50,50,2013-03-15,44.549999,45.919998,44.400002,45.75,42.379189000000004,4674700,42.379189000000004,4674700,2.6936049987341195,2.82640190446726,40.721077000000015,43.629734
51,51,2013-03-18,46.700001,47.290001000000004,46.439999,47.099998,43.629734,4071400,43.629734,4071400,0.8565246069266659,2.4616366213549536,41.48374966666668,43.722355
52,52,2013-03-19,47.119999,47.349998,46.549999,47.200001,43.722355,2670900,43.722355,2670900,0.16978353501238477,1.614870868000429,42.474914666666685,43.416668
53,53,2013-03-20,47.43,47.82,46.82,46.869999,43.416668,1879300,43.416668,1879300,-1.1806894370651482,1.1362562515381354,43.24375933333335,42.851616
54,54,2013-03-21,46.580002,47.27,46.259997999999996,46.259997999999996,42.851616,1669200,42.851616,1669200,-0.6869986823959441,1.0092262731162964,43.589585666666686,43.157299
55,55,2013-03-22,46.209998999999996,47.09,46.150002,46.59,43.157299,1380700,43.157299,1380700,0.8223350102215046,0.8347943417755035,43.330213000000015,43.342566999999995
56,56,2013-03-25,46.740002000000004,46.880001,46.119999,46.790001000000004,43.342566999999995,1400300,43.342566999999995,1400300,0.1069726098856386,0.8466448300052419,43.14186100000001,44.037315
57,57,2013-03-26,47.009997999999996,47.580002,46.849998,47.540001000000004,44.037315,1244800,44.037315,1244800,1.127426127522932,0.7526269259376741,43.11716066666668,43.916889000000005
58,58,2013-03-27,47.169998,47.48,46.880001,47.41,43.916889000000005,809400,43.916889000000005,809400,0.5088022263643024,0.48937679454848443,43.512393666666675,44.129944
59,59,2013-03-28,47.540001000000004,47.669998,47.119999,47.639998999999996,44.129944,1491500,44.129944,1491500,0.2103449682300012,0.9017858772783105,43.76559033333334,43.814999
60,60,2013-04-01,47.66,47.68,46.939999,47.299999,43.814999,1017200,43.814999,1017200,-0.7553524968527002,0.6150161544535685,44.02804933333334,45.195217
61,61,2013-04-02,47.48,49.220001,47.330002,48.790001000000004,45.195217,2826200,45.195217,2826200,2.7590585509688434,1.7087678487187135,43.95394400000001,44.787636
62,62,2013-04-03,48.91,48.91,48.09,48.349998,44.787636,3605900,44.787636,3605900,-1.1449642199959051,2.1801875258986656,44.380053333333336,44.694992
63,63,2013-04-04,48.209998999999996,48.880001,47.779999,48.25,44.694992,2969500,44.694992,2969500,0.08297241408365043,1.7954094284800155,44.599284000000004,44.315197
