,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,138.800003,141.100006,138.699997,140.0,79.230743,659100,79.230743,659100,0.8645511340514858,1.3920814438958433,,79.01003299999999
1,1,2013-01-03,140.059998,141.279999,139.08999599999999,139.610001,79.01003299999999,375900,79.01003299999999,375900,-0.3212887379878416,0.7939362991358634,,79.394859
2,2,2013-01-04,139.550003,140.300003,138.800003,140.28999299999998,79.394859,305000,79.394859,305000,0.530268709489012,0.6441888035020972,,79.65519
3,3,2013-01-07,139.850006,140.759995,138.809998,140.75,79.65519,366700,79.65519,366700,0.6435423392116211,0.7745050303089148,79.21187833333333,77.81591
4,4,2013-01-08,140.360001,141.229996,136.66000400000001,137.5,77.81591,792200,77.81591,792200,-2.037618252795546,1.6732012135552832,79.35336066666666,78.998711
5,5,2013-01-09,137.800003,139.610001,137.639999,139.58999599999999,78.998711,949300,78.998711,949300,1.298978926727586,2.005011249719806,78.95531966666667,77.017937
6,6,2013-01-10,140.149994,140.149994,134.96000700000002,136.08999599999999,77.017937,1125200,77.017937,1125200,-2.896894879638744,2.3765286613133108,78.82327033333333,77.832886
7,7,2013-01-11,136.559998,138.229996,136.21000700000002,137.529999,77.832886,717300,77.832886,717300,0.7103112289149245,1.5150053401706698,77.944186,76.82553100000001
8,8,2013-01-14,137.16000400000001,137.889999,135.119995,135.75,76.82553100000001,507000,76.82553100000001,507000,-1.027999386760017,1.0708318799198795,77.94984466666666,76.672714
9,9,2013-01-15,134.830002,136.889999,134.679993,135.479996,76.672714,768800,76.672714,768800,0.4820840987601501,1.6237782037128272,77.22545133333334,76.293541
10,10,2013-01-16,135.179993,135.179993,133.0,134.809998,76.293541,222800,76.293541,222800,-0.2737054439705355,0.4705746407221877,77.11037699999999,77.357506
11,11,2013-01-17,135.240005,136.979996,134.71000700000002,136.690002,77.357506,296500,77.357506,296500,1.0721657397158453,0.626236000781547,76.59726199999999,77.091515
12,12,2013-01-18,136.779999,136.779999,134.309998,136.220001,77.091515,487200,77.091515,487200,-0.4094151221627128,1.029012410053186,76.77458699999998,77.54426600000001
13,13,2013-01-22,136.080002,137.130005,135.5,137.020004,77.54426600000001,240600,77.54426600000001,240600,0.6907715947858324,0.5081699217134577,76.91418733333332,77.776299
14,14,2013-01-23,136.979996,137.559998,136.190002,137.429993,77.776299,163800,77.776299,163800,0.3285129311874095,0.34596106889719186,77.33109566666666,78.21772800000001
15,15,2013-01-24,137.139999,139.369995,137.020004,138.21000700000002,78.21772800000001,261000,78.21772800000001,261000,0.7802304271564344,0.5512566482427782,77.47069333333332,78.33091
16,16,2013-01-25,138.630005,138.96000700000002,137.779999,138.41000400000001,78.33091,334200,78.33091,334200,-0.15869652460879327,0.7058619610832816,77.84609766666665,77.459373
17,17,2013-01-28,139.190002,139.190002,135.96000700000002,136.869995,77.459373,290200,77.459373,290200,-1.666791412216521,0.6129298058239626,78.10831233333333,78.002663
18,18,2013-01-29,136.440002,138.699997,136.03999299999998,137.830002,78.002663,387100,78.002663,387100,1.018762811217208,0.8175917568382355,78.00267033333334,77.99700899999999
19,19,2013-01-30,137.199997,138.53999299999998,137.139999,137.820007,77.99700899999999,608500,77.99700899999999,608500,0.4519023422427682,1.2852094653476267,77.93098199999999,76.650085
20,20,2013-01-31,137.740005,138.220001,135.399994,135.440002,76.650085,390600,76.650085,390600,-1.669814807978266,0.8249840873702267,77.81968166666665,77.204697
21,21,2013-02-01,136.449997,137.509995,135.970001,136.419998,77.204697,587200,77.204697,587200,-0.021985343099717083,1.2402218538243654,77.54991899999997,77.940414
22,22,2013-02-04,135.990005,143.940002,134.46000700000002,137.720001,77.940414,1404100,77.940414,1404100,1.272149375978036,2.9655917999911297,77.28393033333332,78.913826
23,23,2013-02-05,139.070007,140.279999,138.0,139.440002,78.913826,504400,78.913826,504400,0.2660494580977397,1.065340434381829,77.26506533333333,79.08359499999999
24,24,2013-02-06,139.119995,140.050003,138.25,139.740005,79.08359499999999,587300,79.08359499999999,587300,0.445665628438247,1.2404330632681366,78.01964566666668,81.27376600000001
25,25,2013-02-07,139.899994,143.699997,139.5,143.610001,81.27376600000001,789900,81.27376600000001,789900,2.6518993274581693,1.6683433963485461,78.645945,80.956848
26,26,2013-02-08,143.600006,144.850006,142.740005,143.050003,80.956848,541200,80.956848,541200,-0.3830104296792326,1.143065509689623,79.75706233333334,82.162277
27,27,2013-02-11,143.25,146.449997,142.949997,145.179993,82.162277,685100,82.162277,685100,1.3472900523560183,1.44699589927635,80.43806966666668,82.00948299999999
28,28,2013-02-12,145.550003,146.309998,143.41000400000001,144.91000400000001,82.00948299999999,282600,82.00948299999999,282600,-0.4397107432556967,0.596877888097353,81.464297,81.918938
29,29,2013-02-13,145.0,145.699997,143.570007,144.75,81.918938,244300,81.918938,244300,-0.1724137931034483,0.5159846711329913,81.709536,81.17756700000001
30,30,2013-02-14,144.279999,144.779999,142.669998,143.440002,81.17756700000001,242500,81.17756700000001,242500,-0.582199200042974,0.51218290114511,82.03023266666668,81.364319
31,31,2013-02-15,143.21000700000002,144.139999,142.880005,143.770004,81.364319,264200,81.364319,264200,0.3910320317210663,0.558015350443456,81.70199600000001,80.956848
32,32,2013-02-19,143.729996,144.229996,142.399994,143.050003,80.956848,562700,80.956848,562700,-0.47310444508743743,1.1884755401004266,81.48694133333335,79.151512
33,33,2013-02-20,143.259995,143.720001,139.71000700000002,139.860001,79.151512,357000,79.151512,357000,-2.3733031681314745,0.7540177142631105,81.16624466666669,79.887238
34,34,2013-02-21,139.470001,141.21000700000002,138.919998,141.16000400000001,79.887238,374400,79.887238,374400,1.2117322634851193,0.7907681574792956,80.49089300000001,80.781403
35,35,2013-02-22,141.5,143.0,141.5,142.740005,80.781403,243400,80.781403,243400,0.8763286219081247,0.5140837861390506,79.99853266666666,78.568596
36,36,2013-02-25,143.190002,143.229996,138.830002,138.830002,78.568596,280500,78.568596,280500,-3.044905327957175,0.5924424897781582,79.940051,78.76666999999999
37,37,2013-02-26,139.529999,139.949997,138.470001,139.179993,78.76666999999999,207800,78.76666999999999,207800,-0.25084641475558783,0.4388932241565108,79.74574566666668,80.702179
38,38,2013-02-27,139.279999,143.529999,139.0,142.600006,80.702179,358400,80.702179,358400,2.383692578860518,0.756974646475907,79.372223,80.555031
39,39,2013-02-28,142.820007,144.330002,141.940002,142.33999599999999,80.555031,454800,80.555031,454800,-0.3360950682490996,0.9605805502713238,79.345815,80.74744399999999
40,40,2013-03-01,141.71000700000002,143.610001,140.53999299999998,142.679993,80.74744399999999,196900,80.74744399999999,196900,0.6844865938084226,0.4158713947854522,80.00795999999998,80.22113
41,41,2013-03-04,142.08999599999999,143.080002,141.009995,141.75,80.22113,295500,80.22113,295500,-0.23928215185535306,0.6241239063438351,80.66821799999998,80.837997
42,42,2013-03-05,142.619995,144.610001,142.429993,142.83999599999999,80.837997,195500,80.837997,195500,0.1542567716399067,0.41291446257265574,80.50786833333332,81.217178
43,43,2013-03-06,143.649994,144.139999,142.850006,143.509995,81.217178,141800,81.217178,141800,-0.09745840991819943,0.2994949912675324,80.60219033333333,81.336014
44,44,2013-03-07,143.96000700000002,144.369995,142.759995,143.720001,81.336014,160700,81.336014,160700,-0.16671713554447268,0.3394135761402853,80.75876833333332,81.409584
45,45,2013-03-08,144.360001,144.66000400000001,143.360001,143.850006,81.409584,329600,81.409584,329600,-0.35327999201108584,0.6961463266698072,81.13039633333331,83.509201
46,46,2013-03-11,146.449997,147.75,145.309998,147.559998,83.509201,526200,83.509201,526200,0.7579385611049286,1.111384093123946,81.3209253333333,83.135681
47,47,2013-03-12,147.669998,148.169998,146.179993,146.899994,83.135681,272600,83.135681,272600,-0.5214356405693187,0.575756943720235,82.08493299999998,85.223984
48,48,2013-03-13,146.970001,150.679993,146.610001,150.58999599999999,85.223984,325300,85.223984,325300,2.4630842861598596,0.6870643205876465,82.68482199999997,85.40508299999999
49,49,2013-03-14,150.970001,151.029999,149.509995,150.91000400000001,85.40508299999999,245000,85.40508299999999,245000,-0.039741007884063956,0.5174631372393895,83.95628866666664,85.467339
50,50,2013-03-15,150.270004,151.96000700000002,150.08999599999999,151.020004,85.467339,628400,85.467339,628400,0.4991016038037771,1.3272401446580913,84.5882493333333,84.946686
51,51,2013-03-18,149.479996,151.380005,149.429993,150.100006,84.946686,264400,84.946686,264400,0.4147779078078164,0.5584377693309983,85.36546866666663,85.13909100000001
52,52,2013-03-19,150.449997,151.0,149.0,150.440002,85.13909100000001,319300,85.13909100000001,319300,-0.0066434032564344474,0.6743917539613759,85.27303599999996,85.857834
53,53,2013-03-20,150.96000700000002,152.169998,149.949997,151.71000700000002,85.857834,216200,85.857834,216200,0.4968203267240176,0.4566348174332899,85.18437199999998,84.725975
54,54,2013-03-21,150.809998,151.360001,149.0,149.71000700000002,84.725975,178300,84.725975,178300,-0.7293886443788619,0.37658643824401283,85.31453699999999,84.52223199999999
55,55,2013-03-22,150.199997,150.470001,148.83999599999999,149.350006,84.52223199999999,145100,84.52223199999999,145100,-0.5659061364694892,0.3064649029119813,85.24096666666667,83.91667199999999
56,56,2013-03-25,149.779999,150.66000400000001,147.869995,148.279999,83.91667199999999,305600,83.91667199999999,305600,-1.00146882762364,0.6454560601647242,85.03534699999999,85.042885
57,57,2013-03-26,149.16000400000001,150.580002,148.350006,150.270004,85.042885,241600,85.042885,241600,0.7441673171314644,0.5102820161511694,84.38829299999999,85.43338
58,58,2013-03-27,149.46000700000002,151.5,148.630005,150.96000700000002,85.43338,179200,85.43338,179200,1.0036129598200807,0.3784873232379535,84.49392966666665,86.54261
59,59,2013-03-28,151.190002,153.119995,150.149994,152.919998,86.54261,213300,86.54261,213300,1.1442529116442501,0.45050974356392565,84.79764566666665,85.506943
60,60,2013-04-01,153.190002,153.740005,150.669998,151.08999599999999,85.506943,269600,85.506943,269600,-1.3708505598165655,0.5694206604070996,85.67295833333331,85.110786
61,61,2013-04-02,151.169998,152.169998,150.229996,150.389999,85.110786,241700,85.110786,241700,-0.5159747372623525,0.5104932255949406,85.82764433333331,84.6241
62,62,2013-04-03,150.809998,151.470001,148.83999599999999,149.529999,84.6241,243300,84.6241,243300,-0.8487494310556277,0.5138725766952794,85.72011299999998,84.799538
63,63,2013-04-04,149.679993,150.28999299999998,148.75,149.83999599999999,84.799538,95000,84.799538,95000,0.10689671798687819,0.20064897158262043,85.08060966666666,83.690308
64,64,2013-04-05,148.169998,148.550003,146.199997,147.880005,83.690308,293700,83.690308,293700,-0.19571640947176183,0.6203221363559539,84.84480799999999,85.048546
65,65,2013-04-08,147.71000700000002,151.0,147.630005,150.279999,85.048546,192400,85.048546,192400,1.7398902431843937,0.40636696981574916,84.37131533333331,85.574867
66,66,2013-04-09,150.399994,151.759995,150.330002,151.21000700000002,85.574867,266100,85.574867,266100,0.5385724948898777,0.5620283298751083,84.51279733333331,86.712402
67,67,2013-04-10,151.639999,153.649994,150.360001,153.220001,86.712402,285500,86.712402,285500,1.0419427660376122,0.6030029619667172,84.77124033333331,86.593552
68,68,2013-04-11,153.630005,155.169998,151.990005,153.009995,86.593552,308100,86.593552,308100,-0.4035735076621313,0.6507362962590038,85.77860499999997,86.531288
69,69,2013-04-12,152.360001,153.66000400000001,151.059998,152.899994,86.531288,139700,86.531288,139700,0.3544191365553885,0.2950595929483376,86.29360699999997,84.256241
70,70,2013-04-15,152.899994,153.440002,148.5,148.880005,84.256241,233600,84.256241,233600,-2.6291623006865397,0.4933852606494751,86.61241399999999,83.848763
71,71,2013-04-16,150.389999,150.5,146.860001,148.16000400000001,83.848763,365800,83.848763,365800,-1.4828080423087004,0.7726041453149742,85.79369366666664,82.337723
72,72,2013-04-17,146.759995,147.429993,143.820007,145.490005,82.337723,351900,82.337723,351900,-0.8653516239217691,0.7432460326307803,84.87876399999999,81.596352
73,73,2013-04-18,145.630005,145.669998,142.929993,144.179993,81.596352,146600,81.596352,146600,-0.9956821741508661,0.309633044568549,83.48090899999998,82.269806
74,74,2013-04-19,144.71000700000002,145.449997,144.050003,145.369995,82.269806,128300,82.269806,128300,0.45607626845043964,0.27098171635842316,82.5942793333333,82.716904
75,75,2013-04-22,145.600006,146.78999299999998,143.320007,146.16000400000001,82.716904,212300,82.716904,212300,0.3846139951395382,0.4483976491262138,82.0679603333333,83.124367
76,76,2013-04-23,147.139999,147.199997,145.009995,146.880005,83.124367,139200,83.124367,139200,-0.17669838369373486,0.29400354572948173,82.19435399999998,83.809143
77,77,2013-04-24,147.529999,148.5,147.21000700000002,148.08999599999999,83.809143,178100,83.809143,178100,0.37958178254985375,0.3761640193564705,82.70369233333331,83.39035799999999
78,78,2013-04-25,148.199997,148.41000400000001,147.110001,147.350006,83.39035799999999,141500,83.39035799999999,141500,-0.5735431964954687,0.29886136293621884,83.21680466666665,82.235855
79,79,2013-04-26,147.449997,147.610001,144.800003,145.309998,82.235855,251200,82.235855,251200,-1.4513387884300797,0.5305581227532027,83.44128933333332,81.98683199999999
80,80,2013-04-29,145.600006,145.929993,144.050003,144.869995,81.98683199999999,320700,81.98683199999999,320700,-0.5013811606573827,0.6773486861741723,83.14511866666665,83.079094
81,81,2013-04-30,144.929993,147.08999599999999,144.740005,146.800003,83.079094,446500,83.079094,446500,1.290285027475305,0.943050166438316,82.53768166666664,83.192284
82,82,2013-05-01,146.729996,148.149994,146.050003,147.0,83.192284,325100,83.192284,325100,0.18401418071326067,0.6866419017001042,82.43392699999998,84.335472
83,83,2013-05-02,147.619995,149.990005,147.619995,149.020004,84.335472,192400,84.335472,192400,0.9483871070446869,0.40636696981574916,82.75273666666665,84.607117
84,84,2013-05-03,150.889999,150.990005,149.429993,149.5,84.607117,236700,84.607117,236700,-0.9212002181801253,0.4999327534063816,83.53561666666666,85.05986
85,85,2013-05-06,149.53999299999998,151.0,149.009995,150.300003,85.05986,265200,85.05986,265200,0.508231934984792,0.5601274448811677,84.04495766666666,84.963654
86,86,2013-05-07,151.0,151.0,146.25,150.130005,84.963654,453400,84.963654,453400,-0.5761556291390654,0.9576236180585274,84.66748299999999,84.04118299999999
87,87,2013-05-08,150.270004,150.66000400000001,147.83999599999999,148.5,84.04118299999999,283800,84.04118299999999,283800,-1.1778824468521343,0.5994124014226071,84.876877,84.816505
88,88,2013-05-09,149.03999299999998,150.970001,147.990005,149.869995,84.816505,253700,84.816505,253700,0.5568988452649803,0.5358383588474821,84.68823233333332,84.233604
89,89,2013-05-10,149.800003,150.199997,148.649994,148.83999599999999,84.233604,142200,84.233604,142200,-0.6408591326930873,0.3003398290426171,84.60711399999998,83.82045699999999
90,90,2013-05-13,148.850006,148.850006,147.28999299999998,148.110001,83.82045699999999,265000,83.82045699999999,265000,-0.49714811566752404,0.5597050259936254,84.36376399999999,84.935349
91,91,2013-05-14,147.889999,150.21000700000002,147.880005,150.080002,84.935349,251200,84.935349,251200,1.4808323854272383,0.5305581227532027,84.29018866666665,87.54431899999999
92,92,2013-05-15,150.080002,155.970001,149.899994,154.690002,87.54431899999999,556900,87.54431899999999,556900,3.0716950550147146,1.176225392361698,84.3298033333333,85.257942
93,93,2013-05-16,154.949997,155.429993,150.169998,150.649994,85.257942,443200,85.257942,443200,-2.775090728139868,0.936080254793867,85.43337499999996,84.79386099999999
94,94,2013-05-17,150.690002,152.279999,148.809998,149.830002,84.79386099999999,447700,84.79386099999999,447700,-0.5707080686082845,0.9455846797635702,85.91253666666664,84.799538
