,index,Date,Open,High,Low,Close,Adj Close,Volume,adjClose,volume,Percent Price Change Within Period,Scaled Volume,SMA(3),t+1
0,0,2013-01-02,48.526241,48.526241,47.677929,48.281811,41.114292,6091300,41.114292,6091300,-0.5037068500731414,1.6535317332402877,,41.371403
1,1,2013-01-03,48.260246,48.921638,48.123653000000004,48.583752000000004,41.371403,3654500,41.371403,3654500,0.6703364089772809,0.9920430317217395,,41.824436
2,2,2013-01-04,48.483105,49.209202000000005,48.058949,49.115746,41.824436,3782600,41.824436,3782600,1.3048689847731485,1.0268167934849233,,41.561192
3,3,2013-01-07,48.878506,49.094177,47.958302,48.806614,41.561192,5289400,41.561192,5289400,-0.14708305527995943,1.4358496133503813,41.43671033333333,39.816466999999996
4,4,2013-01-08,46.297626,47.038101,46.297626,46.757729,39.816466999999996,17253600,39.816466999999996,17253600,0.9937939366480618,4.68362666633307,41.585677,39.887226
5,5,2013-01-09,46.772106,47.002155,46.074768,46.599567,39.887226,10365400,39.887226,10365400,-0.3688929465780319,2.813770102889183,41.06736499999999,40.767193
6,6,2013-01-10,46.944645,47.821712,46.915890000000005,47.627604999999996,40.767193,6913900,40.767193,6913900,1.4548198202372054,1.8768330324315048,40.42162833333333,41.148708
7,7,2013-01-11,47.526958,48.138031,47.117184,48.07333,41.148708,5537500,41.148708,5537500,1.1496043992548357,1.5031983275849317,40.15696199999999,40.705658
8,8,2013-01-14,48.13084,48.296188,47.483826,47.555714,40.705658,4844100,40.705658,4844100,-1.1949220084253618,1.3149693938878857,40.60104233333333,40.841026
9,9,2013-01-15,47.462257,47.836090000000006,47.36161,47.713875,40.841026,3728500,40.841026,3728500,0.530143351589876,1.0121309190790821,40.873853,40.582588
10,10,2013-01-16,47.397556,47.627604999999996,47.347233,47.411934,40.582588,4214800,40.582588,4214800,0.030334897436485264,1.1441409139692946,40.898464,40.244141
11,11,2013-01-17,47.584472999999996,47.620419,46.764915,47.016537,40.244141,7904000,40.244141,7904000,-1.1935321843324735,2.1456035361140042,40.709757333333336,40.090302
12,12,2013-01-18,47.016537,47.074047,46.657082,46.836807,40.090302,6259900,40.090302,6259900,-0.38226975329977897,1.6992995414625576,40.555918333333345,40.176453
13,13,2013-01-22,46.671459000000006,47.311287,46.477356,46.937453999999995,40.176453,5746700,40.176453,5746700,0.5699307578963613,1.5599873280600138,40.30567700000001,40.674892
14,14,2013-01-23,47.016537,47.541336,46.944645,47.519771999999996,40.674892,6692500,40.674892,6692500,1.0703361670384115,1.8167322451218337,40.17029866666668,40.853328999999995
15,15,2013-01-24,47.627604999999996,48.030193,47.562903999999996,47.728252000000005,40.853328999999995,5359800,40.853328999999995,5359800,0.2113207246092036,1.4549602521335832,40.31388233333335,39.770313
16,16,2013-01-25,47.232208,47.253772999999995,46.010063,46.462975,39.770313,11695200,39.770313,11695200,-1.6286196063499716,3.1747548678593756,40.56822466666668,39.745701000000004
17,17,2013-01-28,46.376709000000005,46.635513,45.485264,46.434219,39.745701000000004,10559400,39.745701000000004,10559400,0.1240062118249777,2.866432942717892,40.43284466666668,39.530331
18,18,2013-01-29,46.189793,46.750538,46.010063,46.182602,39.530331,6792300,39.530331,6792300,-0.015568374597389592,1.8438237472605201,40.12311433333335,39.530331
19,19,2013-01-30,45.923798,46.419841999999996,45.420559000000004,46.182602,39.530331,16011600,39.530331,16011600,0.5635509502066988,4.346475908254427,39.68211500000001,39.961075
20,20,2013-01-31,46.161034,47.016537,46.024445,46.685837,39.961075,7135100,39.961075,7135100,1.136896110256106,1.9368795281537237,39.602121000000004,40.570278
21,21,2013-02-01,46.887131,47.462257,46.585190000000004,47.397556,40.570278,6524700,40.570278,6524700,1.0886249363391527,1.771181603249373,39.67391233333334,39.345721999999995
22,22,2013-02-04,47.375988,47.455067,45.938175,45.96693,39.345721999999995,14607800,39.345721999999995,14607800,-2.9742028810037726,3.965403255926892,40.02056133333335,38.201159999999994
23,23,2013-02-05,42.947521,45.017971,42.904385,44.629765,38.201159999999994,40539500,38.201159999999994,40539500,3.9169757900578173,11.004769047608006,39.95902500000002,38.72422
24,24,2013-02-06,44.076202,45.442127,43.932423,45.240833,38.72422,12602700,38.72422,12602700,2.642312511409218,3.4211029459240843,39.37238666666668,39.118041999999996
25,25,2013-02-07,45.319912,45.974121000000004,45.291157,45.700935,39.118041999999996,9520100,39.118041999999996,9520100,0.8407408205029148,2.5843067085221323,38.75703400000001,40.182602
26,26,2013-02-08,45.794391999999995,47.081238,45.765636,46.944645,40.182602,10001400,40.182602,10001400,2.5117769878897107,2.7149594137260378,38.681140666666685,39.721084999999995
27,27,2013-02-11,46.843998,46.865562,46.355140999999996,46.405464,39.721084999999995,7445400,39.721084999999995,7445400,-0.936158352666647,2.021112926085932,39.34162133333336,39.84417
28,28,2013-02-12,46.427032000000004,46.772106,46.0532,46.549244,39.84417,6863700,39.84417,6863700,0.26323457420236884,1.8632058439809833,39.67390966666668,39.634933000000004
29,29,2013-02-13,46.563621999999995,46.664268,45.974121000000004,46.304817,39.634933000000004,5564000,39.634933000000004,5564000,-0.5558094256499103,1.5103919629223583,39.915952333333344,39.314957
30,30,2013-02-14,46.20417,46.398272999999996,45.844715,45.930984,39.314957,5493800,39.314957,5493800,-0.5912583214891546,1.4913356157266089,39.73339600000002,39.376488
31,31,2013-02-15,45.880660999999996,46.369518,45.614666,46.002876,39.376488,6028800,39.376488,6028800,0.26637584842119905,1.6365656121614511,39.59802000000002,40.090302
32,32,2013-02-19,46.153847,46.858376,45.959740000000004,46.836807,40.090302,5962900,40.090302,5962900,1.4797466395379812,1.6186765340959257,39.44212600000002,39.727245
33,33,2013-02-20,46.851185,47.059669,46.383896,46.412651000000004,39.727245,5985300,39.727245,5985300,-0.9360147454114491,1.6247571918905808,39.59391566666669,40.028751
34,34,2013-02-21,46.20417,47.016537,46.189793,46.764915,40.028751,6241900,40.028751,6241900,1.2136242248264697,1.6944132985918527,39.731345000000026,40.274906
35,35,2013-02-22,46.879944,47.160315999999995,46.527679,47.052479,40.274906,3587500,40.274906,3587500,0.3680358491895731,0.9738553499252265,39.94876600000003,39.83186
36,36,2013-02-25,47.174694,47.728252000000005,46.534866,46.534866,39.83186,6103700,39.83186,6103700,-1.3562949661104349,1.656897811662329,40.010300666666694,39.917999
37,37,2013-02-26,46.836807,47.074047,46.232925,46.635513,39.917999,5227700,39.917999,5227700,-0.4297773757293002,1.4191006586213537,40.04517233333336,40.231827
38,38,2013-02-27,46.621136,47.196262,46.556435,47.002155,40.231827,2760500,40.231827,2760500,0.8172666577665589,0.7493596358100594,40.00825500000003,40.293369
39,39,2013-02-28,47.181885,47.792953000000004,47.038101,47.074047,40.293369,4684000,40.293369,4684000,-0.22855805782240574,1.2715089781323377,39.99389533333336,40.12722
40,40,2013-03-01,46.649891,47.174694,46.261681,46.879944,40.12722,4283800,40.12722,4283800,0.49314799042082474,1.1628715116403305,40.147731666666694,40.287216
41,41,2013-03-04,46.808052,47.074047,46.693027,47.06686,40.287216,2988700,40.287216,2988700,0.5529134175461837,0.8113063370931078,40.21747200000002,40.797951
42,42,2013-03-05,47.153126,48.044571000000005,47.124371000000004,47.663551,40.797951,4375800,40.797951,4375800,1.0824839057329898,1.187845641868378,40.23593500000002,41.173321
43,43,2013-03-06,47.706684,48.885692999999996,47.663551,48.102084999999995,41.173321,5930600,41.173321,5930600,0.8288167754438613,1.6099084427223829,40.404129000000026,41.382538000000004
44,44,2013-03-07,48.037384,48.389648,47.900791,48.346512,41.382538000000004,4922300,41.382538000000004,4922300,0.6435154753639251,1.3361974045817262,40.75282933333336,41.671761
45,45,2013-03-08,48.677212,49.151688,48.648453,48.684399,41.671761,6399100,41.671761,6399100,0.014764608950902593,1.7370864863293427,41.1179366666667,41.745605
46,46,2013-03-11,48.727534999999996,48.864128,48.396834999999996,48.770668,41.745605,6491700,41.745605,6491700,0.0885187399691048,1.7622234913197472,41.4092066666667,42.29327
47,47,2013-03-12,51.322788,51.401871,49.281094,49.410496,42.29327,13152800,42.29327,13152800,-3.7260095846702654,3.5704319572115732,41.59996800000003,42.674789000000004
48,48,2013-03-13,49.324226,50.057514000000005,49.281094,49.85622,42.674789000000004,8306900,42.674789000000004,8306900,1.0785653281209064,2.254973939036617,41.90354533333336,42.982468
49,49,2013-03-14,49.935299,50.258808,49.784328,50.215672,42.982468,3717000,42.982468,3717000,0.5614725567178387,1.0090091528005762,42.23788800000003,43.197838
50,50,2013-03-15,49.985622,50.467289,49.777138,50.467289,43.197838,4865000,43.197838,4865000,0.963611096006771,1.3206428647766486,42.6501756666667,42.527111
51,51,2013-03-18,49.827461,50.057514000000005,49.424873,49.683681,42.527111,4433100,42.527111,4433100,-0.28855574238470544,1.2034001816734556,42.95169833333336,42.360943
52,52,2013-03-19,49.798706,49.992809,49.216393,49.489574,42.360943,3325400,42.360943,3325400,-0.6207631178207829,0.902706224569017,42.90247233333336,42.736323999999996
53,53,2013-03-20,49.734004999999996,50.115025,49.568657,49.928108,42.736323999999996,2293800,42.736323999999996,2293800,0.39028226260886384,0.62267021649017,42.69529733333335,42.742470000000004
54,54,2013-03-21,49.647736,50.251616999999996,49.647736,49.935299,42.742470000000004,2544800,42.742470000000004,2544800,0.5792066731904928,0.6908061587427781,42.54145933333336,42.884009999999996
55,55,2013-03-22,49.863407,50.251616999999996,49.820274,50.100646999999995,42.884009999999996,2492500,42.884009999999996,2492500,0.4757797637052614,0.6766089086240076,42.61324566666669,43.505508
56,56,2013-03-25,50.71172,51.028038,50.53199,50.826744,43.505508,5041600,43.505508,5041600,0.22681936246689766,1.3685823364970096,42.787601333333356,43.757797
57,57,2013-03-26,50.905823,51.24371,50.754852,51.121494,43.757797,4114500,43.757797,4114500,0.42366665990254276,1.1169136828619777,43.04399600000002,43.887028
58,58,2013-03-27,50.76923,51.322788,50.762043,51.272465000000004,43.887028,2687800,43.887028,2687800,0.9912204695639536,0.7296246437711564,43.38243833333336,44.268551
59,59,2013-03-28,51.272465000000004,51.912292,50.970524,51.718189,44.268551,4555800,44.268551,4555800,0.8693243049656348,1.2367080705754279,43.7167776666667,43.79472
60,60,2013-04-01,51.710999,51.991375,51.056793,51.164631,43.79472,2207500,43.79472,2207500,-1.0565798583779074,0.5992433965045122,43.97112533333337,43.167061
61,61,2013-04-02,50.913013,50.984901,49.913731,50.431343,43.167061,7834600,43.167061,7834600,-0.9460646141684861,2.126764355268064,43.98343300000005,41.560997
62,62,2013-04-03,50.273185999999995,50.301941,48.238678,48.554996,41.560997,12093000,41.560997,12093000,-3.417706608051443,3.282740835301955,43.743444000000046,41.677902
63,63,2013-04-04,48.60532,49.086987,48.396834999999996,48.691589,41.677902,4674400,41.677902,4674400,0.1774888016373547,1.2689029819346282,42.840926000000046,41.210243
64,64,2013-04-05,47.807331,48.209922999999996,46.930267,48.145218,41.210243,10587300,41.210243,10587300,0.7067681732745174,2.8740066191674845,42.13532000000005,41.43177
65,65,2013-04-08,47.562903999999996,48.432781,47.519771999999996,48.404026,41.43177,5473100,41.43177,5473100,1.7684412204940343,1.4857164364252982,41.48304733333339,41.099476
66,66,2013-04-09,48.396834999999996,48.562187,47.929546,48.015816,41.099476,8234500,41.099476,8234500,-0.7872808211528604,2.235320384378893,41.43997166666672,41.288097
67,67,2013-04-10,48.008625,48.670021000000006,47.97987,47.994246999999994,41.288097,7672600,41.288097,7672600,-0.029948785244334267,2.082788169431719,41.24716300000005,41.578773
68,68,2013-04-11,47.390366,48.598129,47.390366,48.332134,41.578773,9604200,41.578773,9604200,1.9872562284072743,2.607136321045815,41.27311433333339,41.931305
69,69,2013-04-12,48.238678,48.792235999999995,48.13084,48.741913000000004,41.931305,5412900,41.931305,5412900,1.0432188875491233,1.4693746686021627,41.32211533333339,40.855179
70,70,2013-04-15,48.195541,48.346512,47.404742999999996,47.491013,40.855179,6144000,40.855179,6144000,-1.4618115812829993,1.6678375665339629,41.599391666666726,41.220081
