,ticker,date,time,headline,neg,neu,pos,compound
0,AAL,2021-04-14,08:00AM,UATP to Offer Pay in 4 With PayPal for Airfare Purchases Across its Airline Partners,0.097,0.903,0.0,-0.1027
1,AAL,2021-04-13,05:50PM,American Airlines (AAL) Stock Sinks As Market Gains: What You Should Know,0.0,0.821,0.179,0.34
2,AAL,2021-04-13,04:16PM,Airline Stocks Mixed As Vaccine Rollout Hits Snag But Key Metric Turns Positive,0.0,0.769,0.231,0.5574
3,AAL,2021-04-13,11:20AM,American Defers 37 Boeing Deliveries as Long as Three Years,0.0,1.0,0.0,0.0
4,AAL,2021-04-13,10:30AM,Why American Airlines Stock Is Falling Today,0.211,0.789,0.0,-0.1531
5,AAL,2021-04-13,08:20AM,UPDATE 2-American Airlines cash flow turns positive in March,0.0,0.69,0.31,0.5574
6,AAL,2021-04-13,08:07AM,American Airlines cash flow turns positive in March,0.0,0.66,0.34,0.5574
7,AAL,2021-04-13,07:54AM,"American Airlines stock falls after first-quarter loss, revenue update",0.223,0.777,0.0,-0.3182
8,AAL,2021-04-13,04:44AM,"American Air Pegs Quarterly Loss Up to $1.3B, Revenue Down 62%",0.187,0.813,0.0,-0.3182
9,AAL,2021-04-12,12:17PM,Texas-based companies speak out against restrictive voting bills: 'Voting is a sacred right',0.0,1.0,0.0,0.0
10,AAL,2021-04-12,06:06AM,"3 Robinhood Stocks With the Most Projected Downside, According to Wall Street",0.186,0.814,0.0,-0.3134
11,AAL,2021-04-11,02:00PM,"By Ship, Plane and Rocket: 3 Bullish Stocks For Technical Traders Going Into The Week",0.0,1.0,0.0,0.0
12,AAL,2021-04-10,11:49AM,"Is Now The Time To Buy Stock In American Airlines, Carnival, Tesla Or GE?",0.0,1.0,0.0,0.0
13,AAL,2021-04-09,10:35AM,Two big trends to watch closely in the months ahead: Morning Brief,0.0,1.0,0.0,0.0
14,AAL,2021-04-08,04:18PM,Who Are Delta Air Lines' Main Competitors? (DAL),0.0,1.0,0.0,0.0
15,AAL,2021-04-08,10:00AM,American Airlines Group Announces Webcast of First-Quarter 2021 Financial Results,0.0,1.0,0.0,0.0
16,AAL,2021-04-07,05:50PM,American Airlines (AAL) Stock Sinks As Market Gains: What You Should Know,0.0,0.821,0.179,0.34
17,AAL,2021-04-07,06:06AM,5 Ultra-Popular Stocks to Avoid Like the Plague in April,0.188,0.598,0.214,0.0772
18,AAL,2021-04-06,12:46PM,Is American Airlines Stock A Buy As Air Travel Recovers?,0.0,1.0,0.0,0.0
19,AAL,2021-04-06,12:29PM,Buy Airline Stocks. A Golden Age of Travel Is Coming.,0.0,1.0,0.0,0.0
20,AAL,2021-04-05,08:00PM,The entrepreneurs launching airlines in a pandemic,0.0,1.0,0.0,0.0
21,AAL,2021-04-05,03:12PM,Top American Airlines Shareholders,0.0,0.625,0.375,0.2023
22,AAL,2021-04-05,01:46PM,Is AAL Stock A Buy or Sell?,0.0,1.0,0.0,0.0
23,AAL,2021-04-05,03:18AM,"American Airlines, U.S. Carriers Gain as CDC Updates Travel Guidelines",0.0,0.726,0.274,0.5267
24,AAL,2021-04-03,09:07AM,American Airlines Is Not the Post-Pandemic Recovery Play People Want It to Be,0.0,0.748,0.252,0.4019
25,AAL,2021-04-02,05:49PM,Why American Airlines Gained Altitude in March,0.0,0.698,0.302,0.3818
26,AAL,2021-04-02,12:06PM,American Airlines Stock May Lose More Altitude,0.31,0.69,0.0,-0.4019
