,ticker,date,time,headline,neg,neu,pos,compound
0,AAOI,2021-03-07,01:03AM,"Have Insiders Been Buying Applied Optoelectronics, Inc. (NASDAQ:AAOI) Shares?",0.0,0.784,0.216,0.296
1,AAOI,2021-02-26,12:43PM,Why Applied Optoelectronics Stock Tanked Today,0.0,1.0,0.0,0.0
2,AAOI,2021-02-25,08:01PM,Applied Optoelectronics Inc (AAOI) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
3,AAOI,2021-02-25,07:10PM,"Applied Optoelectronics (AAOI) Reports Q4 Loss, Tops Revenue Estimates",0.183,0.556,0.262,0.25
4,AAOI,2021-02-25,04:05PM,Applied Optoelectronics Reports Fourth Quarter and Full Year 2020 Results,0.0,1.0,0.0,0.0
5,AAOI,2021-02-25,02:30PM,"Applied Optoelectronics, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
6,AAOI,2021-02-24,10:03AM,Earnings Preview for Applied Optoelectronics,0.0,1.0,0.0,0.0
7,AAOI,2021-02-16,04:10PM,Applied Optoelectronics to Present at the Raymond James Institutional Investor Conference,0.0,1.0,0.0,0.0
8,AAOI,2021-02-04,04:16PM,Applied Optoelectronics to Announce Fourth Quarter and Full Year 2020 Financial Results,0.0,1.0,0.0,0.0
9,AAOI,2021-01-14,07:55PM,3 5G Stocks That Could Benefit From the Next Revolution in Tech,0.0,0.769,0.231,0.4588
10,AAOI,2021-01-05,11:26PM,Applied Optoelectronics' (NASDAQ:AAOI) Stock Price Has Reduced 75% In The Past Three Years,0.0,1.0,0.0,0.0
11,AAOI,2021-01-04,09:02AM,"SHAREHOLDER ALERT: Purcell Julie & Lefkowitz LLP Is Investigating Applied Optoelectronics, Inc. for Potential Breaches of Fiduciary Duty By Its Board of Directors",0.0,0.877,0.123,0.4466
12,AAOI,2020-12-10,11:46PM,Is AAOI A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
13,AAOI,2020-12-02,04:10PM,Applied Optoelectronics to Present at the MKM Partners Virtual Conference,0.0,1.0,0.0,0.0
14,AAOI,2020-11-13,04:10PM,"Applied Optoelectronics to Virtually Present in Needham's Security, Networking, & Communications Conference",0.0,0.806,0.194,0.34
15,AAOI,2020-11-07,07:04AM,"Time To Worry? Analysts Just Downgraded Their Applied Optoelectronics, Inc. (NASDAQ:AAOI) Outlook",0.209,0.791,0.0,-0.4404
16,AAOI,2020-11-06,03:30PM,Applied Optoelectronics Inc (AAOI) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
17,AAOI,2020-11-06,03:15PM,Why Applied Optoelectronics Stock Sold Off Sharply Today,0.0,1.0,0.0,0.0
18,AAOI,2020-11-05,04:10PM,Applied Optoelectronics Reports Third Quarter 2020 Results,0.0,1.0,0.0,0.0
19,AAOI,2020-11-05,02:30PM,"Applied Optoelectronics, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
20,AAOI,2020-11-04,10:08AM,Preview: Applied Optoelectronics's Earnings,0.0,1.0,0.0,0.0
21,AAOI,2020-10-29,12:34PM,Will Applied Optoelectronics (AAOI) Report Negative Earnings Next Week? What You Should Know,0.236,0.764,0.0,-0.5719
