,ticker,date,time,headline,neg,neu,pos,compound
0,ADP,2021-04-13,07:27AM,"New ADP DataCloud Capabilities Help Businesses Understand Diversity, Staffing and Compensation",0.0,0.787,0.213,0.4019
1,ADP,2021-04-07,02:41PM,ADP Declares Regular Quarterly Dividend,0.0,1.0,0.0,0.0
2,ADP,2021-04-06,08:58AM,NelsonHall Names ADP a Leader in Payroll Services NEAT for 7th Year,0.0,0.728,0.272,0.5766
3,ADP,2021-04-02,09:23AM,Look out for permanent scarring in the labor market: ADP chief economist,0.0,1.0,0.0,0.0
4,ADP,2021-04-02,09:09AM,March jobs report shows the best is yet to come: economist,0.0,0.704,0.296,0.6369
5,ADP,2021-04-02,08:43AM,"U.S. adds 916K jobs in March, unemployment rate at 6%",0.244,0.756,0.0,-0.4404
6,ADP,2021-03-31,02:55PM,The housing market is a great space to be in: Strategist,0.0,0.687,0.313,0.6249
7,ADP,2021-03-31,09:23AM,ADP: U.S. firms added 517K jobs in March vs. 550K estimated,0.0,1.0,0.0,0.0
8,ADP,2021-03-31,08:15AM,"ADP National Employment Report: Private Sector Employment Increased by 517,000 Jobs in March",0.0,0.851,0.149,0.2732
9,ADP,2021-03-26,07:00AM,Aya Gold & Silver Reports Record Results Including Operating Cash Flow of $3.4 Million in Q4 2020,0.0,1.0,0.0,0.0
10,ADP,2021-03-25,11:40AM,"The Zacks Analyst Blog Highlights: Exxon Mobil, Thermo Fisher Scientific, Costco, Applied Materials and Automatic Data Processing",0.0,1.0,0.0,0.0
11,ADP,2021-03-24,09:04AM,"ADP® DataCloud Named ""Data Analytics Innovation of the Year"" in 2021 Data Breakthrough Awards",0.0,0.682,0.318,0.6808
12,ADP,2021-03-24,08:15AM,"March 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, March 31, 2021",0.0,1.0,0.0,0.0
13,ADP,2021-03-22,10:53AM,Is ADP Stock A Buy or Sell?,0.0,1.0,0.0,0.0
14,ADP,2021-03-18,08:30AM,"ADP Canada National Employment Report: Employment in Canada Decreased by 100,800 Jobs in February 2021",0.0,1.0,0.0,0.0
15,ADP,2021-03-17,05:01PM,"Automatic Data Processing, Inc. -- Moody's announces completion of a periodic review of ratings of Automatic Data Processing, Inc.",0.0,1.0,0.0,0.0
