,ticker,date,time,headline,neg,neu,pos,compound
0,AEE,2021-03-31,04:30PM,Ameren Missouri requests 2022 rate adjustments as it continues major upgrades to bolster electric and natural gas systems,0.0,0.872,0.128,0.3612
1,AEE,2021-03-25,01:37AM,Shareholders Of Ameren (NYSE:AEE) Must Be Happy With Their 88% Return,0.0,0.73,0.27,0.5719
2,AEE,2021-03-20,11:30AM,Ameren (AEE) Up 6.4% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
3,AEE,2021-03-08,10:11AM,Understanding Ameren's Ex-Dividend Date,0.0,1.0,0.0,0.0
4,AEE,2021-02-24,07:43PM,Ameren Announces Pricing of Senior Notes Offering due 2028,0.0,1.0,0.0,0.0
5,AEE,2021-02-22,11:14PM,Is Ameren Corporation (NYSE:AEE) Worth US$71.0 Based On Its Intrinsic Value?,0.0,0.677,0.323,0.5106
6,AEE,2021-02-19,07:45AM,Ameren Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
7,AEE,2021-02-19,07:00AM,Ameren Missouri customers benefit from cleaner energy and more reliable service with newly updated Smart Energy Plan,0.0,0.508,0.492,0.8625
8,AEE,2021-02-18,05:30PM,Ameren Announces 2020 Results and Issues Guidance for 2021 Earnings and Long-Term Growth,0.0,0.822,0.178,0.3818
9,AEE,2021-02-17,10:09AM,Earnings Outlook for Ameren,0.0,1.0,0.0,0.0
10,AEE,2021-02-12,12:39PM,"Ameren Corporation increases quarterly cash dividend by 6.8 percent, marking eighth consecutive year of growth",0.0,0.843,0.157,0.3818
11,AEE,2021-01-18,11:13PM,Here's Why I Think Ameren (NYSE:AEE) Might Deserve Your Attention Today,0.0,1.0,0.0,0.0
12,AEE,2021-01-15,09:14AM,Ameren (AEE) Acquires 300 MW Wind Project in Northwest Missouri,0.0,1.0,0.0,0.0
13,AEE,2021-01-14,04:45PM,Ameren Missouri continues to expand clean energy with acquisition of second wind energy generation facility,0.0,0.545,0.455,0.802
14,AEE,2021-01-13,05:29PM,Work continues on generator at Callaway Energy Center as facility looks to safely return to service,0.0,0.725,0.275,0.6486
15,AEE,2021-01-13,07:45AM,"Ameren Corporation Fourth Quarter 2020 Earnings Webcast Feb. 19, 2021",0.0,1.0,0.0,0.0
16,AEE,2021-01-06,07:15AM,Ameren completes its largest transmission line project,0.0,1.0,0.0,0.0
17,AEE,2020-12-29,09:01AM,"Ameren (AEE) Arm Buys Wind Farm, Proceeds With Net-Zero Goal",0.0,1.0,0.0,0.0
18,AEE,2020-12-23,08:30AM,Ameren Missouri takes largest step yet toward net-zero carbon goal with acquisition of its first wind energy center in northeast Missouri,0.0,0.905,0.095,0.2732
19,AEE,2020-12-21,03:18PM,Why Anterix Stock Skyrocketed Today,0.0,1.0,0.0,0.0
20,AEE,2020-12-20,03:35AM,Here's What Ameren Corporation's (NYSE:AEE) Shareholder Ownership Structure Looks Like,0.0,0.783,0.217,0.3612
21,AEE,2020-12-17,05:25PM,Is AEE A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
22,AEE,2020-12-14,06:50AM,"Leo S. Mackay, Jr. joins Ameren Board of Directors",0.0,1.0,0.0,0.0
23,AEE,2020-12-07,02:15PM,Ameren Names its First Chief Renewable Development Officer,0.0,1.0,0.0,0.0
24,AEE,2020-12-07,10:14AM,Analyzing Ameren's Ex-Dividend Date,0.0,1.0,0.0,0.0
25,AEE,2020-12-04,11:31AM,Why Is Ameren (AEE) Down 5.5% Since Last Earnings Report?,0.0,1.0,0.0,0.0
26,AEE,2020-12-04,08:57AM,Duke Energy (DUK) Arm Gets NCUC Approval to Slash Electric Rates,0.137,0.523,0.34,0.4767
27,AEE,2020-11-24,08:15AM,"Ameren named Top Company for environmental, social and governance (ESG) leadership",0.0,0.847,0.153,0.2023
28,AEE,2020-11-18,09:30AM,Anterix Inc (ATEX) Q2 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
29,AEE,2020-11-09,04:20PM,Ameren Illinois Announces Pricing of First Mortgage Bonds Offering due 2030,0.0,1.0,0.0,0.0
30,AEE,2020-11-09,10:01AM,P/E Ratio Insights for Ameren,0.0,1.0,0.0,0.0
31,AEE,2020-11-06,12:31AM,Ameren Corp (AEE) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
32,AEE,2020-11-05,09:52AM,"Ameren (AEE) Q3 Earnings Top Estimates, Revenues Drop Y/Y",0.193,0.642,0.165,-0.0772
33,AEE,2020-11-04,06:15PM,Ameren (AEE) Beats Q3 Earnings Estimates,0.0,1.0,0.0,0.0
34,AEE,2020-11-04,05:00PM,Ameren Announces Third Quarter 2020 Results,0.0,1.0,0.0,0.0
35,AEE,2020-11-03,10:06AM,Preview: Ameren's Earnings,0.0,1.0,0.0,0.0
36,AEE,2020-11-02,08:34AM,Ameren (AEE) to Report Q3 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
37,AEE,2020-10-28,12:32PM,Analysts Estimate Ameren (AEE) to Report a Decline in Earnings: What to Look Out for,0.0,1.0,0.0,0.0
38,AEE,2020-10-25,08:24AM,The Returns At Ameren (NYSE:AEE) Provide Us With Signs Of What's To Come,0.0,1.0,0.0,0.0
39,AEE,2020-10-23,11:45AM,Are You Looking for a High-Growth Dividend Stock? Ameren (AEE) Could Be a Great Choice,0.0,0.745,0.255,0.6249
40,AEE,2020-10-16,11:47AM,Ameren Transmission Company of Illinois -- Moody's announces completion of a periodic review of ratings of Ameren Corporation,0.0,1.0,0.0,0.0
41,AEE,2020-10-16,07:45AM,Ameren's 2020 Sustainability Report receives global recognition,0.0,1.0,0.0,0.0
42,AEE,2020-10-14,09:00AM,EPRI's Incubatenergy® Labs Hosts Demo Day,0.0,1.0,0.0,0.0
43,AEE,2020-10-13,03:30PM,Should I Avoid Ameren Corporation (AEE)?,0.355,0.645,0.0,-0.296
44,AEE,2020-10-11,03:24AM,Ameren Ramps Up Quarterly Dividend By 4%,0.0,1.0,0.0,0.0
45,AEE,2020-10-09,11:48AM,Ameren Corporation Increases Quarterly Cash Dividend,0.0,1.0,0.0,0.0
46,AEE,2020-10-08,10:41AM,"Ameren Corporation Third Quarter 2020 Earnings Webcast Nov. 5, 2020",0.0,1.0,0.0,0.0
47,AEE,2020-10-07,12:10PM,"4 Top ETFs, Stocks From Attractive Sectors Pre Q3 Earnings",0.0,0.598,0.402,0.5719
48,AEE,2020-10-07,11:45AM,Why Ameren (AEE) is a Top Dividend Stock for Your Portfolio,0.0,0.833,0.167,0.2023
49,AEE,2020-10-01,05:53PM,Ameren Missouri Announces Pricing of Green First Mortgage Bonds Offering due 2051,0.0,1.0,0.0,0.0
50,AEE,2020-09-30,07:41AM,Utilities to Steadily Slash CO2 Emissions: 4 Stocks in Focus,0.208,0.792,0.0,-0.2732
51,AEE,2020-09-29,07:45AM,Ameren (AEE) Announces Net-Zero Carbon Emission Goal by 2050,0.0,1.0,0.0,0.0
52,AEE,2020-09-29,06:19AM,Did You Participate In Any Of Ameren's (NYSE:AEE) Fantastic 115% Return ?,0.0,0.735,0.265,0.5574
53,AEE,2020-09-28,08:30AM,Ameren establishes net-zero carbon emissions goal and a transformative expansion of wind and solar energy,0.0,0.861,0.139,0.2732
54,AEE,2020-09-21,11:45AM,This is Why Ameren (AEE) is a Great Dividend Stock,0.0,0.661,0.339,0.6249
55,AEE,2020-09-16,05:59AM,"Employees contribute more than $800,000 to AmerenCares COVID-19 community relief fund",0.0,0.763,0.237,0.4767
56,AEE,2020-09-13,08:00PM,"Market Update: KR, NVDA, GT, AEE",0.0,0.638,0.362,0.4278
57,AEE,2020-09-13,08:00PM,Analyst Report: Ameren Corp.,0.0,1.0,0.0,0.0
58,AEE,2020-09-10,06:54PM,Analyst Report: Ameren Corporation,0.0,1.0,0.0,0.0
59,AEE,2020-09-07,10:57AM,Duke Energy Florida Arm Plans to Slash Electric Rates for 2021,0.159,0.682,0.159,0.0
60,AEE,2020-09-05,11:32AM,Why Is Ameren (AEE) Down 2.6% Since Last Earnings Report?,0.0,1.0,0.0,0.0
61,AEE,2020-09-03,07:48AM,What Can We Learn About Ameren's (NYSE:AEE) CEO Compensation?,0.0,1.0,0.0,0.0
62,AEE,2020-08-14,11:41AM,Ameren Corporation Directors Declare Quarterly Dividend,0.0,1.0,0.0,0.0
63,AEE,2020-08-08,09:07AM,Should You Be Adding Ameren (NYSE:AEE) To Your Watchlist Today?,0.0,1.0,0.0,0.0
64,AEE,2020-08-07,10:52AM,"Ameren (AEE) Q2 Earnings Top Estimates, Revenues Rise Y/Y",0.0,0.816,0.184,0.2023
65,AEE,2020-08-06,04:15PM,Ameren Announces Second Quarter 2020 Results,0.0,1.0,0.0,0.0
66,AEE,2020-08-06,12:26PM,Ameren Illinois and Ameren Missouri Sending Crews to East Coast for Hurricane Isaias Restoration,0.0,1.0,0.0,0.0
67,AEE,2020-08-05,02:26PM,"Utility Stocks to Watch for Earnings on Aug 6: AEE, ED & More",0.0,1.0,0.0,0.0
68,AEE,2020-08-05,12:20PM,Preview: Ameren's Earnings,0.0,1.0,0.0,0.0
69,AEE,2020-08-05,08:21AM,Ameren (AEE) to Report Q2 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
70,AEE,2020-08-03,01:10PM,Did Hedge Funds Drop The Ball On Ameren Corporation (AEE) ?,0.189,0.811,0.0,-0.2732
71,AEE,2020-07-31,12:30PM,Ameren (AEE) Reports Next Week: Wall Street Expects Earnings Growth,0.0,0.776,0.224,0.3818
72,AEE,2020-07-16,11:27AM,"Ameren Corporation Second Quarter 2020 Earnings Webcast Aug. 7, 2020",0.0,1.0,0.0,0.0
73,AEE,2020-07-13,08:58AM,How Many Ameren Corporation (NYSE:AEE) Shares Do Institutions Own?,0.0,0.784,0.216,0.296
74,AEE,2020-06-30,11:40AM,DTE or AEE: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
75,AEE,2020-06-18,03:35PM,Hedge Funds Are Dumping Ameren Corporation (AEE),0.277,0.723,0.0,-0.3182
76,AEE,2020-06-15,11:19AM,Edited Transcript of AEE earnings conference call or presentation 12-May-20 2:00pm GMT,0.0,1.0,0.0,0.0
77,AEE,2020-06-15,05:58AM,Ameren launches companywide fundraising effort to help communities in Missouri and Illinois recover from COVID-19,0.0,0.838,0.162,0.4019
78,AEE,2020-06-10,11:30AM,Ameren (AEE) Up 9.1% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
79,AEE,2020-06-04,04:38PM,Thursday Morning Market Highlights,0.0,1.0,0.0,0.0
80,AEE,2020-05-28,01:33PM,Thursday Morning Market Highlights,0.0,1.0,0.0,0.0
81,AEE,2020-05-22,06:05AM,Does Ameren Corporation's (NYSE:AEE) -8.4% Earnings Drop Reflect A Longer Term Trend?,0.174,0.826,0.0,-0.2732
82,AEE,2020-05-21,12:32PM,Ameren Announces New Engagement with Energy Startups,0.0,0.495,0.505,0.6249
83,AEE,2020-05-13,11:45AM,This is Why Ameren (AEE) is a Great Dividend Stock,0.0,0.661,0.339,0.6249
84,AEE,2020-05-12,03:30PM,Ameren Corp (AEE) Q1 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
85,AEE,2020-05-12,10:09AM,"Ameren (AEE) Q1 Earnings Miss Estimates, Revenues Down Y/Y",0.167,0.833,0.0,-0.1531
86,AEE,2020-05-12,08:55AM,Ameren Reaffirms Long-Term Capital Investment Plan Despite COVID-19 Headwinds,0.0,1.0,0.0,0.0
87,AEE,2020-05-11,05:45PM,Ameren (AEE) Misses Q1 Earnings and Revenue Estimates,0.213,0.787,0.0,-0.2263
88,AEE,2020-05-11,11:32AM,Ameren (AEE) Is Expected to Grow Profits and Dividends at a Stellar Rate,0.0,0.791,0.209,0.4404
89,AEE,2020-05-08,12:26PM,Ameren Corporation Directors Declare Quarterly Dividend,0.0,1.0,0.0,0.0
90,AEE,2020-05-08,11:09AM,Ameren (AEE) to Report Q1 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
91,AEE,2020-05-07,11:22AM,"Ameren's 2020 sustainability report focuses on commitment to customers and major environmental, social and governance topics",0.0,0.852,0.148,0.3818
92,AEE,2020-04-28,09:45AM,Ameren Corporation to Hold Virtual-Only 2020 Annual Meeting of Shareholders,0.0,1.0,0.0,0.0
93,AEE,2020-04-27,11:45AM,Why Ameren (AEE) is a Great Dividend Stock Right Now,0.0,0.661,0.339,0.6249
94,AEE,2020-04-24,06:25AM,Don't Sell Ameren Corporation (NYSE:AEE) Before You Read This,0.0,1.0,0.0,0.0
95,AEE,2020-04-17,10:46AM,"Ameren Corporation First Quarter 2020 Earnings Webcast May 12, 2020",0.0,1.0,0.0,0.0
96,AEE,2020-04-09,11:45AM,Ameren (AEE) is a Top Dividend Stock Right Now: Should You Buy?,0.0,0.847,0.153,0.2023
97,AEE,2020-03-31,05:14PM,Ameren Announces Pricing of Senior Notes Offering due 2031,0.0,1.0,0.0,0.0
98,AEE,2020-03-29,08:23AM,Did You Miss Ameren's (NYSE:AEE) 76% Share Price Gain?,0.121,0.455,0.424,0.6124
99,AEE,2020-03-27,11:30AM,Why Is Ameren (AEE) Down 10.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
