,ticker,date,time,headline,neg,neu,pos,compound
0,AES,2021-04-14,07:00AM,AES Announces Quarterly Dividend,0.0,1.0,0.0,0.0
1,AES,2021-04-12,05:09PM,Investment Energy Resources Limited (IERL) -- Moody's Assigns a Ba3 Rating to IERL; Outlook Stable,0.11,0.64,0.25,0.34
2,AES,2021-04-12,04:57PM,Investment Energy Resources Limited (IERL) -- Moody's Assigns a Ba3 Rating to IERL; Outlook Stable,0.11,0.64,0.25,0.34
3,AES,2021-04-06,05:00PM,"AES Announces First Quarter 2021 Financial Review Conference Call to be Held on Thursday, May 6, 2021 at 9:00 a.m. EDT",0.0,1.0,0.0,0.0
4,AES,2021-04-01,07:59AM,"The Zacks Analyst Blog Highlights: NextEra Energy, Enphase, General Electric, AES Corp and Siemens",0.0,0.861,0.139,0.2732
5,AES,2021-03-29,03:28PM,Is AES Stock A Buy or Sell?,0.0,1.0,0.0,0.0
6,AES,2021-03-29,03:02PM,Top Utilities Stocks for April 2021,0.0,0.735,0.265,0.2023
7,AES,2021-03-27,11:31AM,AES (AES) Down 0.1% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
8,AES,2021-03-18,10:13PM,Mong Duong Finance Holdings BV -- Moody's changes Mong Duong Finance's outlook to positive; affirms Ba3 senior secured rating,0.0,0.73,0.27,0.743
9,AES,2021-03-16,02:15PM,AES Indiana partners with NCAA and Indiana Sports Corp to power championship practices and games with renewable energy,0.0,0.762,0.238,0.6124
10,AES,2021-03-15,11:45AM,This is Why AES (AES) is a Great Dividend Stock,0.0,0.661,0.339,0.6249
11,AES,2021-03-15,09:07AM,"The Zacks Analyst Blog Highlights: Portland General Electric Co, NextEra Energy, The AES Corp and ALLETE",0.0,0.877,0.123,0.2732
12,AES,2021-03-09,02:14PM,Tuesday Morning Market Highlights,0.0,1.0,0.0,0.0
13,AES,2021-03-05,07:00AM,AES Announces Pricing of Equity Units Offering,0.0,1.0,0.0,0.0
14,AES,2021-03-04,04:51PM,"AES Corporation, (The) -- Moody's assigns Ba3 (hyb) rating to AES preferred stock",0.0,1.0,0.0,0.0
15,AES,2021-03-04,04:32PM,Caxton Associates Exits Oil Holdings in the 4th Quarter,0.0,1.0,0.0,0.0
16,AES,2021-03-03,04:05PM,AES Announces Equity Units Offering,0.0,1.0,0.0,0.0
17,AES,2021-03-03,08:27AM,"Schneider, AES investment takes Uplight's valuation to $1.5 bln",0.0,1.0,0.0,0.0
18,AES,2021-03-03,06:00AM,AES Sets Robust Near- and Long-Term Goals; Announces Key Developments at Uplight and in Green Hydrogen,0.0,0.862,0.138,0.34
19,AES,2021-03-02,04:56PM,AES Gener S.A. -- Moody's announces completion of a periodic review of ratings of AES Gener S.A.,0.0,1.0,0.0,0.0
20,AES,2021-03-02,09:30AM,AES Indiana and Motor partner to help facilitate electric car adoption through digital platform,0.0,0.828,0.172,0.4019
21,AES,2021-03-01,08:35AM,AES Announces Resignation of Jeffrey Ubben from its Board of Directors,0.18,0.82,0.0,-0.296
22,AES,2021-03-01,08:30AM,Centaurus Announces Termination of Term Sheet with Crown Point Energy Inc.,0.0,0.826,0.174,0.2732
23,AES,2021-02-26,11:45AM,Why AES (AES) is a Great Dividend Stock Right Now,0.0,0.661,0.339,0.6249
24,AES,2021-02-25,06:30PM,AES Corp (AES) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
25,AES,2021-02-25,01:17PM,AES Q4 Earnings Beat Estimates While Revenues Fall Short,0.0,1.0,0.0,0.0
26,AES,2021-02-25,06:00AM,AES Met or Exceeded all 2020 Strategic and Financial Objectives,0.0,1.0,0.0,0.0
27,AES,2021-02-24,07:30AM,Indianapolis Power & Light Company changes name to AES Indiana,0.0,1.0,0.0,0.0
