,ticker,date,time,headline,neg,neu,pos,compound
0,AMAT,2021-04-14,07:18AM,"The Zacks Analyst Blog Highlights: Generac, Applied Materials, Google, Waters Corp and Adobe",0.0,1.0,0.0,0.0
1,AMAT,2021-04-12,11:30AM,Is Applied Materials (AMAT) Outperforming Other Computer and Technology Stocks This Year?,0.0,1.0,0.0,0.0
2,AMAT,2021-04-12,08:00AM,29 Big Stocks Are Doing Better Now Than Tesla Did A Year Ago,0.0,0.791,0.209,0.4404
3,AMAT,2021-04-12,01:22AM,"Is It Time To Consider Buying Applied Materials, Inc. (NASDAQ:AMAT)?",0.0,1.0,0.0,0.0
4,AMAT,2021-04-10,08:25AM,10 Best Stocks That Will Gain From Bidens Job and Infrastructure Plan,0.0,0.568,0.432,0.8225
5,AMAT,2021-04-08,05:45PM,Applied Materials (AMAT) Gains But Lags Market: What You Should Know,0.18,0.647,0.173,-0.0258
6,AMAT,2021-04-08,05:01PM,The Chip Industry Has a Problem With Its Giant Carbon Footprint,0.231,0.769,0.0,-0.4019
7,AMAT,2021-04-08,08:11AM,Here's How Much You'd Have If You Invested $1000 in Applied Materials a Decade Ago,0.0,1.0,0.0,0.0
8,AMAT,2021-04-08,04:05AM,"Applied Materials Charts Are Becoming Extended, so Proceed With Caution",0.0,1.0,0.0,0.0
9,AMAT,2021-04-07,04:02PM,Applied Materials Outlook Called Conservative; Analysts Hike Price Targets,0.0,1.0,0.0,0.0
10,AMAT,2021-04-07,01:56PM,Applied Materials Analyst Meeting Leaves Wall Street Upbeat on Chip Manufacturing,0.0,1.0,0.0,0.0
11,AMAT,2021-04-07,12:26PM,Applied Materials (AMAT) Unveils AIx for New Chip Technologies,0.0,1.0,0.0,0.0
12,AMAT,2021-04-07,09:12AM,"If You Invested $1000 in Applied Materials 10 Years Ago, This Is How Much You'd Have Now",0.0,1.0,0.0,0.0
13,AMAT,2021-04-07,08:16AM,Applied Materials Says Its Future Looks Bright. Why Its Stock Fell.,0.0,0.775,0.225,0.4404
14,AMAT,2021-04-07,04:42AM,"Applied Materials Analysts Laud Guidance, Potential",0.0,1.0,0.0,0.0
15,AMAT,2021-04-06,07:15PM,Applied Materials Showcases Unique Capabilities to Accelerate Innovation and Drive Long-Term Profitable Growth,0.0,0.552,0.448,0.7964
16,AMAT,2021-04-06,08:15AM,Artificial Intelligence Stocks To Buy And Watch Amid Rising AI Competition,0.0,0.763,0.237,0.4767
17,AMAT,2021-04-06,07:28AM,"The Zacks Analyst Blog Highlights: Vishay Intertechnology, Applied Materials, MACOM Technology Solutions, Micron Technology and Analog Devices",0.0,0.904,0.096,0.1779
18,AMAT,2021-04-05,06:43PM,Applied Materials Has Become a Favorite Way to Play the Chip Shortage. Analysts Are Raising Their Price Targets.,0.093,0.654,0.252,0.5267
19,AMAT,2021-04-05,09:15AM,Why growth stocks could rally from here,0.0,0.698,0.302,0.3818
20,AMAT,2021-04-05,07:30AM,Applied Materials AI(x) Platform Harnesses the Power of Big Data and AI to Accelerate Semiconductor Technology Breakthroughs from Lab to Fab,0.0,0.87,0.13,0.4588
21,AMAT,2021-04-04,10:00AM,Why Applied Materials Rose 13% in March,0.0,1.0,0.0,0.0
22,AMAT,2021-04-04,05:30AM,"15 Best Stocks in the Past Week: Xpeng, Marvell, Nvidia",0.0,0.682,0.318,0.6369
23,AMAT,2021-04-02,07:00AM,"This Top Mutual Fund Likes Google, Is Cautious On Tesla",0.108,0.538,0.354,0.4939
24,AMAT,2021-04-01,08:41PM,Japans Kioxia Is Said to Focus on IPO in Next Few Months,0.0,1.0,0.0,0.0
25,AMAT,2021-04-01,04:33PM,A Swing Trade In AMAT Stock Could Turn Into Something More,0.0,1.0,0.0,0.0
26,AMAT,2021-04-01,08:00AM,How Gary Dickerson Unleashes The Magic In Silicon Chips,0.0,1.0,0.0,0.0
27,AMAT,2021-04-01,06:30AM,2 Chip-Equipment Makers to Play the Semiconductor Shortage,0.213,0.532,0.255,0.1027
28,AMAT,2021-03-31,04:10PM,Applied Materials to Detail Plans for Helping Accelerate Customer Success in the AI Era,0.0,0.67,0.33,0.7096
29,AMAT,2021-03-31,01:34PM,"Dow Jones Edges Higher, But Walgreens Soars 5% On Earnings; Apple Jumps On Upgrade, Boeing Stays In Buy Range",0.0,1.0,0.0,0.0
30,AMAT,2021-03-31,12:00PM,Here's Why Momentum Investors Will Love Applied Materials (AMAT),0.0,0.656,0.344,0.6369
31,AMAT,2021-03-31,10:24AM,"If You Invested $1000 in Applied Materials a Decade Ago, This is How Much It'd Be Worth Now",0.0,0.894,0.106,0.2263
32,AMAT,2021-03-31,09:55AM,"Lam Research, Applied Materials Rise on Bernstein Outperform Rating",0.0,1.0,0.0,0.0
33,AMAT,2021-03-31,09:32AM,"S&P 500 on Cusp of Historic 4,000 Level as Tech Leads Advance",0.0,1.0,0.0,0.0
34,AMAT,2021-03-31,07:05AM,"Zacks.com featured highlights include: Popular, NETGEAR, Qorvo, Applied Materials and Arrow Electronics",0.0,0.797,0.203,0.4215
35,AMAT,2021-03-30,11:10AM,Applied Materials Earns Intels 2020 Supplier Continuous Quality Improvement (SCQI) Award,0.0,0.581,0.419,0.7579
36,AMAT,2021-03-30,07:30AM,"The Zacks Analyst Blog Highlights: Apple, NVIDIA, Micron Technology, Applied Materials and Analog Devices",0.0,1.0,0.0,0.0
37,AMAT,2021-03-29,05:45PM,Applied Materials Sees RS Rating Rise To 91,0.0,1.0,0.0,0.0
38,AMAT,2021-03-29,04:10PM,Applied Materials To Focus On Share Buybacks After Kokusai Deal Falls Through,0.0,0.833,0.167,0.296
39,AMAT,2021-03-29,08:20AM,Applied Materials officially declares Kokusai Electric deal terminated as 'timely' Chinese regulatory approval fails to arrive,0.141,0.704,0.156,0.0772
40,AMAT,2021-03-29,08:04AM,UPDATE 1-Applied Materials terminates $2.2 bln deal for Japan's Kokusai Electric,0.0,1.0,0.0,0.0
41,AMAT,2021-03-29,07:30AM,Applied Materials Announces Termination of Kokusai Electric Acquisition Agreement,0.0,0.714,0.286,0.4939
42,AMAT,2021-03-28,12:00AM,Heres How the Worlds Chip Shortage Is Playing Out for Stocks,0.156,0.703,0.141,-0.0516
43,AMAT,2021-03-26,09:07AM,Here Are the Stocks to Buy Now That the Easy Money Has Been Made,0.0,0.818,0.182,0.4404
44,AMAT,2021-03-25,05:45PM,Applied Materials (AMAT) Stock Sinks As Market Gains: What You Should Know,0.0,0.821,0.179,0.34
45,AMAT,2021-03-25,11:40AM,"The Zacks Analyst Blog Highlights: Exxon Mobil, Thermo Fisher Scientific, Costco, Applied Materials and Automatic Data Processing",0.0,1.0,0.0,0.0
46,AMAT,2021-03-25,11:30AM,Is Applied Materials (AMAT) Outperforming Other Computer and Technology Stocks This Year?,0.0,1.0,0.0,0.0
47,AMAT,2021-03-25,08:30AM,3 Hot Tech Growth Stocks You Can Buy Right Now,0.0,0.755,0.245,0.3818
48,AMAT,2021-03-25,08:14AM,Dow Jones Futures Fall As Market Rally Breaks Key Levels; RH Jumps On Earnings As Nike Faces China Backlash; Tesla Keeps Sliding,0.0,1.0,0.0,0.0
49,AMAT,2021-03-25,01:28AM,Applied Materials (AMAT) Stock Jumps 4.1%: Will It Continue to Soar?,0.0,1.0,0.0,0.0
