,ticker,date,time,headline,neg,neu,pos,compound
0,ANSS,2021-04-14,07:00AM,"H3C Semiconductor and Ansys Innovate Next-Generation Network Processor Chip for High-end Routing, 5G Backhaul, AI and Cybersecurity Applications",0.0,0.842,0.158,0.4939
1,ANSS,2021-04-13,07:35AM,Ansys Partners With Velodyne On Autonomous Vehicle Safety,0.0,0.714,0.286,0.4215
2,ANSS,2021-04-12,10:49AM,"Velodyne, Ansys Partner For Autonomous Vehicle Safety Transformation",0.0,0.714,0.286,0.4215
3,ANSS,2021-04-12,07:00AM,Velodyne and Ansys Team Up to Transform Autonomous Vehicle Safety,0.0,0.763,0.237,0.4215
4,ANSS,2021-04-10,07:45AM,3 Software Stocks to Buy for the Coming Infrastructure Spending Boom,0.0,1.0,0.0,0.0
5,ANSS,2021-04-06,07:00AM,ESSS and Ansys Significantly Boost Product Quality with Powerful Particle Modeling Workflow,0.0,0.645,0.355,0.6705
6,ANSS,2021-03-29,12:51PM,Is ANSS Stock A Buy or Sell?,0.0,1.0,0.0,0.0
7,ANSS,2021-03-26,11:31AM,Why Is Ansys (ANSS) Down 3.1% Since Last Earnings Report?,0.0,1.0,0.0,0.0
8,ANSS,2021-03-25,07:00AM,GUC and Ansys Expedite Advanced-IC Designs for Next-Generation Applications with State-of-the-Art Simulation Workflow,0.0,1.0,0.0,0.0
9,ANSS,2021-03-25,02:00AM,"Is ANSYS, Inc. (NASDAQ:ANSS) Worth US$330 Based On Its Intrinsic Value?",0.0,0.677,0.323,0.5106
10,ANSS,2021-03-22,07:00AM,Emirates Team New Zealand Sails to America's Cup Victory Using Ansys Simulations,0.0,1.0,0.0,0.0
11,ANSS,2021-03-19,07:00AM,Ansys Receives TSMC OIP Ecosystem Forum Customers' Choice Award for 5G Millimeter Wave Chip Analysis Solution Paper,0.0,0.721,0.279,0.7003
12,ANSS,2021-03-17,07:30AM,Ansys Congratulates Zoltan Cendes on Election to the National Academy of Engineering,0.0,1.0,0.0,0.0
13,ANSS,2021-03-17,07:00AM,Kelsey DeBriyn Joins Ansys As Head of Investor Relations And Government Affairs,0.0,1.0,0.0,0.0
14,ANSS,2021-03-16,08:15AM,New Strong Sell Stocks for March 16th,0.0,0.645,0.355,0.5106
15,ANSS,2021-03-15,05:00PM,Ansys Appoints Jim Frankola to the Board of Directors,0.0,1.0,0.0,0.0
16,ANSS,2021-03-09,07:00AM,Ansys Named to Fast Company's Annual List of the World's Most Innovative Companies for 2021,0.0,0.814,0.186,0.4927
17,ANSS,2021-03-08,07:00AM,ENGIE Lab CRIGEN and Ansys Accelerate Zero Carbon Energy,0.0,0.792,0.208,0.2732
18,ANSS,2021-03-02,08:30AM,ePlus Named to Elite 150 of CRNs 2021 Managed Service Provider 500 List,0.0,1.0,0.0,0.0
19,ANSS,2021-03-01,08:39AM,Ansys to Present at Berenberg Design Software Conference 2021,0.0,1.0,0.0,0.0
20,ANSS,2021-02-27,01:24AM,"When Should You Buy ANSYS, Inc. (NASDAQ:ANSS)?",0.0,1.0,0.0,0.0
21,ANSS,2021-02-26,08:30AM,ePlus Achieves AWS Storage Competency Status,0.0,1.0,0.0,0.0
22,ANSS,2021-02-25,09:30PM,Ansys Inc (ANSS) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
23,ANSS,2021-02-25,12:00PM,Ansys (ANSS) Upgraded to Buy: Here's Why,0.0,1.0,0.0,0.0
24,ANSS,2021-02-25,09:54AM,A Look Into Ansys Price Over Earnings,0.0,1.0,0.0,0.0
25,ANSS,2021-02-25,08:30AM,ePlus Implements Cisco Contact Center as Foundation for Rowan University COVID Vaccine Distribution,0.0,1.0,0.0,0.0
26,ANSS,2021-02-25,06:30AM,"ANSYS, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
27,ANSS,2021-02-24,04:09PM,"Ansys Announces Financial Results With Record Q4 and FY 2020 Revenue, ACV and Operating Cash Flow",0.0,1.0,0.0,0.0
28,ANSS,2021-02-23,10:11AM,Ansys's Earnings Outlook,0.0,1.0,0.0,0.0
29,ANSS,2021-02-23,07:00AM,Optimo Medical AG and Ansys Transform Eye Surgery to Better Treat Astigmatism,0.0,0.641,0.359,0.6808
30,ANSS,2021-02-22,07:00AM,Ansys Collaborates with Keysight Technologies to Help Engineers Tackle Significant System Design Challenges with Best-In-Class Digital Workflow,0.0,0.707,0.293,0.5859
31,ANSS,2021-02-19,07:00AM,Ansys Launches Moxie to Enhance System Model Validation Processes,0.0,1.0,0.0,0.0
32,ANSS,2021-02-18,07:00AM,Ansys and Siemens Energy Enable Rapid and Cost-Effective Additive Manufacturing for Customers,0.0,0.84,0.16,0.2732
33,ANSS,2021-02-17,08:47AM,"U.K. retail investors dive into derivatives, driving an exceptional year for trading platform Plus500",0.0,1.0,0.0,0.0
34,ANSS,2021-02-16,07:00AM,Red Bull Racing and Ansys Fast-Track Race Winning Design,0.0,0.702,0.298,0.5267
35,ANSS,2021-02-15,03:54AM,Is ePlus (NASDAQ:PLUS) Likely To Turn Things Around?,0.0,1.0,0.0,0.0
36,ANSS,2021-02-09,08:30AM,IGXGlobal Successfully Renews Cisco Gold Certification,0.0,0.61,0.39,0.4939
37,ANSS,2021-02-03,04:05PM,ePlus Reports Third Quarter and First Nine Months Financial Results,0.0,1.0,0.0,0.0
38,ANSS,2021-01-27,11:18PM,Should We Be Excited About The Trends Of Returns At ANSYS (NASDAQ:ANSS)?,0.0,0.821,0.179,0.34
39,ANSS,2021-01-27,04:45PM,ePlus Announces Third Quarter Fiscal Year 2021 Earnings Release Date and Conference Call,0.0,1.0,0.0,0.0
40,ANSS,2021-01-27,04:30PM,ePlus Data Privacy Expertise to Be Featured in Virtual Data Privacy Day 2021 Event,0.0,1.0,0.0,0.0
41,ANSS,2021-01-26,07:00AM,Ansys 2021 R1 Unlocks Unlimited Possibilities for Engineering Teams,0.0,1.0,0.0,0.0
42,ANSS,2021-01-25,09:59AM,"ANSYS to Release Fourth Quarter and FY 2020 Earnings on February 24, 2021",0.0,1.0,0.0,0.0
43,ANSS,2021-01-21,07:00AM,"Ansys Launches HFSS Mesh Fusion, Redefines Product Development by Enabling Design of Entire Systems",0.0,1.0,0.0,0.0
44,ANSS,2021-01-19,08:00AM,A Look At ePlus' (NASDAQ:PLUS) CEO Remuneration,0.0,1.0,0.0,0.0
45,ANSS,2021-01-13,10:03AM,3 High-Growth Stocks That Are Just Getting Started,0.0,1.0,0.0,0.0
46,ANSS,2021-01-11,07:00AM,Navantia Leverages Ansys' Digital Transformation Solutions to Design Next-Gen Naval Vessels,0.0,0.855,0.145,0.1779
47,ANSS,2021-01-05,07:00AM,Ansys Announces Winners of 2020 Art of Simulation Competition,0.0,0.721,0.279,0.4767
48,ANSS,2021-01-04,08:30AM,ePlus Acquires System Management Planning,0.0,1.0,0.0,0.0
49,ANSS,2020-12-25,03:40AM,Here's Why I Think ePlus (NASDAQ:PLUS) Is An Interesting Stock,0.0,0.748,0.252,0.4019
50,ANSS,2020-12-21,01:30PM,ePlus Teams Up With the Garden of Dreams Foundation and the Radio City Rockettes to Deliver Holiday Joy,0.0,0.62,0.38,0.8481
51,ANSS,2020-12-20,11:51PM,Is ANSYS' (NASDAQ:ANSS) Share Price Gain Of 283% Well Earned?,0.0,0.476,0.524,0.7717
52,ANSS,2020-12-15,11:45AM,Is ANSS A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
53,ANSS,2020-12-11,08:16PM,Where Do Hedge Funds Stand On ePlus Inc. (PLUS)?,0.0,1.0,0.0,0.0
54,ANSS,2020-12-10,07:00AM,XRby and Ansys Expedite Métiers d'Art Limited Edition Luxury Wristwatch Development,0.16,0.84,0.0,-0.2263
55,ANSS,2020-12-08,08:30AM,ePlus Delivers Methodology to Help Customers Accelerate Adoption of New AWS Gateway Load Balancer,0.0,0.828,0.172,0.4019
56,ANSS,2020-12-08,07:19AM,Ansys Announces Leadership Appointments,0.0,1.0,0.0,0.0
57,ANSS,2020-12-07,07:00AM,FORTUNE Adds Ansys to 2020 Future 50 List,0.0,1.0,0.0,0.0
58,ANSS,2020-12-05,07:00AM,3 5G Stocks to Buy in December,0.0,1.0,0.0,0.0
59,ANSS,2020-12-04,11:31AM,Why Is Ansys (ANSS) Up 2.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
60,ANSS,2020-12-04,08:30AM,ePlus Professional Services Now Available in AWS Marketplace,0.0,1.0,0.0,0.0
61,ANSS,2020-12-02,03:32AM,Is It Too Late To Consider Buying ePlus inc. (NASDAQ:PLUS)?,0.0,1.0,0.0,0.0
62,ANSS,2020-11-18,02:29PM,PTC and Ansys Deliver Latest CAD Market Innovation with Creo Ansys Simulation,0.0,0.809,0.191,0.3818
63,ANSS,2020-11-18,02:00PM,PTC and Ansys Deliver Latest CAD Market Innovation with Creo Ansys Simulation,0.0,0.809,0.191,0.3818
64,ANSS,2020-11-18,07:00AM,LG Electronics Drives Company-wide Remote Learning and Speeds Product Development with Ansys Learning Hub,0.0,1.0,0.0,0.0
65,ANSS,2020-11-16,08:30AM,"ePlus Publishes Study Highlighting Prevalence of Data Center, Cloud, and Security Challenges in the Wake of COVID-19",0.0,0.802,0.198,0.4019
66,ANSS,2020-11-16,07:35AM,Ansys Executives to Present at Upcoming Investor Conferences,0.0,1.0,0.0,0.0
67,ANSS,2020-11-13,08:30AM,ePlus Honored with Multiple Awards Including Americas Technology Excellence Partner of the Year for Data Center at Cisco Partner Summit Digital 2020,0.0,0.635,0.365,0.8979
68,ANSS,2020-11-09,08:30AM,ePlus Celebrates 30th Anniversary,0.0,0.448,0.552,0.5719
69,ANSS,2020-11-07,07:33AM,"ANSYS, Inc. Beat Analyst Estimates: See What The Consensus Is Forecasting For Next Year",0.0,1.0,0.0,0.0
70,ANSS,2020-11-06,09:42AM,ePlus inc. Just Beat EPS By 45%: Here's What Analysts Think Will Happen Next,0.0,1.0,0.0,0.0
71,ANSS,2020-11-05,11:40AM,ANSYS (ANSS) Earnings and Revenues Beat Estimates in Q3,0.0,1.0,0.0,0.0
72,ANSS,2020-11-04,05:55PM,Ansys (ANSS) Tops Q3 Earnings and Revenue Estimates,0.0,0.68,0.32,0.5106
73,ANSS,2020-11-04,04:21PM,Ansys Announces Financial Results With Record Q3 Revenue and ACV,0.0,1.0,0.0,0.0
74,ANSS,2020-11-04,04:05PM,ePlus Reports Second Quarter and First Half Financial Results,0.0,1.0,0.0,0.0
75,ANSS,2020-11-03,10:14AM,Should ePlus (NASDAQ:PLUS) Be Disappointed With Their 47% Profit?,0.238,0.538,0.223,-0.0516
