,ticker,date,time,headline,neg,neu,pos,compound
0,AN,2021-04-13,08:00AM,"AutoNation Announces First Quarter 2021 Earnings Conference Call and Audio Webcast Scheduled for Tuesday, April 20, 2021",0.0,1.0,0.0,0.0
1,AN,2021-04-12,07:27AM,Mondays Pre-Market: Heres What You Need To Know Before The Market Opens,0.0,1.0,0.0,0.0
2,AN,2021-04-09,08:55AM,AutoNation and Inter Miami CF Partner to Drive Out Cancer,0.328,0.672,0.0,-0.6597
3,AN,2021-04-09,06:12AM,New Strong Buy Stocks for April 9th,0.0,0.645,0.355,0.5106
4,AN,2021-04-08,09:00AM,DigniFi Partners with AutoNation and TR Wholesale Solutions to Help Customers Finance Tire Purchases,0.0,0.732,0.268,0.5267
5,AN,2021-04-02,11:50AM,Are Investors Undervaluing AutoNation (AN) Right Now?,0.0,1.0,0.0,0.0
6,AN,2021-03-29,09:15AM,AutoNation (AN) Hits Fresh High: Is There Still Room to Run?,0.0,0.813,0.187,0.3182
7,AN,2021-03-19,01:30AM,"With A 12% Return On Equity, Is AutoNation, Inc. (NYSE:AN) A Quality Stock?",0.0,1.0,0.0,0.0
8,AN,2021-03-18,11:30AM,Why Is AutoNation (AN) Up 13.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
9,AN,2021-03-17,12:20PM,Why AutoNation (AN) Might be Well Poised for a Surge,0.0,0.631,0.369,0.4767
10,AN,2021-03-17,11:50AM,Should Value Investors Buy AutoNation (AN) Stock?,0.0,0.714,0.286,0.34
11,AN,2021-03-17,11:40AM,AN vs. CRMT: Which Stock Should Value Investors Buy Now?,0.0,0.789,0.211,0.34
12,AN,2021-03-15,09:44AM,"AutoNation's (AN) Shares March Higher, Can It Continue?",0.0,0.761,0.239,0.296
13,AN,2021-03-11,03:19PM,"AutoNation, Inc. -- Moody's announces completion of a periodic review of ratings of AutoNation, Inc.",0.0,1.0,0.0,0.0
14,AN,2021-03-11,12:19PM,Should You Buy AutoNation (AN) Stock Before Its Too Late?,0.0,1.0,0.0,0.0
15,AN,2021-03-09,04:27PM,"CarMax, IBD Stock Of The Day, Is In Buy Zone As Used Car Market Booms",0.0,1.0,0.0,0.0
16,AN,2021-03-08,09:15AM,AutoNation (AN) Hits Fresh High: Is There Still Room to Run?,0.0,0.813,0.187,0.3182
17,AN,2021-03-08,06:53AM,AutoNation (AN) Soars 8.4%: Is Further Upside Left in the Stock?,0.0,1.0,0.0,0.0
18,AN,2021-03-04,07:59AM,Why Vroom stock is getting run over,0.0,1.0,0.0,0.0
19,AN,2021-03-03,10:31AM,AutoNation Taking Advantage Of Used Car Interest,0.0,0.5,0.5,0.6124
20,AN,2021-03-02,10:05AM,Top Ranked Growth Stocks to Buy for March 2nd,0.0,0.614,0.386,0.5267
21,AN,2021-02-24,10:14AM,How CVS Health Is Faring During the Pandemic,0.0,1.0,0.0,0.0
22,AN,2021-02-17,10:54AM,Most corporate CFOs not planning to buy Bitcoin: survey,0.0,1.0,0.0,0.0
23,AN,2021-02-17,10:08AM,Price Over Earnings Overview: AutoNation,0.0,1.0,0.0,0.0
24,AN,2021-02-17,08:58AM,A Look Into AutoNation's Debt,0.455,0.545,0.0,-0.3612
25,AN,2021-02-16,11:47PM,"AutoNation, Inc. (NYSE:AN) Shares Could Be 26% Above Their Intrinsic Value Estimate",0.0,0.685,0.315,0.5574
26,AN,2021-02-16,02:30PM,Autonation Inc (AN) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
27,AN,2021-02-16,01:45PM,"Elon Musk may accept bitcoin for a Tesla, but this CEO says not at his auto dealerships",0.0,0.893,0.107,0.2023
28,AN,2021-02-16,09:32AM,AutoNation CEO on chip shortage: Ive never seen a more unpredictable situation,0.167,0.833,0.0,-0.25
29,AN,2021-02-16,08:29AM,"US STOCKS-Wall Street set for record open on stimulus, recovery bets",0.0,1.0,0.0,0.0
30,AN,2021-02-16,08:15AM,"AutoNation, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
31,AN,2021-02-16,07:38AM,UPDATE 1-AutoNation quarterly profit surges on resilient demand,0.144,0.577,0.279,0.34
32,AN,2021-02-16,07:35AM,AutoNation adjusted earnings reach an all-time high,0.0,0.845,0.155,0.0258
33,AN,2021-02-16,07:13AM,"AutoNation blows away profit estimates, reveals $1 billion stock buyback plan",0.0,0.775,0.225,0.4404
34,AN,2021-02-16,07:05AM,AutoNation Board Elects Rick L. Burdick as Chairman,0.0,1.0,0.0,0.0
35,AN,2021-02-16,06:49AM,"Earnings Scheduled For February 16, 2021",0.0,1.0,0.0,0.0
36,AN,2021-02-16,05:14AM,AutoNation Rises After Fourth-Quarter Earnings Beat,0.0,1.0,0.0,0.0
37,AN,2021-02-15,10:41AM,Earnings Preview: AutoNation,0.0,1.0,0.0,0.0
38,AN,2021-02-09,12:30PM,AutoNation (AN) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0,1.0,0.0,0.0
39,AN,2021-02-04,08:00AM,AutoNation Reinvents Automotive Retailing with Enhanced and Personalized Digital Customer Experience,0.0,1.0,0.0,0.0
40,AN,2021-02-01,08:38AM,5 Auto Stocks Poised to Deliver Q4 Earnings Beat,0.0,0.778,0.222,0.25
41,AN,2021-01-27,02:43PM,AutoNation Shows Market Leadership With Jump To 82 Relative Strength Rating,0.0,0.758,0.242,0.4939
