,ticker,date,time,headline,neg,neu,pos,compound
0,ARE,2021-04-14,06:40AM,Alexandria Real Estate Equities Is My Favorite Office REIT,0.0,0.727,0.273,0.4588
1,ARE,2021-04-13,01:48AM,Do Alexandria Real Estate Equities's (NYSE:ARE) Earnings Warrant Your Attention?,0.0,1.0,0.0,0.0
2,ARE,2021-04-09,12:35PM,"Alexandria Real Estate Equities, Inc. -- Moody's announces completion of a periodic review of ratings of Alexandria Real Estate Equities, Inc.",0.0,1.0,0.0,0.0
3,ARE,2021-04-09,11:45AM,Are You Looking for a High-Growth Dividend Stock? Alexandria Real Estate Equities (ARE) Could Be a Great Choice,0.0,0.785,0.215,0.6249
4,ARE,2021-04-07,12:00PM,The 3 Safest REITs to Buy in April,0.0,0.69,0.31,0.4019
5,ARE,2021-04-03,12:00PM,2 Office REITs to Buy in April,0.0,1.0,0.0,0.0
6,ARE,2021-03-29,08:00AM,TCR² Therapeutics Establishes Commercial-Scale Cell Therapy Manufacturing Facility,0.0,1.0,0.0,0.0
7,ARE,2021-03-24,11:45AM,Are You Looking for a High-Growth Dividend Stock? Alexandria Real Estate Equities (ARE) Could Be a Great Choice,0.0,0.785,0.215,0.6249
8,ARE,2021-03-15,02:00PM,3 Best REITs to Buy Right Now,0.0,0.543,0.457,0.6369
9,ARE,2021-03-08,12:00PM,Malls to Labs: Leading Edge of an Emerging CRE Trend?,0.0,1.0,0.0,0.0
10,ARE,2021-03-08,11:45AM,Alexandria Real Estate Equities (ARE) is a Top Dividend Stock Right Now: Should You Buy?,0.0,0.878,0.122,0.2023
11,ARE,2021-03-03,11:30AM,Alexandria Real Estate Equities (ARE) Down 3.4% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
12,ARE,2021-03-03,06:53AM,"Zacks Industry Outlook Highlights: Prologis, Extra Space Storage and Alexandria Real Estate Equities",0.0,1.0,0.0,0.0
13,ARE,2021-03-02,09:55AM,3 Equity REIT Stocks Poised to Escape Pandemic-Led Industry Weakness,0.224,0.48,0.296,-0.0258
14,ARE,2021-03-01,08:30AM,"Alexandria Real Estate Equities, Inc. Declares Cash Dividend of $1.09 per Common Share for 1Q21, an Aggregate of $4.30 per Common Share for the 12 Months Ending March 31, 2021, Up 24 Cents, or 6 Percent, Over the 12 Months Ended March 31, 2020",0.0,0.903,0.097,0.5267
15,ARE,2021-02-23,08:30AM,"Alexandria Real Estate Equities, Inc. to Hold Its First Quarter 2021 Operating and Financial Results Conference Call and Webcast on April 27, 2021",0.0,1.0,0.0,0.0
16,ARE,2021-02-19,05:00AM,"The 10 Most Sustainable REITs, According to Calvert",0.0,1.0,0.0,0.0
17,ARE,2021-02-18,05:00PM,"5 at 5: Your Daily Digest for Real Estate Investing, 2/18/21",0.0,1.0,0.0,0.0
18,ARE,2021-02-18,09:00AM,This Office REIT Is Helping Beat Back the Global Pandemic,0.0,0.804,0.196,0.296
19,ARE,2021-02-11,11:35PM,Shareholders Of Alexandria Real Estate Equities (NYSE:ARE) Must Be Happy With Their 166% Total Return,0.0,0.791,0.209,0.5719
20,ARE,2021-02-10,04:10PM,"Alexandria Real Estate Equities, Inc. Announces Redemption of Its Outstanding 4.000% Senior Notes Due 2024",0.0,0.778,0.222,0.6124
21,ARE,2021-02-10,08:30AM,"Alexandria Real Estate Equities, Inc. Announces Expiration of Tender Offer for Any and All of Its Outstanding 4.000% Senior Notes Due 2024",0.0,0.84,0.16,0.6124
22,ARE,2021-02-09,02:50PM,"Alexandria Real Estate Equities, Inc. Announces Pricing of Tender Offer for Any and All of Its Outstanding 4.000% Senior Notes Due 2024",0.0,0.84,0.16,0.6124
23,ARE,2021-02-03,07:10PM,"Alexandria Real Estate Equities, Inc. Announces Pricing of Public Offering of $900,000,000 of Senior Notes due 2032 $850,000,000 of Senior Notes due 2051",0.0,1.0,0.0,0.0
24,ARE,2021-02-03,08:46AM,"Alexandria Real Estate Equities, Inc. Announces Public Offering of Senior Notes",0.0,1.0,0.0,0.0
25,ARE,2021-02-03,08:45AM,"Alexandria Real Estate Equities, Inc. Announces Tender Offer for Any and All of Its Outstanding 4.000% Senior Notes Due 2024",0.0,0.826,0.174,0.6124
26,ARE,2021-02-02,09:00PM,Alexandria Real Estate Equities Inc (ARE) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
27,ARE,2021-02-02,01:15PM,"Alexandria Real Estate Equities, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
