,ticker,date,time,headline,neg,neu,pos,compound
0,ATVI,2021-04-14,06:54AM,4 Stocks to Watch Amid the Growing Popularity of Mobile Gaming,0.0,0.625,0.375,0.5859
1,ATVI,2021-04-08,05:50PM,"Activision Blizzard, Inc (ATVI) Stock Sinks As Market Gains: What You Should Know",0.0,0.833,0.167,0.34
2,ATVI,2021-04-05,10:00AM,3 Stocks With Strong Earnings That You Should Watch Now,0.0,0.708,0.292,0.5106
3,ATVI,2021-03-31,09:26AM,Activision (ATVI) Launches New Expansion Pack for Hearthstone,0.0,1.0,0.0,0.0
4,ATVI,2021-03-30,01:14PM,"Hearthstone® Embarks on its Biggest Journey Yet With Forged in the Barrens, Live Today",0.0,1.0,0.0,0.0
5,ATVI,2021-03-29,05:50PM,"Activision Blizzard, Inc (ATVI) Gains As Market Dips: What You Should Know",0.0,0.821,0.179,0.34
6,ATVI,2021-03-29,04:05PM,Activision Blizzard Appoints Company Veteran Armin Zerza as Chief Financial Officer,0.0,1.0,0.0,0.0
7,ATVI,2021-03-29,04:00PM,"Activision Blizzard to Release First Quarter 2021 Financial Results on May 4, 2021",0.0,1.0,0.0,0.0
8,ATVI,2021-03-29,08:40AM,"Got $5,000? 2 Tech Stocks to Buy in a Market Crash",0.252,0.748,0.0,-0.4019
9,ATVI,2021-03-27,09:48AM,Better Buy: Activision Blizzard vs. Zynga,0.0,0.633,0.367,0.4404
10,ATVI,2021-03-25,03:14PM,Crash Bandicoot Runs Again In New Mobile Game from King Digital Entertainment,0.174,0.645,0.181,0.0258
11,ATVI,2021-03-25,08:00AM,Get Ready For The Run Of A Lifetime As Crash Bandicoot Is Unleashed On Mobile Worldwide,0.148,0.714,0.137,-0.0516
12,ATVI,2021-03-23,06:19AM,Top Video Game Stocks for Q2 2021,0.0,0.769,0.231,0.2023
13,ATVI,2021-03-22,05:50PM,"Activision Blizzard, Inc (ATVI) Outpaces Stock Market Gains: What You Should Know",0.0,0.821,0.179,0.34
14,ATVI,2021-03-20,07:30PM,Is Activision Blizzard (ATVI) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
15,ATVI,2021-03-19,07:13AM,4 Stocks to Watch as Live Streaming Boosts E-Sports Market,0.0,0.777,0.223,0.3182
16,ATVI,2021-03-17,09:21AM,Is Activision Blizzard Stock a Buy?,0.0,1.0,0.0,0.0
17,ATVI,2021-03-16,08:00PM,Activision Fires Dozens Amid Shift Away From Live Events,0.0,1.0,0.0,0.0
18,ATVI,2021-03-16,06:13PM,Blizzard fires 50 employees in live events as pandemic roils business,0.0,1.0,0.0,0.0
19,ATVI,2021-03-16,05:50PM,"Activision Blizzard, Inc (ATVI) Gains As Market Dips: What You Should Know",0.0,0.821,0.179,0.34
20,ATVI,2021-03-16,05:08PM,Activision Blizzard Lays Off 50 Esports Employees as In-Person Live Events Remain Stalled,0.13,0.87,0.0,-0.2023
21,ATVI,2021-03-16,01:27AM,"The Activision Blizzard (NASDAQ:ATVI) Share Price Has Gained 189%, So Why Not Pay It Some Attention?",0.0,0.671,0.329,0.6553
22,ATVI,2021-03-15,05:12AM,15 Most Valuable App Companies,0.0,0.541,0.459,0.5256
23,ATVI,2021-03-14,07:52AM,1 Metric Investors Should Love at Activision Blizzard,0.0,0.588,0.412,0.6369
24,ATVI,2021-03-10,05:45PM,"Activision Blizzard, Inc (ATVI) Stock Sinks As Market Gains: What You Should Know",0.0,0.833,0.167,0.34
25,ATVI,2021-03-10,04:18PM,Roblox could change the future of gaming  but it has two major challenges,0.0,0.892,0.108,0.1154
26,ATVI,2021-03-10,01:38PM,"Roblox, an online gaming platform, closes above $69 after strong market debut",0.0,0.769,0.231,0.5106
27,ATVI,2021-03-10,09:42AM,Roblox to go public today in $30B direct listing,0.0,1.0,0.0,0.0
28,ATVI,2021-03-08,01:32PM,The future of gaming: key trends transforming the industry,0.0,1.0,0.0,0.0
29,ATVI,2021-03-07,08:15AM,"Got $5,000? 2 Tech Stocks to Buy and Hold for the Long Term",0.0,1.0,0.0,0.0
30,ATVI,2021-03-06,11:31AM,"Activision Blizzard, Inc (ATVI) Down 0.1% Since Last Earnings Report: Can It Rebound?",0.0,1.0,0.0,0.0
31,ATVI,2021-03-06,09:22AM,How Zynga Boosted Its Growth Potential Overnight,0.0,0.495,0.505,0.6249
32,ATVI,2021-03-06,08:50AM,Did Activision Overpay for Candy Crush?,0.242,0.758,0.0,-0.1531
33,ATVI,2021-03-05,04:40AM,"Top Gaming Stocks to Buy in 2021: Skillz, Activision Blizzard",0.0,0.833,0.167,0.2023
34,ATVI,2021-03-03,01:06PM,"Why Its Time to Buy French Videogame Maker Ubisofts Stock, According to an Analyst",0.0,1.0,0.0,0.0
35,ATVI,2021-03-03,10:13AM,Activision Blizzard Needs to Keep These Customers Happy,0.0,0.654,0.346,0.5719
36,ATVI,2021-03-03,10:12AM,"The Zacks Analyst Blog Highlights: Facebook, Sony, Take-Two Interactive Software, Nintendo and Activision Blizzard",0.0,1.0,0.0,0.0
37,ATVI,2021-03-03,08:15AM,Get Paid While You Wait: 2 Top Dividend Stocks in Video Games,0.0,0.847,0.153,0.2023
38,ATVI,2021-03-02,05:41PM,"Playtika Holding Corp. -- Moody's upgrades Playtika to Ba3 and rates new debt issuance, outlook stable",0.134,0.749,0.118,-0.0772
39,ATVI,2021-03-02,11:00AM,Is Activision Blizzard Stock a Buy?,0.0,1.0,0.0,0.0
40,ATVI,2021-03-02,11:00AM,Frances F. Townsend Joins Activision Blizzard as Executive Vice President for Corporate Affairs,0.0,1.0,0.0,0.0
41,ATVI,2021-03-02,08:30AM,5 Stocks to Check out as Gaming Space Continues to Grow,0.0,1.0,0.0,0.0
42,ATVI,2021-02-27,08:02AM,2 Top Video Game Stocks to Buy in 2021,0.0,0.795,0.205,0.2023
43,ATVI,2021-02-25,01:38PM,2 Reasons Activision Blizzard Stock Is Falling After BlizzCon,0.186,0.814,0.0,-0.1531
44,ATVI,2021-02-25,07:23AM,3 Stocks That Could Set You Up for Life,0.0,1.0,0.0,0.0
45,ATVI,2021-02-24,01:00PM,"How Activision Blizzard Makes Money: Console, PC, and Mobile games",0.0,1.0,0.0,0.0
46,ATVI,2021-02-24,05:12AM,Top 15 Financial Centers/Cities of The World,0.0,0.769,0.231,0.2023
47,ATVI,2021-02-23,11:00AM,Tony Hawk Enlists Crash Bandicoots Help to Bring Tony Hawks Pro Skater 1 and 2 to Next-Gen Consoles and Switch In 2021!,0.115,0.769,0.115,0.0
48,ATVI,2021-02-23,07:00AM,This 1 Metric Shows Why Activision Blizzard Still Has Much More Fuel in the Tank,0.0,1.0,0.0,0.0
49,ATVI,2021-02-23,03:34AM,George Soros Top 10 Stock Picks,0.0,0.735,0.265,0.2023
50,ATVI,2021-02-22,04:50PM,5 Takeaways From Activision's BlizzConline,0.0,1.0,0.0,0.0
51,ATVI,2021-02-22,12:00PM,Here's Why the Best Is Yet to Come for Activision Blizzard,0.0,0.704,0.296,0.6369
52,ATVI,2021-02-22,09:14AM,Better Buy: Activision Blizzard vs. Amazon,0.0,0.465,0.535,0.5574
53,ATVI,2021-02-19,06:39PM,CORRECTING and REPLACING Blizzard® Arcade Collection Brings Back the Games That Led to the Creation of Blizzard Entertainment,0.0,0.766,0.234,0.5994
54,ATVI,2021-02-19,05:57PM,Blizzard Entertainment Celebrates 30 Years With Its Global CommunityAnd New Adventures Soon to Comeat BlizzConline,0.0,0.574,0.426,0.836
55,ATVI,2021-02-19,05:48PM,Blizzard Entertainment to Resurrect Diablo® II in 2021 for PC and Consoles,0.0,0.797,0.203,0.4215
56,ATVI,2021-02-19,05:41PM,Hearthstone® Soars Into the Year of the Gryphon,0.0,1.0,0.0,0.0
57,ATVI,2021-02-19,05:33PM,World of Warcraft®: Burning Crusade Classic Beckons Players Back Through the Dark Portal,0.0,1.0,0.0,0.0
58,ATVI,2021-02-18,12:06AM,We Think Activision Blizzard (NASDAQ:ATVI) Can Manage Its Debt With Ease,0.179,0.643,0.179,0.0
59,ATVI,2021-02-17,04:50AM,Saudi Sovereign Wealth Fund Is Betting On These 3 US Video-Game Stocks,0.0,0.758,0.242,0.4939
60,ATVI,2021-02-17,04:03AM,Saudi Wealth Fund Made $3.3 Billion Bet on Video-Game Makers,0.0,0.738,0.262,0.4939
61,ATVI,2021-02-16,04:01PM,Everyone wanted to be a gamer because there was nothing else to do: FaZe Clan gamer SWAGG on pandemic boom,0.0,1.0,0.0,0.0
62,ATVI,2021-02-16,01:06PM,Saudi Arabia Invested Billions of Dollars in Videogame Stocks,0.0,1.0,0.0,0.0
63,ATVI,2021-02-16,09:34AM,"CEOs of GameStop, FansUnite, ESE and Activision Blizzard Driving New Trends in E-Sports, I-Gaming and Digital Entertainment",0.0,0.851,0.149,0.4215
64,ATVI,2021-02-16,07:15AM,Activision Ends 2020 in Pole Position,0.0,1.0,0.0,0.0
65,ATVI,2021-02-15,09:32AM,"Got $1,000? Here Are 3 Stocks to Consider Buying Right Now",0.0,1.0,0.0,0.0
66,ATVI,2021-02-13,08:00AM,Two Top Gaming Stocks to Watch,0.0,0.735,0.265,0.2023
67,ATVI,2021-02-11,11:38AM,Activision Blizzard Answers Important Questions About Engagement Trends During Q4 Earnings Call,0.0,0.676,0.324,0.5859
68,ATVI,2021-02-11,07:54AM,Why Activision Blizzard Expects More Growth After a Record 2020,0.0,0.734,0.266,0.4391
69,ATVI,2021-02-10,08:22AM,Activision Blizzard at $100: Buy or Sell?,0.0,1.0,0.0,0.0
70,ATVI,2021-02-09,04:06PM,Activision Blizzard Earnings: Call of Duty Is More Than Just a Game,0.0,1.0,0.0,0.0
71,ATVI,2021-02-09,03:50PM,"After EAs Bid for Glu Mobile, Could Videogame Maker Zynga Be the Next Target?",0.0,1.0,0.0,0.0
72,ATVI,2021-02-09,02:53PM,Corsair beats estimates as consumers turn to gaming amid pandemic,0.0,1.0,0.0,0.0
73,ATVI,2021-02-09,01:32PM,Market Signals Flip to Risk-On,0.0,1.0,0.0,0.0
74,ATVI,2021-02-09,11:00AM,"Crash Bandicoot Makes His Way Four-Ward to Next-Gen Consoles, Switch, and PC in 2021!",0.187,0.813,0.0,-0.4574
75,ATVI,2021-02-08,05:59PM,'Grand Theft Auto' Publisher Take-Two Batters Wall Street's Holiday-Quarter Targets,0.0,0.75,0.25,0.4588
76,ATVI,2021-02-08,05:56PM,Take-Two Interactive Stock Is Slumping. A Beat and Raise Didnt Cut It.,0.0,0.846,0.154,0.2057
77,ATVI,2021-02-08,05:00PM,Activision ETFs Set to Shine on Strong Q4 Results,0.0,0.708,0.292,0.5106
78,ATVI,2021-02-08,12:13PM,14 Best Low-Risk Stocks to Buy Right Now,0.0,0.625,0.375,0.6369
79,ATVI,2021-02-08,08:27AM,Activision Blizzard: What We're Watching Now,0.0,1.0,0.0,0.0
80,ATVI,2021-02-06,07:00AM,"Biggest U.S. Pension Bought More NIO and Activision Stock, and 2 Retailers",0.0,1.0,0.0,0.0
81,ATVI,2021-02-05,08:11PM,Why Activision Blizzard Stock Jumped Today,0.0,1.0,0.0,0.0
82,ATVI,2021-02-05,06:51PM,"Activision stock price sees 1984 levels, record valuation on expansion plans",0.0,1.0,0.0,0.0
83,ATVI,2021-02-05,05:30PM,MoneyLine Podcast: The Chance to Profit From This $1.6T Industry Is Just Beginning,0.0,0.692,0.308,0.5994
84,ATVI,2021-02-05,04:14PM,Activision Investors Applaud Q4 Report: What The Street Is Saying,0.0,0.75,0.25,0.4588
85,ATVI,2021-02-05,01:35PM,"Dow Jones Jumps 100 Points, Nears All-Time High; Nike Nears Buy Point; Johnson & Johnson Jumps On Vaccine News",0.0,1.0,0.0,0.0
86,ATVI,2021-02-05,01:15PM,"Dow Rallies As J&J Gains, Senate OKs Budget Plan For Biden Stimulus Bill",0.0,0.833,0.167,0.34
87,ATVI,2021-02-05,12:43PM,Activision (ATVI) Q4 Earnings Up Y/Y On Solid Top-Line Growth,0.0,0.656,0.344,0.4939
88,ATVI,2021-02-05,12:05PM,"US STOCKS-S&P 500, Nasdaq set to wrap up best week since U.S. elections",0.0,0.741,0.259,0.6369
89,ATVI,2021-02-05,11:31AM,Activision Blizzard Shares Rally On Stock Buyback And Dividend Hike,0.0,0.804,0.196,0.296
90,ATVI,2021-02-05,11:30AM,"Stock Market Up As Activision, J&J, Ubiquiti Lead Upside; Should Investors Take Profits In Peloton, Unity Software?",0.0,0.847,0.153,0.4404
91,ATVI,2021-02-05,11:27AM,"Plantronics, Activision, Penn National: 5 Top Stock Gainers for Friday",0.0,0.816,0.184,0.2023
92,ATVI,2021-02-05,11:08AM,A Look Into Activision Blizzard's Price Over Earnings,0.0,1.0,0.0,0.0
93,ATVI,2021-02-05,10:04AM,"US STOCKS-S&P 500, Nasdaq scale new highs on stimulus progress, job market rebound",0.0,0.811,0.189,0.4215
94,ATVI,2021-02-05,09:42AM,Activision Soars to Record on Upbeat Outlook for Game Sales,0.0,1.0,0.0,0.0
95,ATVI,2021-02-05,06:09AM,Activision Blizzard: Gaming giant sees record $8 billion revenues in 2020,0.0,1.0,0.0,0.0
