,ticker,date,time,headline,neg,neu,pos,compound
0,BZUN,2021-04-12,06:30PM,Baozun Releases 2020 Chairman Letter,0.0,1.0,0.0,0.0
1,BZUN,2021-04-12,05:33PM,Baozun Files Annual Report on Form 20-F for Fiscal Year 2020,0.0,1.0,0.0,0.0
2,BZUN,2021-04-12,09:27AM,3 Growth Stocks for In-the-Know Investors,0.0,0.606,0.394,0.3818
3,BZUN,2021-04-06,09:48AM,3 Top E-Commerce Stocks to Buy Right Now,0.0,0.769,0.231,0.2023
4,BZUN,2021-04-03,07:30AM,Could These E-Commerce Stocks Be the Next Shopify?,0.0,1.0,0.0,0.0
5,BZUN,2021-03-29,01:36AM,What Is Baozun Inc.'s (NASDAQ:BZUN) Share Price Doing?,0.0,0.761,0.239,0.296
6,BZUN,2021-03-23,10:18AM,New Strong Sell Stocks for March 23rd,0.0,0.645,0.355,0.5106
7,BZUN,2021-03-06,01:29AM,CN¥314 - That's What Analysts Think Baozun Inc. (NASDAQ:BZUN) Is Worth After These Results,0.0,0.863,0.137,0.2263
8,BZUN,2021-03-04,06:00PM,Baozun (BZUN) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
9,BZUN,2021-03-04,04:17PM,Baozun Quarterly Results Fall Short; Chinese E-Commerce Stock Falls,0.0,1.0,0.0,0.0
10,BZUN,2021-03-04,07:17AM,Recap: Baozun Q4 Earnings,0.0,1.0,0.0,0.0
11,BZUN,2021-03-04,05:00AM,Baozun Announces Fourth Quarter and Fiscal Year 2020 Unaudited Financial Results,0.0,1.0,0.0,0.0
12,BZUN,2021-02-24,08:43AM,Is Baozun Stock a Buy?,0.0,1.0,0.0,0.0
13,BZUN,2021-02-20,02:01AM,Is Baozun (NASDAQ:BZUN) A Risky Investment?,0.31,0.69,0.0,-0.2023
14,BZUN,2021-02-19,05:00AM,"Baozun to Announce Fourth Quarter and Fiscal Year 2020 Unaudited Financial Results on March 4, 2021",0.0,1.0,0.0,0.0
15,BZUN,2021-02-10,04:08PM,Why Baozun Stock Was Climbing Today,0.0,1.0,0.0,0.0
16,BZUN,2021-02-05,08:47PM,Why Baozun Stock Gained 19% Last Month,0.0,0.698,0.302,0.3818
17,BZUN,2021-02-05,08:00AM,3 Hot Stocks to Buy in February,0.0,1.0,0.0,0.0
18,BZUN,2021-02-04,05:47PM,Why Baozun Stock Popped Again Today,0.0,1.0,0.0,0.0
19,BZUN,2021-02-03,09:29PM,Farfetch and Guccis China E-commerce Partner Baozun Buys Competitor,0.0,1.0,0.0,0.0
20,BZUN,2021-02-03,12:52PM,Baozun Expands Luxury Brand Footprint In China With Full Jet Acquisition,0.0,0.877,0.123,0.1027
21,BZUN,2021-02-03,06:00AM,Baozun Announces Acquisition of Full Jet Limited to Accelerate Expansion of Luxury and Premium Brand Footprint,0.112,0.888,0.0,-0.2263
22,BZUN,2021-01-27,04:02PM,Why Baozun Stock Pulled Back Today,0.0,1.0,0.0,0.0
23,BZUN,2021-01-26,04:08PM,Why Baozun Stock Soared Today,0.0,1.0,0.0,0.0
24,BZUN,2021-01-26,05:30AM,Baozun and iClick Announce Equity Investment and Strategic Business Cooperation,0.0,1.0,0.0,0.0
25,BZUN,2021-01-25,08:41AM,Is There More Growth In Store For Baozun's (NASDAQ:BZUN) Returns On Capital?,0.0,0.792,0.208,0.4391
26,BZUN,2021-01-08,07:53AM,Beyond Jack Ma: 3 Chinese E-Commerce Stocks You Should Know,0.0,1.0,0.0,0.0
27,BZUN,2021-01-07,11:46AM,The 3 E-Commerce Stocks That Are Often Overlooked,0.155,0.845,0.0,-0.0258
28,BZUN,2021-01-04,04:25PM,3 Top E-Commerce Stocks to Buy Right Now,0.0,0.769,0.231,0.2023
29,BZUN,2021-01-03,02:11AM,Baozun (NASDAQ:BZUN) Shareholders Have Enjoyed A Whopping 409% Share Price Gain,0.0,0.44,0.56,0.836
30,BZUN,2020-12-31,07:42PM,3 Tech Stocks That Could Regain Their Momentum in 2021,0.0,1.0,0.0,0.0
31,BZUN,2020-12-21,08:35AM,3 Cheap Tech Stocks to Buy Right Now,0.0,1.0,0.0,0.0
32,BZUN,2020-12-19,06:31PM,Is BZUN A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
33,BZUN,2020-12-12,08:30AM,Better Buy: Shopify vs. Baozun,0.0,0.58,0.42,0.4404
34,BZUN,2020-12-11,06:44AM,A Look At The Intrinsic Value Of Baozun Inc. (NASDAQ:BZUN),0.0,0.769,0.231,0.34
35,BZUN,2020-12-01,09:00AM,Baozun Stock Is Still a Top E-Commerce Bet in Mainland China,0.0,0.833,0.167,0.2023
36,BZUN,2020-11-24,03:30AM,Baozun (BZUN) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
37,BZUN,2020-11-23,07:02AM,Baozun: Q3 Earnings Insights,0.0,1.0,0.0,0.0
38,BZUN,2020-11-23,05:55AM,Baozun Announces Third Quarter 2020 Unaudited Financial Results,0.0,1.0,0.0,0.0
