,ticker,date,time,headline,neg,neu,pos,compound
0,CAH,2021-04-13,09:00AM,Cardinal Health awarded Strategic National Stockpile contract for PPE storage and distribution,0.0,0.803,0.197,0.4019
1,CAH,2021-04-13,08:30AM,Here's Why You Should Hold on to Cardinal Health (CAH) Stock,0.0,1.0,0.0,0.0
2,CAH,2021-04-09,08:59AM,Cardinal Health (CAH) Unveils Navista TS to Boost Patient Care,0.0,0.576,0.424,0.7096
3,CAH,2021-04-07,10:00AM,"Cardinal Health Launches Navista TS to Help Oncology Practices Improve Patient Care, Lower Costs and Drive Success in Value-Based Care",0.069,0.439,0.492,0.926
4,CAH,2021-04-04,02:30PM,Worried About Inflation? These 3 Stocks Can Help,0.222,0.505,0.273,0.128
5,CAH,2021-04-01,01:44PM,"Investors should reject J&J CEO pay package, proxy adviser Glass Lewis says",0.291,0.709,0.0,-0.4767
6,CAH,2021-04-01,01:43PM,"Investors should reject J&J CEO pay package, proxy adviser Glass Lewis says",0.291,0.709,0.0,-0.4767
7,CAH,2021-04-01,06:55AM,3 High-Yield Dividend Stocks I'd Buy Right Now,0.0,1.0,0.0,0.0
8,CAH,2021-04-01,02:10AM,"What Type Of Shareholders Make Up Cardinal Health, Inc.'s (NYSE:CAH) Share Registry?",0.0,0.833,0.167,0.296
9,CAH,2021-03-30,06:55AM,Cardinal Health to Webcast Discussion of Third-Quarter Results for Fiscal Year 2021 on May 6,0.0,1.0,0.0,0.0
10,CAH,2021-03-29,09:15AM,Ecolab (ECL) Unveils Its Enhanced Smart Water Navigator,0.0,0.722,0.278,0.4019
11,CAH,2021-03-29,06:14AM,Exclusive: J&J CEO pay irks investors upset with opioid lawsuits fallout,0.397,0.496,0.106,-0.4767
12,CAH,2021-03-29,06:06AM,Exclusive: J&J CEO pay irks investors upset with opioid lawsuits fallout,0.397,0.496,0.106,-0.4767
13,CAH,2021-03-26,08:16AM,"The Zacks Analyst Blog Highlights: Becton, Dickinson and Co, Cardinal Health, Abbott Lab, Hologic and Bio-Rad Lab",0.0,1.0,0.0,0.0
14,CAH,2021-03-25,09:10AM,Cardinal Health (CAH) Hits New 52-week High: What's Driving It?,0.0,1.0,0.0,0.0
15,CAH,2021-03-22,04:25PM,Is Cardinal Health (CAH) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
16,CAH,2021-03-15,04:29PM,U.S. drug distributors urge govt to boost COVID-19 vaccine supply network,0.0,0.787,0.213,0.4019
17,CAH,2021-03-15,12:40PM,Cardinal Health (CAH) Inks Deal to Divest Cordis Business,0.0,1.0,0.0,0.0
18,CAH,2021-03-14,03:57AM,Cardinal Health Inks $1B Deal To Sell Cordis Business,0.0,1.0,0.0,0.0
