,ticker,date,time,headline,neg,neu,pos,compound
0,CB,2021-04-13,01:25PM,Chubb Announces Leadership Appointments in its Accident and Health Business,0.256,0.744,0.0,-0.4767
1,CB,2021-04-13,10:19AM,Chubb Appoints Lyndsey Christofer Construction Industry Practice Leader,0.0,1.0,0.0,0.0
2,CB,2021-04-06,07:53PM,Is CB Stock A Buy or Sell?,0.0,1.0,0.0,0.0
3,CB,2021-04-01,04:05PM,"Chubb Limited to Hold its First Quarter Earnings Conference Call on Wednesday, April 28, 2021",0.119,0.881,0.0,-0.2263
4,CB,2021-04-01,12:51PM,Davis Funds: We Expect Chubb (CB) to Grow Decently and Gain Market Share Over Time,0.0,0.699,0.301,0.6808
5,CB,2021-03-30,10:15AM,Chubb To Host Second Virtual Large Account Client and Broker Engagement,0.0,0.769,0.231,0.4588
6,CB,2021-03-30,05:31AM,Hartford Walks Away From Chubbs Merger Offer,0.0,1.0,0.0,0.0
7,CB,2021-03-29,08:58AM,UPDATE 1-Insurer Chubb 'disappointed' after rival Hartford snubs buyout bid,0.256,0.744,0.0,-0.4767
8,CB,2021-03-29,08:30AM,Chubb Issues Statement in Response to The Hartford,0.0,1.0,0.0,0.0
9,CB,2021-03-29,07:57AM,Chubb 'Disappointed' at Hartford Financial Buyout Rejection,0.368,0.632,0.0,-0.5423
10,CB,2021-03-27,11:46PM,"Ontario Lottery and Gaming Corporation - EVENING LOTTERY WINNING NUMBERS - March 27, 2021",0.0,0.727,0.273,0.6289
11,CB,2021-03-25,05:57PM,"Oxfords E-commerce Gains Cant Offset Losses in Q4, Year",0.0,0.6,0.4,0.5659
12,CB,2021-03-25,10:15AM,"Westchester, a Chubb Company, Names Dave Roberts Head of Westchester Small Business",0.0,1.0,0.0,0.0
13,CB,2021-03-23,08:44AM,UPDATE 3-Insurer Hartford spurns rival Chubb's $23.24 bln buyout offer,0.0,1.0,0.0,0.0
14,CB,2021-03-23,08:43AM,"Hartford Financial rejects Chubb's hostile buyout bid, stock falls",0.453,0.547,0.0,-0.7003
15,CB,2021-03-23,07:40AM,Hartford Retreats After Board Rejects Chubbs Unsolicited Offer,0.314,0.686,0.0,-0.4939
16,CB,2021-03-22,08:00PM,Hartford rejects $23bn takeover approach from Greenbergs Chubb,0.314,0.686,0.0,-0.4939
17,CB,2021-03-22,04:42AM,Hartford Receives Takeover Bid From Chubb,0.0,1.0,0.0,0.0
18,CB,2021-03-22,02:00AM,RPT-Insurer Chubb needs to pay up to bulk up with Hartford,0.123,0.877,0.0,-0.1027
19,CB,2021-03-19,06:23PM,Insurer Chubb needs to pay up to bulk up with Hartford,0.123,0.877,0.0,-0.1027
20,CB,2021-03-19,06:19PM,CORRECTED-Insurer Chubb needs to pay up to bulk up with Hartford,0.123,0.877,0.0,-0.1027
21,CB,2021-03-18,06:45PM,Chubb Confirms Submission of Preliminary Proposal for Strategic Business Combination to The Hartford,0.0,1.0,0.0,0.0
22,CB,2021-03-18,01:20PM,UPDATE 5-U.S. insurer Hartford fields takeover bid from Chubb,0.0,1.0,0.0,0.0
23,CB,2021-03-18,10:07AM,Hartford Financial Spikes on Report of Chubb Buyout Approach,0.0,1.0,0.0,0.0
