,ticker,date,time,headline,neg,neu,pos,compound
0,CCL,2021-04-13,09:25AM,Is Carnival Stock a Buy?,0.0,1.0,0.0,0.0
1,CCL,2021-04-13,03:30AM,"Cunard's Captain Christopher Wells Retires after 20 years with the Line, and Awarded Rank of Commodore",0.0,0.749,0.251,0.5719
2,CCL,2021-04-13,03:30AM,"Cunard's Captain Christopher Wells Retires after 20 years with the Line, and Awarded Rank of Commodore",0.0,0.749,0.251,0.5719
3,CCL,2021-04-12,12:11PM,Why Cruise Stocks Are Taking on Water Today,0.0,1.0,0.0,0.0
4,CCL,2021-04-12,08:35AM,3 Stocks to Avoid This Week,0.355,0.645,0.0,-0.296
5,CCL,2021-04-10,11:49AM,"Is Now The Time To Buy Stock In American Airlines, Carnival, Tesla Or GE?",0.0,1.0,0.0,0.0
6,CCL,2021-04-09,05:17PM,Is Carnival Stock a Buy Right Now? This Is What You Need to Know,0.0,1.0,0.0,0.0
7,CCL,2021-04-09,02:35PM,Royal Caribbean Is a More Investable Cruise Line,0.0,1.0,0.0,0.0
8,CCL,2021-04-09,02:24PM,"Despite No-Sail Orders, Carnival Has a 38% Upside, Major Analyst Says",0.0,1.0,0.0,0.0
9,CCL,2021-04-09,01:42PM,Carnival Threatens USA Cruise Ship Withdrawal to Salvage Summer Cruising,0.222,0.684,0.094,-0.3612
10,CCL,2021-04-09,09:26AM,Florida sues CDC over unlawful cruise industry shutdown,0.0,1.0,0.0,0.0
11,CCL,2021-04-09,06:10AM,These 3 Stocks Are Absurdly Overvalued Right Now,0.0,1.0,0.0,0.0
12,CCL,2021-04-09,05:00AM,Cruise Operator Carnival Still Isn't a Stock I Want to Climb Aboard,0.118,0.775,0.107,-0.0315
13,CCL,2021-04-08,03:14PM,Holland America Line Celebrates the 25th Anniversary of Private Bahamian Island Half Moon Cay During 2022-23 Caribbean Season,0.0,0.821,0.179,0.5719
14,CCL,2021-04-08,02:15PM,Why Norwegian Cruise Line Stock Slumped Today,0.0,1.0,0.0,0.0
15,CCL,2021-04-08,12:00PM,Wanderlust & Work: Super-Charged MedallionNet Redefining Remote Working on Princess Cruises MedallionClass® Ships,0.0,1.0,0.0,0.0
16,CCL,2021-04-08,11:13AM,Investing in cruises is a gamble: fmr. analyst,0.0,1.0,0.0,0.0
17,CCL,2021-04-08,09:00AM,Media Alert For 2021 Global Scientific Summit On COVID-19,0.0,0.784,0.216,0.296
18,CCL,2021-04-08,07:30AM,"Carnival (CCL) Posts Wider-than-Expected Q1 Loss, Bookings Up",0.247,0.753,0.0,-0.3182
