,ticker,date,time,headline,neg,neu,pos,compound
0,CERN,2021-04-12,06:14PM,Microsoft to Acquire Nuance for $19.6 Billion in Health-Care Bet,0.0,1.0,0.0,0.0
1,CERN,2021-04-12,09:24AM,Better Buy: Veeva Systems vs. Cerner,0.0,0.633,0.367,0.4404
2,CERN,2021-04-08,01:37PM,Is CERN Stock A Buy or Sell?,0.0,1.0,0.0,0.0
3,CERN,2021-04-01,01:58PM,Cerner Scoops Up Kantar Heath For $375M,0.0,1.0,0.0,0.0
4,CERN,2021-04-01,10:50AM,Cerner Finalizes Acquisition of Kantar Health,0.0,1.0,0.0,0.0
5,CERN,2021-03-29,10:08AM,Allscripts' (MDRX) Sunrise Platform Picked by Mercy Iowa City,0.0,0.762,0.238,0.3612
6,CERN,2021-03-26,09:00AM,Cerner Announces Quarterly Dividend,0.0,1.0,0.0,0.0
7,CERN,2021-03-22,03:09PM,Cerner Mourns the Passing of Long-Time Board Member Linda M. Dillman,0.254,0.746,0.0,-0.5267
8,CERN,2021-03-20,04:13AM,Can You Imagine How Cerner's (NASDAQ:CERN) Shareholders Feel About The 40% Share Price Increase?,0.0,0.727,0.273,0.5423
9,CERN,2021-03-12,11:30AM,Cerner (CERN) Down 6.4% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
10,CERN,2021-03-10,06:15AM,3 Top Stocks to Buy After Last Week's Sell-Off,0.0,0.795,0.205,0.2023
11,CERN,2021-03-09,08:00AM,How To Research Growth Stocks: Using The Composite Rating As a Guide,0.0,0.794,0.206,0.3818
12,CERN,2021-02-18,01:23AM,Returns On Capital At Cerner (NASDAQ:CERN) Paint An Interesting Picture,0.0,0.769,0.231,0.4019
13,CERN,2021-02-11,09:11AM,"Cerner (CERN) Q4 Earnings Match Estimates, Revenues Beat",0.0,1.0,0.0,0.0
14,CERN,2021-02-10,09:30PM,Cerner Corp (CERN) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
15,CERN,2021-02-10,05:39PM,Cerner: Q4 Earnings Insights,0.0,1.0,0.0,0.0
16,CERN,2021-02-10,05:25PM,Cerner (CERN) Q4 Earnings Match Estimates,0.0,1.0,0.0,0.0
17,CERN,2021-02-10,04:01PM,Cerner Reports Fourth Quarter And Full-Year 2020 Results,0.0,1.0,0.0,0.0
18,CERN,2021-02-10,02:30PM,Cerner Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
19,CERN,2021-02-09,10:33AM,Cerner Earnings Preview,0.0,1.0,0.0,0.0
20,CERN,2021-02-08,08:46AM,Cerner (CERN) to Report Q4 Earnings: What's in the Offing?,0.0,1.0,0.0,0.0
21,CERN,2021-02-03,12:31PM,Cerner (CERN) Reports Next Week: Wall Street Expects Earnings Growth,0.0,0.776,0.224,0.3818
22,CERN,2021-02-02,10:30AM,"Cerner Named Best in KLAS For Behavioral Health, Global Acute Care",0.0,0.549,0.451,0.8126
23,CERN,2021-01-28,10:00AM,Cerner Receives Fourth Consecutive Perfect Score on 2021 Corporate Equality Index,0.0,0.73,0.27,0.5719
24,CERN,2021-01-21,09:00AM,Cerner Names New Chief Financial Officer,0.0,1.0,0.0,0.0
25,CERN,2021-01-19,12:09PM,Why BofA Is Double Downgrading Cerner: 'Not Much Room For Upside',0.0,1.0,0.0,0.0
26,CERN,2021-01-19,12:18AM,What Type Of Shareholders Make Up Cerner Corporation's (NASDAQ:CERN) Share Registry?,0.0,0.82,0.18,0.296
27,CERN,2021-01-14,09:00AM,Virginia Behavioral Health Agency Selects Cerner to Enhance Care Coordination Across 12 Facilities,0.0,0.789,0.211,0.4939
28,CERN,2021-01-11,09:00AM,Cerner to Release Fourth Quarter 2020 Earnings Results February 10,0.0,1.0,0.0,0.0
29,CERN,2021-01-07,01:18PM,12 Best Telemedicine Stocks to Buy Now,0.0,0.588,0.412,0.6369
30,CERN,2021-01-06,09:00AM,Cerner to Present at 39th Annual J.P. Morgan Healthcare Conference,0.0,1.0,0.0,0.0
31,CERN,2020-12-31,08:41AM,Here's Why You Should Hold on to Cerner (CERN) Stock Now,0.0,1.0,0.0,0.0
32,CERN,2020-12-22,09:47AM,Is CERN A Good Stock To Buy According To Hedge Funds?,0.0,0.756,0.244,0.4404
33,CERN,2020-12-20,01:45AM,"Cerner Corporation (NASDAQ:CERN) Looks Interesting, And It's About To Pay A Dividend",0.107,0.687,0.206,0.3182
34,CERN,2020-12-17,06:09AM,Cerner (CERN) to Buy Kantar Health to Enhance Clinical Research,0.0,1.0,0.0,0.0
35,CERN,2020-12-16,09:00AM,Cerner Announces Agreement to Acquire Health Division of Kantar,0.0,0.714,0.286,0.4939
36,CERN,2020-12-14,09:58AM,Cerner's (CERN) Simplified Digital Tools to Aid Health Systems,0.0,1.0,0.0,0.0
37,CERN,2020-12-11,09:00AM,Cerner Announces Increased Quarterly Dividend,0.0,0.656,0.344,0.2732
38,CERN,2020-12-10,09:00AM,Cerner Simplifies Ordering and Monitoring of Digital Health Solutions,0.0,0.825,0.175,0.1779
39,CERN,2020-12-10,08:51AM,Cerner's (CERN) Deal to Make Clinical Trials More Accessible,0.0,1.0,0.0,0.0
40,CERN,2020-12-08,09:00AM,Cerner and Elligo to Make Clinical Trials Accessible for Health Systems of All Sizes,0.0,1.0,0.0,0.0
41,CERN,2020-11-24,11:51PM,Cerner Corporation (NASDAQ:CERN) Shares Could Be 24% Below Their Intrinsic Value Estimate,0.0,0.685,0.315,0.5574
42,CERN,2020-11-18,09:00AM,"Cerner Announces Appointment of Major General Elder Granger, M.D., United States Army (Retired) to Its Board of Directors",0.0,0.859,0.141,0.4215
43,CERN,2020-11-11,09:00AM,Cerner Simplifies Patient Communication,0.0,1.0,0.0,0.0
44,CERN,2020-11-09,09:00AM,Forbes Recognizes Cerner Among Worlds Best Employers,0.0,0.588,0.412,0.6369
45,CERN,2020-11-04,11:08AM,Were These Hedge Funds Right About Selling Cerner Corporation (CERN)?,0.0,1.0,0.0,0.0
46,CERN,2020-10-30,06:51AM,Cerner Corporation Just Beat Earnings Expectations: Here's What Analysts Think Will Happen Next,0.0,1.0,0.0,0.0
