,ticker,date,time,headline,neg,neu,pos,compound
0,CFG,2021-04-09,12:30PM,Citizens Financial Group (CFG) Earnings Expected to Grow: Should You Buy?,0.0,1.0,0.0,0.0
1,CFG,2021-04-06,10:19AM,"Survey Finds 2020 High School Graduates Delayed College Plans, Concerned About Financial Security",0.124,0.719,0.157,0.128
2,CFG,2021-04-06,07:04AM,"Zacks.com featured highlights include: Vishay Intertechnology, Owens & Minor, Invesco and Citizens Financial Group",0.0,1.0,0.0,0.0
3,CFG,2021-04-05,09:30AM,Can Value Investors Pick Citizens Financial (CFG) Stock Now?,0.0,0.769,0.231,0.34
4,CFG,2021-04-05,09:18AM,Add These 4 Low Price-to-Cash Flow Stocks for Better Gains,0.157,0.448,0.396,0.4939
5,CFG,2021-04-05,07:12AM,"Zacks Industry Outlook Highlights: Citizens Financial Group, New York Community Bancorp, ServisFirst Bancshares and WSFS Financial",0.0,1.0,0.0,0.0
6,CFG,2021-04-01,08:30AM,Citizens Announces Eric Schuppenhauer to Join Executive Committee,0.0,0.761,0.239,0.296
7,CFG,2021-03-30,01:24PM,"These small-cap value stocks still have upside despite the big rally in the sector, managers say",0.0,0.862,0.138,0.34
8,CFG,2021-03-30,07:00AM,Is a Rerating of Citizens Financial Group Coming?,0.0,1.0,0.0,0.0
9,CFG,2021-03-29,04:17PM,Is CFG Stock A Buy or Sell?,0.0,1.0,0.0,0.0
10,CFG,2021-03-26,04:10PM,Citizens Financial Group Announces Earnings Conference Call Schedule for 2022 Quarterly Financial Results,0.0,1.0,0.0,0.0
11,CFG,2021-03-25,11:50AM,Should Value Investors Buy Citizens Financial Group (CFG) Stock?,0.0,0.769,0.231,0.34
12,CFG,2021-03-25,07:53AM,6 Reasons That Make Citizens Financial (CFG) Investment Worthy,0.0,0.707,0.293,0.4404
13,CFG,2021-03-18,03:40PM,What's Happening With JMIA Stock And CFG Stock Thursday?,0.0,1.0,0.0,0.0
14,CFG,2021-03-18,10:57AM,Why Bank Stocks Are Rallying  and Why They Can Continue to Do So,0.0,1.0,0.0,0.0
15,CFG,2021-03-03,12:00PM,What Makes Citizens Financial Group (CFG) a Strong Momentum Stock: Buy Now?,0.0,0.752,0.248,0.5106
16,CFG,2021-03-02,08:18AM,Citizens Announces Partnership with Black Girls CODE to Create More Opportunities for Women & Girls of Color In Technology,0.0,0.762,0.238,0.6115
