,ticker,date,time,headline,neg,neu,pos,compound
0,CHK,2021-04-13,09:00AM,Chesapeake Energy and Project Canary Announce Multi-Basin Responsibly Sourced Gas Partnership,0.0,0.826,0.174,0.2732
1,CHK,2021-03-25,11:39AM,"EQT, Chesapeake Are Among Suitors for Alta Resources",0.0,1.0,0.0,0.0
2,CHK,2021-03-21,08:00PM,Risky oil companies snap up $20bn in junk bond record,0.167,0.833,0.0,-0.2023
3,CHK,2021-03-13,01:33AM,A Look At The Fair Value Of Chesapeake Energy Corporation (NASDAQ:CHK),0.0,0.507,0.493,0.7003
4,CHK,2021-02-19,02:52PM,Chesapeake Energy Has a Fresh Start  Now It Looks Like a Bargain,0.0,0.408,0.592,0.7717
5,CHK,2021-02-03,05:20PM,Chesapeake Energy cuts 15% of workers as it emerges from bankruptcy,0.165,0.677,0.158,-0.0258
6,CHK,2020-12-21,02:24PM,15 Largest Gas Companies in the US,0.0,1.0,0.0,0.0
7,CHK,2020-12-18,11:23AM,Williams' (WMB) Midstream Deal With Chesapeake Gains Approval,0.0,0.522,0.478,0.6705
8,CHK,2020-12-11,09:05AM,Investors Are Running Out of Time to Sell Chesapeake Energy Stock,0.0,0.826,0.174,0.2732
9,CHK,2020-11-25,08:54AM,Williams Alters Midstream Deals With Bankrupt Chesapeake,0.375,0.625,0.0,-0.5574
10,CHK,2020-10-30,01:05PM,Chesapeake Energy Must Be Praying for a Trump Victory,0.0,0.566,0.434,0.5574
11,CHK,2020-10-07,05:17PM,"What $1,000 Invested in Stocks 10 Years Ago Would Be Worth Today",0.0,0.853,0.147,0.2263
12,CHK,2020-09-11,03:00PM,"Post-Bankruptcy, Whiting Petroleum an Intriguing Choice for Oil Bulls",0.0,1.0,0.0,0.0
13,CHK,2020-09-01,03:00PM,Oil Prices Could Rise To $65,0.0,1.0,0.0,0.0
14,CHK,2020-09-01,10:12AM,Energy Transfer Gets Government Backing in Contract Dispute With Chesapeake Energy,0.18,0.467,0.353,0.1531
15,CHK,2020-08-18,07:00PM,Persefoni launches with $3.5 million and a carbon accounting system for big business,0.0,1.0,0.0,0.0
16,CHK,2020-08-14,08:10AM,"Dont Kid Yourself, Chesapeake Energy Stock Wont Rise From the Dead",0.279,0.584,0.136,-0.4939
17,CHK,2020-08-07,11:54AM,"Electrameccanica Vehicles Is a Silly, Pointless Gimmick",0.0,0.82,0.18,0.0258
18,CHK,2020-07-28,12:32PM,Analysts Estimate Chesapeake Energy (CHKAQ) to Report a Decline in Earnings: What to Look Out for,0.0,0.87,0.13,0.2732
19,CHK,2020-07-22,06:00AM,Bond Traders Aim to Separate Distress from Doom,0.504,0.496,0.0,-0.7269
20,CHK,2020-07-08,11:47AM,Is This 20%-Yielding Energy Stock Too Good to Be True?,0.0,0.473,0.527,0.7783
21,CHK,2020-07-03,06:55AM,Conoco Turning on the Taps,0.0,1.0,0.0,0.0
22,CHK,2020-07-02,03:35PM,Stocks to Sell in July,0.0,1.0,0.0,0.0
23,CHK,2020-07-02,08:00AM,Luckin Stock Faces Delisting  Look Elsewhere to Invest,0.0,1.0,0.0,0.0
