,ticker,date,time,headline,neg,neu,pos,compound
0,CI,2021-04-09,01:10PM,"Cigna (CI), Oscar to Aid Small Business With Health Insurance",0.0,1.0,0.0,0.0
1,CI,2021-04-08,09:18AM,Cigna + Oscar Expands Small Businesses Access to Affordable Health Plans in California,0.0,0.887,0.113,0.1027
2,CI,2021-04-07,08:00AM,"Dividend Bonanza Is Here: 16 Stocks Boost Payout Up To 9,900%",0.0,0.787,0.213,0.4019
3,CI,2021-04-06,06:43AM,3 of the Best Value Stocks You Can Buy Right Now,0.0,0.548,0.452,0.765
4,CI,2021-04-05,10:05AM,Here's Why You Should Retain Cigna (CI) in Your Portfolio,0.0,1.0,0.0,0.0
5,CI,2021-03-26,08:05AM,"The Zacks Analyst Blog Highlights: Pfizer, UnitedHealth Group, Centene Corp, Cigna Corp and AMN Healthcare Services",0.0,1.0,0.0,0.0
6,CI,2021-03-25,01:43PM,Amwell co-CEO: 'We don't see Amazon as competition',0.178,0.822,0.0,-0.1326
7,CI,2021-03-25,01:03PM,3 High Return Non-Cyclical Stocks for the Value Investor,0.0,0.745,0.255,0.34
8,CI,2021-03-25,10:44AM,AM Best Affirms Credit Ratings of Cigna Corporation and Its Subsidiaries,0.0,0.57,0.43,0.7783
9,CI,2021-03-25,09:35AM,4 Stocks That Continue to Gain From Telehealth Offerings,0.0,0.673,0.327,0.5267
10,CI,2021-03-23,01:44PM,Is Cigna (CI) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
11,CI,2021-03-22,12:12PM,Artisan Value Fund: We Believe Cigna (CI) is Currently Trading at an Attractive Valuation,0.0,0.694,0.306,0.6486
12,CI,2021-03-21,04:31AM,Cigna Corporation's (NYSE:CI) Intrinsic Value Is Potentially 97% Above Its Share Price,0.0,0.685,0.315,0.5574
13,CI,2021-03-16,10:15AM,"Cigna Names Robert Pettigrew President of Medicare Advantage Plans in Alabama, Mississippi, Northwest Florida",0.0,0.867,0.133,0.25
14,CI,2021-03-16,10:00AM,Cigna Names Lisa Wagamon President of Medicare Advantage Plans in the Carolinas,0.0,0.846,0.154,0.25
15,CI,2021-03-15,02:10PM,"Top Analyst Reports for Microsoft, Caterpillar & Target",0.0,0.769,0.231,0.2023
16,CI,2021-03-12,09:59AM,7 Multiline Insurers to Watch Out For as COVID-Led Challenges Ease,0.0,0.678,0.322,0.4215
17,CI,2021-03-09,10:20AM,Cigna Stock Climbs After the Healthcare Giants Investor Day. Analysts Say Buy It Now.,0.0,1.0,0.0,0.0
18,CI,2021-03-09,08:29AM,How Cigna plans to spend billions of dollars in cash beyond the COVID-19 pandemic,0.0,1.0,0.0,0.0
19,CI,2021-03-09,07:56AM,Yahoo Finance Presents: Cigna CEO David Cordani,0.0,1.0,0.0,0.0
20,CI,2021-03-08,01:10PM,Cigna Sees Boost to Earnings From Covid Impact Fading in 2022,0.0,0.787,0.213,0.4019
21,CI,2021-03-06,11:31AM,Why Is Cigna (CI) Up 12.3% Since Last Earnings Report?,0.0,1.0,0.0,0.0
22,CI,2021-03-06,09:52AM,Diversity Woman Media highlights 100 Black female execs,0.0,1.0,0.0,0.0
23,CI,2021-03-05,12:05PM,P/E Ratio Insights for Cigna,0.0,1.0,0.0,0.0
24,CI,2021-03-04,02:57PM,AM Best Assigns Issue Credit Ratings to Cigna Corporations New Senior Unsecured Notes,0.134,0.515,0.351,0.6369
