,ticker,date,time,headline,neg,neu,pos,compound
0,CMG,2021-04-14,08:00AM,These Are The 5 Best Stocks To Buy And Watch Now,0.0,0.682,0.318,0.6369
1,CMG,2021-04-14,06:16AM,These 3 Stocks Have Doubled and Still Have Room to Grow,0.0,1.0,0.0,0.0
2,CMG,2021-04-13,08:00PM,Yum! Brands Launches Its First American Digital-Only Taco Bell,0.0,1.0,0.0,0.0
3,CMG,2021-04-13,05:06AM,Morning Bell With Jim Cramer: Buy Uber Technologies,0.0,1.0,0.0,0.0
4,CMG,2021-04-12,03:34PM,"America is set to reopen on July 4 and restaurants are poised to benefit from a desire to get out and gather, says JPMorgan",0.0,0.712,0.288,0.7717
5,CMG,2021-04-12,03:24PM,Dow Jones Sells Off On Powell Comments; Tech Stocks Lead Downside; These Stocks Score Breakouts,0.125,0.875,0.0,-0.25
6,CMG,2021-04-12,03:01PM,Jim Cramer: We're Seeing the Triumph of Big Balance Sheets vs the Small Ones,0.0,0.807,0.193,0.4767
7,CMG,2021-04-12,01:15PM,McDonald's new chicken sandwiches lose some hype  here's what it means for the company's stock,0.162,0.838,0.0,-0.4019
8,CMG,2021-04-12,12:13PM,"Alibaba Breathes a Sigh of Relief, Chipotle Sizzles as Markets Fizzle",0.0,0.656,0.344,0.4939
9,CMG,2021-04-12,11:56AM,Why Jim Cramer Is Doubling Down On Chipotle Mexican Grill Stock,0.0,1.0,0.0,0.0
10,CMG,2021-04-12,09:40AM,Chipotle Stock Scores an Upgrade Ahead of Earnings,0.0,1.0,0.0,0.0
11,CMG,2021-04-12,09:07AM,"Raymond James Likes Chipotle, Calls It a 'High-Quality Growth Story'",0.0,0.565,0.435,0.6597
12,CMG,2021-04-12,06:08AM,Chipotle Mexican Grill Notches Yet Another New High,0.0,1.0,0.0,0.0
13,CMG,2021-04-12,01:42AM,Chipotle Mexican Grill Could Hit New All-Time High on Strong Q1 Earnings,0.0,0.769,0.231,0.5106
