,ticker,date,time,headline,neg,neu,pos,compound
0,CNC,2021-04-09,01:00PM,Magellan (MGLN) Expands in Precision Oncology With Trapelo,0.0,0.833,0.167,0.1027
1,CNC,2021-03-29,10:00AM,Here's Why Hold Strategy is Apt for Centene (CNC) Stock,0.0,1.0,0.0,0.0
2,CNC,2021-03-26,10:11AM,Centene (CNC) to Aid Eligible Medicaid Members in Hawaii,0.0,1.0,0.0,0.0
3,CNC,2021-03-26,08:05AM,"The Zacks Analyst Blog Highlights: Pfizer, UnitedHealth Group, Centene Corp, Cigna Corp and AMN Healthcare Services",0.0,1.0,0.0,0.0
4,CNC,2021-03-25,07:00AM,Centene Subsidiary 'Ohana Health Plan Selected to Continue Serving Hawaii's Medicaid Managed Care and CHIP Programs Statewide,0.0,0.833,0.167,0.4939
5,CNC,2021-03-25,07:00AM,Centene and YWCA USA Announce Innovative Program for Teen Girls,0.0,0.756,0.244,0.4404
6,CNC,2021-03-23,07:09AM,Is Centene (CNC) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
7,CNC,2021-03-19,08:00AM,Reminder: Centene Corporation's 2021 First Quarter Financial Results Conference Call,0.0,1.0,0.0,0.0
8,CNC,2021-03-18,01:33PM,Centene (CNC) vs. Humana (HUM): Which is Better-Positioned?,0.0,1.0,0.0,0.0
9,CNC,2021-03-15,08:50AM,Centene Announces Expiration of Hart-Scott-Rodino Waiting Period with Respect to the Company's Proposed Acquisition of Magellan Health Inc.,0.0,0.846,0.154,0.4767
10,CNC,2021-03-15,07:00AM,Centene and Pro Football Hall of Fame Team Up to Tackle Concerns Over COVID-19 Vaccinations,0.0,0.828,0.172,0.4404
11,CNC,2021-03-11,07:00AM,Centene Corporation Appoints Katie Casso as Corporate Controller,0.0,1.0,0.0,0.0
12,CNC,2021-03-04,12:21AM,Who Has Been Buying Centene Corporation (NYSE:CNC) Shares?,0.0,0.761,0.239,0.296
13,CNC,2021-03-03,08:35AM,Centene Charts Remain Weak and Vulnerable,0.545,0.455,0.0,-0.5859
14,CNC,2021-03-01,08:00AM,Centene and its Health Plans Raise Awareness of Childhood Social Isolation Through No One Eats Alone Day,0.33,0.67,0.0,-0.7096
15,CNC,2021-03-01,07:00AM,Centene Corporation Announces Executive Leadership Appointments,0.0,1.0,0.0,0.0
16,CNC,2021-02-25,12:55PM,Centene's (CNC) Hawaii Arm to Keep Offering Healthcare Services,0.0,1.0,0.0,0.0
17,CNC,2021-02-24,08:00AM,Centene To Present At Two Virtual Healthcare Conferences In March,0.0,1.0,0.0,0.0
18,CNC,2021-02-24,07:33AM,Centene Subsidiary 'Ohana Health Plan Selected to Continue Offering Community Care Services to Hawaii Medicaid Members,0.0,0.824,0.176,0.4939
19,CNC,2021-02-22,07:00AM,Health Net and Wesley Health Centers Partner on Study to Assess COVID-19 Impact in Los Angeles,0.0,1.0,0.0,0.0
20,CNC,2021-02-18,08:15AM,Centene Corporation Announces Results of Cash Tender Offer for Any and All of its 4.75% Senior Notes due 2025,0.0,1.0,0.0,0.0
21,CNC,2021-02-11,04:42PM,CEOs to employees: Stay home until at least September,0.0,1.0,0.0,0.0
22,CNC,2021-02-10,06:46PM,Centene Corporation Prices Offering of Senior Notes,0.0,1.0,0.0,0.0
23,CNC,2021-02-10,11:29AM,Centene CEO addresses how yearly COVID vaccinations could impact its business model,0.0,1.0,0.0,0.0
24,CNC,2021-02-10,09:42AM,"Company News for Feb 10, 2021",0.0,1.0,0.0,0.0
25,CNC,2021-02-10,09:34AM,Centene (CNC) Cost Cutting Boosts Health Insurance Stocks,0.153,0.612,0.235,0.2023
26,CNC,2021-02-10,08:44AM,Centene Corporation Commences Tender Offer for Any and All 4.75% Senior Notes Due 2025,0.0,1.0,0.0,0.0
27,CNC,2021-02-10,08:43AM,Centene Corporation Announces Offering of Senior Notes,0.0,1.0,0.0,0.0
28,CNC,2021-02-09,03:30PM,Centene Corp (CNC) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
29,CNC,2021-02-09,03:20PM,"MAGELLAN HEALTH INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Magellan Health, Inc. - MGLN",0.0,0.905,0.095,0.4466
30,CNC,2021-02-09,12:00PM,Why Investors Shrugged Off Centene's Mixed Q4 Results,0.0,1.0,0.0,0.0
31,CNC,2021-02-09,11:38AM,Health Insurer Centenes Earnings Fell Short of Estimates. Heres One Number to Look At.,0.0,0.909,0.091,0.0772
32,CNC,2021-02-09,09:37AM,"Centene (CNC) Q4 Earnings Surpass Estimates, Tumble Y/Y",0.0,1.0,0.0,0.0
33,CNC,2021-02-09,08:09AM,Health Care Giant Centenes Shares Fall After Q4 Profit Misses Estimates,0.11,0.407,0.483,0.7506
34,CNC,2021-02-09,07:30AM,Centene (CNC) Tops Q4 Earnings Estimates,0.0,0.602,0.398,0.5106
35,CNC,2021-02-09,07:04AM,Centene: Q4 Earnings Insights,0.0,1.0,0.0,0.0
36,CNC,2021-02-09,06:30AM,Centene Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
