,ticker,date,time,headline,neg,neu,pos,compound
0,COF,2021-04-14,07:21AM,Is Capital One Financial a Buy?,0.0,1.0,0.0,0.0
1,COF,2021-04-13,10:47AM,"As the Recovery Heats Up, 1 Number Is a Warning Sign for These 3 Stocks",0.175,0.73,0.095,-0.2732
2,COF,2021-04-13,08:39AM,SHAREHOLDER ALERT: Lowey Dannenberg is Investigating Capital One Financial Company for Potential Breaches of Fiduciary Duty by Its Board of Directors,0.0,0.872,0.128,0.4466
3,COF,2021-04-12,04:57PM,INVESTOR ALERT: Kirby McInerney LLP Continues Investigation of Shareholder Claims Against Capital One Financial Corporation,0.0,0.827,0.173,0.4466
4,COF,2021-04-07,12:54PM,Is Capital One Corporation (COF) A Good Stock to Buy?,0.0,0.734,0.266,0.4404
5,COF,2021-04-07,12:10PM,Why the Earnings Surprise Streak Could Continue for Capital One (COF),0.0,0.826,0.174,0.2732
6,COF,2021-04-06,08:00AM,KKR-backed OneStream Software Raises $200 Million at $6 Billion Valuation,0.0,1.0,0.0,0.0
7,COF,2021-04-04,02:44AM,"No Major Earnings Scheduled Next Week But Q1 Earnings Optimism, Bidens Infra Plan to Drive Stocks Higher",0.106,0.725,0.169,0.3182
8,COF,2021-04-01,12:53PM,"Consumer Finance Should Be The Star of The 1Q21 Earnings Season, Says Morgan Stanley",0.0,1.0,0.0,0.0
9,COF,2021-03-30,08:40AM,How Capital One (COF) Stock Stands Out in a Strong Industry,0.0,0.732,0.268,0.5106
10,COF,2021-03-30,07:43AM,"The Zacks Analyst Blog Highlights: Capital One, Wells Fargo, JPMorgan, Citigroup and Goldman Sachs",0.0,0.867,0.133,0.25
11,COF,2021-03-29,09:15AM,Restrictions on Major Banks' Dividend & Buybacks to End in June,0.0,1.0,0.0,0.0
12,COF,2021-03-29,09:00AM,Acquisitions & Card Business Aid Capital One (COF) Amid Low Rates,0.189,0.811,0.0,-0.2732
13,COF,2021-03-26,09:18AM,"Bank Stock Roundup: JPM, WFC & C in Focus on Business Restructuring Initiatives",0.0,1.0,0.0,0.0
14,COF,2021-03-25,07:30AM,"The Zacks Analyst Blog Highlights: L Brands, Align Technology, Diamondback Energy, The Mosaic Co and Capital One Financial",0.0,0.884,0.116,0.2732
15,COF,2021-03-25,07:00AM,Proud to work here: Meet the Best Workplaces shaking the stigma of finance,0.089,0.526,0.384,0.765
16,COF,2021-03-24,04:15PM,Capital One Financial Corporation to Webcast Conference Call on First Quarter 2021 Earnings,0.0,1.0,0.0,0.0
17,COF,2021-03-24,07:25AM,5 Top-Ranked Winners of Wall Street Since the Pandemic Trough,0.0,0.721,0.279,0.4767
18,COF,2021-03-23,05:55PM,Top Credit Card Issuers Reduced Credit Limits by $99 Billion in 2020,0.0,0.562,0.438,0.7184
19,COF,2021-03-23,10:51AM,Is Capital One (COF) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
20,COF,2021-03-23,09:34AM,"The Zacks Analyst Blog Highlights: Penn National Gaming, Capital One Financial, CocaCola, ViacomCBS and AT&T",0.0,1.0,0.0,0.0
21,COF,2021-03-22,08:19AM,Big Dance is Back: 5 Stocks to Cash in on March Madness,0.225,0.775,0.0,-0.4404
22,COF,2021-03-19,12:00PM,Here's Why Momentum Investors Will Love Capital One (COF),0.0,0.656,0.344,0.6369
23,COF,2021-03-16,06:49AM,"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, Deere & Co, Capital One Financial and ConocoPhillips",0.0,1.0,0.0,0.0
24,COF,2021-03-15,07:34AM,U.S. Household Net Worth Hits Record High in Q4 2020: 5 Picks,0.0,0.84,0.16,0.2263
25,COF,2021-03-12,09:03AM,"MasterCraft Boat, IHG Hotels & Resorts, Exxon Mobil, L Brands and Capital One Financial highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
26,COF,2021-03-11,05:50PM,Capital One (COF) Outpaces Stock Market Gains: What You Should Know,0.0,0.806,0.194,0.34
27,COF,2021-03-11,01:12PM,3 Zacks Rank #1s Making New Highs,0.0,1.0,0.0,0.0
28,COF,2021-03-11,06:04AM,"A Win for Retailers, Banks and Consumers: Forter, Capital One, Combine Key Offerings",0.0,0.743,0.257,0.5859
29,COF,2021-03-10,10:19AM,"The Zacks Analyst Blog Highlights: Goldman Sachs, Bank of America, Capital One Financial, Charles Schwab Corporation and Morgan Stanley",0.0,1.0,0.0,0.0
30,COF,2021-03-05,06:53PM,SHAREHOLDER ALERT: Lowey Dannenberg is Investigating Capital One Financial Company for Potential Breaches of Fiduciary Duty by its Board of Directors,0.0,0.872,0.128,0.4466
31,COF,2021-03-05,04:02PM,INVESTOR ALERT: Kirby McInerney LLP Announces an Investigation of Shareholder Claims Against Capital One Financial Corporation,0.0,0.836,0.164,0.4466
32,COF,2021-03-05,11:50AM,Is Capital One (COF) a Great Value Stock Right Now?,0.0,0.519,0.481,0.7579
33,COF,2021-03-04,05:50PM,Capital One (COF) Gains As Market Dips: What You Should Know,0.0,0.806,0.194,0.34
34,COF,2021-03-03,04:32PM,Snowflake Falls on Slower Product Sales Growth Forecast,0.0,0.729,0.271,0.3818
35,COF,2021-03-02,09:00AM,Ime Archibong and Craig Williams to Join the Capital One Board of Directors,0.0,0.845,0.155,0.296
36,COF,2021-03-01,10:52AM,"The Zacks Analyst Blog Highlights: Deere, LyondellBasell, Interactive Brokers Group, Capital One Financial Corporation and Weyerhaeuser",0.0,1.0,0.0,0.0
37,COF,2021-02-26,05:50PM,Capital One (COF) Gains As Market Dips: What You Should Know,0.0,0.806,0.194,0.34
38,COF,2021-02-24,03:28PM,Capital One Starting to Raise Credit Limits in Hunt for Growth,0.0,0.634,0.366,0.6369
39,COF,2021-02-23,12:46PM,10 Best Bank Stocks for 2021,0.0,0.543,0.457,0.6369
40,COF,2021-02-23,07:35AM,2 Incredibly Cheap Financial Stocks,0.0,1.0,0.0,0.0
41,COF,2021-02-22,03:23PM,Steve Mandel's Lone Pine Reports 4th-Quarter Portfolio,0.259,0.741,0.0,-0.2732
42,COF,2021-02-10,11:16PM,Interested In Capital One Financial's (NYSE:COF) Upcoming US$0.40 Dividend? You Have Four Days Left,0.0,0.828,0.172,0.4019
43,COF,2021-02-10,09:00AM,T. Rowe Price (TROW) Hikes Dividend by 20%: Is it Worth a Look?,0.0,0.853,0.147,0.2263
44,COF,2021-02-09,07:15AM,"24 bank stocks with dividends of at least 3.57%, three times what 10-year Treasurys pay",0.091,0.909,0.0,-0.1027
45,COF,2021-02-08,08:52AM,Capital One (COF) Dividend at Pre-COVID Level: Worth a Look?,0.0,0.808,0.192,0.2263
46,COF,2021-02-06,07:30AM,"3M, Yum! Brands, and Other Companies That Raised Their Dividends This Week",0.0,1.0,0.0,0.0
47,COF,2021-02-05,04:00PM,Capital One Increases Its Dividend Back to Pre-COVID Levels,0.0,1.0,0.0,0.0
48,COF,2021-02-05,08:30AM,Top 5 Stocks to Buy From a Rebounding Consumer Loan Industry,0.0,0.816,0.184,0.2023
49,COF,2021-02-04,02:32PM,Capital One Announces Quarterly Dividend,0.0,1.0,0.0,0.0
50,COF,2021-02-04,12:48PM,Capital One Financial Corporation -- Moody's announces completion of a periodic review of ratings of Capital One Financial Corporation,0.0,1.0,0.0,0.0
51,COF,2021-02-02,05:44AM,"The Zacks Analyst Blog Highlights: Apple, Ford, Citizens Financial Group, Ally Financial and Capital One Financial",0.0,1.0,0.0,0.0
52,COF,2021-02-01,01:25AM,How Paribus Makes Money,0.0,1.0,0.0,0.0
53,COF,2021-01-30,02:47AM,"Introducing Capital One Financial (NYSE:COF), A Stock That Climbed 65% In The Last Five Years",0.0,1.0,0.0,0.0
