,ticker,date,time,headline,neg,neu,pos,compound
0,COP,2021-04-13,05:50PM,ConocoPhillips (COP) Stock Sinks As Market Gains: What You Should Know,0.0,0.806,0.194,0.34
1,COP,2021-04-13,05:34PM,Oakmark Funds Retain a Position in ConocoPhillips (COP) After it Acquired Concho Resources,0.0,1.0,0.0,0.0
2,COP,2021-04-09,01:19AM,UPDATE 1-China's CNOOC hunts for three missing after Bohai blaze doused,0.18,0.82,0.0,-0.296
3,COP,2021-04-06,04:06PM,Exxon Rival Could Be First Oil Major To Resume Stock Buybacks,0.0,1.0,0.0,0.0
4,COP,2021-04-06,05:47AM,"Oil & Gas Stock Roundup: Exxon & Conoco Q1 Updates, Pioneer's Acquisition & More",0.0,1.0,0.0,0.0
5,COP,2021-04-05,08:49AM,ConocoPhillips' (COP) Q1 Profits to Jump Y/Y on Higher Output,0.0,0.756,0.244,0.4404
6,COP,2021-04-05,07:17AM,"The Zacks Analyst Blog Highlights: Exxon Mobil, Deere & Co, Goldman Sachs, ConocoPhillips and Micron Technology",0.0,1.0,0.0,0.0
7,COP,2021-03-31,08:58AM,"UPDATE 2-ConocoPhillips sees higher Q1 output, warns of profit hit from unwinding hedges",0.092,0.719,0.19,0.3612
8,COP,2021-03-31,08:48AM,"ConocoPhillips sees Q1 production volumes 1,470 to 1,490 MBOED, expects to book charges on hedges, Concho deal",0.116,0.884,0.0,-0.2732
9,COP,2021-03-31,08:30AM,ConocoPhillips Provides Preliminary First-Quarter 2021 Operational and Financial Update; Reaffirms Full-Year 2021 Capital of $5.5 Billion and Production of 1.5 Million Barrels of Oil Equivalent per Day; Provides Additional 2021 Guidance,0.0,1.0,0.0,0.0
10,COP,2021-03-25,02:17PM,Billionaire Paul Tudor Jones Top 10 Stock Picks and Latest Portfolio,0.0,0.847,0.153,0.2023
11,COP,2021-03-25,11:10AM,Top Ranked Income Stocks to Buy for March 25th,0.0,0.816,0.184,0.2023
12,COP,2021-03-25,08:38AM,ION Geophysical (IO) Wins Extension of Gemini Tech Deployment,0.0,0.684,0.316,0.5719
13,COP,2021-03-24,11:13AM,3 Oil Stocks to Buy After the Selloff,0.0,1.0,0.0,0.0
14,COP,2021-03-23,05:50PM,ConocoPhillips (COP) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
15,COP,2021-03-23,08:37AM,How ConocoPhillips (COP) Stock Stands Out in a Strong Industry,0.0,0.708,0.292,0.5106
16,COP,2021-03-22,09:55AM,"Solaris Midstream Holdings, LLC -- Moody's assigns B3 to Solaris Midstream Holdings proposed senior notes; B2 CFR",0.0,1.0,0.0,0.0
17,COP,2021-03-22,09:13AM,Is ConocoPhillips (COP) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
18,COP,2021-03-22,08:16AM,New SEC Challenge Over Climate: Will Oil Companies Play Ball?,0.0,0.684,0.316,0.4019
19,COP,2021-03-21,04:36AM,Calculating The Intrinsic Value Of ConocoPhillips (NYSE:COP),0.0,0.714,0.286,0.34
20,COP,2021-03-20,10:08PM,"SEC Gets Tough Tough With Conoco, Occidental on Climate: FT",0.273,0.727,0.0,-0.25
21,COP,2021-03-20,07:30AM,"While the Nasdaq Crashed, These 3 Dividend Stocks Soared",0.0,1.0,0.0,0.0
22,COP,2021-03-19,08:00PM,SEC forces oil companies to hold investor votes on emission targets,0.0,1.0,0.0,0.0
23,COP,2021-03-19,01:47PM,"Top Research Reports for PayPal, Wells Fargo & Lockheed Martin",0.0,0.648,0.352,0.4215
24,COP,2021-03-18,11:01AM,Eni (E) Acquires Funding of 33M Pound for Decarbonization Project,0.0,1.0,0.0,0.0
25,COP,2021-03-18,08:27AM,"Oil & Gas Stock Roundup: News From Chevron, Equinor, Shell, ConocoPhillips & APA",0.0,1.0,0.0,0.0
26,COP,2021-03-17,09:58AM,Commodities market in early stages of a long-term bull market: strategist,0.0,1.0,0.0,0.0
27,COP,2021-03-17,09:00AM,Here's Why W&T Offshore (WTI) is an Attractive Investment Bet Now,0.0,0.775,0.225,0.4404
28,COP,2021-03-17,08:53AM,Centennial Resource (CDEV) Prices Exchangeable Senior Notes,0.0,1.0,0.0,0.0
29,COP,2021-03-17,06:28AM,5 Must-Buy S&P 500 Stocks Flying High YTD With More Upside,0.0,1.0,0.0,0.0
30,COP,2021-03-16,06:49AM,"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, Deere & Co, Capital One Financial and ConocoPhillips",0.0,1.0,0.0,0.0
31,COP,2021-03-15,12:13PM,15 Countries With The Highest Average Carbon Dioxide Emissions Per Person,0.0,1.0,0.0,0.0
32,COP,2021-03-15,07:34AM,U.S. Household Net Worth Hits Record High in Q4 2020: 5 Picks,0.0,0.84,0.16,0.2263
33,COP,2021-03-11,12:20PM,Why ConocoPhillips (COP) Might be Well Poised for a Surge,0.0,0.631,0.369,0.4767
34,COP,2021-03-11,09:50AM,"Stock Market News for Mar 11, 2021",0.0,1.0,0.0,0.0
35,COP,2021-03-11,07:50AM,ConocoPhillips (COP) Resumes Stock Repurchases: Here's Why,0.0,1.0,0.0,0.0
36,COP,2021-03-11,04:32AM,ConocoPhillips To Buy Back $1.5B In Stock; Shares Gain 3%,0.0,0.588,0.412,0.6808
37,COP,2021-03-10,09:21AM,"ConocoPhillips resumes share buybacks, promises capital discipline",0.0,0.51,0.49,0.5859
38,COP,2021-03-10,09:00AM,"Penumbra, Silk Road Medical, EOG Resources, Diamondback Energy and ConocoPhillips highlighted as Zacks Bull and Bear of the Day",0.0,0.896,0.104,0.2732
39,COP,2021-03-10,08:20AM,"UPDATE 2-ConocoPhillips resumes share buybacks, promises capital discipline",0.0,0.556,0.444,0.5859
40,COP,2021-03-10,08:09AM,ConocoPhillips resumes share buyback program with aim to repurchase $1.5 billion worth in 2021,0.0,0.745,0.255,0.4767
41,COP,2021-03-10,08:00AM,ConocoPhillips 2021 Share Repurchase Program of $1.5 Billion Underway,0.0,0.784,0.216,0.296
42,COP,2021-03-09,08:33AM,Here's Why Pioneer (PXD) is an Attractive Investment Bet Now,0.0,0.756,0.244,0.4404
43,COP,2021-03-08,05:50PM,ConocoPhillips (COP) Gains As Market Dips: What You Should Know,0.0,0.789,0.211,0.34
44,COP,2021-03-08,09:49AM,Want an Upstream Player? Buy ConocoPhillips (COP) Stock Now,0.0,0.86,0.14,0.0772
45,COP,2021-03-06,08:04AM,"With Oil Prices Surging, These Are the Energy Stocks to Buy",0.0,0.826,0.174,0.2732
46,COP,2021-03-05,08:53AM,Equinor (EQNR) to Invest Further in Asgard Low-Pressure Project,0.0,1.0,0.0,0.0
47,COP,2021-03-04,02:10PM,"Why ExxonMobil, ConocoPhillips, and EOG Resources Stocks All Popped Today",0.0,1.0,0.0,0.0
48,COP,2021-03-04,01:14PM,W&T Offshore (WTI) Beats Q4 Earnings & Revenue Estimates,0.0,1.0,0.0,0.0
49,COP,2021-03-04,11:30AM,Why Is ConocoPhillips (COP) Up 24.2% Since Last Earnings Report?,0.0,1.0,0.0,0.0
50,COP,2021-03-04,09:41AM,Why ConocoPhillips Stock Rocketed Nearly 30% in February,0.0,1.0,0.0,0.0
51,COP,2021-03-03,01:15PM,11 Best Natural Gas Stocks To Buy Now,0.0,0.472,0.528,0.7717
52,COP,2021-03-03,12:24PM,Chevron (CVX) Invests in Geothermal Company for Energy Transition,0.0,0.792,0.208,0.2732
53,COP,2021-03-03,12:20PM,Why Southwestern (SWN) is Down Nearly 2% Since Q4 Earnings Beat?,0.0,1.0,0.0,0.0
54,COP,2021-03-02,08:33AM,Why is Cheniere (CQP) Up Only 1.2% Since Q4 Earnings Beat?,0.0,1.0,0.0,0.0
55,COP,2021-03-01,04:49PM,"Elfun Trusts Buys 3 Stocks, Sells Out of 2 Others",0.0,0.693,0.307,0.4767
56,COP,2021-02-26,09:56AM,Cactus (WHD) Down 3.3% Since Q4 Earnings Beat: Here's Why,0.0,1.0,0.0,0.0
57,COP,2021-02-25,07:33PM,Power Prices in U.S. West Topped Price Cap During Texas Freeze,0.0,0.893,0.107,0.0516
58,COP,2021-02-25,08:00AM,ConocoPhillips Announces Matt Fox to Retire After 35 Years with the Company,0.0,1.0,0.0,0.0
59,COP,2021-02-22,03:25PM,"Why ExxonMobil, ConocoPhillips, and Suncor Stocks Are Surging Monday",0.0,1.0,0.0,0.0
60,COP,2021-02-22,10:30AM,Top 10 Energy Sector Stocks for 2021,0.0,0.562,0.438,0.4404
61,COP,2021-02-21,01:27AM,Precious Metals & Energy - Weekly Review and Calendar Ahead,0.0,0.508,0.492,0.7003
62,COP,2021-02-19,09:49AM,"UPDATE 2-As power returns, Texas energy firms slowly emerge from deep freeze",0.0,0.752,0.248,0.3182
63,COP,2021-02-19,05:05AM,"As power returns, Texas energy firms slowly emerge from deep freeze",0.0,0.732,0.268,0.3182
64,COP,2021-02-17,08:00AM,Climate Change is the Most-Cited Biden Policy on S&P 500 Earnings Calls. Heres What Theyre Saying.,0.0,1.0,0.0,0.0
65,COP,2021-02-16,11:01AM,"Crude oil, gasoline will continue to 'ramp higher' amid pandemic: strategist",0.27,0.73,0.0,-0.5719
66,COP,2021-02-14,10:37PM,Appeals court halts construction at ConocoPhillips Alaska project,0.0,1.0,0.0,0.0
67,COP,2021-02-12,12:05PM,Oil Set for Weekly Gain With Market Firming on Draining Surplus,0.0,0.746,0.254,0.5267
68,COP,2021-02-12,08:16AM,Buy 5 Large-Cap Stocks at Deep Discount for Spectacular Returns,0.0,1.0,0.0,0.0
69,COP,2021-02-11,11:02AM,Concho Resources Inc. -- Moody's confirms Concho's ratings and will withdraw after close of ConocoPhillips' debt exchange offer,0.128,0.872,0.0,-0.3612
70,COP,2021-02-11,08:29AM,DCP Midstream (DCP) Q4 Earnings Miss on Lower Guadalupe Profits,0.277,0.511,0.212,0.0258
71,COP,2021-02-10,03:41PM,Top 4th-Quarter Trades of the Smead Value Fund,0.0,0.588,0.412,0.4939
72,COP,2021-02-09,03:49PM,Concho Resources Inc. -- Moody's confirms Concho's ratings and will withdraw after close of ConocoPhillips' debt exchange offer,0.128,0.872,0.0,-0.3612
73,COP,2021-02-08,03:48PM,"Why Oil Drillers Like Occidental, ConocoPhillips, Kosmos, and Centennial Rallied Today",0.0,0.8,0.2,0.3612
74,COP,2021-02-08,06:39AM,"The Zacks Analyst Blog Highlights: Google, Pfizer, Uber, Cisco Systems and ConocoPhillips",0.0,1.0,0.0,0.0
75,COP,2021-02-05,12:16PM,"Top Stock Reports for Alphabet, Pfizer & Uber",0.0,0.769,0.231,0.2023
76,COP,2021-02-04,06:17PM,"Energy stocks and bonds shine after brutal slump, even as Biden moves to curb fossil fuels",0.203,0.693,0.104,-0.4588
77,COP,2021-02-03,11:21PM,Analysts' Revenue Estimates For ConocoPhillips (NYSE:COP) Are Surging Higher,0.0,1.0,0.0,0.0
78,COP,2021-02-03,10:49AM,These S&P 500 stocks have had the biggest increases in buy ratings so far this year,0.0,1.0,0.0,0.0
79,COP,2021-02-03,09:30AM,"Company News for Feb 3, 2021",0.0,1.0,0.0,0.0
80,COP,2021-02-03,08:56AM,ConocoPhillips: Debt Overview,0.556,0.444,0.0,-0.3612
81,COP,2021-02-03,08:15AM,ConocoPhillips Ends 2020 on a High Note,0.0,1.0,0.0,0.0
82,COP,2021-02-02,10:31PM,ConocoPhillips (COP) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
83,COP,2021-02-02,11:06AM,"ConocoPhillips (COP) Beats on Q4 Earnings, Ups '21 Budget",0.0,1.0,0.0,0.0
84,COP,2021-02-02,08:35AM,"ConocoPhillips (COP) Reports Q4 Loss, Tops Revenue Estimates",0.198,0.517,0.284,0.25
85,COP,2021-02-02,08:08AM,Recap: ConocoPhillips Q4 Earnings,0.0,1.0,0.0,0.0
86,COP,2021-02-02,07:11AM,ConocoPhillips Q4 loss is narrower than expected,0.277,0.723,0.0,-0.3182
87,COP,2021-02-02,07:00AM,ConocoPhillips Reports Fourth-Quarter and Full-Year 2020 Results; Announces Quarterly Dividend,0.0,1.0,0.0,0.0
88,COP,2021-02-01,10:15AM,ConocoPhillips's Earnings Outlook,0.0,1.0,0.0,0.0
