,ticker,date,time,headline,neg,neu,pos,compound
0,CTSH,2021-04-09,06:00AM,Cognizant Recognized for Its Growing Market Adoption as a Top Pharmacovigilance Operations Leader in New Everest Group Report,0.0,0.811,0.189,0.3612
1,CTSH,2021-04-07,10:00AM,Cognizant Schedules First Quarter 2021 Earnings Release and Conference Call,0.0,1.0,0.0,0.0
2,CTSH,2021-04-06,07:00AM,Cognizant Joins SailGP as Official Digital Transformation Partner,0.0,1.0,0.0,0.0
3,CTSH,2021-03-30,03:19AM,Is There An Opportunity With Cognizant Technology Solutions Corporation's (NASDAQ:CTSH) 24% Undervaluation?,0.0,0.69,0.31,0.5423
4,CTSH,2021-03-29,09:36AM,Analyzing Cognizant Tech Solns's Unusual Options Activity,0.0,1.0,0.0,0.0
5,CTSH,2021-03-29,09:15AM,"Cognizant (CTSH) Expands Automotive Footprint, Buys ESG Mobility",0.0,0.833,0.167,0.1027
6,CTSH,2021-03-25,06:05AM,"Cognizant to Expand Expertise in Autonomous, Connected and Electric Vehicles with Acquisition of ESG Mobility",0.0,0.859,0.141,0.3182
7,CTSH,2021-03-21,09:47PM,Is Cognizant Technology (CTSH) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
8,CTSH,2021-03-15,05:12AM,15 Most Valuable App Companies,0.0,0.541,0.459,0.5256
9,CTSH,2021-03-09,03:31AM,XPRIZE and Cognizant Announce Grand Prize Winners in Pandemic Response Challenge to Restart Economies Around the World,0.0,0.549,0.451,0.8658
10,CTSH,2021-03-05,11:30AM,Why Is Cognizant (CTSH) Down 3.1% Since Last Earnings Report?,0.0,1.0,0.0,0.0
11,CTSH,2021-03-04,12:35AM,Will Cognizant Technology Solutions (NASDAQ:CTSH) Multiply In Value Going Forward?,0.0,0.661,0.339,0.4767
12,CTSH,2021-02-25,06:00AM,Cognizant Commits $250 Million to Global Corporate Social Responsibility Initiatives,0.0,0.891,0.109,0.0258
13,CTSH,2021-02-11,09:30AM,Can Value Investors Pick Cognizant Technology Solutions (CTSH) Stock?,0.0,0.631,0.369,0.4767
14,CTSH,2021-02-09,09:00AM,Cognizant Tees Up Global Men's and Women's Golf Partnerships with PGA TOUR and LPGA Tour,0.0,1.0,0.0,0.0
15,CTSH,2021-02-06,01:43AM,Earnings Miss: Cognizant Technology Solutions Corporation Missed EPS By 10% And Analysts Are Revising Their Forecasts,0.205,0.703,0.092,-0.2732
16,CTSH,2021-02-05,02:33AM,Declining Stock and Decent Financials: Is The Market Wrong About Cognizant Technology Solutions Corporation (NASDAQ:CTSH)?,0.174,0.73,0.096,-0.34
17,CTSH,2021-02-04,01:13PM,Why 2 Big Nasdaq Stocks Are Missing the Market Rally,0.216,0.784,0.0,-0.296
18,CTSH,2021-02-04,09:35AM,Cognizant to Present at the Goldman Sachs Technology and Internet Conference 2021,0.0,1.0,0.0,0.0
19,CTSH,2021-02-04,09:34AM,Cognizant (CTSH) Q4 Earnings and Revenues Miss Estimates,0.186,0.814,0.0,-0.1531
20,CTSH,2021-02-04,01:00AM,Cognizant Technology Solutions (CTSH) Q4 2020 Earnings Call Transcript,0.0,0.825,0.175,0.1779
21,CTSH,2021-02-03,05:25PM,Cognizant (CTSH) Lags Q4 Earnings and Revenue Estimates,0.263,0.737,0.0,-0.3612
22,CTSH,2021-02-03,04:32PM,Recap: Cognizant Tech Solns Q4 Earnings,0.0,1.0,0.0,0.0
