,ticker,date,time,headline,neg,neu,pos,compound
0,CX,2021-03-26,04:27PM,CEMEX and Construrama Empower Female Leadership in the Construction Industry,0.0,1.0,0.0,0.0
1,CX,2021-03-25,10:35AM,Can Cemex Break Out of its Long Base Pattern?,0.0,1.0,0.0,0.0
2,CX,2021-03-04,02:58PM,10 Best Mexican Stocks To Buy Now,0.0,0.588,0.412,0.6369
3,CX,2021-02-23,01:50PM,5 stocks to buy for the 1950s-style infrastructure supercycle: Morgan Stanley,0.0,1.0,0.0,0.0
4,CX,2021-02-17,09:59AM,"Brandes Investment Cuts Cemex, Baidu, FedEx",0.306,0.694,0.0,-0.296
5,CX,2021-02-12,11:50AM,Should Value Investors Buy Cemex (CX) Stock?,0.0,0.714,0.286,0.34
6,CX,2021-02-12,11:40AM,CX or VMC: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
7,CX,2021-02-11,09:01PM,Cemex (CX) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
8,CX,2021-02-11,09:36AM,Recap: Cemex Q4 Earnings,0.0,1.0,0.0,0.0
9,CX,2021-02-11,08:15AM,Cemex SAB de CV to Host Earnings Call,0.0,1.0,0.0,0.0
10,CX,2021-02-11,07:31AM,UPDATE 2-Higher sales in Mexico and U.S. propel Cemex to $70 million profit,0.0,0.805,0.195,0.4404
11,CX,2021-02-11,06:51AM,"Cemex posts $70 mln Q4 profit with higher sales in U.S., Mexico",0.0,0.791,0.209,0.4404
12,CX,2021-02-10,10:30AM,Earnings Preview: Cemex,0.0,1.0,0.0,0.0
13,CX,2021-02-04,07:30AM,"CEMEX Committed to Participate in LEILAC 2 Project, Which Aims to Decarbonize Cement Production",0.0,0.851,0.149,0.2732
14,CX,2021-02-02,05:30PM,CEMEX Strengthens Supply Chain to Support U.S. Operations in Their Efforts to Address Cement Shortage,0.102,0.609,0.289,0.5719
15,CX,2021-02-01,04:50PM,CEMEX Announces Sale of Certain Assets in Southeastern France,0.0,0.648,0.352,0.4215
16,CX,2021-01-27,11:50AM,Should Value Investors Buy Cemex (CX) Stock?,0.0,0.714,0.286,0.34
17,CX,2021-01-27,11:40AM,CX or VMC: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
18,CX,2021-01-05,08:20AM,11 Easiest Countries to Adopt a Baby,0.0,0.471,0.529,0.5423
19,CX,2020-12-15,06:06PM,Is CX A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
20,CX,2020-12-02,02:10PM,15 Tallest Completed Buildings in the World,0.0,1.0,0.0,0.0
21,CX,2020-11-19,12:54PM,"Charles Brandes' Firm Buys FEMSA, Trims Largest Holding Cemex",0.0,1.0,0.0,0.0
22,CX,2020-11-17,12:38PM,15 Largest Cement Companies in the World,0.0,1.0,0.0,0.0
23,CX,2020-10-29,12:32AM,Cemex (CX) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
24,CX,2020-10-28,06:57AM,Mexico's CEMEX posts $1.5 billion third-quarter loss,0.277,0.723,0.0,-0.3182
25,CX,2020-10-26,08:30AM,CEMEX to Offer Vertua® Net-Zero CO2 Concrete Worldwide,0.0,1.0,0.0,0.0
26,CX,2020-10-25,09:23AM,"Psyched: Cybin Raises CA$45M, Numinus Harvests Legal Mushrooms, Toadstool Enters Psychedelic Space",0.0,0.88,0.12,0.128
27,CX,2020-10-14,04:26PM,Latin American borrowers dial up sustainability efforts,0.0,1.0,0.0,0.0
