,ticker,date,time,headline,neg,neu,pos,compound
0,DFS,2021-04-09,12:49PM,Discover Financial (DFS) Up 154% in a Year: More Room to Run?,0.0,1.0,0.0,0.0
1,DFS,2021-04-01,04:48PM,"Discover Financial Services Announces First Quarter 2021 Earnings Release on April 21, 2021 and Conference Call on April 22, 2021",0.0,1.0,0.0,0.0
2,DFS,2021-03-31,08:46AM,"Discover Financial (DFS): Strong Industry, Solid Earnings Estimate Revisions",0.0,0.588,0.412,0.5994
3,DFS,2021-03-29,03:56PM,Is DFS Stock A Buy or Sell?,0.0,1.0,0.0,0.0
4,DFS,2021-03-25,09:00AM,Discover Announced as 2021 CIO 100 Award Winner for Cloud Data Fabric Platform,0.0,0.601,0.399,0.8074
5,DFS,2021-03-25,07:46AM,Discover Financial (DFS) Ties Up to Boost Global Acceptance,0.0,0.551,0.449,0.6908
6,DFS,2021-03-24,06:00PM,Discover Financial Services Announces 2021 Annual Meeting of Shareholders,0.0,1.0,0.0,0.0
7,DFS,2021-03-24,02:32PM,Top Financial Stocks for April 2021,0.0,0.735,0.265,0.2023
8,DFS,2021-03-24,07:00AM,Discover Opens Acceptance in Jordan Through Agreement with JONET,0.0,0.53,0.47,0.7351
9,DFS,2021-03-23,06:14PM,4 S&P 500 Stocks That Have Soared Over the Past Year,0.0,1.0,0.0,0.0
10,DFS,2021-03-23,10:17AM,Discover Financial (DFS) Ties Up With PayNet to Ease Payments,0.0,0.783,0.217,0.3612
11,DFS,2021-03-22,07:00AM,Discover Announces Alliance with Malaysias PayNet to Expand Worldwide Acceptance,0.0,0.602,0.398,0.6486
12,DFS,2021-03-19,01:13PM,Why Visa and Mastercard Stocks Both Dropped Today,0.0,1.0,0.0,0.0
13,DFS,2021-03-15,08:43AM,"As the Covid-19 Pandemic Wanes, the U.S. Economy Could Soar",0.0,1.0,0.0,0.0
14,DFS,2021-03-11,04:58PM,"Dow Jones Futures: Stock Market Rally Gains Steam With Five 'Blue Dot' Breakouts; Microsoft, Google Flash Buy Signals",0.0,0.876,0.124,0.34
15,DFS,2021-03-11,11:03AM,Discover Financial Services Breaks Out,0.0,1.0,0.0,0.0
16,DFS,2021-03-04,10:50AM,"Discover to Open New Customer Care Center in Chicagos Chatham Neighborhood and Bring Nearly 1,000 Full-time Jobs to the Area",0.0,0.856,0.144,0.4939
