,ticker,date,time,headline,neg,neu,pos,compound
0,DOV,2021-04-13,04:15PM,Dover Fueling Solutions Introduces Petro Vend 300E EMV-Compliant Island Payment Terminal,0.0,0.855,0.145,0.1779
1,DOV,2021-04-13,12:30PM,Dover Corporation (DOV) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0,1.0,0.0,0.0
2,DOV,2021-04-12,04:15PM,"Dover Announces First Quarter 2021 Earnings Release Date, Conference Call And Webcast",0.0,1.0,0.0,0.0
3,DOV,2021-04-07,04:15PM,"City of Columbus, Georgia Moving to Automated Trash Collection with the Help of Environmental Solutions Group",0.0,0.761,0.239,0.5267
4,DOV,2021-03-31,04:15PM,"Markem-Imaje Launches EB588 Ink, Raising Product Coding Standard for Fast-Moving Consumer Goods",0.0,1.0,0.0,0.0
5,DOV,2021-03-30,06:47AM,Dover's (DOV) Arm Inks Deal to Expand Software Solution Offerings,0.0,0.635,0.365,0.5574
6,DOV,2021-03-29,04:15PM,Dover Fueling Solutions Partners with EdgePetrol,0.0,0.746,0.254,0.1779
7,DOV,2021-03-24,04:15PM,Dover Fueling Solutions Announces DX Promote to Digitally Transform Fuel Dispensers,0.278,0.47,0.252,-0.347
8,DOV,2021-03-24,08:37AM,O-I Glass' (OI) Zipaquira Expansion to Meet Glass Packaging Demand,0.143,0.857,0.0,-0.128
9,DOV,2021-03-22,12:55PM,AmpcoPittsburgh (AP) Q4 Earnings & Sales Beat Estimates,0.0,1.0,0.0,0.0
10,DOV,2021-03-22,02:42AM,Could The Dover Corporation (NYSE:DOV) Ownership Structure Tell Us Something Useful?,0.0,0.775,0.225,0.4404
11,DOV,2021-03-20,07:30AM,Stock Market Crash Survival Kit: 3 Stocks Worth Adding Now,0.233,0.603,0.164,-0.2023
12,DOV,2021-03-18,04:15PM,SWEP Signs Multiyear Contract with Kvitebjørn Varme AS to Advance Renewable Energy Ambitions in the Arctic,0.0,0.877,0.123,0.2732
13,DOV,2021-03-11,04:15PM,Belvac Continues to Invest in Expansion to Meet Global Demand,0.143,0.857,0.0,-0.128
14,DOV,2021-03-11,11:45AM,Here's Why Lincoln Electric (LECO) Stock is an Attractive Bet,0.0,0.756,0.244,0.4404
15,DOV,2021-03-10,09:32AM,"IDEX (IEX) to Gain From Products & Buyouts, Headwinds Persist",0.0,0.702,0.298,0.5267
16,DOV,2021-03-09,04:15PM,Dover President and Chief Executive Officer to Speak at J.P. Morgan Industrials Conference and the Bank of America Securities Global Industrials Conference,0.0,0.905,0.095,0.296
17,DOV,2021-03-09,09:47AM,"Roper (ROP) Displays Bright Prospects, Headwinds Persist",0.0,0.495,0.505,0.6249
18,DOV,2021-03-08,01:52PM,Colfax (CFX) Plans to Split Businesses Into Separate Companies,0.0,1.0,0.0,0.0
19,DOV,2021-03-08,09:29AM,Sonoco (SON) Hits 52-Week High: What's Driving this Upside?,0.0,1.0,0.0,0.0
20,DOV,2021-03-08,09:15AM,Dover Corporation (DOV) Hits Fresh High: Is There Still Room to Run?,0.0,0.827,0.173,0.3182
21,DOV,2021-03-05,01:13PM,Here's Why You Should Hold On to Grainger (GWW) Stock For Now,0.0,1.0,0.0,0.0
22,DOV,2021-03-04,09:23AM,Middleby (MIDD) to Benefit From Products & Acquisitions,0.0,0.667,0.333,0.4588
23,DOV,2021-03-03,04:15PM,Caldera Announces New Software Drivers for HP Latex 700 and 800 Printers,0.0,1.0,0.0,0.0
24,DOV,2021-03-03,09:02AM,Here's Why You Should Consider Investing in Graco (GGG) Now,0.0,1.0,0.0,0.0
25,DOV,2021-03-03,07:52AM,U.S. Manufacturing Expands to a Three-Year High: 5 Winners,0.0,0.526,0.474,0.5423
26,DOV,2021-03-02,07:42AM,U.S. Manufacturing Heading Toward V-Shaped Recovery: 6 Picks,0.0,1.0,0.0,0.0
27,DOV,2021-02-27,11:30AM,Dover Corporation (DOV) Up 4.5% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
28,DOV,2021-02-25,04:15PM,Destaco Introduces TC1 Quick-Install Manual Tool Changer for Cobots,0.0,1.0,0.0,0.0
29,DOV,2021-02-20,01:45AM,"Dover Corporation (NYSE:DOV) Looks Interesting, And It's About To Pay A Dividend",0.107,0.687,0.206,0.3182
30,DOV,2021-02-18,04:15PM,Blackmer Launches New Mobile App Designed to Simplify and Enhance User Experience,0.0,1.0,0.0,0.0
31,DOV,2021-02-12,04:14PM,Dover Declares Regular Quarterly Cash Dividend,0.0,1.0,0.0,0.0
32,DOV,2021-02-11,04:15PM,Dover Board Elects Deborah L. DeHaas as New Independent Director,0.0,1.0,0.0,0.0
33,DOV,2021-02-10,04:15PM,Dover President and Chief Executive Officer to Speak at Barclays Industrial Select 2021 and Citi 2021 Industrials Conferences,0.0,1.0,0.0,0.0
34,DOV,2021-02-09,04:15PM,Dover Fueling Solutions Launches Groundbreaking Connected Solutions Platform,0.0,0.638,0.362,0.34
35,DOV,2021-02-06,11:12AM,30 Dividend Kings of 2021 (Part II),0.0,1.0,0.0,0.0
36,DOV,2021-02-04,10:44AM,Parker-Hannifin (PH) Q2 Earnings & Revenues Beat Estimates,0.0,1.0,0.0,0.0
