,ticker,date,time,headline,neg,neu,pos,compound
0,DUK,2021-04-14,07:42AM,3 Dividend Stocks Ideal for Retirees,0.0,0.541,0.459,0.5267
1,DUK,2021-04-13,12:50PM,Utilities Prep for Conversion to Clean Energy: 3 Stocks in View,0.0,0.625,0.375,0.5859
2,DUK,2021-04-13,12:10PM,Why Duke Energy (DUK) Could Beat Earnings Estimates Again,0.0,0.792,0.208,0.2732
3,DUK,2021-04-13,08:29AM,How much can you save driving a new EV? Duke Energy helps you crunch the numbers.,0.0,0.603,0.397,0.7845
4,DUK,2021-04-13,06:06AM,3 High-Yield Dividend Stocks That'll Help You Crush Inflation,0.155,0.583,0.262,0.2732
5,DUK,2021-04-12,09:40AM,Duke Energy to announce first-quarter 2021 financial results on May 10,0.0,0.826,0.174,0.2732
6,DUK,2021-04-08,11:56AM,"Duke Energy awards $653,000 in education-related grants in Florida",0.0,0.462,0.538,0.7184
7,DUK,2021-04-08,08:30AM,"Duke Energy, Wells Fargo, NextEra Energy Resources join forces on major solar expansion in North Carolina",0.0,0.588,0.412,0.7506
8,DUK,2021-04-07,03:40PM,How President Biden Helped Send Duke Energy Stock Up 12.8% in March,0.0,0.84,0.16,0.2732
9,DUK,2021-04-06,03:22PM,"Duke Energy awards $90,000 in Marketing Partnership Program grants to 18 Indiana economic development groups",0.0,0.632,0.368,0.7184
10,DUK,2021-04-06,11:04AM,"Duke Energy to provide $500,000 in grants for North Carolina small business revitalization",0.0,0.733,0.267,0.4588
11,DUK,2021-04-05,12:30PM,"Ready to dig? During National Safe Digging Month, Duke Energy reminds customers to call 811 first",0.0,0.634,0.366,0.7579
12,DUK,2021-04-01,12:38PM,Piedmont Natural Gas requires contractors to adopt new safe digging program; reports fewer damages to its underground facilities,0.121,0.583,0.296,0.4939
13,DUK,2021-03-31,07:31PM,Duke Energy responds to North Carolina Utilities Commission's decision on Duke Energy Carolinas' 2019 rate request,0.0,0.769,0.231,0.4939
14,DUK,2021-03-31,11:36AM,"Duke Energy awards $375,000 in grants to South Carolina tutoring programs, education initiatives impacted by pandemic",0.0,0.65,0.35,0.7184
15,DUK,2021-03-30,03:35PM,Duke Energy Says It Cant Reach Carbon-Cutting Targets Without Nuclear,0.096,0.716,0.188,0.2561
16,DUK,2021-03-30,09:00AM,Duke Energy announces key leadership appointments,0.0,0.704,0.296,0.2732
17,DUK,2021-03-29,03:45PM,Is DUK Stock A Buy or Sell?,0.0,1.0,0.0,0.0
18,DUK,2021-03-29,01:11PM,"Duke Energy Corporation -- Moody's downgrades Duke Energy to Baa2, Duke Carolinas to A2, and confirms Duke Progress at A2, outlooks stable",0.0,0.662,0.338,0.802
19,DUK,2021-03-29,10:00AM,Duke Energy's (DUK) Arm Files Rate Adjustment in North Carolina,0.0,1.0,0.0,0.0
20,DUK,2021-03-26,12:07PM,"North Carolina Capital Facilities Fin. Agy. -- Moody's downgrades Duke Energy to Baa2, Duke Carolinas to A2, and confirms Duke Progress at A2, outlooks stable",0.0,0.756,0.244,0.7269
21,DUK,2021-03-25,03:19PM,"Duke Energy commits $300,000 to support internship programs for minority college students",0.0,0.604,0.396,0.5994
22,DUK,2021-03-24,10:49AM,Duke Energy announces final payments to Contingent Value Obligation holders,0.0,0.64,0.36,0.5423
23,DUK,2021-03-23,02:37AM,Capital Allocation Trends At Duke Energy (NYSE:DUK) Aren't Ideal,0.234,0.589,0.177,-0.1719
24,DUK,2021-03-22,01:56PM,Piedmont Natural Gas files rate adjustment in North Carolina for capital investments to better serve customers,0.0,0.722,0.278,0.6597
25,DUK,2021-03-19,12:00PM,Public Service Commission of South Carolina to hold public hearing on Duke Energy's Solar Choice metering proposal,0.0,1.0,0.0,0.0
26,DUK,2021-03-17,03:50PM,Duke Energy's (DUK) 350-MW Windpower Project Becomes Operational,0.0,1.0,0.0,0.0
27,DUK,2021-03-17,03:44PM,"Duke Energy Foundation awards more than $311,000 in grants to support K-12 education initiatives in 15 Indiana counties",0.0,0.591,0.409,0.8271
28,DUK,2021-03-17,04:00AM,"'Mad Money' Lightning Round: Duke Energy, MP Materials",0.283,0.531,0.186,-0.2732
29,DUK,2021-03-16,12:14PM,Duke Energy's (DUK) Florida Arm Announces 2 New Solar Sites,0.0,1.0,0.0,0.0
30,DUK,2021-03-16,10:44AM,Duke Energy Renewables announces commercial operation of its largest windpower project - 350-MW Frontier II in Oklahoma,0.0,0.877,0.123,0.2732
31,DUK,2021-03-15,12:45PM,Piedmont Natural Gas seeks to help North Carolina customers offset their carbon footprint through new green energy program,0.0,0.673,0.327,0.743
32,DUK,2021-03-15,11:46AM,Duke Energy Florida announces 2 additional solar sites,0.0,0.741,0.259,0.2732
33,DUK,2021-03-14,04:23PM,3 Utility Stocks for Income Investors,0.0,1.0,0.0,0.0
34,DUK,2021-03-12,08:53AM,CMS Energy's (CMS) Arm Signs 140MW Solar PPA in Michigan,0.0,1.0,0.0,0.0
35,DUK,2021-03-12,07:12AM,3 Dividend Stocks That Pay You Better Than Coca-Cola Does,0.124,0.619,0.257,0.3612
36,DUK,2021-03-07,05:51AM,5 High-Yield Dividend Stocks to Buy for a Biden Bull Market,0.0,1.0,0.0,0.0
37,DUK,2021-03-04,11:21AM,CERAWEEK-U.S. utilities to keep gas in power mix for years in green transition,0.0,1.0,0.0,0.0
38,DUK,2021-03-04,10:03AM,U.S. utilities to keep gas in power mix for years in green transition,0.0,1.0,0.0,0.0
39,DUK,2021-03-03,08:10AM,3 Top Stocks to Recession-Proof Your Portfolio,0.0,0.735,0.265,0.2023
40,DUK,2021-03-02,11:55AM,Why Berkshire Hathaway Energy Is One of Warren Buffetts 4 Jewels,0.0,0.611,0.389,0.6249
41,DUK,2021-03-02,10:59AM,Duke Energy partners with five other utilities to push for more electric vehicle charging for customers,0.0,0.877,0.123,0.2732
42,DUK,2021-02-27,10:02AM,How to Find the Best Dividend Stocks,0.0,0.588,0.412,0.6369
43,DUK,2021-02-26,07:49PM,Utilities Offer Yield and a Way to Play Green Energy. And Their Stocks Are Cheap.,0.0,0.727,0.273,0.5423
