,ticker,date,time,headline,neg,neu,pos,compound
0,DVN,2021-04-13,08:02AM,BP Announces Arrival of a Semi-Submersible Platform in Texas,0.0,1.0,0.0,0.0
1,DVN,2021-04-13,07:18AM,Diamondback (FANG) Gives Preliminary Update on Q1 Production,0.0,1.0,0.0,0.0
2,DVN,2021-04-12,05:50PM,Devon Energy (DVN) Dips More Than Broader Markets: What You Should Know,0.0,0.84,0.16,0.2732
3,DVN,2021-04-12,12:13PM,"Murphy Oil (MUR) to Gain on Cost Savings, High-Margin Assets",0.0,0.611,0.389,0.6249
4,DVN,2021-04-11,07:00AM,3 Energy Stocks That Could Directly Benefit From the Economy Reopening,0.0,0.611,0.389,0.6249
5,DVN,2021-04-10,09:36AM,My Top Oil Stock to Buy Right Now,0.0,0.795,0.205,0.2023
6,DVN,2021-04-08,12:23PM,Cenovus (CVE) Sets Climate Targets to Attain Carbon Neutrality,0.0,1.0,0.0,0.0
7,DVN,2021-04-07,07:54AM,"The Zacks Analyst Blog Highlights: L Brands, Goldman Sachs, Exxon Mobil, RH and Devon Energy",0.0,0.861,0.139,0.2732
8,DVN,2021-04-06,07:24AM,"The Zacks Analyst Blog Highlights: Marathon Oil, Occidental Petroleum, Diamondback Energy, EOG Resources and Devon Energy",0.0,0.769,0.231,0.4939
9,DVN,2021-04-06,05:49AM,5 Top-Ranked Momentum Stocks for April to Ride on Market Rally,0.0,1.0,0.0,0.0
10,DVN,2021-04-06,05:47AM,"Oil & Gas Stock Roundup: Exxon & Conoco Q1 Updates, Pioneer's Acquisition & More",0.0,1.0,0.0,0.0
11,DVN,2021-04-05,08:11AM,These Are the Best Performing S&P 500 Energy Stocks of Q1,0.0,0.588,0.412,0.743
12,DVN,2021-03-31,07:43AM,"The Zacks Analyst Blog Highlights: Halliburton Co, Schlumberger, Transocean, Devon Energy and Diamondback Energy",0.0,0.741,0.259,0.4939
13,DVN,2021-03-30,03:00PM,Oil Prices Fall As Bearish Sentiment Returns,0.0,1.0,0.0,0.0
