,ticker,date,time,headline,neg,neu,pos,compound
0,EBAY,2021-04-14,06:30AM,eBay Canada Shakes Up Sneaker Market with Authentication Program,0.0,1.0,0.0,0.0
1,EBAY,2021-04-14,02:55AM,Revealed: The most expensive houseplants sold at auction,0.0,1.0,0.0,0.0
2,EBAY,2021-04-11,11:43AM,4 Undervalued Stocks To Watch For In April,0.0,1.0,0.0,0.0
3,EBAY,2021-04-10,06:17AM,1 Great Stock You Can Buy on Sale Right Now,0.0,0.661,0.339,0.6249
4,EBAY,2021-04-09,07:43AM,"Facebook removes 16,000 groups as UK competition regulator tackles fake reviews",0.237,0.763,0.0,-0.4767
5,EBAY,2021-04-08,03:05PM,EBay To Host Events For Appraising Investment-Worthy Collectibles,0.0,1.0,0.0,0.0
6,EBAY,2021-04-07,06:29PM,eBay Kicks-Off New Event Series to Authenticate and Showcase High-Value Collectibles,0.0,1.0,0.0,0.0
7,EBAY,2021-04-07,12:10PM,Why eBay (EBAY) Could Beat Earnings Estimates Again,0.0,1.0,0.0,0.0
8,EBAY,2021-04-07,08:07AM,The richest person in every U.S. state after the latest billionaire boom,0.0,0.764,0.236,0.5267
9,EBAY,2021-04-03,05:17AM,Looking to Invest Your Stimulus Check? 3 Surefire Stocks to Consider,0.0,0.818,0.182,0.25
10,EBAY,2021-03-24,03:09PM,People are very excited to return to live concerts: Bethel Woods CEO,0.0,0.803,0.197,0.4005
11,EBAY,2021-03-24,12:23PM,Top Consumer Discretionary Stocks for April 2021,0.0,0.769,0.231,0.2023
12,EBAY,2021-03-24,10:10AM,15 Fastest Growing E-Commerce Companies in 2020,0.0,0.779,0.221,0.1779
13,EBAY,2021-03-24,08:00AM,eBay Cuts Listing Time in Half for Trading Card Sellers with New Feature Coming April 2021,0.128,0.872,0.0,-0.296
14,EBAY,2021-03-24,08:00AM,eBay Announces Expiration and Results of Tender Offer for Any and All of its 2.60% Notes due 2022,0.0,1.0,0.0,0.0
15,EBAY,2021-03-24,07:41AM,Deconstructing MercadoLibre's Business Model,0.0,1.0,0.0,0.0
16,EBAY,2021-03-23,02:15PM,eBay Announces Pricing of Tender Offer for Any and All of its 2.60% Notes due 2022,0.0,1.0,0.0,0.0
17,EBAY,2021-03-23,07:09AM,Is EBAY Stock A Buy or Sell?,0.0,1.0,0.0,0.0
18,EBAY,2021-03-23,06:00AM,"eBay Redefines the Way Canadians Shop Online for ""Like-New"" Products with the Launch of Certified Refurbished Business",0.0,1.0,0.0,0.0
19,EBAY,2021-03-23,02:41AM,Can eBay Inc.'s (NASDAQ:EBAY) ROE Continue To Surpass The Industry Average?,0.0,1.0,0.0,0.0
20,EBAY,2021-03-18,05:45PM,EBay (EBAY) Stock Moves -0.17%: What You Should Know,0.0,1.0,0.0,0.0
21,EBAY,2021-03-17,08:30AM,eBay Announces Offer for Any and All of its 2.60% Notes due 2022,0.0,1.0,0.0,0.0
22,EBAY,2021-03-16,04:43AM,"SK Telecom, Shinsegae Group among bidders for eBay's Korean business - sources",0.0,1.0,0.0,0.0
23,EBAY,2021-03-16,04:35AM,"UPDATE 1-SK Telecom, Shinsegae Group among bidders for eBay's Korean business -sources",0.0,1.0,0.0,0.0
24,EBAY,2021-03-15,03:00PM,2022 expected to be first year the U.S. will spend more than $1T online: Adobe,0.0,1.0,0.0,0.0
25,EBAY,2021-03-15,02:54PM,2022 expected to be first year the U.S. will spend more than $1T online: Adobe,0.0,1.0,0.0,0.0
26,EBAY,2021-03-15,11:03AM,Joel Greenblatts Portfolio and Recent Buys,0.0,1.0,0.0,0.0
27,EBAY,2021-03-14,07:39AM,"After 22 Years In Business, PayPal Is Still Just Getting Started",0.0,1.0,0.0,0.0
28,EBAY,2021-03-12,06:02PM,"Coupang Is the Amazon.com of South Korea, but Maybe Even Better. And Now You Can Buy the Stock.",0.0,0.815,0.185,0.5927
29,EBAY,2021-03-11,05:45PM,EBay (EBAY) Outpaces Stock Market Gains: What You Should Know,0.0,0.789,0.211,0.34
30,EBAY,2021-03-08,01:05PM,Top 15 Most Valuable African Companies,0.0,0.435,0.565,0.6361
31,EBAY,2021-03-05,12:05PM,Dr. Seuss Book Discontinuations Result In Price Gouging On Controversial Titles,0.153,0.847,0.0,-0.2023
32,EBAY,2021-03-05,11:30AM,Why Is eBay (EBAY) Down 12.7% Since Last Earnings Report?,0.0,1.0,0.0,0.0
33,EBAY,2021-03-05,08:48AM,E-Commerce Continues to Boost Retail Sales: 4 Stocks to Buy,0.0,0.748,0.252,0.4019
34,EBAY,2021-03-04,05:14PM,EBay will delist banned Dr. Seuss books being resold for thousands of dollars,0.2,0.8,0.0,-0.4588
35,EBAY,2021-03-02,07:37AM,"Adevinta, eBay to sell UK units to secure $9.2 billion tie-up",0.0,0.806,0.194,0.34
36,EBAY,2021-03-02,07:17AM,S&P 500 Sees Best Day Since June: Here're the Top 5 Gainers,0.0,0.6,0.4,0.7184
37,EBAY,2021-03-02,04:34AM,"EBay, Adevinta to Offload Assets to Salvage $9.2 Billion Deal",0.0,0.841,0.159,0.1779
38,EBAY,2021-03-02,02:48AM,"UPDATE 3-Adevinta, eBay to sell UK units to secure $9.2 bln tie-up",0.0,0.821,0.179,0.34
39,EBAY,2021-03-02,02:42AM,"Adevinta, eBay to sell UK units to secure $9.2 billion tie-up",0.0,0.806,0.194,0.34
40,EBAY,2021-03-02,02:07AM,eBay Issues Update on Proposed Transaction of eBay Classifieds Group,0.0,1.0,0.0,0.0
41,EBAY,2021-03-01,07:00PM,eBay and Adevinta offer to sell UK classifieds sites to win approval for merger,0.0,0.635,0.365,0.7845
42,EBAY,2021-03-01,12:33PM,Top 15 Emerging Companies In India,0.0,0.735,0.265,0.2023
43,EBAY,2021-03-01,09:00AM,eBay Kicks off Month-Long Celebration of (Female) Sneakerheads,0.0,1.0,0.0,0.0
44,EBAY,2021-02-26,10:59AM,Etsy vendors sell $750 million in masks in 2020 amid pandemic,0.0,1.0,0.0,0.0
45,EBAY,2021-02-25,11:40AM,EBAY vs. AMZN: Which Stock Is the Better Value Option?,0.0,0.602,0.398,0.6486
46,EBAY,2021-02-23,09:30AM,3 Top Stocks for Retirees,0.0,0.625,0.375,0.2023
47,EBAY,2021-02-22,01:47PM,"eBay Stock Is Simply Too Cheap, One Analyst Says. Why He Thinks That Will Change.",0.0,1.0,0.0,0.0
48,EBAY,2021-02-21,01:34AM,Is It Smart To Buy eBay Inc. (NASDAQ:EBAY) Before It Goes Ex-Dividend?,0.0,0.803,0.197,0.4019
49,EBAY,2021-02-19,07:59PM,Tech Valuations Are Getting Scary. Heres How We Know.,0.286,0.714,0.0,-0.4939
50,EBAY,2021-02-19,03:15PM,The Glu Mobile-Electronic Arts Deal and Other Market News,0.0,1.0,0.0,0.0
51,EBAY,2021-02-17,08:00AM,Uber Hires Prominent Critic to Focus on Treatment of Drivers,0.183,0.618,0.199,0.0553
52,EBAY,2021-02-16,12:22PM,UK watchdog voices concern over $9.2 billion eBay-Adevinta deal,0.0,1.0,0.0,0.0
53,EBAY,2021-02-16,11:42AM,SoftBank Soars as Coupang IPO Filing Points to Giant Win for the Vision Fund,0.0,0.674,0.326,0.7003
54,EBAY,2021-02-16,11:33AM,Regulator objects to $9.2 billion sale of eBay arm in the latest move to protect online competition,0.0,0.86,0.14,0.3818
55,EBAY,2021-02-16,07:58AM,"Gumtree Shpock tie-up could raise fees and reduce choice, warns watchdog",0.123,0.877,0.0,-0.1027
56,EBAY,2021-02-16,02:44AM,UPDATE 4-UK watchdog voices concern over $9.2 bln eBay-Adevinta deal,0.0,1.0,0.0,0.0
57,EBAY,2021-02-16,02:26AM,UK watchdog voices concern over $9.2 billion eBay-Adevinta deal,0.0,1.0,0.0,0.0
58,EBAY,2021-02-16,02:08AM,eBay Issues Statement Regarding the CMA Announcement,0.0,1.0,0.0,0.0
59,EBAY,2021-02-15,07:00PM,UK regulator threatens eBays $9.2bn classified ads deal with Adevinta,0.224,0.776,0.0,-0.3818
60,EBAY,2021-02-15,07:00PM,Carmakers asleep at wheel on chips,0.0,1.0,0.0,0.0
61,EBAY,2021-02-15,07:00PM,Adevinta/eBay: classified inflammation,0.0,1.0,0.0,0.0
62,EBAY,2021-02-15,07:33AM,"PayPal Just Had a Monster Quarter, but That's Not What Investors Are Excited About",0.0,0.795,0.205,0.4767
63,EBAY,2021-02-12,09:50AM,"The Zacks Analyst Blog Highlights: ON Semiconductor, Skyworks Solutions and eBay",0.0,0.855,0.145,0.1779
