,ticker,date,time,headline,neg,neu,pos,compound
0,EQT,2021-03-29,04:02PM,Is EQT Stock A Buy or Sell?,0.0,1.0,0.0,0.0
1,EQT,2021-03-25,11:39AM,"EQT, Chesapeake Are Among Suitors for Alta Resources",0.0,1.0,0.0,0.0
2,EQT,2021-03-24,03:05AM,Loss-Making EQT Corporation (NYSE:EQT) Set To Breakeven,0.0,1.0,0.0,0.0
3,EQT,2021-03-19,11:30AM,Why Is EQT Corporation (EQT) Down 3.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
4,EQT,2021-03-04,03:18PM,David Tepper Bets Big on the US Energy Complex,0.0,0.792,0.208,0.2732
5,EQT,2021-03-03,01:15PM,11 Best Natural Gas Stocks To Buy Now,0.0,0.472,0.528,0.7717
6,EQT,2021-02-26,11:21AM,"Caxton Associates Exits Hess, Cabot",0.0,1.0,0.0,0.0
7,EQT,2021-02-19,03:25PM,Top Energy Stocks for March 2021,0.0,0.506,0.494,0.4404
8,EQT,2021-02-17,06:30PM,EQT Corp (EQT) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
9,EQT,2021-02-17,04:13PM,"EQT, IBD Stock Of The Day, Races Past Buy Point Amid Soaring Energy Prices",0.0,0.861,0.139,0.2732
10,EQT,2021-02-17,07:39AM,Recap: EQT Q4 Earnings,0.0,1.0,0.0,0.0
11,EQT,2021-02-17,06:30AM,EQT Reports Fourth Quarter And Year-End 2020 Results And Provides 2021 Guidance,0.0,1.0,0.0,0.0
12,EQT,2021-02-12,07:00PM,Energy Stocks Still Offer Plenty of Value,0.0,0.526,0.474,0.5423
13,EQT,2021-02-11,09:49AM,INVESTOR ALERT: Scott+Scott Attorneys at Law LLP Continues Investigating EQT Corporations Directors and Officers for Breach of Fiduciary Duties  EQT,0.0,0.866,0.134,0.4466
14,EQT,2021-02-10,12:31PM,Earnings Preview: EQT Corporation (EQT) Q4 Earnings Expected to Decline,0.0,1.0,0.0,0.0
15,EQT,2021-02-08,07:00PM,Silver Lake and Nestlé lead 3.5bn investment in vet group IVC Evidensia,0.0,1.0,0.0,0.0
16,EQT,2021-02-03,06:13PM,"EQT Corporation Investors Who Have Held Their Stock Since January 2018 Encouraged To Contact Kehoe Law Firm, P.C.",0.0,0.872,0.128,0.3612
17,EQT,2021-02-03,06:24AM,EQT Corporation -- Moody's upgrades EQT to Ba2; outlook is stable,0.0,0.82,0.18,0.296
18,EQT,2021-02-02,12:10PM,EQT Corporation -- Moody's upgrades EQT to Ba2; outlook is stable,0.0,0.82,0.18,0.296
19,EQT,2021-01-28,08:01AM,EQT and Project Canary Partner on Certified Responsibly Sourced Natural Gas Pilot,0.0,0.815,0.185,0.3612
20,EQT,2021-01-27,06:30AM,"EQT Corporation Schedules Q4 and YE 2020 Results Conference Call for February 17, 2021",0.0,1.0,0.0,0.0
