,ticker,date,time,headline,neg,neu,pos,compound
0,ESS,2021-04-13,06:45AM,"The Zacks Analyst Blog Highlights: Mid-America Apartment Communities, UDR, AvalonBay Communities, Equity Residential and Essex Property Trust",0.0,0.829,0.171,0.5106
1,ESS,2021-04-06,04:15PM,Essex Announces Release and Conference Call Dates for Its First Quarter 2021 Earnings,0.0,1.0,0.0,0.0
2,ESS,2021-03-29,10:24AM,Analyzing Essex Property Trust's Ex-Dividend Date,0.0,1.0,0.0,0.0
3,ESS,2021-03-25,03:18PM,3 Dividend Aristocrats Providing Safe and Reliable Income,0.0,0.674,0.326,0.4404
4,ESS,2021-03-25,03:32AM,The Essex Property Trust (NYSE:ESS) Share Price Has Gained 38% And Shareholders Are Hoping For More,0.0,0.524,0.476,0.872
5,ESS,2021-03-06,11:31AM,Why Is Essex Property Trust (ESS) Up 4.9% Since Last Earnings Report?,0.0,0.769,0.231,0.5106
6,ESS,2021-03-02,04:15PM,Essex Property Trust to Present at The 2021 Citigroup Global Property CEO Conference,0.0,0.784,0.216,0.5106
7,ESS,2021-03-01,03:43AM,Best REITs to Buy for 2021,0.0,0.543,0.457,0.6369
8,ESS,2021-02-22,05:06PM,Essex Property Trust Prices $450 Million of Senior Notes,0.0,0.708,0.292,0.5106
9,ESS,2021-02-21,08:00AM,The 3 Safest REITs to Buy Right Now,0.0,0.69,0.31,0.4019
10,ESS,2021-02-20,07:00AM,Where Will Essex Property Trust Be in 3 Years?,0.0,0.68,0.32,0.5106
11,ESS,2021-02-18,04:15PM,Essex Announces its 27th Consecutive Annual Dividend Increase,0.0,0.753,0.247,0.3182
12,ESS,2021-02-13,10:00AM,30 Dividend Champions of 2021 (Part II),0.0,0.638,0.362,0.5267
13,ESS,2021-02-12,08:53AM,New Strong Sell Stocks for February 12th,0.0,0.645,0.355,0.5106
14,ESS,2021-02-05,06:30PM,Essex Property Trust (ESS) Q4 2020 Earnings Call Transcript,0.0,0.708,0.292,0.5106
15,ESS,2021-02-05,09:45AM,"Essex Property Trust, Inc. to Host Earnings Call",0.0,0.68,0.32,0.5106
16,ESS,2021-02-05,09:04AM,Essex Property (ESS) Misses on Q4 FFO Amid Concessions,0.192,0.808,0.0,-0.2263
17,ESS,2021-02-04,05:55PM,Essex Property Trust (ESS) Misses Q4 FFO and Revenue Estimates,0.144,0.606,0.25,0.34
18,ESS,2021-02-04,04:15PM,Essex Announces Fourth Quarter and Full-Year 2020 Results and 2021 Guidance,0.0,1.0,0.0,0.0
19,ESS,2021-02-01,11:19AM,Key Factors to Impact Essex Property's (ESS) Q4 Earnings,0.0,1.0,0.0,0.0
20,ESS,2021-01-29,07:00AM,This Dividend Aristocrat REIT Has One Big Problem,0.278,0.722,0.0,-0.4019
21,ESS,2021-01-24,03:27AM,"Should You Be Impressed By Essex Property Trust, Inc.'s (NYSE:ESS) ROE?",0.0,0.584,0.416,0.7506
22,ESS,2021-01-15,04:15PM,Essex Reports Characteristics of 2020 Dividends,0.0,1.0,0.0,0.0
23,ESS,2021-01-13,04:50PM,Essex Announces Release and Conference Call Dates for Its Fourth Quarter 2020 Earnings,0.0,1.0,0.0,0.0
24,ESS,2021-01-11,10:00AM,3 Apartment REITs to Buy in January,0.0,1.0,0.0,0.0
25,ESS,2021-01-07,09:55PM,Top Donors to Biden 2020 Campaign,0.0,0.735,0.265,0.2023
26,ESS,2021-01-05,12:54PM,5 Apartment REITs to Watch,0.0,1.0,0.0,0.0
27,ESS,2020-12-28,04:15PM,Essex Property Trust Announces Executive Leadership Succession,0.0,0.495,0.505,0.6249
28,ESS,2020-12-08,04:15PM,Essex Property Trust Declares Quarterly Distributions,0.0,0.602,0.398,0.5106
29,ESS,2020-12-04,03:48PM,"Essex Portfolio, L.P. -- Moody's affirms Essex Portfolio's Baa1 rating; outlook stable",0.0,0.833,0.167,0.296
30,ESS,2020-11-27,11:31AM,Why Is Essex Property Trust (ESS) Up 36.5% Since Last Earnings Report?,0.0,0.769,0.231,0.5106
31,ESS,2020-11-25,12:13AM,What Can We Make Of Essex Property Trust's (NYSE:ESS) CEO Compensation?,0.0,1.0,0.0,0.0
32,ESS,2020-11-24,10:38PM,10 Best Dividend Stocks for Passive Income,0.0,0.455,0.545,0.7184
33,ESS,2020-11-19,06:16PM,Third Avenue Management's Top 3rd-Quarter Portfolio Updates,0.0,0.769,0.231,0.2023
34,ESS,2020-11-18,04:15PM,"Essex Property Trust Recognized By NAREIT For Corporate Diversity, Equity & Inclusion",0.0,0.752,0.248,0.5106
35,ESS,2020-11-17,12:17PM,"Third Avenue Management Cuts Essex Property, Lennar",0.268,0.732,0.0,-0.296
36,ESS,2020-10-30,06:00PM,Essex Property Trust (ESS) Q3 2020 Earnings Call Transcript,0.0,0.708,0.292,0.5106
37,ESS,2020-10-29,10:02AM,Essex Property (ESS) Q3 FFO Misses Estimates Amid Concessions,0.192,0.808,0.0,-0.2263
38,ESS,2020-10-28,06:15PM,Essex Property Trust (ESS) Q3 FFO Lag Estimates,0.205,0.513,0.282,0.2263
39,ESS,2020-10-28,04:15PM,Essex Announces Third Quarter 2020 Results,0.0,1.0,0.0,0.0
40,ESS,2020-10-27,10:24AM,"REITs Lined Up for Q3 Earnings on Oct 28: EQIX, WELL & More",0.0,0.795,0.205,0.4278
41,ESS,2020-10-26,08:19AM,Key Factors to Impact Essex Property's (ESS) Q3 Earnings,0.0,1.0,0.0,0.0
42,ESS,2020-10-22,07:00AM,Is Essex Property Trust a Buy?,0.0,0.548,0.452,0.5106
43,ESS,2020-10-06,10:16AM,If You Had Bought Essex Property Trust's (NYSE:ESS) Shares A Year Ago You Would Be Down 35%,0.0,0.872,0.128,0.296
44,ESS,2020-09-29,04:59PM,Essex Announces Release and Conference Call Dates for Its Third Quarter 2020 Earnings,0.0,1.0,0.0,0.0
45,ESS,2020-09-28,11:33AM,Hedge Funds Keep Selling Essex Property Trust Inc (ESS),0.0,0.708,0.292,0.5106
46,ESS,2020-09-02,04:15PM,Essex Property Trust Declares Quarterly Distributions,0.0,0.602,0.398,0.5106
47,ESS,2020-09-02,11:30AM,Essex Property Trust (ESS) Up 0.4% Since Last Earnings Report: Can It Continue?,0.0,0.784,0.216,0.5106
48,ESS,2020-08-10,04:51PM,Essex Property Trust Prices $600 Million of Multi-Tranche Senior Notes,0.0,0.732,0.268,0.5106
49,ESS,2020-08-07,12:34PM,"Will Weakness in Essex Property Trust, Inc.'s (NYSE:ESS) Stock Prove Temporary Given Strong Fundamentals?",0.137,0.539,0.324,0.5859
50,ESS,2020-08-05,01:31AM,Essex Property Trust (ESS) Q2 2020 Earnings Call Transcript,0.0,0.708,0.292,0.5106
51,ESS,2020-08-04,11:00AM,Essex Property (ESS) Q2 FFO and Revenues Miss Estimates,0.167,0.833,0.0,-0.1531
52,ESS,2020-08-03,06:15PM,Essex Property Trust (ESS) Q2 FFO and Revenues Lag Estimates,0.175,0.584,0.241,0.2263
53,ESS,2020-08-03,04:15PM,Essex Announces Second Quarter 2020 Results,0.0,1.0,0.0,0.0
54,ESS,2020-07-30,01:08PM,5 Undervalued Insurance Stocks Boosting Earnings,0.0,0.625,0.375,0.34
55,ESS,2020-07-29,04:24PM,5 Stocks Expanding Book Value,0.0,0.556,0.444,0.34
56,ESS,2020-07-28,11:01AM,Key Factors to Impact Essex Property's (ESS) Q2 Earnings,0.0,1.0,0.0,0.0
57,ESS,2020-07-13,01:59PM,Were Hedge Funds Right About Essex Property Trust Inc (ESS)?,0.0,0.732,0.268,0.5106
58,ESS,2020-07-13,12:45PM,5 Profitable Companies With a Margin of Safety,0.0,0.412,0.588,0.6908
59,ESS,2020-07-06,04:15PM,Essex Announces Release and Conference Call Dates for Its Second Quarter 2020 Earnings,0.0,1.0,0.0,0.0
60,ESS,2020-06-18,08:08AM,Essex Property (ESS) Prices $150M of 2.650% Senior Notes,0.0,1.0,0.0,0.0
61,ESS,2020-06-17,04:59PM,Essex Property Trust Prices $150 Million of 2.650% Senior Notes Due 2032,0.0,0.769,0.231,0.5106
62,ESS,2020-06-17,08:35AM,Here's Why You Should Hold Essex Property Stock Right Now,0.0,1.0,0.0,0.0
63,ESS,2020-06-16,10:46AM,Heres Why Essex Property Trust (ESS) Stock is an Attractive Pick for Investors,0.0,0.64,0.36,0.7351
64,ESS,2020-06-10,10:24AM,Essex Property Trust (ESS) Is the Most Recession-Resistant Stock to Buy Now,0.0,0.769,0.231,0.5106
65,ESS,2020-06-05,09:59AM,Hedge Funds Cashing Out Of Essex Property Trust Inc (ESS),0.0,0.732,0.268,0.5106
66,ESS,2020-05-29,04:15PM,Essex Property Trust Publishes Updated Investor Presentation,0.0,0.645,0.355,0.5106
67,ESS,2020-05-18,05:12PM,Essex Property Trust Publishes Second Annual Corporate Social Responsibility Report,0.0,0.732,0.268,0.5106
68,ESS,2020-05-15,04:48PM,Third Avenue's Top 3 1st-Quarter Buys,0.0,0.69,0.31,0.2023
69,ESS,2020-05-14,04:15PM,Essex Property Trust Declares Quarterly Distributions,0.0,0.602,0.398,0.5106
70,ESS,2020-05-08,07:13AM,Edited Transcript of ESS earnings conference call or presentation 7-May-20 5:00pm GMT,0.0,1.0,0.0,0.0
71,ESS,2020-05-08,01:31AM,Essex Property Trust (ESS) Q1 2020 Earnings Call Transcript,0.0,0.708,0.292,0.5106
72,ESS,2020-05-07,10:27AM,"Essex Property (ESS) Beats on Q1 FFO, Suspends 2020 View",0.0,1.0,0.0,0.0
73,ESS,2020-05-06,05:55PM,Essex Property Trust (ESS) Tops Q1 FFO and Revenue Estimates,0.0,0.548,0.452,0.765
74,ESS,2020-05-06,04:15PM,Essex Announces First Quarter 2020 Results and Withdraws Full-Year Guidance,0.0,1.0,0.0,0.0
75,ESS,2020-05-05,11:45AM,Are You Looking for a High-Growth Dividend Stock? Essex Property Trust (ESS) Could Be a Great Choice,0.0,0.637,0.363,0.8126
76,ESS,2020-05-05,10:47AM,"REITs to Watch for Q1 Earnings on May 6: AVB, ESS, MAA & More",0.0,1.0,0.0,0.0
77,ESS,2020-05-04,09:36AM,Key Factors to Impact Essex Property's (ESS) Q1 Earnings,0.0,1.0,0.0,0.0
