,ticker,date,time,headline,neg,neu,pos,compound
0,ES,2021-04-08,03:55PM,New England Service Company To be Acquired by Aquarion Water Company,0.0,1.0,0.0,0.0
1,ES,2021-04-07,05:26PM,Eversource Energy names Joe Nolan as CEO,0.0,0.741,0.259,0.2732
2,ES,2021-04-07,04:45PM,"Eversource Energy Announces Leadership Changes Effective May 5, 2021",0.0,0.574,0.426,0.6369
3,ES,2021-04-06,11:30AM,"Eversource Again Recognized by Barrons as One of Americas ""Most Sustainable Companies""",0.0,1.0,0.0,0.0
4,ES,2021-03-25,03:27AM,Eversource Energy (NYSE:ES) May Have Issues Allocating Its Capital,0.0,0.792,0.208,0.2732
5,ES,2021-03-18,11:30AM,Eversource (ES) Down 0.5% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
6,ES,2021-02-23,01:29AM,A Look At The Intrinsic Value Of Eversource Energy (NYSE:ES),0.0,0.609,0.391,0.5423
7,ES,2021-02-20,07:34AM,3 Stocks to Buy Ahead of the Next Market Crash,0.252,0.748,0.0,-0.4019
8,ES,2021-02-17,06:00PM,Eversource Energy (ES) Q4 2020 Earnings Call Transcript,0.0,0.769,0.231,0.2732
9,ES,2021-02-16,04:30PM,Eversource Energy: Q4 Earnings Insights,0.0,0.656,0.344,0.2732
10,ES,2021-02-16,04:15PM,Eversource Energy Reports Full Year 2020 Results,0.0,0.741,0.259,0.2732
11,ES,2021-02-16,02:00AM,Global energy majors lead pivot to Eavors geothermal solution with USD$40 million investment,0.0,0.714,0.286,0.5267
12,ES,2021-02-10,12:31PM,Eversource Energy (ES) Earnings Expected to Grow: What to Know Ahead of Q4 Release,0.0,0.861,0.139,0.2732
13,ES,2021-02-10,10:00AM,Eversource Energy to Discuss 2020 Results,0.0,0.704,0.296,0.2732
14,ES,2021-02-09,04:15PM,Eversource Energy Declares Common Dividend,0.0,0.656,0.344,0.2732
15,ES,2021-01-27,11:55PM,Is Eversource Energy's (NYSE:ES) 8.4% ROE Strong Compared To Its Industry?,0.0,0.752,0.248,0.5106
16,ES,2021-01-20,07:00AM,"Hershey, Allstate, and 8 Other Beaten-Down Stocks With Rising Earnings Prospects",0.0,0.804,0.196,0.296
17,ES,2021-01-15,09:31AM,Looking Into Eversource Energy's Return On Capital Employed,0.0,1.0,0.0,0.0
18,ES,2020-12-29,01:12AM,Here's Why I Think Eversource Energy (NYSE:ES) Might Deserve Your Attention Today,0.0,0.826,0.174,0.2732
19,ES,2020-12-18,01:30AM,Where Do Hedge Funds Stand On Eversource Energy (ES)?,0.0,0.792,0.208,0.2732
20,ES,2020-12-03,11:30AM,Why Is Eversource (ES) Down 3.4% Since Last Earnings Report?,0.0,1.0,0.0,0.0
21,ES,2020-12-01,01:44AM,What Kind Of Shareholders Own Eversource Energy (NYSE:ES)?,0.0,0.769,0.231,0.2732
