,ticker,date,time,headline,neg,neu,pos,compound
0,ETR,2021-04-12,04:59PM,Entergy Corporation Announces Quarterly Dividend Payment to Shareholders,0.0,1.0,0.0,0.0
1,ETR,2021-04-12,04:12PM,Is ETR Stock A Buy or Sell?,0.0,1.0,0.0,0.0
2,ETR,2021-04-12,03:04AM,Entergy (NYSE:ETR) Has Some Way To Go To Become A Multi-Bagger,0.0,1.0,0.0,0.0
3,ETR,2021-03-26,11:31AM,Entergy (ETR) Up 11.7% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
4,ETR,2021-03-18,06:36PM,Entergy Texas Declares Quarterly Dividend on Preferred Stock,0.0,1.0,0.0,0.0
5,ETR,2021-03-13,02:01AM,Entergy (NYSE:ETR) Has Compensated Shareholders With A Respectable 51% Return On Their Investment,0.0,0.791,0.209,0.4404
6,ETR,2021-03-10,04:53PM,"Faruqi & Faruqi, LLP is Investigating Entergy Corporation (ETR) on Behalf of its Shareholders",0.0,1.0,0.0,0.0
7,ETR,2021-02-26,07:49PM,Utilities Offer Yield and a Way to Play Green Energy. And Their Stocks Are Cheap.,0.0,0.727,0.273,0.5423
8,ETR,2021-02-25,02:22AM,"Entergy Beats 4Q Earnings Estimates, Misses On Revenues",0.529,0.471,0.0,-0.7739
9,ETR,2021-02-24,05:00PM,Entergy Corp (ETR) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
10,ETR,2021-02-24,08:45AM,Entergy Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
11,ETR,2021-02-24,06:30AM,"Entergy Reports 2020 Financial Results, Initiates 2021 Earnings Guidance",0.0,1.0,0.0,0.0
12,ETR,2021-02-22,02:56PM,UPDATE 1-Mother whose 11-year-old son died in Texas freeze sues for $100 mln,0.228,0.696,0.076,-0.5267
13,ETR,2021-02-22,12:57PM,Mother whose 11-year-old son died in Texas freeze sues for $100 mln,0.243,0.676,0.081,-0.5267
14,ETR,2021-02-18,11:00AM,Climate Crisis: a special conversation with Bill Gates,0.347,0.424,0.229,-0.34
15,ETR,2021-02-17,03:30PM,Entergy to Report Fourth Quarter and Full Year 2020 Financial Results on February 24,0.0,1.0,0.0,0.0
16,ETR,2021-02-15,12:17AM,Here's Why We Think Entergy (NYSE:ETR) Is Well Worth Watching,0.0,0.667,0.333,0.4588
17,ETR,2021-02-10,12:31PM,Entergy (ETR) to Report Q4 Results: What You Should Expect,0.0,1.0,0.0,0.0
18,ETR,2021-02-04,08:10AM,Entergy Corporation Names John Weiss as Vice President of Sustainability and Environmental Policy,0.0,1.0,0.0,0.0
19,ETR,2021-01-29,02:00PM,Entergy Corporation Announces Quarterly Dividend Payment to Shareholders,0.0,1.0,0.0,0.0
20,ETR,2021-01-20,02:03PM,Top Utilities Stocks for February 2021,0.0,0.735,0.265,0.2023
21,ETR,2021-01-20,12:47AM,What Type Of Shareholders Make Up Entergy Corporation's (NYSE:ETR) Share Registry?,0.0,0.82,0.18,0.296
22,ETR,2021-01-12,03:55PM,Montgomery County Power Station Achieves Commercial Operation,0.0,1.0,0.0,0.0
23,ETR,2020-12-25,01:37AM,How Much Is Entergy's (NYSE:ETR) CEO Getting Paid?,0.0,1.0,0.0,0.0
24,ETR,2020-12-23,04:40PM,"Entergy and Holtec File Request to Transfer Palisades Nuclear Plant Post-Shutdown, Holtec to Complete Decommissioning Decades Sooner than Entergy",0.0,1.0,0.0,0.0
25,ETR,2020-11-27,11:31AM,Why Is Entergy (ETR) Up 9.2% Since Last Earnings Report?,0.0,1.0,0.0,0.0
26,ETR,2020-11-25,09:00AM,Entergy Named a Top Sustainability Company for 19th Consecutive Year,0.0,0.816,0.184,0.2023
27,ETR,2020-11-25,05:58AM,Entergy (ETR) Arm Buys 361MW Natural Gas Facility for $261M,0.0,0.783,0.217,0.3612
28,ETR,2020-11-24,04:30PM,Entergy Louisiana Acquires Washington Parish Energy Center,0.0,0.741,0.259,0.2732
29,ETR,2020-11-23,05:08PM,License Transfer Request for Indian Point Approved by NRC,0.0,0.741,0.259,0.4215
30,ETR,2020-11-23,12:19AM,Is Entergy Corporation (NYSE:ETR) Expensive For A Reason? A Look At Its Intrinsic Value,0.0,0.821,0.179,0.34
31,ETR,2020-11-16,04:15PM,"Entergy Louisiana, LLC Announces Redemption of First Mortgage Bonds, 5.25% Series due July 1, 2052, and First Mortgage Bonds, 4.70% Series due June 1, 2063",0.0,1.0,0.0,0.0
32,ETR,2020-11-09,10:10AM,"OGE Energy (OGE) Q3 Earnings Miss Estimates, Sales Down Y/Y",0.137,0.684,0.179,0.128
33,ETR,2020-11-06,10:55AM,"Consolidated Edison (ED) Q3 Earnings Miss, Revenues Down Y/Y",0.167,0.833,0.0,-0.1531
34,ETR,2020-11-06,10:42AM,"AES Q3 Earnings Fall Short of Estimates, Revenues Decline Y/Y",0.0,1.0,0.0,0.0
35,ETR,2020-11-05,11:06AM,"CenterPoint Energy (CNP) Q3 Earnings Beat, Revenues Fall Y/Y",0.0,0.792,0.208,0.2732
36,ETR,2020-11-05,10:17AM,"Duke Energy (DUK) Q3 Earnings Beat, Revenues Decline Y/Y",0.0,0.792,0.208,0.2732
37,ETR,2020-11-02,08:34AM,Ameren (AEE) to Report Q3 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
38,ETR,2020-11-02,05:30AM,Entergy Corporation Adds Brian Ellis to Board of Directors,0.0,1.0,0.0,0.0
39,ETR,2020-10-31,09:47AM,"Entergy Corporation Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",0.0,1.0,0.0,0.0
40,ETR,2020-10-30,02:01PM,Entergy Corporation Announces Increase in Quarterly Dividend,0.0,0.723,0.277,0.3182
41,ETR,2020-10-29,11:13AM,"CMS Energy's (CMS) Q3 Earnings Beat Estimates, Revenues Miss",0.167,0.833,0.0,-0.1531
42,ETR,2020-10-28,11:01PM,Entergy Corp (ETR) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
43,ETR,2020-10-28,10:14AM,"Entergy (ETR) Q3 Earnings Beat Estimates, Revenues Down Y/Y",0.0,1.0,0.0,0.0
44,ETR,2020-10-28,09:00AM,Entergy Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
45,ETR,2020-10-28,08:05AM,Entergy (ETR) Q3 Earnings Top Estimates,0.0,0.735,0.265,0.2023
46,ETR,2020-10-28,06:30AM,Entergy Reports Third Quarter Earnings,0.0,1.0,0.0,0.0
47,ETR,2020-10-26,08:22AM,Entergy (ETR) to Report Q3 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
48,ETR,2020-10-24,10:41AM,Should You Be Impressed By Entergy's (NYSE:ETR) Returns on Capital?,0.0,0.744,0.256,0.4767
49,ETR,2020-10-21,05:00PM,Entergy to Report Third Quarter 2020 Financial Results on October 28,0.0,1.0,0.0,0.0
50,ETR,2020-10-21,12:32PM,Earnings Preview: Entergy (ETR) Q3 Earnings Expected to Decline,0.0,1.0,0.0,0.0
51,ETR,2020-10-15,02:48PM,"System Energy Resources, Inc. -- Moody's announces completion of a periodic review of ratings of Entergy Corporation",0.0,0.877,0.123,0.2732
52,ETR,2020-10-11,02:14PM,Entergy Crews Restore Power to More than 50% of Customers Following Hurricane Delta,0.0,0.845,0.155,0.296
53,ETR,2020-10-10,03:53PM,Entergy Corp says additional outages occurring as Delta moves north,0.0,1.0,0.0,0.0
54,ETR,2020-10-08,08:09AM,Utilities Prepare as Hurricane Delta Nears the U.S. Gulf Coast,0.0,1.0,0.0,0.0
55,ETR,2020-10-02,04:05PM,"Entergy Texas, Inc. Announces Redemption of First Mortgage Bonds, 5.625% Series due June 1, 2064",0.0,1.0,0.0,0.0
56,ETR,2020-09-28,07:29AM,Entergy Corporation (NYSE:ETR) Delivered A Better ROE Than Its Industry,0.0,0.734,0.266,0.4404
57,ETR,2020-09-24,10:00AM,Entergy Commits to Achieving Net-Zero Carbon Emissions by 2050,0.0,0.879,0.121,0.0258
58,ETR,2020-09-22,08:19AM,Entergy sees up to $1.7 billion in costs to repair facilities damage from Hurricane Laura,0.186,0.814,0.0,-0.4939
59,ETR,2020-09-22,08:03AM,Entergy Provides Update on Hurricane Laura,0.0,1.0,0.0,0.0
60,ETR,2020-09-18,04:49PM,Mountcliff Funding LLC -- Moody's ABCP activity ending 18 September 2020,0.0,1.0,0.0,0.0
61,ETR,2020-09-18,04:38PM,Entergy Texas Declares Quarterly Dividend on Preferred Stock,0.0,1.0,0.0,0.0
62,ETR,2020-09-17,06:40PM,Entergy Corporation to Host 2020 Virtual Analyst Day,0.0,1.0,0.0,0.0
63,ETR,2020-09-15,11:43AM,Entergy Corporation (ETR): Hedge Funds Taking Some Chips Off The Table,0.0,1.0,0.0,0.0
64,ETR,2020-09-14,04:05PM,"Entergy Arkansas, LLC Announces Redemption of First Mortgage Bonds, 4.90% Series due December 1, 2052, and First Mortgage Bonds, 4.75% Series due June 1, 2063",0.0,1.0,0.0,0.0
65,ETR,2020-09-11,03:21PM,U.S. LNG exports rise from coronavirus lows as global gas prices soar,0.141,0.859,0.0,-0.2023
66,ETR,2020-09-08,07:00AM,INSIGHT-U.S. utilities say Biden plan to cut C02 hinges on breakthroughs,0.174,0.826,0.0,-0.2732
67,ETR,2020-09-02,03:06PM,Here's Why I Think Entergy (NYSE:ETR) Might Deserve Your Attention Today,0.0,1.0,0.0,0.0
68,ETR,2020-08-31,01:37PM,"The Zacks Analyst Blog Highlights: Entergy, American Electric Power and CenterPoint Energy",0.0,0.84,0.16,0.2732
69,ETR,2020-08-31,12:12PM,Vast Grid Damage Will Leave Laura Victims in Dark for Weeks,0.456,0.544,0.0,-0.6908
70,ETR,2020-08-28,11:31AM,Entergy (ETR) Down 7.1% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
71,ETR,2020-08-27,06:47PM,Hurricane Laura Bypassed Houston But Still Knocked Out the Power,0.0,1.0,0.0,0.0
