,ticker,date,time,headline,neg,neu,pos,compound
0,FAST,2021-04-13,11:56AM,"Fastenal (FAST) Q1 Earnings Meet, Revenues Miss Estimates",0.186,0.814,0.0,-0.1531
1,FAST,2021-04-13,08:56AM,"Stamps.com, Beyond Meat, Fastenal, Advance Auto Parts and Builders FirstSource highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
2,FAST,2021-04-13,08:05AM,Fastenal (FAST) Q1 Earnings Meet Estimates,0.0,1.0,0.0,0.0
3,FAST,2021-04-13,06:50AM,Fastenal Company Reports 2021 First Quarter Earnings,0.0,1.0,0.0,0.0
4,FAST,2021-04-13,05:03AM,Fastenal Falls as Company Reports Mixed Results,0.0,1.0,0.0,0.0
5,FAST,2021-04-12,05:05PM,Fastenal Company Announces Cash Dividend,0.0,1.0,0.0,0.0
6,FAST,2021-04-12,08:10AM,"JPMorgan, Wells Fargo, FedEx, Delta Airlines and Fastenal are part of Zacks Earnings Preview",0.0,0.867,0.133,0.25
7,FAST,2021-04-12,05:30AM,"JPMorgan Chase, Nvidia, Goldman Sachs, Delta, and Other Stocks to Watch This Week",0.0,1.0,0.0,0.0
8,FAST,2021-04-06,12:30PM,Fastenal (FAST) Reports Next Week: Wall Street Expects Earnings Growth,0.0,0.776,0.224,0.3818
9,FAST,2021-03-29,05:05PM,Fastenal Company Announces Conference Call to Review 2021 First Quarter Earnings,0.0,1.0,0.0,0.0
10,FAST,2021-03-21,05:15AM,What Does Fastenal Company's (NASDAQ:FAST) Share Price Indicate?,0.0,0.761,0.239,0.296
11,FAST,2021-02-23,01:42AM,Did You Participate In Any Of Fastenal's (NASDAQ:FAST) Fantastic 136% Return ?,0.0,0.735,0.265,0.5574
12,FAST,2021-02-04,09:41AM,Why Grainger's Shares Slumped in January,0.0,0.694,0.306,0.296
13,FAST,2021-02-02,11:40AM,LL vs. FAST: Which Stock Should Value Investors Buy Now?,0.0,0.789,0.211,0.34
14,FAST,2021-01-27,11:38PM,Fastenal Company (NASDAQ:FAST) Stock Goes Ex-Dividend In Just Four Days,0.0,1.0,0.0,0.0
15,FAST,2021-01-23,08:01AM,"BlackRock, Intel, and Other Companies That Raised Their Dividends This Week",0.0,1.0,0.0,0.0
16,FAST,2021-01-23,02:01AM,The Fastenal Company (NASDAQ:FAST) Full-Year Results Are Out And Analysts Have Published New Forecasts,0.0,1.0,0.0,0.0
17,FAST,2021-01-21,04:46PM,This Auto-Parts Stock Is a Buy Thanks to a Better Economy and a Dash of Self-Help,0.0,0.655,0.345,0.7003
18,FAST,2021-01-21,02:55PM,"Fastenal's Profits Rise, but Its Core Business Still Hasn't Rebounded",0.0,0.822,0.178,0.2382
19,FAST,2021-01-21,09:53AM,Lowe's (LOW) Cheers on Solid Home Improvement Products Demand,0.106,0.352,0.542,0.7351
20,FAST,2021-01-20,01:09PM,Fastenal Reports Rises in Fourth-Quarter Earnings and Revenue,0.0,1.0,0.0,0.0
21,FAST,2021-01-20,10:17AM,Fastenal (FAST) Q4 Earnings and Revenues Beat Estimates,0.0,1.0,0.0,0.0
22,FAST,2021-01-20,09:58AM,Fastenals Earnings Highlight Improving Strength of Industrial Economy,0.0,0.373,0.627,0.8126
23,FAST,2021-01-20,09:51AM,A Look Into Fastenal's Price Over Earnings,0.0,1.0,0.0,0.0
24,FAST,2021-01-20,08:05AM,Fastenal (FAST) Q4 Earnings and Revenues Top Estimates,0.0,0.795,0.205,0.2023
25,FAST,2021-01-20,07:13AM,Fastenal's Debt Insights,0.556,0.444,0.0,-0.3612
26,FAST,2021-01-20,07:04AM,Recap: Fastenal Q4 Earnings,0.0,1.0,0.0,0.0
27,FAST,2021-01-20,06:50AM,Fastenal Company Reports 2020 Annual and Fourth Quarter Earnings,0.0,1.0,0.0,0.0
28,FAST,2021-01-19,05:12PM,5 Red-Hot Large Cap Earnings Superstars,0.0,1.0,0.0,0.0
29,FAST,2021-01-19,05:05PM,Fastenal Company Announces Cash Dividend,0.0,1.0,0.0,0.0
30,FAST,2021-01-19,11:25AM,Should You Buy Fastenal Company (FAST) Ahead of Earnings?,0.0,1.0,0.0,0.0
31,FAST,2021-01-19,10:28AM,Earnings Outlook For Fastenal,0.0,1.0,0.0,0.0
32,FAST,2021-01-18,06:31AM,Fastenal (FAST) Gears Up for Q4 Earnings: What's in Store?,0.0,1.0,0.0,0.0
33,FAST,2021-01-17,03:00PM,"Netflix, Goldman Sachs, Intel, Bank of America, and Other Stocks for Investors to Watch This Week",0.0,1.0,0.0,0.0
34,FAST,2021-01-13,12:30PM,Fastenal (FAST) Reports Next Week: Wall Street Expects Earnings Growth,0.0,0.776,0.224,0.3818
35,FAST,2021-01-13,01:08AM,Fastenal Company's (NASDAQ:FAST) Stock's On An Uptrend: Are Strong Financials Guiding The Market?,0.0,0.784,0.216,0.5106
36,FAST,2021-01-11,05:50PM,Fastenal (FAST) Stock Moves -0.53%: What You Should Know,0.0,1.0,0.0,0.0
37,FAST,2021-01-09,07:09AM,3 Infrastructure Stocks to Buy Right Now,0.0,1.0,0.0,0.0
38,FAST,2021-01-06,12:10PM,Why Fastenal (FAST) is Poised to Beat Earnings Estimates Again,0.0,0.818,0.182,0.25
39,FAST,2021-01-05,05:05PM,Fastenal Company Announces Conference Call to Review 2020 Annual and Fourth Quarter Earnings,0.0,1.0,0.0,0.0
40,FAST,2021-01-01,11:40AM,TGLS or FAST: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
41,FAST,2020-12-21,08:00PM,Hedge Funds Cant Stop Buying Fastenal Company (FAST),0.0,0.788,0.212,0.2235
42,FAST,2020-12-21,05:50PM,Fastenal (FAST) Gains As Market Dips: What You Should Know,0.0,0.789,0.211,0.34
43,FAST,2020-12-21,06:02AM,These Were the 3 Best Dividend Stocks of 2020,0.0,0.625,0.375,0.6369
44,FAST,2020-12-18,06:44AM,Is Now The Time To Put Fastenal (NASDAQ:FAST) On Your Watchlist?,0.0,1.0,0.0,0.0
45,FAST,2020-12-16,11:40AM,TGLS vs. FAST: Which Stock Is the Better Value Option?,0.0,0.602,0.398,0.6486
46,FAST,2020-12-14,05:45PM,Fastenal (FAST) Gains As Market Dips: What You Should Know,0.0,0.789,0.211,0.34
47,FAST,2020-12-09,06:09PM,12 Best Infrastructure Stocks to Buy Now,0.0,0.588,0.412,0.6369
48,FAST,2020-12-07,05:45PM,Fastenal (FAST) Gains As Market Dips: What You Should Know,0.0,0.789,0.211,0.34
49,FAST,2020-11-30,05:45PM,Fastenal (FAST) Gains As Market Dips: What You Should Know,0.0,0.789,0.211,0.34
