,ticker,date,time,headline,neg,neu,pos,compound
0,FDX,2021-04-13,04:24PM,"IBD Stock Research Screener Shows Facebook, FedEx, Logitech And BlackRock In Buy Ranges",0.0,1.0,0.0,0.0
1,FDX,2021-04-13,11:04AM,"Why This FedEx Analyst Sees Improving Express, Ground Prospects",0.0,0.583,0.417,0.6124
2,FDX,2021-04-13,10:24AM,"FedEx Stock Will Resume Rising After Epic 2020, Say Analysts",0.0,1.0,0.0,0.0
3,FDX,2021-04-13,06:44AM,Wall Street Roundup: Bullish & Bearish Calls Of The Day,0.0,1.0,0.0,0.0
4,FDX,2021-04-13,06:36AM,FedEx Upgraded by KeyBanc to Overweight,0.333,0.667,0.0,-0.3612
5,FDX,2021-04-12,08:10AM,"JPMorgan, Wells Fargo, FedEx, Delta Airlines and Fastenal are part of Zacks Earnings Preview",0.0,0.867,0.133,0.25
6,FDX,2021-04-12,12:30AM,FedEx Discusses Learnings After a Year in Peak Shipping,0.0,1.0,0.0,0.0
7,FDX,2021-04-07,05:53PM,"Is UPS Stock A Buy Right Now? Here's What Charts, Earnings Show",0.0,1.0,0.0,0.0
8,FDX,2021-04-07,12:24PM,"FedEx Office Donates $100,000 in Printing to Future Ready Schools in Support of Students Impacted by Pandemic",0.0,0.743,0.257,0.6369
9,FDX,2021-04-07,08:00AM,UPS Bets on Electric Aircraft to Get Packages to the Hinterlands,0.0,1.0,0.0,0.0
10,FDX,2021-04-06,03:20PM,Breaking down what tax breaks companies get,0.0,1.0,0.0,0.0
11,FDX,2021-04-05,10:03AM,Top stocks investors bought and sold in March,0.0,0.795,0.205,0.2023
12,FDX,2021-04-05,09:21AM,"E-commerce Growth Aids FedEx (FDX), Rising Expenses Ail",0.0,0.729,0.271,0.3818
13,FDX,2021-04-01,11:29AM,ELMS CEO breaks down the EV boom amid pandemic,0.0,1.0,0.0,0.0
14,FDX,2021-03-30,01:33PM,"Dow Jones Drops 125 Points, But Goldman Sachs A Bright Spot; FedEx Gives Buy Signal",0.0,0.818,0.182,0.4404
15,FDX,2021-03-30,12:47PM,Atlas Air Worldwide Thrives In Buy Online-Ship To Home Culture; Stock Rating Climbs,0.0,1.0,0.0,0.0
16,FDX,2021-03-30,12:00PM,Amazon and ABB Partner to Help Push EV Adoption,0.0,0.614,0.386,0.5267
17,FDX,2021-03-29,01:10PM,FedEx Stock Offers Bullish Option Trade With 47% Return Potential,0.0,1.0,0.0,0.0
18,FDX,2021-03-29,11:06AM,FedEx Setting Up Again,0.0,1.0,0.0,0.0
19,FDX,2021-03-29,07:18AM,"FedEx, NIKE, Costco Wholesale, Micron Technology, Walgreens Boots Alliance, McCormick & Co, Lululemon and JPMorgan are part of Zacks Earnings Preview",0.0,1.0,0.0,0.0
20,FDX,2021-03-27,10:14AM,3 Stocks Making the E-Commerce Surge Possible,0.0,1.0,0.0,0.0
21,FDX,2021-03-26,02:21PM,A Very Strong Q1 and 2021 Earnings Picture,0.0,0.625,0.375,0.5563
22,FDX,2021-03-25,07:01PM,Another SPAC Worth Watching,0.0,0.612,0.388,0.2263
23,FDX,2021-03-25,04:35PM,FedEx Stock Price Performance Rising; Highest-Rated In Package Delivery Group,0.0,1.0,0.0,0.0
24,FDX,2021-03-25,01:48PM,Is It Too Late to Buy FedEx Corporation (FDX) Stock?,0.0,1.0,0.0,0.0
25,FDX,2021-03-25,09:15AM,Top Mutual Fund Holders of FedEx (FDX),0.0,0.769,0.231,0.2023
26,FDX,2021-03-23,03:44PM,The USPS Releases Its Strategic Plan. It May Not Be Good News for FedEx.,0.156,0.844,0.0,-0.3412
27,FDX,2021-03-23,01:41PM,Is FedEx (FDX) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
28,FDX,2021-03-22,05:39PM,Growth Stocks To Buy And Watch: These CAN SLIM Stocks Are Offering Up Opportunities,0.0,0.698,0.302,0.6369
29,FDX,2021-03-22,03:25PM,Yahoo Finance Plus investment idea of the day is FedEx,0.0,1.0,0.0,0.0
