,ticker,date,time,headline,neg,neu,pos,compound
0,FLEX,2021-04-12,03:32AM,If You Had Bought Flex (NASDAQ:FLEX) Shares A Year Ago You'd Have Earned 108% Returns,0.0,0.855,0.145,0.296
1,FLEX,2021-04-07,02:23PM,Philips' (PHG) SmartCT 3D-Imaging Software Gets FDA Approval,0.0,0.693,0.307,0.4767
2,FLEX,2021-04-07,11:40AM,FLEX or GRMN: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
3,FLEX,2021-03-24,10:39AM,Is FLEX Stock A Buy or Sell?,0.0,1.0,0.0,0.0
4,FLEX,2021-03-22,11:40AM,FLEX vs. GRMN: Which Stock Should Value Investors Buy Now?,0.0,0.789,0.211,0.34
5,FLEX,2021-03-18,07:48AM,Top Ranked Growth Stocks to Buy for March 18th,0.0,0.614,0.386,0.5267
6,FLEX,2021-03-17,09:10AM,Flex's Lynn Torrel Named a 2021 Pro to Know by Supply & Demand Chain Executive,0.111,0.889,0.0,-0.128
7,FLEX,2021-03-16,06:06AM,Flex (FLEX) Sees Hammer Chart Pattern: Time to Buy?,0.0,1.0,0.0,0.0
8,FLEX,2021-03-15,10:10AM,Flex Wins Multiple 2021 Manufacturing Leadership Awards,0.0,0.427,0.573,0.7717
9,FLEX,2021-03-12,12:06PM,Sound Shore Management: Flex Ltd. (FLEX) is a Very Attractive Risk Reward Opportunity,0.117,0.393,0.49,0.8214
10,FLEX,2021-03-11,09:24AM,Top Ranked Growth Stocks to Buy for March 11th,0.0,0.614,0.386,0.5267
11,FLEX,2021-03-11,12:00AM,Apple Tilts to iPhone Playbook for Car as Automaker Talks Stall,0.153,0.847,0.0,-0.2023
12,FLEX,2021-03-08,08:38AM,Top Ranked Growth Stocks to Buy for March 8th,0.0,0.614,0.386,0.5267
13,FLEX,2021-03-07,02:53AM,What Is Flex Ltd.'s (NASDAQ:FLEX) Share Price Doing?,0.0,0.761,0.239,0.296
14,FLEX,2021-03-05,11:40AM,FLEX vs. GRMN: Which Stock Should Value Investors Buy Now?,0.0,0.789,0.211,0.34
15,FLEX,2021-03-02,10:05AM,Top Ranked Growth Stocks to Buy for March 2nd,0.0,0.614,0.386,0.5267
16,FLEX,2021-02-27,11:30AM,Why Is Flex (FLEX) Down 1.5% Since Last Earnings Report?,0.0,1.0,0.0,0.0
17,FLEX,2021-02-22,09:05AM,Flex Joins the Valuable 500 to Further Drive Disability Inclusion,0.0,0.744,0.256,0.4767
18,FLEX,2021-02-10,08:56AM,Top Ranked Growth Stocks to Buy for February 10th,0.0,0.614,0.386,0.5267
19,FLEX,2021-02-05,09:46AM,"Zoom Video, Cimpress, Flex, Huntsman Corp and Abercrombie & Fitch highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
20,FLEX,2021-02-04,04:05PM,Flex to Participate in Upcoming Investor Conference,0.0,1.0,0.0,0.0
