,ticker,date,time,headline,neg,neu,pos,compound
0,FLIR,2021-04-12,05:45PM,"Teledyne Schedules Meeting Date for the FLIR Acquisition, Clears Poland and South Korea Antitrust Reviews",0.0,0.915,0.085,0.0772
1,FLIR,2021-04-12,08:00AM,FLIR Wins DARPA Contract Worth Up to $20.5M to Develop Revolutionary New Protective Fabrics for Chem-Bio Defense,0.0,0.664,0.336,0.7269
2,FLIR,2021-04-09,03:07PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds FLIR, NTWN, OBLN, and GLUU Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
3,FLIR,2021-03-30,06:18PM,SHAREHOLDER ALERT: WeissLaw LLP Reminds FLIR and CUB Shareholders About Its Ongoing Investigations,0.0,0.804,0.196,0.4466
4,FLIR,2021-03-30,08:36AM,"Halper Sadeh LLP Investigates the Following Mergers  FI, PMBC, PEBO, FLIR; Shareholders are Encouraged to Contact the Firm",0.0,0.872,0.128,0.3612
5,FLIR,2021-03-27,11:31AM,Why Is Flir Systems (FLIR) Up 3.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
6,FLIR,2021-03-25,01:55PM,SHAREHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger,0.0,0.754,0.246,0.4466
7,FLIR,2021-03-25,06:00AM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates PMBC, CMD, COHR, PRSP, FLIR, BPFH; Shareholders are Encouraged to Contact the Firm",0.0,0.758,0.242,0.6633
8,FLIR,2021-03-24,05:20PM,Flir Systems Gets Key Upgrade After Its Cameras Accompany Perseverance To Mars,0.0,1.0,0.0,0.0
9,FLIR,2021-03-23,03:22PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds COHR, FLIR, CUB, and CRHM Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
10,FLIR,2021-03-20,12:40PM,"BREAKING NEWS ALERT: Halper Sadeh LLP Continues to Investigate PRAH, RMBL, GNMK, FLIR; Shareholders Are Encouraged to Contact the Firm",0.0,0.768,0.232,0.6633
11,FLIR,2021-03-19,09:15AM,"FLIR INVESTIGATION ALERT - Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ: FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.111,0.721,0.168,0.186
12,FLIR,2021-03-18,03:10PM,"STOCK ALERT: Halper Sadeh LLP Investigates HCAP, MGLN, CMD, PRAH, FLIR, BPFH; Shareholders are Encouraged to Contact the Firm",0.0,0.758,0.242,0.6633
13,FLIR,2021-03-18,10:00AM,"FLIR INVESTIGATION ALERT - Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ: FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.111,0.721,0.168,0.186
14,FLIR,2021-03-17,09:30AM,"FLIR INVESTIGATION ALERT - Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ:FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.115,0.711,0.174,0.186
15,FLIR,2021-03-16,05:00PM,"FLIR INVESTIGATION ALERT - Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ:FLIR) for Potential Securities Violations and Breach of Fiduciary Duty ",0.115,0.711,0.174,0.186
16,FLIR,2021-03-16,04:10PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds APEX, MGLN, COHR, and FLIR Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
17,FLIR,2021-03-16,10:31AM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates PRAH, PRSP, FLIR, HMSY; Shareholders Are Encouraged to Contact the Firm",0.0,0.734,0.266,0.6633
18,FLIR,2021-03-15,09:18PM,SHAREHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger,0.0,0.754,0.246,0.4466
19,FLIR,2021-03-13,01:15PM,"STOCK ALERT: Halper Sadeh LLP Continues to Investigate ATH, FLIR, CLGX, MDCA; Shareholders Are Encouraged to Contact the Firm",0.0,0.758,0.242,0.6633
20,FLIR,2021-03-12,09:10AM,"FLIR INVESTIGATION ALERT 0 Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ: FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.111,0.721,0.168,0.186
21,FLIR,2021-03-11,10:25PM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates MGLN, FPRX, FLIR, WDR, HMSY, SNCA; Shareholders are Encouraged to Contact the Firm",0.0,0.758,0.242,0.6633
22,FLIR,2021-03-10,05:00PM,"FLIR INVESTIGATION ALERT  Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ: FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.111,0.721,0.168,0.186
23,FLIR,2021-03-10,06:58AM,"Is FLIR Systems, Inc.'s (NASDAQ:FLIR) Recent Stock Performance Influenced By Its Fundamentals In Any Way?",0.0,1.0,0.0,0.0
24,FLIR,2021-03-09,04:21PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds APEX, MGLN, COHR, and FLIR Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
25,FLIR,2021-03-09,02:08PM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates ATH, TPCO, FLIR, CRHM; Shareholders Are Encouraged to Contact the Firm",0.0,0.734,0.266,0.6633
26,FLIR,2021-03-09,08:45AM,"FLIR INVESTIGATION ALERT - Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ: FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.111,0.721,0.168,0.186
27,FLIR,2021-03-09,08:00AM,"Teledyne Announces Pricing of Notes, Completion of Bank Financing and Cleared HSR Review for the FLIR Acquisition",0.0,0.92,0.08,0.1027
28,FLIR,2021-03-08,07:10PM,"FLIR INVESTIGATION ALERT  Nationally Ranked Shareholder Rights Firm Labaton Sucharow Investigating FLIR Systems, Inc. (NASDAQ:FLIR) for Potential Securities Violations and Breach of Fiduciary Duty",0.115,0.711,0.174,0.186
