,ticker,date,time,headline,neg,neu,pos,compound
0,FL,2021-04-13,10:09AM,Foot Locker (FL) Adopts FreedomPay's In-Store Payment Solutions,0.0,0.638,0.362,0.34
1,FL,2021-04-12,04:52PM,WFRBS Commercial Mortgage Trust 2011-C3 -- Moody's affirms six classes and downgrades two classes of WFRBS 2011-C3,0.0,0.829,0.171,0.5106
2,FL,2021-04-12,04:43PM,WFRBS Commercial Mortgage Trust 2011-C3 -- Moody's affirms six classes and downgrades two classes of WFRBS 2011-C3,0.0,0.829,0.171,0.5106
3,FL,2021-04-12,09:00AM,"Foot Locker, Inc., Selects FreedomPay to Deliver the 'Next Level' Retail Experience In-Store in the U.S.",0.0,1.0,0.0,0.0
4,FL,2021-04-08,08:00AM,"Foot Locker, Inc. Releases 2019-20 Impact Report Highlighting Environmental, Social, And Governance Priorities",0.0,1.0,0.0,0.0
5,FL,2021-04-05,09:53AM,"Foot Locker (FL) Up 30% in 3 Months, Gains on Digital Growth",0.0,0.643,0.357,0.6124
6,FL,2021-04-01,12:15PM,'Theres just so much energy around the sneaker market:' Footlocker CEO on company's growth,0.0,0.707,0.293,0.6096
7,FL,2021-04-01,09:51AM,Consumers are spending their stimulus checks: Foot Locker CEO,0.0,1.0,0.0,0.0
8,FL,2021-03-30,01:24PM,COVID-19 cases are back on the rise and so may be a sweaty gym workout,0.0,1.0,0.0,0.0
9,FL,2021-03-28,11:30AM,Why Is Foot Locker (FL) Up 9.2% Since Last Earnings Report?,0.0,1.0,0.0,0.0
10,FL,2021-03-25,04:42PM,Foot Locker Is Up and Nike Is Down. Heres Why.,0.0,1.0,0.0,0.0
11,FL,2021-03-25,08:35AM,Foot Locker Gets a New CFO and Bullish Analyst Price Target,0.0,1.0,0.0,0.0
12,FL,2021-03-25,08:25AM,Foot Locker names Advance Auto Parts vet CFO,0.0,1.0,0.0,0.0
13,FL,2021-03-25,08:00AM,"Foot Locker, Inc. Appoints Andrew E. Page as Executive Vice President and Chief Financial Officer",0.0,1.0,0.0,0.0
14,FL,2021-03-23,03:02PM,"Foot Locker, Inc. -- Moody's announces completion of a periodic review of ratings of Foot Locker, Inc.",0.0,1.0,0.0,0.0
15,FL,2021-03-22,12:45PM,Stimulus checks ignite spending in athletic footwear and apparel: BofA,0.0,1.0,0.0,0.0
16,FL,2021-03-18,09:34AM,"Celebrity Nail Artist, Jenny Bui Named ArtIstic Ambassador By OPI",0.0,1.0,0.0,0.0
17,FL,2021-03-18,08:26AM,Foot Locker (FL) Gains From Digital Growth Amid Store Closures,0.0,0.615,0.385,0.6124
18,FL,2021-03-09,04:04PM,"Dick's Sporting Goods Guides Light, Beats Q4 Views; Dividend Hiked",0.0,1.0,0.0,0.0
19,FL,2021-03-05,09:00AM,Foot Locker Names Melody Ehsani Creative Director of Women's Business,0.0,0.756,0.244,0.4404
20,FL,2021-03-02,12:04PM,JPMDB Commercial Mortgage Securities Trust 2016-C4 -- Moody's affirms eight classes of JPMDB 2016-C4,0.0,0.686,0.314,0.6705
21,FL,2021-03-01,09:24AM,"Foot Locker (FL) Beats on Q4 Earnings, Down on Soft Sales",0.0,1.0,0.0,0.0
22,FL,2021-03-01,06:58AM,Foot Locker Drops 9% On Weak 4Q Revenues,0.563,0.437,0.0,-0.8286
23,FL,2021-03-01,04:14AM,Foot Locker Runs Into Sellers as Sales Miss Forecasts,0.167,0.833,0.0,-0.1531
24,FL,2021-03-01,03:57AM,"Morning Bell With Jim Cramer: DoorDash, Salesforce, Foot Locker",0.0,1.0,0.0,0.0
25,FL,2021-02-26,02:32PM,Foot Locker Inc (FL) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
26,FL,2021-02-26,12:52PM,Why Foot Locker Stock Was Sliding Today,0.0,1.0,0.0,0.0
27,FL,2021-02-26,12:52PM,Foot Locker Stock Falls After Earnings. Here Are 2 Numbers Worrying Investors.,0.194,0.806,0.0,-0.34
28,FL,2021-02-26,10:43AM,"Dow Jones Slumps On Salesforce.com Sell-Off, Etsy Bucks Drop; These Top Stocks Struggle",0.272,0.617,0.111,-0.3818
29,FL,2021-02-26,08:58AM,Foot Locker Stock Stumbles on Mixed Quarter as COVID Keeps 10% of Store Fleet Closed,0.0,1.0,0.0,0.0
30,FL,2021-02-26,07:46AM,Foot Locker Tumbles After Surprise Drop in Same-Store Sales,0.188,0.625,0.188,0.0
31,FL,2021-02-26,06:57AM,"Foot Locker stock tumbles after profit beats, but sales surprisingly decline",0.0,0.655,0.345,0.5789
32,FL,2021-02-26,06:45AM,"Foot Locker, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
33,FL,2021-02-26,06:45AM,"Foot Locker, Inc. Reports 2020 Fourth Quarter And Full Year Results",0.0,1.0,0.0,0.0
34,FL,2021-02-26,03:49AM,"Premarket Movers Friday - Rocket Companies, DoorDash",0.0,1.0,0.0,0.0
35,FL,2021-02-26,02:10AM,Foot Locker Shares Tumble After Q4 Sales Miss Wall Street Forecasts,0.125,0.703,0.172,0.1531
36,FL,2021-02-25,10:07AM,Preview: Foot Locker's Earnings,0.0,1.0,0.0,0.0
37,FL,2021-02-22,10:03AM,"Benzinga's Top Ratings Upgrades, Downgrades For February 22, 2021",0.0,0.816,0.184,0.2023
38,FL,2021-02-20,03:16AM,"Estimating The Fair Value Of Foot Locker, Inc. (NYSE:FL)",0.0,0.598,0.402,0.5719
39,FL,2021-02-18,04:24AM,"Foot Locker Boosts 2021 Capital Allocation, Hikes Dividend By 33%",0.0,0.796,0.204,0.3182
